date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應收帳款淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,603926,98379,2984075,487250,599732,,,893894,3404569,199610,1310656,,19837,49381,181392,-287640,12535928,0.0,,,,9219409,,10647664,109622,45462,3375651,2013年03月31日,2068010,,11343368,11338414,0,699893,16956978,29085161,1658060,216172.0,,1431592.0,248193.0,5284826,3375651,,,20693322.0,4779078,40742,,4738336,,,32036690.0,,86963,254688,3600000,4954,3736344,2951529,445839,0
2013-08-08,2,2013,1803200.0,618819,83345,2598017,488479,595140,,,1633791,2648623,215379,1945023,141823.0,6204,47595,142562,-273100,12967111,0.0,0.0,,,9916107,,11639393,109419,43076,3375651,2013年06月30日,1637891,,10972256,10968125,0,807550,18735472,29924563,1660041,152576.0,,1760087.0,184694.0,5055857,3375651,,,21877708.0,4779078,40742,,4738336,,,32849964.0,,94641,268139,3000000,4131,3142236,2925401,308005,0
2013-11-08,3,2013,2237780.0,630548,78144,2958161,580371,676622,,,950548,2053868,220812,2388708,150928.0,2199,45708,133922,-359559,12454152,0.0,,,,9992180,159980.0,13124762,109215,40401,3375651,2013年09月30日,1998035,,11337779,11333702,0,807550,19289324,30246274,1636926,152576.0,,1619282.0,196535.0,5601373,3375651,,,21831644.0,4779078,40742,0.0,4738336,,,33169423.0,,96612,293993,2400000,4077,2542320,2923149,315389,0
2014-03-17,4,2013,2386000.0,636010,78385,3290053,1071427,1179694,,,1067656,4371896,822144,2549078,163078.0,2267,33341,131009,-249283,12463325,0.0,,,,10707694,,11573102,109012,40437,3375651,2013年12月31日,2329927,,12267488,12266926,0,807550,20084288,31685000,1658448,152576.0,,1779370.0,193827.0,5566033,3375651,,,22337793.0,4779078,40742,,4738336,,,34605281.0,,121164,266980,2099000,562,2253505,2920281,315346,0
2014-05-05,1,2014,2367915.0,636784,78413,3628856,827664,957163,,,830191,5808580,733792,2536862,168947.0,2275,32641,123702,-93872,12538132,,,0.0,,12244793,,12933157,108808,37000,3375651,2014年03月31日,2668730,,12517978,12517377,0,807550,22913040,34160924,1688042,152576.0,1564618.0,,239943.0,7061251,3375651,,,24588333.0,4779078,40742,,4738336,,,37106311.0,,137702,272638,1504950,601,1675293,2945387,356999,0
2014-08-05,2,2014,2301755.0,633711,78694,3073976,862057,962642,,,1754148,2763003,630514,2426929,125174.0,2353,30505,194744,-231543,13991520,,168783.0,0.0,,13519369,,15353004,108605,133583,3375651,2014年06月30日,2135992,,12028533,12028002,0,937984,25421383,35463633,1635081,0.0,2045493.0,,200332.0,7520605,3544434,,,26500520.0,4779078,40742,,4738336,,,38529053.0,,149482,281002,899150,531,1079137,3065420,345618,0
2014-11-05,3,2014,2407525.0,630142,17205,3627289,1127478,1228204,60720.0,,993862,4426804,1051048,2524067,116542.0,2338,28750,197181,-76430,15105161,,,0.0,,15509312,0.0,17887992,108401,130065,3544434,2014年09月30日,2689305,,13002419,13001849,0,937984,29099837,40707853,1597407,0.0,1710028.0,,208444.0,9864152,3544434,,,30735943.0,4779078,40742,,4738336,,,43738362.0,,175031,289388,1432325,570,1636106,3030509,347326,0
2015-03-20,4,2014,1807470.0,635157,33102,4116498,1152136,1295309,59255.0,,1144493,7079686,1426951,1934560,127090.0,18165,22436,202514,274815,15349741,,,0.0,,12313390,,13561792,108198,127283,3544434,2014年12月31日,3178514,,13876173,13875641,0,937984,26361469,39306705,1543533,0.0,1551837.0,,227034.0,10741992,3544434,,,28440486.0,4787758,40742,8680.0,4738336,,,42316659.0,,249111,300912,1807470,532,2079017,3009954,450175,0
2015-04-28,1,2015,1157545.0,626000,70489,4595700,1694738,1806566,63596.0,,829817,3400179,1819019,1313176,155631.0,29909,20144,196368,124281,16183853,,,0.0,,15113833,,19575492,107994,109492,4069434,2015年03月31日,3657716,331569.0,16763505,16762939,0,937984,26992095,42779124,1533956,0.0,,1404658.0,,9403700,4069434,45776276.0,29012771.0,,6278786,40742,8680.0,6229364,,45776276.0,,,217287,289257,1783245,566,2020676,2997152,378467,0
2015-08-10,2,2015,557460.0,617716,69951,3455718,2255348,2357160,58522.0,,2189091,2438732,2279355,701151,143691.0,14222,21893,233931,24007,16214379,,406943.0,0.0,,14930739,,22303176,107791,72914,4069434,2015年06月30日,2334014,258980.0,16490700,16490236,0,1121704,29823539,45377179,1520477,,,1777491.0,,11743578,4476377,48356947.0,31866247.0,,6278786,40742,8680.0,6229364,,48356947.0,,,224555,298466,1796260,464,2042708,2979768,272019,0
