date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－合併溢額,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,3459643,10958258,108244,546279,496354,209572,,76837,39554,55141,,,58215,158286,-31407,6280958,,2808344,42410,3737.0,2660777,120127.0,9056,306963,,4307617,2013年03月31日,8509457,,20357168,20357168,0,2448801,3867955,20079471,,485211.0,,,10248560.0,318956.0,158600,4307617,,,4270770.0,5014456,4106,35128,4975222,,24627938.0,,10069.0,344600,77296,402815,4548467,0
2013-08-08,2,2013,3429212,9377019,-40986,242069,3181241,176088,,-30146,37555,79942,,,55975,166651,10840,6524528,,2243697,24136,3780.0,2844646,68171.0,6563,306571,250405.0,4307617,2013年06月30日,6643680,,18453565,18453565,0,2733339,5869678,20292923,,494808.0,,,10097113.0,227469.0,151800,4307617,,,6313297.0,4799075,4106,35128,4759841,,24766862.0,,1064.0,387644,79031,443619,4473939,0
2013-11-07,3,2013,3362203,9996759,-61890,221165,370955,150958,,-76582,48577,47973,,,55576,191496,-14692,5396565,,1482277,22628,0.0,2639914,43967.0,5193,303657,242430.0,4307617,2013年09月30日,7263420,,19026869,19026869,0,2733339,2228860,17287265,,240669.0,,,8762026.0,153373.0,151050,4307617,,,2657827.0,4799075,4106,35128,4759841,,21684696.0,,,373391,76480,428967,4397431,0
2014-03-19,4,2013,3330875,10708386,-18633,264422,393810,254528,,9131,50013,36311,,,49349,183691,27764,5075939,,2669584,45801,1215.0,2732001,0.0,4158,303232,221255.0,4307617,2013年12月31日,7975047,,19824209,19824209,0,2733339,3979430,19866140,,123698.0,,,11639505.0,239967.0,579040,4307617,,,4424321.0,4799075,4106,35128,4759841,,24248530.0,,,395542,78915,444891,4382390,0
2014-05-07,1,2014,3279621,11609197,16569,299624,384602,274232,10457.0,57558,35936,18183,,,54622,218853,40989,5974014,,2141199,40717,11.0,2750479,0.0,3562,301587,221092.0,4307617,2014年03月31日,8875858,,20773447,20773447,0,2733339,3544109,20352327,,564158.0,,10757242.0,,348144.0,593500,4307617,,,3995919.0,4799075,4106,35128,4759841,,24769366.0,,0.0,397188,96262,451810,4417039,0
2014-08-07,2,2014,3208703,9563069,18766,301821,3246798,287725,10235.0,-2916,34442,50995,,,57120,225262,-21682,6260636,0.0,2721654,68057,4.0,2917994,0.0,1000,297858,221717.0,4307617,2014年06月30日,6509834,,18666845,18666845,0,3053235,7034082,21786026,,657856.0,,11599585.0,,275072.0,681815,4307617,,,7469737.0,4799075,4106,35128,4759841,,26136582.0,6240.0,0.0,378535,95195,435655,4350556,0
2014-11-06,3,2014,3178771,10529331,-47902,235153,435202,220300,14371.0,-21183,49369,59834,,,55225,239453,26719,6267305,0.0,2469542,93894,3.0,2679993,0.0,4722,297974,323366.0,4307617,2014年09月30日,7476096,,19614840,19614840,0,3053235,3508158,19214093,,613131.0,,9330568.0,,182148.0,278000,4307617,,,3966904.0,4799075,4106,35128,4759841,,23581744.0,,23869.0,403521,92934,458746,4367651,0
2015-03-12,4,2014,3160974,11557402,-50416,232639,475052,283316,,54511,60063,44515,,,54191,234238,104927,6364987,0.0,3202531,74185,8.0,2993131,,0,298614,332593.0,4307617,2014年12月31日,8504167,,20718605,20718605,0,3053235,5035066,21941863,,637025.0,,11565344.0,,319927.0,903300,4307617,,,5574635.0,4799075,4106,35128,4759841,,26293240.0,,53545.0,485378,92319,539569,4351377,0
2015-04-29,1,2015,3100919,12393253,-59431,223624,354474,231840,0.0,-10595,7082,40057,,,71179,197028,48836,6120689,0.0,1619528,82964,0.0,2775812,,5126,295892,334366.0,4307617,2015年03月31日,9340018,434723.0,21489350,21489350,0,3053235,2977011,20712960,630679.0,,,,10816047.0,,478240,4307617,24982077.0,3492727.0,,4799075,4106,35128,4759841,24982077.0,,,92710.0,444537,117288,515716,4269117,0
2015-08-06,2,2015,3037261,9524306,-90374,192681,3685342,264305,0.0,-81686,36799,96091,,,70039,188025,8688,7090049,0.0,2772863,80971,0.0,2851994,,339,292762,325229.0,4307617,2015年06月30日,6097550,265934.0,18549312,18549312,0,3426756,7242012,22103906,1147290.0,,,,10644707.0,,378600,4307617,26267260.0,7717948.0,,4799075,4106,35128,4759841,26267260.0,,21503.0,9131.0,405897,127396,475936,4163354,0
