date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,2040435,1787672,42626.0,1940,238130,374891,,28598,,47735,29047,308753,129231,,162459,5109.0,1127653,0.0,,,,,1657898,,0.0,62,2034740,41332,,,152074,1660193,2013年03月31日,882256,,4772475,4763128,0,636272,2505017,4708704,,179224,269144,,1116885.0,113863.0,328140,1660193,,,2798130.0,1267528,11456.0,10926.0,1245146.0,,7570605.0,1116,1403,163882,89579,9347,293113,2861901,47400,0
2013-08-13,2,2013,2082432,1451242,,1840,237788,747480,,29545,,95670,37707,342309,130431,,144739,,1044780,0.0,99611.0,,,,1754685,,0.0,14,2014888,16355,,,155713,1660193,2013年06月30日,497702,,4578781,4574244,0,684396,3040225,5025839,,186447,269144,,1522938.0,64156.0,434907,1759804,,,3344353.0,1267528,,,,,7923134.0,1276,1419,173697,90176,4537,304128,2897295,51765,0
2013-11-13,3,2013,2026703,1767089,,1776,224004,438268,,26115,,53790,47206,384156,130125,,125098,,1280710,0.0,,,,,2296011,,0.0,107,2471593,18858,,,164332,1762165,2013年09月30日,813549,,4861786,4856992,0,684396,3279710,5660241,,182589,269144,,1412767.0,92381.0,399131,1762165,,,3595605.0,1273948,,,,,8457391.0,6606,2011,185770,74424,4794,315895,2797150,62255,0
2014-03-24,4,2013,2105409,2212539,,1650,226519,564305,,29219,,96076,51420,394759,144816,40893.0,158968,,1164544,,,,,,2630556,,0.0,338,2552244,20363,103923.0,,155342,1762165,2013年12月31日,1258999,,5354987,5344728,0,684396,3716993,6510067,,195288,269144,,1995479.0,156377.0,312922,1762165,,,4072192.0,1273948,,,,,9427179.0,1075,311966,210383,75586,10259,355199,2917112,39843,0
2014-05-13,1,2014,2135848,2486849,,1544,219294,471661,,30442,,90209,54975,191619,144605,40279.0,200396,,1105915,0.0,,0.0,,,1977974,,,2142,2152793,18393,104326.0,,156003,1762165,2014年03月31日,1533309,,5633935,5613171,0,684396,3158745,6151643,,191030,269144,2146132.0,,214421.0,437470,1762165,,,3503635.0,1273948,,,,,9137570.0,102,460168,200285,83356,20764,344890,2985927,44637,0
2014-08-13,2,2014,2107104,2035366,,1473,216287,1214749,,34926,,32288,64209,681035,144154,39443.0,235901,,1157011,0.0,88108.0,0.0,,,2077396,,,1621,2321034,4657,104711.0,0.0,159677,1762165,2014年06月30日,978740,,5224505,5191875,0,787482,3808677,6375345,,191986,269144,2069010.0,,184726.0,265064,1850273,,,4151148.0,1273948,,,,,9375653.0,912,53864,198317,89353,32630,342471,3000308,52335,0
2014-11-12,3,2014,2310675,2432857,,1633,216786,578734,,40152,,105996,91948,284713,144652,39560.0,266626,,1290525,0.0,,0.0,,,2556974,,,1141,2752916,2388,105092.0,,164705,1850273,2014年09月30日,1376231,,5705506,5663074,0,787482,3398977,6237627,,194459,269144,1791277.0,,168890.0,0,1850273,,,3766779.0,1273948,,,,,9472285.0,1290,7439,223150,81407,42432,367802,3234658,66584,0
2015-02-25,4,2014,2711553,2710988,,1622,215620,620662,,71276,,216881,74114,380731,148909,36009.0,203221,,1312059,,,0.0,,,2499595,,,792,2851706,7365,112900.0,,159314,1850273,2014年12月31日,1654362,,6100924,6052090,0,787482,3422954,6397728,,197475,269144,1667294.0,,223383.0,0,1850273,,,3833437.0,1273948,,,,,9934361.0,4408,58900,261574,49450,48834,410483,3536633,46775,0
2015-04-29,1,2015,2659106,2774582,,1849,232694,559767,,45835,,202002,127658,267698,150277,35530.0,287716,,1345814,0.0,,0.0,1438884.0,1438884.0,1990552,,,52,2190212,6653,,,155863,1850273,2015年03月31日,1717956,226662.0,6229145,6169551,0,787482,2905698,7380955,114747.0,193361,269144,,3202029.0,,0,1850273,10964467.0,4735322.0,,1342694,,,,10964467.0,,1007,211677,240463,54772,59594,1829624,3583512,109188,0
2015-07-30,2,2015,2682763,1914661,,91835,339277,1536701,26670.0,30880,,158687,155535,264808,150454,35408.0,443650,,1250103,6774.0,0.0,0.0,,1444939.0,1880890,,,3468,2326574,0,,,151436,1850273,2015年06月30日,733641,116289.0,5305986,5259541,98000,911876,3862667,7076773,115046.0,226449,269144,,2599281.0,,142894,1850273,11008778.0,5702792.0,,1342694,,,,11008778.0,,220,437536,244732,88430,46445,1840125,3932005,75756,0
