date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－處分資產增益,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,230863,238,43463,55555,-2485,468,,7021,,29966,11650,,-2485,,,118859,0.0,,49271,127221,13745,,424439,2013年03月31日,9711,468107,468107,0,31338,106143,367458,,,,2414,,100612.0,849.0,,424439,,,152145.0,2690,2027,663,,620252.0,16036,10043,0.0,46002,252794,0
2013-08-09,2,2013,229078,238,41336,62725,-2546,928,,8546,,29717,11573,,-2546,,,113414,,,45823,124825,11805,,424439,2013年06月30日,7584,465919,465919,0,31338,110346,371038,,,,2414,,112448.0,870.0,,424439,,,156099.0,2690,2027,663,,622018.0,16036,10091,,45753,250980,0
2013-11-12,3,2013,226827,238,37396,56939,-3437,525,525.0,6475,6475.0,29472,11124,11124.0,-3437,,,112096,,,37946,109768,8363,29472.0,424439,2013年09月30日,3644,461088,461088,0,31338,95684,353768,,,,2414,,115917.0,274.0,1149.0,424439,,,141192.0,2690,2027,663,,602280.0,16036,10323,,45508,248512,0
2014-03-27,4,2013,223535,238,33738,69585,-2537,660,660.0,7196,7196.0,27079,10173,8721.0,-2537,,1452.0,119232,,,50583,116498,10448,27079.0,424439,2013年12月31日,-14,458330,458330,0,31338,120828,375403,,2711.0,,2414,,122029.0,0.0,,424439,,,163943.0,2690,2027,663,,622273.0,16036,10213,,43115,246870,0
2014-05-13,1,2014,221847,238,37516,46754,-1244,470,470.0,8567,8567.0,26876,10147,8825.0,-1244,,1322.0,114907,,0.0,41461,112610,11168,26876.0,424439,2014年03月31日,3764,463401,463401,0,31338,88685,351683,,2465.0,,2414,104431.0,,0.0,,424439,,,131597.0,2690,2027,663,,594998.0,16036,8618,,42912,243315,0
2014-08-12,2,2014,219423,238,35217,64599,-2774,1101,1101.0,9251,9251.0,26669,9866,8551.0,-2774,,1315.0,107150,,0.0,45257,102734,13668,26669.0,424439,2014年06月30日,1465,459572,459572,0,31338,110957,372401,,2317.0,,2414,139598.0,,0.0,,424439,,,153662.0,2690,2027,663,,613234.0,16036,8989,,42705,240833,0
2014-11-13,3,2014,218864,238,30386,69412,-1532,2371,2371.0,10790,10790.0,16952,9968,8651.0,-1532,,1317.0,105962,,0.0,45229,114608,10684,16952.0,424439,2014年09月30日,-3366,455983,455983,0,31338,117012,364500,,2169.0,,2414,122456.0,,0.0,,424439,,,150000.0,2690,2027,663,,605983.0,16036,10244,,32988,241483,0
2015-03-26,4,2014,217477,238,24121,72313,672,1271,1271.0,10776,10776.0,15998,11313,9567.0,672,,1746.0,104750,,0.0,43779,108886,10069,15998.0,424439,2014年12月31日,-9631,451922,451922,0,31338,117363,359485,,2022.0,,2414,125004.0,,,,424439,,,149397.0,2690,2027,663,,601319.0,16036,10784,,32034,241834,0
2015-05-13,1,2015,214712,238,23332,50089,-196,1342,1342.0,10076,10076.0,11468,13024,10856.0,-196,,2168.0,100787,,0.0,46943,108949,10817,,424439,2015年03月31日,-10420,450265,450265,0,31338,98374,334981,11468.0,1874.0,,2414,,104352.0,,,424439,576143.0,125878.0,,2690,2027,663,576143.0,,16036,11314,,27504,241162,0
2015-08-13,2,2015,213059,238,18844,63660,-1525,1315,1315.0,8601,8601.0,11612,11380,9140.0,-1525,400.0,2240.0,95818,,0.0,47353,106076,11972,,424439,2015年06月30日,-14908,444448,444448,0,31338,112328,345700,11212.0,1727.0,,2414,,123233.0,,,424439,584424.0,139976.0,,2690,2027,663,584424.0,,16036,12320,,27648,238724,0
