date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收收益－關係人,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項－關係人合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,,1081429,0.0,0.0,-659993,,0.0,127089,,18543,13869,13089,,5252,,145942,,33170,11954,,13089.0,,,249983,,,0.0,,117401,0,,200227,8147,13869.0,11087,0.0,1758944,2013年03月31日,-659993,,,1220108,1112040,0,702248,865988,16987,0.0,0.0,,218190.0,,,,452412,1758944,,,,811458.0,0.0,,2031566.0,,94.0,,1040,55208,75000,,108068,109210,1165578,,0.0,0
2013-08-14,2,2013,,1054767,,0.0,-695703,0.0,,72032,60301.0,7623,8294,24675,0.0,6200,,85801,,33267,19284,,24675.0,,,299588,299588.0,,,,175001,2505,13913.0,227016,11723,,4572,0.0,1758944,2013年06月30日,-695703,,,1202957,1087916,0,665298,828034,18940,,,,127922.0,0.0,2174.0,0.0,333172,1758944,0.0,,,773705.0,0.0,,1976662.0,0.0,,,1040,55637,74100,,115041,108407,1148628,55495.0,,0
2013-11-13,3,2013,,1022937,,0.0,-731684,,,74025,38391.0,18206,9134,8586,,5585,,83624,,32811,33974,,,,,274172,,0.0,,,144113,14981,9739.0,239540,9556,,5289,0.0,1758944,2013年09月30日,-731684,,,1152283,1035846,0,696928,825224,19167,,,,135370.0,,2553.0,198.0,407541,1758944,,,,804178.0,0.0,,1956461.0,,,,1239,55159,73200,,116437,107250,1131237,50135.0,,0
2014-03-27,4,2013,3600.0,1015800,,0.0,-776681,,,122268,3323.0,22189,7801,16912,,5492,1892.0,84212,84212.0,33172,10283,3805.0,16912.0,188.0,6478.0,262633,,,,,137663,39547,,285024,2877,,2354,0.0,1758944,2013年12月31日,-776681,,,1124052,999175,0,747130,875467,19054,,,,187815.0,,2266.0,413.0,436571,1758944,,,,853012.0,,,1977064.0,,,,410,56460,72300,32984.0,124877,105882,1101597,20149.0,,0
2014-05-07,1,2014,3600.0,994486,,,-821422,,,96872,80501.0,35368,8450,29281,,5001,1401.0,86158,86158.0,33926,10595,3822.0,29281.0,191.0,6773.0,280197,,,,0.0,136029,21312,3666.0,243923,9297,,3709,,1758944,2014年03月31日,-821422,,,1092808,966803,0,727922,845152,19119,,,155547.0,,,895.0,0.0,383646,1758944,,,,834334.0,,,1927142.0,,0.0,,1086,57790,71400,33735.0,126005,106412,1081990,22503.0,,0
2014-08-11,2,2014,3600.0,551644,,,-1251745,,,100002,24604.0,51924,11468,14677,,18142,14542.0,94105,94105.0,33173,10990,3839.0,14677.0,187.0,7151.0,271802,,,,0.0,127494,14375,9701.0,290818,1509,,186,,1758944,2014年06月30日,-1251745,,,647707,521876,0,739656,854063,18472,,,112893.0,,,1008.0,0.0,444330,1758944,,,,843669.0,,,1491376.0,,,,340,56207,70500,32986.0,125831,104013,637313,19358.0,,0
2014-11-07,3,2014,3600.0,545639,,,-1258766,,,74873,61070.0,22870,7156,24304,,7448,3848.0,20367,,35430,8459,3856.0,24304.0,1775.0,4603.0,272682,,,,0.0,154476,15103,19530.0,346996,5082,,1051,,1758944,2014年09月30日,-1258766,,,655741,524482,0,685711,817045,18472,,,120465.0,,,2559.0,162.0,350652,1758944,,,,791094.0,,,1446835.0,,,,353,57220,69600,33655.0,131259,105383,629790,20214.0,,0
2015-03-27,4,2014,3600.0,546562,,,-383044,,,70472,58031.0,27656,6861,52902,,6838,3238.0,838,838.0,35179,4221,0.0,52902.0,199.0,4221.0,279115,,,,0.0,151761,46322,,300537,4065,,6583,,868000,2014年12月31日,-383044,,,676647,537858,0,585132,735769,18825,,,90708.0,,,1222.0,1041.0,250486,868000,,,,689069.0,,,1365716.0,,,,58,60339,68700,34980.0,138789,103937,629947,18365.0,,0
2015-05-08,1,2015,3600.0,530589,,,-421411,,,71990,63861.0,8796,7222,43611,,6818,3218.0,838,838.0,34696,4146,0.0,43611.0,196.0,4146.0,273223,,,,,116827,18849,0.0,281829,4146,,6246,,968000,2015年03月31日,-421411,16.0,1230.0,735895,598850,0,554979,780941,18224,,,,161743.0,,,,276618,968000,,1393408.0,657513.0,,8650.0,1393408.0,,,,,38,59508,67800,34500.0,137045,102534,612467,35668.0,,0
2015-08-11,2,2015,3600.0,512980,,,-441052,,,64798,68056.0,15465,10776,39280,,6420,2820.0,848,848.0,34222,4165,0.0,39280.0,195.0,4165.0,235313,,,,0.0,112542,2065,0.0,283307,151,,641,,968000,2015年06月30日,-441052,1070.0,974.0,712729,574878,0,506453,726499,17646,,,,153756.0,,,,251502,968000,,1320340.0,607611.0,,8650.0,1320340.0,,,,,36,59050,66900,34027.0,137851,101158,593841,25268.0,,0
