date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,5591651,29945863,281850,4370180,3524143,,634296.0,300494,103292,5934304,1486089,1486089,54283,1045770,282709,3237,15855,7637752,0,0.0,,,1301349,1085080,93752,12866,797522,2015381,6122.0,2146215,535884,115537,393211,1017105,,1036411.0,1291637,7028237,16353422,2013年03月31日,1795244,,,30984493,25445000,0,2247179,21729913,27035078,,4670,,,450246.0,,327757,,10556392.0,899.0,916.0,11048167,16353422,0.0,,107646,,39220371.0,4618106,,70204864.0,0.0,0.0,958854,16486,10406,343945,15132933,,6122.0,,212571,5539493,17490458,43169786,1886629,342653,0
2013-08-06,2,2013,5505500,29862509,281850,4471959,3407323,,743887.0,222405,-23921,5705714,1220317,1220317,48610,1039506,307559,3311,43402,7015594,0,160667.0,0.0,,1323499,949440,0,18227,799010,1206215,6262.0,1564294,547523,163037,237777,736170,,1029933.0,1176353,7040404,16353422,2013年06月30日,1769943,,,30934835,25423476,0,2247179,21008882,25507185,,4175,,,450196.0,,454837,,10983867.0,608.0,1171.0,11445593,16353422,54582.0,,85055,,37469263.0,4622016,,68404098.0,551.0,0.0,948943,16507,3395,350037,14093981,,6262.0,,215547,5511359,16460381,42896913,1705420,200214,0
2013-11-06,3,2013,7509115,29563812,273477,4548223,3406923,734386.0,,333403,-151301,7910890,1292507,1292507,44501,1040709,304200,7007,47375,7035117,0,0.0,,,0,1126357,0,8723,788770,1299795,6262.0,1748830,810805,96839,108225,1337490,174517.0,1027440.0,1176141,7020520,16353422,2013年09月30日,1846207,,,30736249,25372360,0,2247179,25252151,27647737,,3743,,450145.0,0.0,,454837,,11305497.0,100542.0,1582.0,13193435,16353422,0.0,,89253,,39047009.0,4622016,,69783258.0,0.0,0.0,920325,16393,2514,370312,12751635,,6262.0,,212324,5363889,13794858,42135521,2032455,401775,0
2014-03-25,4,2013,7350227,29448552,280477,4726222,3510926,864778.0,,232717,116205,7860331,875438,875438,37000,1053902,276168,8263,24647,7306637,0,0.0,,,0,1150437,1119,18163,788558,1280044,,1757004,551155,85401,77962,1297550,0.0,1039558.0,1184157,7022006,16353422,2013年12月31日,2024206,,,28648617,25817865,0,2247179,23963037,23228655,,3220,,450094.0,0.0,,454837,,8180966.0,207170.0,1041.0,11699767,16353422,0.0,,92670,,36722417.0,4622016,,65371034.0,0.0,0.0,890245,10000,22092,406873,11683386,6081.0,6081.0,,214521,2830752,12759380,42142379,1522445,510104,0
2014-05-07,1,2014,6658058,30130397,279977,4845739,3442722,974706.0,,206097,158273,6940640,964083,964083,37000,1054081,282916,12397,29811,7341019,0,0.0,,0.0,0,1146304,454,15389,788007,713953,,2249464,756252,151610,61389,1486812,21737.0,1035362.0,1183945,6901192,16353422,2014年03月31日,2143723,,,28743839,25979450,0,2247179,25055769,25009426,,2810,,450044.0,0.0,,454837,8356265.0,,247598.0,4289.0,14130611,16353422,0.0,,98027,,38882776.0,4622016,,67626615.0,80.0,0.0,931331,10000,12071,383230,12760855,6322.0,6322.0,,216105,2764389,13827007,42617189,2029034,282582,0
2014-08-06,2,2014,7773261,30370562,254771,4510713,3360904,1231568.0,,307985,75885,8190682,853640,853640,57004,1049505,301656,12472,34174,7196541,0,0.0,327068.0,0.0,0,1274874,23585,39077,789300,738648,,2029042,709668,202818,63310,401135,,1030733.0,1183733,7140051,16353422,2014年06月30日,1858580,,,28574807,25889104,0,2324376,26472386,24209708,,2233,,0.0,0.0,,327757,9140620.0,,154791.0,3800.0,13936707,16680490,0.0,,93154,,38651734.0,4622016,,67226541.0,0.0,,1136333,10000,6663,392923,11123180,6300.0,6300.0,,210478,2685703,12179348,43016833,2164816,417421,0
2014-11-10,3,2014,6432904,31311085,254771,4824368,3421518,850246.0,,239446,203722,6881036,674757,674757,59929,1048364,303932,12914,30916,7146891,0,208101.0,,0.0,1470401,1121218,0,29952,709052,1240749,,2024419,627618,295063,66664,179541,738.0,1028927.0,975420,8914913,16680490,2014年09月30日,2172235,,,28650304,26330589,0,2324376,22865116,22971079,,1991,,0.0,0.0,,327757,8955935.0,,107235.0,10699.0,11766370,16680490,45000.0,,114258,,39868520.0,4622009,,68518824.0,0.0,0.0,255177,9999,7593,354116,14477046,6523.0,6523.0,,213087,2319715,17003404,45547745,2286030,448132,0
2015-03-24,4,2014,7477039,33511306,269771,5301159,3394069,1039017.0,,374139,381002,7904375,1051350,1051350,98941,1064348,419284,9649,34924,7344849,0,0.0,,0.0,1539462,1180666,427389,36000,708874,1655816,,2132229,1119918,286204,67648,285513,0.0,1007234.0,975491,9233405,16680490,2014年12月31日,2649026,,,29248171,26990339,0,2324376,25216875,23702993,,4485,,0.0,0.0,,327757,8866805.0,,158853.0,10233.0,11992548,16680490,0.0,,113337,,42646258.0,4627688,,71894429.0,0.0,0.0,227689,9998,127267,373627,14698306,0.0,0.0,47465.0,285419,2257832,17429383,48191436,1936416,427336,0
2015-05-05,1,2015,5674329,33385179,282440,5630779,64350,830049.0,,266918,575937,5970829,930606,930606,95884,1051319,409907,9535,33010,8111953,0,,,0.0,1517604,1161626,449755,44509,634136,1559183,,2152900,542191,395695,65852,297030,0.0,,975279,16090583,16680490,2015年03月31日,2978646,185935.0,12822.0,31073774,27515254,0,2324376,25302409,22205624,995030.0,6831,0.0,,,,327757,,7269974.0,,,14366876,16680490,,73865893.0,99511,42792119.0,,4628048,73865893.0,,0.0,,251045,9999,82340,435701,14838447,0.0,0.0,46754.0,281013,3558520,17489710,51660269,1908638,296500,0
2015-08-06,2,2015,3034641,34389315,282440,4527205,55800,1311264.0,,269308,427506,3374508,831830,831830,104557,1047332,462930,9716,81667,6911935,0,,500415.0,0.0,1504443,974708,392173,43868,864036,1392149,,1918851,103724,291049,76385,427118,89642.0,,975067,15757821,16680490,2015年06月30日,1751187,133018.0,11763.0,30050125,26788179,0,2448261,21945750,23002070,991305.0,3610,0.0,,,,327757,,9656147.0,,,13350125,17180905,,75418441.0,109901,45368316.0,,4652563,75418441.0,,,,152348,10000,70243,479388,20800548,0.0,0.0,46311.0,276706,3261946,23422566,52416371,2261970,339867,0
