date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款－關係人,長期應付票據及款項－關係人合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,151176.0,3474199,311468,523577,1013547,100223,82428,272676.0,,-234143,,-234143.0,,162805,11629,317522,17890,299632,204887,19303,145508,105347,40161,510785,510785.0,526664,,0.0,48797,499832,2936,199410,192671,501.0,562586,3586289,2013年03月31日,-41080,,,3807588,3654488,43081531,110303,2054637,2595045,,,454354,,314915.0,9312.0,355.0,975764,3586289,,,3387249.0,305429,108155,197274,,7194837.0,87.0,0.0,27725,5808,1100000,185083.0,185083,153100,1332612,4599792,45840,0
2013-08-07,2,2013,154239.0,3457877,311468,514687,1225865,102298,131792,406042.0,,-193835,,-193835.0,-193835.0,178666,24427,295139,17508,277631,81818,19160,145878,105736,40142,548767,548767.0,526664,,0.0,24941,660785,0,155804,302304,614.0,561390,3586289,2013年06月30日,-8034,,,3801640,3650043,43081531,68367,2522327,2953859,,,454354,,401112.0,3964.0,255.0,1116096,3586289,,,3736656.0,269566,108155,161411,,7538296.0,41.0,0.0,32511,5526,1100000,62044.0,62044,151597,1214329,4584437,24613,0
2013-11-06,3,2013,0.0,3382665,311468,565497,1145567,83280,105411,333319.0,,-214158,-214158.0,-214158.0,,20735,20735,182037,18090,163947,79932,19106,146531,106391,40140,498082,498082.0,526664,,0.0,41843,614908,6280,207747,256811,656.0,560196,3586289,2013年09月30日,42776,,,3829974,3684625,43081531,68367,2153173,2851821,,,454354,,503090.0,1849.0,3723.0,1028783,3586289,,,3511777.0,273661,112250,161411,,7341751.0,45.0,0.0,29638,5790,1249034,60170.0,60170,145349,1358604,4489930,54764,0
2014-03-27,4,2013,0.0,3369901,305462,710421,643139,85185,114282,185341.0,,-193787,-193787.0,-193787.0,,21068,21068,315404,22813,292591,81671,19131,146652,106512,40140,390403,390403.0,526664,,0.0,31787,449843,7871,231992,336206,1718.0,559001,3586289,2013年12月31日,187700,,,3995195,3849920,43081531,68367,1778597,2669232,,,454354,,712518.0,17094.0,114.0,951283,3586289,,,3144151.0,273661,112250,161411,,7139346.0,28.0,0.0,33059,3913,1250824,60822.0,60822,145275,1365554,4470114,39456,0
2014-05-12,1,2014,0.0,3302640,305462,722919,651659,94913,94433,0.0,,-228881,,-228881.0,,33657,33657,568828,6216,562612,265447,19197,151243,111096,40147,380200,,526664,0.0,,38065,99978,7819,211387,298769,1756.0,557807,3586289,2014年03月31日,200198,,,3972693,3827324,43081531,68367,1460465,2563437,,,454354,410137.0,,20326.0,2434.0,1165747,3586289,,,3007077.0,273661,112250,161411,,6979770.0,440.0,,31548,4268,1249617,244494.0,244494,145369,1546612,4416333,40023,0
2014-08-11,2,2014,0.0,3216820,300663,622113,1553909,124644,357820,0.0,163777.0,-100175,,,,40800,40800,556212,349,555863,261575,19253,149034,108889,40145,390024,,526664,0.0,,54376,449782,8346,154907,219509,1799.0,556612,3586289,2014年06月30日,76608,,,4000200,3855224,43081531,85984,2317778,3501228,,,459521,442038.0,,12747.0,54.0,1393907,3586289,,,3853415.0,273661,112250,161411,,7853615.0,0.0,,27057,4614,1247005,,240523,144976,1535637,4352387,20798,0
2014-11-10,3,2014,,3222720,300663,727575,1486526,109254,127508,0.0,24430.0,-335633,,,,20186,20186,482348,348,482000,270993,19326,150148,110003,40145,436719,,526664,0.0,,48750,649820,8551,200698,191093,1841.0,572312,3586289,2014年09月30日,182070,,,3885383,3739562,43081531,85984,2357530,3441156,,,459521,569015.0,,24305.0,688.0,1478410,3586289,,,3914837.0,287995,126584,161411,,7800220.0,0.0,215.0,33775,3967,1252539,,249826,145821,1557307,4359064,49424,0
2015-03-24,4,2014,,3221263,270243,759679,1587342,111810,128115,0.0,,-118475,,,,41141,41141,53939,26820,27119,279250,19243,153055,112909,40146,337003,,526664,0.0,,21924,674744,8698,204422,176113,3349.0,571509,3586289,2014年12月31日,214174,,,4134772,3988824,43081531,85984,2160517,3540854,,,459521,1145004.0,,31940.0,5165.0,1253955,3586289,,,3738091.0,287995,126584,161411,,7872863.0,0.0,105.0,41844,4129,1256480,,256658,145948,1577574,4332009,31761,0
2015-05-04,1,2015,139933.0,3147057,270243,848188,1584183,113819,116733,,,-279531,,,,195883,55950,42042,5766,36276,277137,19242,151677,111531,40146,360318,,526664,0.0,,53625,424846,7906,215253,137501,,570011,3586289,2015年03月31日,302683,44759.0,3067.0,4062285,3916277,43081531,85984,2010900,3145315,3391.0,,459521,,764425.0,,,1167148,3586289,7404380.0,3342095.0,,287995,126584,161411,7404380.0,,0.0,0.0,41612,6258,1012446,,254504,146008,1331195,4259065,38526,0
2015-08-05,2,2015,89039.0,3076723,253863,767818,1443487,106337,432873,,,-609782,,,,120214,31175,40939,8466,32473,274764,19242,148811,108666,40145,405118,,526664,0.0,,29697,625633,9368,196250,157478,,568498,3586289,2015年06月30日,294366,34743.0,2.0,3649813,3505656,43081531,103576,2401785,3163030,3433.0,,369876,,870721.0,,,1149257,3586289,7323668.0,3673855.0,,287995,126584,161411,7323668.0,,,349.0,39125,6406,958181,,252089,144157,1272070,4160638,48686,0
