date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他預付款,商譽,存入保證金,存出保證金,存貨合計,存貨－其他行業淨額,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付票據合計,應付票據－關係人合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收收益,應收票據淨額,應收票據－關係人淨額,應收租賃款,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,暫估應付帳款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期應收租賃款,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,200000,200000,726441,4067666,218200,70074,77.0,,19199,19199,3063,30171,201404,1404,73654,12933,13948,60721,98836,90782,115219,18846.0,15077,21233,14157,14157,,42889,606520,7885,51603.0,,185764,31.0,,217540,252766,33021,33021,951964,,,0.0,0.0,35226,83759.0,10141515,5890486,563631,2013年03月31日,3247139,,10488017,10488017,0,760500,1356282,2712349,,,32794,60027,,1157068.0,75737,3615.0,179365.0,5890486,,49944,67225.0,,3601587.0,499694,,14089604.0,244,167523,2079000,67225.0,67225.0,2245305,11377255,207457,,16501,2324.0,0
2013-08-09,2,2013,190000,190000,697920,3333077,219200,785242,77.0,78384.0,839410,14442,18965,12698,194001,4001,95884,5737,13708,90147,105087,80415,37569,0.0,19410,20211,14578,14578,,60310,881166,16432,3181.0,,25446,60.0,706858.0,344322,380437,28984,28984,986632,,824968.0,,0.0,36115,85677.0,9673075,5890486,820856,2013年06月30日,2462289,,9735955,9735955,0,813357,2452976,3768635,,,13708,57431,,1275451.0,78942,5448.0,491615.0,5890486,,50308,57845.0,,4875164.0,499694,,14611119.0,256,158166,2259000,57845.0,57845.0,2422188,10842484,128294,,11783,2359.0,0
2013-11-11,3,2013,906000,906000,664971,3605367,239800,65072,0.0,65072.0,98081,11076,18635,30885,907831,1831,80467,4220,17116,76247,92308,69385,47616,0.0,17736,18763,13390,13390,,52813,862332,16196,0.0,3181.0,48076,148.0,,253460,290487,31513,31513,775568,280622.0,87005.0,,0.0,37027,74572.0,9966579,5890486,809519,2013年09月30日,2734579,,10026432,10026432,0,813357,2272594,2587310,,,17116,57431,,841159.0,82509,6937.0,290750.0,5890486,,72071,48228.0,,3676392.0,499694,,13702824.0,262,157663,1263000,48228.0,48228.0,1403798,11115514,157388,,27263,2394.0,0
2014-03-20,4,2013,546000,546000,632598,3901462,233200,64969,0.0,64969.0,7486,7486,3000,17794,598151,52151,50123,4290,16289,45833,89716,60166,17806,0.0,13156,19293,14872,14872,,37528,852841,1755,0.0,0.0,62085,64.0,,305165,343126,34588,34588,422161,453574.0,,,0.0,37961,76560.0,10220343,5890486,815313,2013年12月31日,3030674,,10309436,10309436,0,813357,1800980,2449334,,,16289,57431,,997604.0,69748,7144.0,135365.0,5890486,,78606,38369.0,,3458462.0,499694,,13767898.0,6397,155968,1523000,38369.0,38369.0,1657482,11318564,122800,,35246,2504.0,0
2014-05-09,1,2014,590000,590000,636481,4458233,259800,85904,0.0,85904.0,4423,4423,5000,42531,593004,3004,44409,5504,16831,38905,95903,44397,34145,0.0,18395,13606,16082,16082,0.0,27425,599607,765,0.0,61430.0,80745,0.0,,208153,247072,167397,167397,449284,373992.0,,,,38919,77508.0,11716157,5890486,572182,2014年03月31日,3587445,,10890944,10890944,0,813357,1919546,2393078,,,16831,57431,940434.0,,77450,7166.0,430910.0,5890486,,60015,28261.0,,4336368.0,499694,,15227312.0,74658,160568,2218000,28261.0,28261.0,2416822,12834234,144985,,33390,2530.0,0
2014-08-11,2,2014,340000,340000,612487,4145257,239800,810950,35.0,104092.0,938176,2455,5000,25777,345250,5250,30652,6255,16229,24397,101313,34034,5182,,22045,13578,13126,13126,0.0,45266,671635,1006,,0.0,22904,30.0,706858.0,350148,390049,38202,38202,350581,317949.0,935721.0,161.0,,39901,79268.0,11180951,5890486,626369,2014年06月30日,1108337,,10561214,10561214,0,889965,2331845,3052087,,,16229,2146955,878364.0,,66417,4399.0,421000.0,5890486,,54636,17899.0,,4723648.0,499694,,15284862.0,67591,149274,2205000,17899.0,17899.0,2391803,12232775,89827,,18228,2557.0,0
2014-11-11,3,2014,332500,332500,579339,4628663,219000,99899,,99899.0,2057,2057,5155,10303,351739,19239,41899,3882,15360,38017,98616,18481,6985,,19587,8623,13416,13416,0.0,40924,537112,619,2267.0,6946.0,23698,57.0,,423750,464658,88870,88870,83165,226879.0,0.0,,,40908,79029.0,11723166,5890486,496188,2014年09月30日,1591743,,11029146,11029146,0,889965,1316014,1872015,,,15360,2146955,884666.0,,54265,8009.0,231000.0,5890486,,54668,7275.0,,3543637.0,499694,,14572783.0,4232,145422,2117500,7275.0,7275.0,2227623,12700768,61250,,0,2583.0,0
2015-03-25,4,2014,360000,360000,546745,4922657,242000,93222,,93222.0,28668,28668,5279,43559,382336,22336,39481,4820,14475,34661,100981,10281,13432,,20439,7583,12659,12659,0.0,39801,564158,1035,,,37066,23.0,,367033,405357,56039,56039,0,310387.0,,9.0,1091.0,38324,80542.0,12666584,5890486,524357,2014年12月31日,1885737,,11356396,11356396,0,889965,1498702,1969467,,,14475,2146955,986522.0,,57618,0.0,351000.0,5890486,,69862,0.0,,4219719.0,499694,,15576115.0,10036,126563,2610000,0.0,0.0,2721017,13606648,123975,,52925,2698.0,0
2015-05-08,1,2015,270000,270000,511198,5145909,255200,73058,,73058.0,5986,5986,5990,51115,291951,21951,22940,3751,14913,19189,99961,43976,13050,,23359,41259,10543,10543,,41727,527835,10213,,28875.0,19057,5.0,,288296,316513,99821,99821,0,276794.0,,0.0,1617.0,28217,,12903207,5890486,486108,2015年03月31日,2108989,0.0,11587204,11587204,0,889965,1049468,1756187,76602.0,2717.0,14913,2146955,,934857.0,54196,,47000.0,5890486,15607926.0,51474,0.0,4020722.0,,499694,15607926.0,,11293,123245,2860000,0.0,0.0,2971254,13851739,81126,,13880,,0
2015-08-11,2,2015,270000,270000,478018,4533136,254800,1026487,0.0,84009.0,1171512,1426,5990,45441,292081,22081,6527,2863,14005,3664,97907,41285,239,,22359,41285,9469,9469,,43721,433309,412,,13560.0,27977,34.0,942478.0,293619,311473,74200,74200,0,287455.0,1170086.0,0.0,386.0,17854,,12083697,5890486,389588,2015年06月30日,723612,55170.0,10968757,10968757,0,1062809,1958714,2837631,75548.0,,14005,2746715,,914162.0,55994,,70000.0,5890486,15825407.0,39684,0.0,4856650.0,,499694,15825407.0,,10029,115971,2790000,0.0,0.0,2897936,12987776,56457,,224,,0
