date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－長期應收款項,共同控制下前手權益,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－其他行業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付票據合計,應收分期帳款,應收帳款,應收帳款淨額,應收租賃款,持有供交易之金融資產－流動,持有供交易金融負債－流動,持有至到期日金融資產－流動,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現利息收入－應收分期帳款,未實現利息收入－長期應收分期帳款,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,融資租賃之未賺得融資收益,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,銀行長期借款,長期借款合計,長期應收分期帳款,長期應收款,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,48171891.0,48171891,6297413,6468621,-197401.0,1241293.0,1241293,4412696,405672.0,,272710,25546.0,67117191,1085616,7739086,1691330,17557645,6047756,1511431,1511431.0,25760245,823528,823528,1779708.0,-47023.0,501049.0,817646,817646.0,0.0,,,,7486495,,873922,47245047,25504718,116078419,59866079,365903.0,0.0,2814000.0,2814000,698000,698000,7264.0,7264,9053004,2013年03月31日,6468621,4836618,2034610.0,,27157697,25206106,0,125575955,138464262,25502,,,10649208.0,-9461.0,708576.0,56866805,9053004,,,,148700036.0,9411771,24302.0,,9387469.0,9387469.0,,,175857733.0,0.0,365903,1779708,1199599,1584046,9461.0,,,12926556,21203829.0,3723879.0,24936717,2670252.0,1951591,23124081,37393471,302039.0,302039.0,0
2013-08-13,2,2013,49488415.0,49488415,6163250,5235140,-281569.0,1153948.0,1153948,4340598,399738.0,,380598,-60567.0,72305557,1646060,9288817,2637514,20828802,6651303,1782532,1782532.0,26732152,573689,573689,1746858.0,19012.0,709255.0,882208,882208.0,,905300.0,,5080570.0,5076284,-4286.0,999456,48483714,28470559,123030288,62886639,340143.0,1570.0,2175239.0,2175239,530362,530362,4029.0,4029,9053004,2013年06月30日,5170275,4922671,2109781.0,,26750199,24985813,0,127012466,143946921,23562,64865.0,,8230226.0,-5533.0,501515.0,53198835,9958304,,,,155079435.0,9411771,,24302.0,9387469.0,9387469.0,,,181829634.0,1570.0,340143,1746858,978718,1528552,5533.0,,20229435.0,20229435,22058351.0,4067346.0,26158463,2757044.0,1764386,28066969,37882713,342280.0,342280.0,0
2013-11-12,3,2013,54492717.0,54492717,6552554,6643682,120095.0,1552708.0,1552708,4402562,392646.0,,536827,-34423.0,74183827,687874,7261087,2108877,18612178,5152210,1819368,1819368.0,27678391,749617,749617,1721008.0,19840.0,432743.0,932899,932899.0,,,,6412730.0,6409053,-3677.0,996667,49851813,32040585,126210012,60677961,235715.0,1809.0,2741227.0,2741227,558000,558000,112229.0,112229,9958304,2013年09月30日,6578817,4976355,2194548.0,,28349774,26550584,0,125028302,145287937,22147,64865.0,,7906997.0,-1428.0,413522.0,49431049,9958304,,,,156576558.0,9411771,,24302.0,,9387469.0,,,184926332.0,1809.0,235715,1721008,1146151,1441358,1428.0,,22173684.0,22173684,23018558.0,3943374.0,26928774,2763840.0,1799190,31548256,39638395,391058.0,391058.0,0
2014-03-27,4,2013,49511658.0,49511658,7186367,8280646,,1728104.0,1728104,4990016,408754.0,0.0,973795,,70519514,869514,7323956,2323739,19830779,5000217,1826279,1826279.0,28788886,769440,769440,1699947.0,,,567752,567752.0,0.0,,,5007275.0,5004993,-2282.0,2383535,53111829,35268464,133718307,62561613,264569.0,42293.0,4838385.0,4838385,485855,485855,29480.0,29480,9958304,2013年12月31日,8215781,5062691,2182181.0,,30441193,28624443,0,130712078,154299190,22612,64865.0,,7586221.0,,618258.0,57141701,9958304,,,,165334757.0,9411698,,24229.0,9387469.0,9387469.0,,,195775950.0,42293.0,264569,1699947,1344068,1535509,6777.0,,26447339.0,26447339,23306532.0,4522237.0,28019446,3018968.0,1816750,34622679,41476760,307563.0,307563.0,0
2014-05-12,1,2014,53237487.0,53237487,7170797,9842467,,1615275.0,1615275,5115527,461413.0,,943256,,73363574,691664,7427167,2410792,19429086,5016375,1894002,1894002.0,30607159,758047,758047,1680447.0,,,12960,12960.0,,,0.0,4957930.0,4955821,-2109.0,1149814,57074399,36912899,139216084,63030524,435393.0,4197.0,6881421.0,6881421,803523,803523,28556.0,28556,9958304,2014年03月31日,9777602,5463408,2354490.0,,32109455,30155725,0,143879217,161427414,22321,64865.0,7454389.0,,,1104532.0,68252067,9958304,,,,173072325.0,9411698,,24229.0,9387469.0,9387469.0,,,205181780.0,4197.0,435393,1680447,1561918,1826288,5033.0,,20781367.0,20781367,25128581.0,4749030.0,29849112,3019638.0,1953730,29193108,43754366,5337.0,5337.0,0
2014-08-13,2,2014,54118209.0,54118209,7320688,8511952,,1550899.0,1550899,5199178,471357.0,,538953,,76797744,855254,7898881,2499086,21823932,5399795,2095486,2095486.0,30904449,846348,846348,1625047.0,,,379,379.0,,995830.0,0.0,6228792.0,6226351,-2441.0,1310418,60329915,37226207,144081596,65287706,393120.0,2973.0,6846483.0,6846483,897779,897779,46019.0,46019,9958304,2014年06月30日,8511952,5695665,2338051.0,,31289380,29416737,0,149837509,166858141,21058,0.0,7607684.0,,,781942.0,70942719,10954134,,,,179783158.0,9411698,,24229.0,9387469.0,9387469.0,,,211072538.0,2973.0,393120,1625047,1697469,1848458,1713.0,29998.0,19926343.0,19926343,25340789.0,4724357.0,30058101,3033837.0,1872643,29945649,44214397,349.0,349.0,0
2014-11-12,3,2014,,52043371,7445159,10417822,,1584558.0,1584558,5767125,421189.0,,1069595,,75146468,1260551,7806901,2838672,21842197,4968229,2246610,,33107943,928205,928205,789596.0,,,311,311.0,,,0.0,,6441880,,1643851,62670533,40110155,155287497,73342489,221841.0,,,6538845,2232155,2232155,157505.0,157505,10954134,2014年09月30日,10417822,5810514,2282438.0,,33805337,31853249,0,149113706,179531670,32932,0.0,9655671.0,,,692563.0,71630824,10954134,,,,192970237.0,9411698,,24229.0,9387469.0,9387469.0,,,226775574.0,0.0,221841,789596,1556197,1894056,0.0,20604.0,,33611844,25662594.0,4983117.0,32179738,5824642.0,1952088,43856531,47243904,349.0,349.0,0
2015-03-26,4,2014,,59244773,8997856,12132818,,1569885,1569885,5996388,488963,,1844301,,83390526,902357,6846508,3259333,23243396,3587175,2286792,,34611135,1072032,1072032,710059,,,207,207,,,0,,9299257,,2344572,64169367,43824131,164933842,78653219,205992,,,6723295,2408525,2408525,183215,183215,10954134,2014年12月31日,12132818,5907409,2296764,,36429081,34338712,0,154094232,187085720,35591,0,8338117,,,1381461,66974084,10954134,,,,201507476,9407459,,,9387469,9387469,19990,,237936557,769,205992,710059,1574717,2334571,2820,37759,,34252478,26136991,5640807,33539103,6232235,2090369,47413244,50850837,0,0,0
2015-05-13,1,2015,,64015757,9127712,13842264,,1629099.0,1629099,6056942,485184.0,,1649395,,87778585,900043,7985448,3050055,22862785,4935393,2328126,,35744816,1798376,1798376,702869.0,,,207,207.0,,,0.0,,9683725,,2146662,66752802,44428612,166736038,76987845,290810.0,,,5459810,2217928,2217928,212760.0,212760,10954134,2015年03月31日,13842264,6123098,2307825.0,1289074.0,38027942,35853252,0,155102752,193380132,38874,0.0,,12872757.0,,,63887391,10954134,,245380841.0,207352899.0,,9407459,,,9387469.0,9387469.0,19990.0,245380841.0,,0.0,290810,702869,1731202,2326651,1040.0,35062.0,,38507094,26379742.0,5732846.0,33946440,6331275.0,2174690,52250147,52000709,0.0,0.0,0
2015-08-12,2,2015,,73661807,9283891,12043926,,,1747657,6169324,,,1273373,,101441495,962890,7725109,3175067,26816798,4550042,2309982,,36047237,1479085,1479085,,,,207,,0.0,438165.0,,,10417219,,2125792,68391340,48131306,171936830,76743870,,,,5447206,2747750,2747750,,213997,10954134,2015年06月30日,12043926,6193734,,1192825.0,36051671,34116939,0,171292828,196000033,44136,,,10577561.0,,,66532716,11392299,-8966628.0,249133630.0,213081959.0,,9407341,,,,,,249133630.0,,0.0,281931,702883,1299821,2346046,0.0,31189.0,,27762109,,,34568152,,1934732,41789131,53133597,0.0,0.0,0
