date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅資產,長期應收款,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,444770,1889949,81550,-489803,590427,136543,103617,199876,607845,27147,148064,615,147449,188784,1390303,447376,4510,38170,242521,3,,,237590,205482,1732,264322,1000,184274.0,168871,3722549,2013年03月31日,-489803,,,3530237,3432622,86,2317455,1863204,,0.0,,,505263.0,,970.0,876320,3722549,,251943,,2506239.0,3,,6036476.0,52172,853346,853346,97615,188784,4173272,597447,51411,135928,0,135928.0
2013-08-09,2,2013,432621,1800448,79870,-1009940,644223,145285,90954,352562,588562,27944,224181,596,223585,189912,881047,423821,4494,38170,221367,3,,,139857,199788,997,224439,2415,185418.0,217533,3722549,2013年06月30日,-1009940,,,3159941,3065171,86,2175985,1849046,,0.0,,,591004.0,,837.0,849699,3722549,,251797,,2365897.0,3,,5525838.0,53671,367304,367304,94770,189912,3676792,493849,51752,127997,0,127997.0
2013-11-12,3,2013,420471,1768646,25962,-1169293,564046,165869,115097,297003,565805,27473,229872,894,228978,189422,851434,415655,4480,38170,206684,3,,,186312,194101,997,294631,1270,184942.0,200547,3722549,2013年09月30日,-1169293,,,2943917,2850259,86,2189781,1859487,,0.0,,,622111.0,,855.0,824900,3722549,,251797,,2379203.0,3,,5323120.0,52998,362039,362039,93658,189422,3463633,388967,35570,117861,0,117861.0
2014-03-26,4,2013,408322,1708939,25962,-1441334,533167,179891,11007,292457,541900,27990,230731,936,229795,160035,1042263,712848,4455,38137,156797,3,,,180074,188507,997,249209,1062,155580.0,213277,3722549,2013年12月31日,-1441334,,,2665200,2573672,86,2141568,1394221,,0.0,,,567953.0,261.0,834.0,797676,3722549,,252262,,2301603.0,3,,4966803.0,48974,255441,255441,91528,160035,3572582,176628,35837,105588,0,105588.0
2014-05-13,1,2014,406023,1629341,23882,-1391376,316276,147951,26338,181109,528496,28113,142178,1798,140380,157260,1022945,687549,4441,38137,192007,3,,0.0,205649,187456,997,289784,2578,152819.0,235697,3722549,2014年03月31日,-1391376,,,2601112,2512282,86,2118678,1606739,,0.0,,778639.0,,261.0,663.0,796978,3722549,,250890,,2275938.0,3,,4877050.0,42170,261141,261141,88830,157260,3270311,174552,36118,94360,0,94360.0
2014-08-12,2,2014,383171,1558725,23882,-1506921,227700,150744,15892,127562,494300,28956,159880,1517,158363,154786,991100,660612,4427,38137,172450,3,,0.0,212527,186326,997,303749,286,150359.0,243920,3722549,2014年06月30日,-1506921,,,2429660,2343190,86,2031548,1528908,,0.0,,682043.0,,0.0,389.0,740889,3722549,,245765,,2186334.0,3,,4615994.0,41759,255956,255956,86470,154786,3087086,194219,36395,82173,0,82173.0
2014-11-11,3,2014,374397,1478204,23882,-1717462,213543,147616,13669,120349,475124,28568,160617,597,160020,152316,989722,654241,4418,38094,125346,3,,0.0,173832,182136,997,250163,579,147898.0,235873,3722549,2014年09月30日,-1717462,,,2208036,2125436,86,1942479,1316940,,0.0,,549359.0,,0.0,413.0,721181,3722549,,241593,,2094795.0,3,,4302831.0,44667,260712,260712,82600,152316,2985891,216794,36675,72159,0,
2015-03-20,4,2014,372295,1390073,235841,-1842613,75253,231872,11259,30432,461883,28676,165323,1613,163710,145217,990511,644291,4403,38009,164327,3,,0.0,170462,181089,997,186510,1406,140814.0,0,3722549,2014年12月31日,-1842613,,,1990633,1910368,86,1933731,1338810,,0.0,,606440.0,,0.0,434.0,716112,3722549,,171316,,2078948.0,3,,4069581.0,39093,271253,271253,80265,145217,2730771,203111,36958,60912,0,60912.0
2015-04-30,1,2015,327174,1175462,235841,-2299209,61669,218074,4189,17305,414062,25416,71291,2531,68760,139859,832070,622773,4402,37964,148481,3,,0.0,142481,160146,997,256815,1990,,0,3722549,2015年03月31日,-2299209,0.0,234.0,1517836,1440645,86,1733471,1036248,135457.0,,0.0,,349903.0,,,626395,3722549,3391166.0,171316,1873330.0,,3,3391166.0,,49876,134127,134127,77191,139859,2354918,203345,37206,61472,0,61472.0
2015-08-06,2,2015,322969,1061064,235841,-2691086,53475,228555,4282,9387,395609,25706,69489,703,68786,137265,501320,293656,4404,37964,112223,3,,0.0,169842,158149,997,266945,1264,,0,3722549,2015年06月30日,-2691086,0.0,155.0,1116405,1040850,86,1610921,968723,132861.0,,0.0,,300616.0,,,616322,3722549,2864591.0,41447,1748186.0,,3,2864591.0,,44168,132242,132242,75555,137265,1895868,213749,37458,46934,0,46934.0
