date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付員工紅利,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-09,1,2013,353646,,1687384,86192,-5435,,297958,165044,225298,222831,2467,20000,52961,29122,,7740,9122.0,520377,,,,84505,235067,402325,,,,1687,686469,0.0,27952.0,1340119,2013年03月31日,1347113,,3591691,3591691,0,339878,1118303,4194328,,139645,393,,2762184.0,96761.0,,1340119,,,,,1178627.0,569623,,4770318.0,7363,53577,,17269,17269,,60324,575990,132914,0,132914.0
2013-08-08,2,2013,347680,,1706230,500667,-5027,,412909,235202,226317,224876,1441,20000,138913,29033,,25339,9033.0,539358,,,,86255,234049,561912,,,402036.0,12376,719446,0.0,27693.0,1340119,2013年06月30日,1294777,,3208909,3208909,0,401115,1737522,4377892,,279301,10338,,2892771.0,27985.0,,1340119,,,,,1883928.0,167587,,5092837.0,7493,58931,,85881,85881,,146406,714945,177707,0,177707.0
2013-11-07,3,2013,340309,,1742909,20450,-6885,,456404,231310,293603,292336,1267,40000,113421,50769,,18116,10769.0,742607,0.0,,0.0,20450,181521,887200,0.0,0.0,,0,1168466,0.0,27438.0,1340119,2013年09月30日,1331456,,3243730,3243730,0,401115,1589695,4220654,,269973,10338,,2015978.0,44120.0,0.0,1340119,,0.0,0.0,,1711050.0,167587,,4954780.0,7934,73075,0.0,67867,67867,0.0,121355,734126,225094,0,225094.0
2014-02-13,4,2013,332064,,1885882,42097,-6363,,558503,248819,237560,235077,2483,20000,113193,30753,,17646,10753.0,689411,,,,37188,175236,174595,,,,4909,787583,0.0,27140.0,1340119,2013年12月31日,1474429,,3387225,3387225,0,401115,1024264,3850634,,241532,10338,,2136080.0,73833.0,,1340119,,,,,1145552.0,167587,,4532777.0,8095,77794,,68407,68407,,121288,682143,309684,0,309684.0
2014-05-09,1,2014,339058,,2024316,52606,-2909,,512026,190596,230573,228570,2003,20000,87355,28882,,17905,8882.0,623900,,0.0,,50348,158973,578287,,,,2258,956481,,27171.0,1340119,2014年03月31日,1612863,,3529113,3529113,0,401115,1374954,4368130,,210793,10338,2557176.0,,73062.0,,1340119,,,,,1470646.0,167587,,4999759.0,8337,52896,,42279,42279,,95692,631629,321430,0,321430.0
2014-08-08,2,2014,327106,,1874726,469320,-5636,,665535,211671,245696,237388,8308,20000,74846,28982,,17548,8982.0,654314,,0.0,,64029,184465,260203,,,402036.0,3255,597362,43000.0,27216.0,1340119,2014年06月30日,1438328,,3239062,3239062,0,430035,1604919,4335382,,183669,6363,2795010.0,,25396.0,,1340119,,,,,1688357.0,29853,,4927419.0,8592,52280,,30082,30082,,83438,592037,453864,0,453864.0
2014-11-07,3,2014,313401,,1968064,43295,-4477,,722402,206381,292938,277542,15396,20000,46266,34102,,17875,14102.0,634608,,0.0,,41386,192129,530626,,,,1909,495645,32.0,27280.0,1340119,2014年09月30日,1531666,,3333559,3333559,0,430035,1491908,4331502,,151219,6363,2908279.0,,3456.0,,1340119,,,,,1547273.0,29853,,4880832.0,9099,50608,,1111,1111,,55365,549330,516021,0,516021.0
2015-02-12,4,2014,338318,,2063989,53552,-352,-352.0,784016,290428,176423,175511,912,20000,80060,33954,13954.0,18683,,709046,,0.0,,52331,292714,175195,,,,1221,529253,3304.0,23346.0,1340119,2014年12月31日,1627591,,3433609,3433609,0,430035,1408446,4270882,,230328,6363,2852856.0,,5493.0,,1340119,,97476.0,,,1497841.0,29853,,4931450.0,9335,57968,,38031,38031,,89395,660568,493588,0,
2015-05-08,1,2015,334676,,2175129,72092,-2469,,733764,261763,197244,195383,1861,20000,79230,34122,,18418,14122.0,842299,,0.0,,65582,312398,578525,,,,6510,547476,33453.0,,1340119,2015年03月31日,1738731,20203.0,3542632,3542632,0,430035,1814458,4828459,23190.0,194425,6363,,3207987.0,,,1340119,5446163.0,97476.0,,1903531.0,,29853,5446163.0,,9843,54481,,37622,37622,,89073,617704,472001,0,472001.0
2015-08-07,2,2015,345081,,1862172,495183,-4688,,734704,322141,207910,206718,1192,20000,80538,33000,,3086,13000.0,962418,,,,76087,296332,665935,,,402036.0,17060,703861,15105.0,,1340119,2015年06月30日,1387941,21026.0,3227456,3227456,0,473879,2213180,4890683,22998.0,222105,352,,3001389.0,,,1340119,5531472.0,0.0,,2304016.0,,29853,5531472.0,,10298,40603,,54454,54454,,90836,640789,412563,0,412563.0
