date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,672750,1509005,3391,22282,1275,153598,10771,3391,40145,2450,,79237,11993,,,,1332101,,363187,132092,24996,513319,82269,270604,,1599749,2013年03月31日,750417,,3169549,3135929,0,662835,815897,3361891,,1567,95753,,987665.0,96879.0,5000,1599749,,,904233.0,23784,23630,154,,4073782.0,0.0,17844,9099,24306,33620,88336,711891,122586,,0
2013-08-01,2,2013,646578,1244090,-787,18104,1275,644188,33675,-787,58388,2450,,79065,10841,,,,2412089,,356988,52436,214965,586982,62161,270502,,1599749,2013年06月30日,496821,,2900658,2866836,0,707193,1436509,3742477,,1726,40076,,199522.0,73469.0,36075,1599749,,,1523635.0,23784,23630,154,,4424293.0,0.0,15988,8061,21396,33822,87126,681816,141004,,0
2013-10-31,3,2013,619741,1348003,-1695,17196,1275,201968,13938,-1695,47060,2450,,78902,19179,0.0,750.0,19179.0,2196663,,266525,31504,0,592943,88912,226361,78152.0,1599749,2013年09月30日,600734,,3005176,2969841,0,707193,1141983,3566889,,2031,40076,,281040.0,48149.0,540909,1599749,,,1226431.0,23784,23630,154,,4231607.0,5868.0,0,5546,22492,35335,84448,664718,147386,,0
2014-03-18,4,2013,595736,1531048,-5146,13745,1275,289266,18154,-5146,31106,2450,,109271,12057,0.0,800.0,12057.0,1102850,,350861,30162,0,649819,98992,202220,108471.0,1599749,2013年12月31日,783779,,3186880,3149435,0,707193,908250,3572009,,2471,40076,,1345484.0,85622.0,121233,1599749,,,1025069.0,23784,23630,154,,4211949.0,0.0,14841,7548,28401,37445,116819,639940,123454,,0
2014-04-29,1,2014,569205,1820114,-6237,12654,1275,203814,8198,-6237,72518,1950,,109114,11441,,750.0,11441.0,1872187,0.0,254905,34011,9999,708216,85563,210448,108364.0,1599749,2014年03月31日,1072845,,3476445,3437410,0,707193,726122,3706899,,2160,40076,661951.0,,145733.0,5142,1599749,,,841992.0,23784,23630,154,,4318437.0,,10674,6756,27457,39035,115870,611538,135058,,0
2014-07-29,2,2014,553866,1359174,-1937,16954,1275,858992,3514,-1937,31180,1950,,98931,20670,,750.0,20670.0,2590711,0.0,307610,52884,259943,815624,75696,133589,98181.0,1599749,2014年06月30日,576148,,3014945,2980770,0,777880,1618080,4128985,,1853,5146,337366.0,,101734.0,1138,1599749,,,1723654.0,23784,23630,154,,4738599.0,4599.0,0,6643,31950,34175,105574,609614,153581,,0
2014-10-28,3,2014,556516,1508401,-2967,15924,1275,252677,7550,-2967,20819,1950,,98771,26227,,750.0,26227.0,1846732,0.0,264657,78660,35992,812093,80224,164624,98021.0,1599749,2014年09月30日,725375,,3165303,3128967,0,777880,735521,3386697,,1554,5146,255524.0,,66716.0,16000,1599749,,,843998.0,23784,23630,154,,4009301.0,0.0,18021,9706,37032,36336,108477,622604,184055,,0
2015-03-19,4,2014,555047,1914220,-222,17109,1275,328281,15847,-222,40586,1950,,94299,19546,,1150.0,19546.0,2064385,0.0,308043,40589,10997,660438,161859,188425,93149.0,1599749,2014年12月31日,1131194,,3576829,3537531,0,777880,1214893,4288810,,1277,5146,981164.0,,140491.0,345906,1599749,,,1319681.0,23784,23630,154,,4896510.0,,24124,10489,30555,39298,104788,607700,173509,,0
2015-05-07,1,2015,540742,2156173,0,0,1275,203404,10643,0,27471,1950,,91422,18294,,970.0,18294.0,2120874,0.0,288038,90849,19997,690990,77844,133771,,1599749,2015年03月31日,1373147,192372.0,3821011,3779706,0,777880,904354,4233042,90452.0,1271,5146,,1006790.0,,79820,1599749,4823563.0,1002552.0,,23784,23630,154,4823563.0,,2403.0,0,6776,28939,41305,98198,590521,190180,,0
2015-07-28,2,2015,544174,1533011,0,0,1275,1039881,4313,0,67420,1950,,91261,12387,,970.0,12387.0,1649573,0.0,288908,37441,0,592835,73140,171541,,1599749,2015年06月30日,656165,98106.0,3193986,3156544,0,876624,1556893,4263000,90291.0,1297,222,,1570282.0,,25137,1599749,4849575.0,1655589.0,,23784,23630,154,4849575.0,,0.0,3572,7435,27442,37442,98696,586575,195794,,0
2015-10-29,3,2015,563926,1807379,0,0,1275,275388,7204,0,19414,1950,,91128,16468,,970.0,16468.0,1179964,0.0,307847,36776,0,690573,75810,145046,,1599749,2015年09月30日,930533,56809.0,3470592,3430912,0,876624,867884,3825957,90158.0,1027,222,,1503910.0,,171650,1599749,4438799.0,968207.0,,23784,23630,154,4438799.0,,,14365,9195,30146,39680,100323,612842,207135,,0
2016-03-22,4,2015,575275,2040321,0,0,1275,317962,18966,0,113404,1950,1950.0,59025,16420,94.0,940.0,16326.0,1895218,0.0,393274,35453,0,612157,90161,183452,,1599749,2015年12月31日,1163475,93847.0,3706038,3663854,0,876624,1081615,4237990,58085.0,1626,222,,1232661.0,,127675,1599749,4856678.0,1150640.0,,23784,23630,154,4856678.0,,,3401,10000,24092,42184,69025,618688,200024,113404.0,0
2016-04-29,1,2016,565062,2214268,0,0,1275,205912,9522,0,91324,1950,1950.0,58662,9123,90.0,790.0,9033.0,1756905,0.0,335047,38588,34993,612397,77359,184912,,1599749,2016年03月31日,1337422,134882.0,3882780,3837801,0,876624,960458,4305558,57872.0,1955,222,,1452900.0,,91689,1599749,4911430.0,1028650.0,,23784,23630,154,4911430.0,,28023.0,0,9530,28457,44979,68192,605872,209613,91324.0,0
2016-07-28,2,2016,557530,1684491,0,0,1275,972549,3792,0,52729,1950,1950.0,58610,16931,215.0,899.0,16716.0,1739667,0.0,338682,44137,15999,657454,76021,154351,,1599749,2016年06月30日,716657,96980.0,3349277,3308024,0,967834,1698050,4513722,57711.0,1677,0,,1652439.0,,175364,1599749,5115915.0,1766638.0,,23784,23630,154,5115915.0,,1610.0,0,9978,24780,41253,68588,602193,228048,52729.0,0
2016-10-27,3,2016,548027,1874486,0,0,1275,234290,33875,0,65256,0,0.0,58874,22852,203.0,1373.0,22649.0,2197510,0.0,361670,62586,47995,690810,74688,167492,,1599749,2016年09月30日,906652,44195.0,3542060,3498019,0,967834,1016936,4029005,57501.0,1675,0,,615461.0,,197029,1599749,4627606.0,1085546.0,,23784,23630,154,4627606.0,,3915.0,0,9736,24772,44041,68610,598601,249169,65256.0,0
