date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,11217651,190194,1697524,-3835,43322,352345,0.0,90576,29313.0,33437,-500.0,2986252,353287,758883,1077900,37772,6076820,,42437,,,857007,1091245,,689127,651843,2358335,472142,6083,539827,3958581,2013年03月31日,1093301,,10105669,7180670,0,404170,9704261,13228805,190423,,0.0,200053,,3123266.0,106405.0,3785309,3958581,19700.0,,,16458292.0,1491128,43701.0,719,,13294,0,1312569,,120845,,26563961.0,22035,133975,267114,113078,4871027,2924999,6754031,13335156,505332,0
2013-08-13,2,2013,11111375,190194,1376986,-5682,40720,726857,0.0,68110,0.0,105585,4009.0,2969545,401151,746172,1134160,107258,6353433,,0,395705.0,,749807,929538,,230000,536990,2595793,545370,6081,566670,3961228,2013年06月30日,733772,,10175824,7353193,0,443161,9625874,13832487,186007,,0.0,200053,,3450027.0,55540.0,4162642,4356933,0.0,,,16964380.0,1513689,64688.0,719,,13294,0,1314699,,120289,,27140204.0,14762,87374,267514,113230,5575013,2822631,7338506,13307717,290509,0
2013-11-11,3,2013,12281746,187044,1522458,-7422,36406,821704,0.0,103009,,47143,1001.0,3282899,305862,738890,771273,53564,6747344,,0,,,142438,984663,,180000,576985,2548015,561830,6014,584308,4440549,2013年09月30日,879244,,10537682,7554660,0,443161,10124833,14101169,194126,,0.0,200053,,3211266.0,64176.0,4213551,4440549,0.0,,,17700231.0,1544510,23073.0,719,,13294,0,1399402,,108022,,28237913.0,855,103755,266751,112233,6427319,2983022,7575398,14136744,483682,0
2014-03-28,4,2013,13401180,187044,1598151,-5765,39840,572349,,118777,,125422,,3933154,412334,805450,1105862,131187,6834218,,26001,,,683258,993663,,480000,615157,2799149,591561,2417,541177,4506825,2013年12月31日,954937,,11193458,7913525,0,443161,10850373,14636224,196094,,255436.0,200053,,2903826.0,98497.0,4139254,4506825,8600.0,,,18965592.0,1683127,0.0,719,,13294,111310,1459468,,98336,,30159050.0,9699,37098,272829,89052,6353682,3279933,8115219,15522826,617984,0
2014-05-12,1,2014,13844039,187044,1651806,-9361,35260,488776,,85630,996.0,111734,,2963423,676362,723842,829926,121095,7156933,,0,,0.0,1003442,875555,,530000,650465,2748350,534836,924674,551570,4651493,2014年03月31日,1008592,,12411448,8652716,0,443161,9702677,15739199,200256,,44051.0,200053,3745850.0,,56196.0,4138163,4651493,0.0,,,19951168.0,2237683,,719,0.0,13294,521993,1632043,,69634,,32362616.0,99,33594,272513,85908,8248694,3758732,10248491,16623417,677337,0
2014-08-13,2,2014,12974755,187044,957390,-9426,32947,1038849,,127542,,25463,,3326566,885318,710931,826672,34889,8736575,,244889,462901.0,0.0,907764,892161,,790000,668641,2871558,504749,927187,583859,4664173,2014年06月30日,240085,,11940070,7948480,0,517252,11165310,17624774,196186,,144299.0,200053,3282861.0,,59737.0,4261501,5127074,126347.0,,,21498874.0,1838553,,719,0.0,13294,109907,1647579,,67054,,33438944.0,1508,36872,271477,118467,8443392,3991590,10333564,15814170,757164,0
2014-11-13,3,2014,13825960,179714,1043818,-10556,32600,598648,,87480,,139025,0.0,4558814,965244,709862,878542,149581,8529443,,2735,,0.0,935159,1115628,,590000,627017,2690234,818165,926134,613238,5127246,2014年09月30日,326513,,12177749,8126321,0,517252,11636611,17538619,199637,,128280.0,200053,3375459.0,,37742.0,4107618,5127246,0.0,,,22102060.0,1816232,,719,0.0,13294,0,1735186,0.0,67033,,34279809.0,1144,37060,269520,117965,8550908,4051428,10465449,16741190,871919,0
2015-03-26,4,2014,14370567,174108,1000511,-13487,30516,629613,,241800,,289574,0.0,5055741,874601,700095,982105,303061,8677871,,2803,,0.0,1106481,1100671,,760000,672262,2786702,986983,925090,559223,5127246,2014年12月31日,283206,,12502279,8233563,0,517252,13100830,18249806,207189,,178014.0,200053,3523060.0,,35849.0,4845842,5127246,0.0,,,23095861.0,1816232,,719,0.0,13294,0,1735186,0.0,67033,,35598140.0,852,23443,286211,130052,7902244,4268716,9995031,17348334,924013,0
2015-05-14,1,2015,14453856,174108,871650,-14715,96360,621658,,104260,,243787,0.0,5917395,970669,690611,927552,258502,8519166,298.0,127990,,0.0,390706,670268,36255.0,790000,499703,2458980,764705,923959,568221,5127246,2015年03月31日,154345,55167.0,12352942,8058617,20000,517252,13674597,17891414,204791,126177.0,,200053,,3895923.0,,4953337,5127246,130000.0,35276977.0,22924035.0,,1816232,,719,0.0,13294,0,1735186,0.0,67033,35276977.0,,814,12063,280283,133076,7887838,4294325,9249438,17385563,815121,0
2015-08-13,2,2015,14470011,174108,1096538,-16710,81736,1023471,,114944,,176749,0.0,6617728,978242,675309,935680,193459,9187986,,0,0.0,0.0,1130846,706234,,740000,650840,2585426,753029,922812,514745,5102746,2015年06月30日,364747,57479.0,12253326,8205769,0,531738,14723027,18388107,201693,0.0,,200053,,3832534.0,,4877218,5102746,0.0,35748913.0,23495587.0,,1829736,,719,0.0,9448,25641,1726895,0.0,67033,35748913.0,,50057,11723,279868,141757,6686537,4047557,8772560,17360806,842487,0
2015-11-12,3,2015,17118265,174108,1140885,-41087,247406,752382,,151565,,289851,0.0,5443034,1067297,672213,854658,330938,8481551,101981.0,0,,0.0,1125527,861388,,960000,603412,2608430,671148,101964,550656,5102746,2015年09月30日,409094,59301.0,12510999,8480681,8095000,531738,13987909,17894312,289810,139737.0,,200053,,3617811.0,,5269300,5102746,0.0,37159702.0,24648703.0,,2049180,,719,0.0,9448,0,1726895,245085.0,67033,37159702.0,,39092,11982,286841,175929,8576213,4030318,10660794,19265390,897385,0
2016-03-29,4,2015,17043595,174108,1143653,-42792,236849,621921,,96414,,143226,0.0,7754151,1121601,686136,831729,186018,8121549,0.0,0,,0.0,1013254,783975,,500000,634573,2535773,507208,535988,523815,4512842,2015年12月31日,248149,86893.0,11638581,7659359,0,531738,16035255,16708845,286316,0.0,,363766,,3142110.0,,5592458,4512842,0.0,36270547.0,24631966.0,,1859638,,719,18545.0,16125,0,1697858,59358.0,67033,36270547.0,,61284,11930,328632,166151,6568689,3979222,8596711,19561702,935411,0
2016-05-12,1,2016,16822635,174108,1209855,-22587,302516,638303,22482.0,100763,,128821,0.0,6644253,1066024,679802,851382,151408,8751883,0.0,0,,0.0,1025673,828395,28712.0,700000,524965,2323754,581578,538293,531669,4512842,2016年03月31日,314351,109196.0,11672334,7726339,0,531738,16608775,17471251,288778,99372.0,,363766,,3289591.0,,7054063,4512842,0.0,36851804.0,25179470.0,,1874821,,719,21429.0,16125,0,1697858,71657.0,67033,36851804.0,,58406,12137,320551,173688,6544669,3945995,8570695,19380553,943633,0
2016-08-11,2,2016,16281042,174108,1018279,-24875,553180,902470,,105621,,37333,0.0,6176530,935375,669166,808570,62208,9253760,,0,,0.0,1033274,824736,69200.0,705000,629376,2584317,582398,538115,454618,4512842,2016年06月30日,86450,75294.0,11066461,7387742,0,568063,17231469,18303310,284523,0.0,,363766,,3106562.0,,7797966,4512842,,37009611.0,25943150.0,,1819288,,719,0.0,16125,100733,1634678,0.0,67033,37009611.0,,50897,98907,321323,165325,6687918,3678719,8711681,18706301,1083190,0
2016-11-10,3,2016,15737518,174108,975929,-45505,735392,652600,,190518,,-111636,0.0,4207980,897800,662018,811152,-66131,9140803,0.0,0,,0.0,1040874,788511,66689.0,745000,534467,2398218,646345,537915,450779,4512842,2016年09月30日,44100,56661.0,10701689,7205907,0,568063,15277009,18132143,275154,0.0,,363766,,3173250.0,,8166149,4512842,,36287663.0,25585974.0,,1828772,,719,0.0,16125,110217,1634678,0.0,67033,36287663.0,,58952,48917,312158,168894,8293915,3495782,10308965,18155520,900900,0
