date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,人壽保險現金解約價值,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,商譽,土地淨額,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,工程存出保證金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,28794,,0.0,1110249,2659,2659.0,782,0,,258,,3211,3211,,0,0.0,2717,3896,,11025.0,2717,3896,1955247,1955247,,0.0,,,2530,,11580.0,11580,152.0,152,,0.0,14233.0,188511,0.0,600000,2013年03月31日,639178,,,2054232,2054232,0,224106,308301,2123632,417,246965,129203,71274.0,154.0,220000,600000,,,311018.0,343983,184456.0,0.0,159527.0,159527.0,,2365250.0,206.0,34883.0,3330.0,20000,0,0.0,2717,241618,0
2013-08-12,2,2013,,29764,,0.0,1200534,3916,,740,0,,24543,,70198,46370,,23828,0.0,2717,2853,,11025.0,2717,2853,3679811,3679811,,0.0,,,13959,,,25951,159.0,159,,0.0,15163.0,188117,0.0,600000,2013年06月30日,859478,,,2045735,2045735,0,224106,1755563,3962900,381,116950,184004,0.0,144.0,1687194,600000,,,2158280.0,245201,,,,,,4204015.0,516.0,27844.0,3060.0,20000,400000,,402717,241115,0
2013-11-08,3,2013,,29045,,0.0,1195530,4673,,754,0,,42115,,78867,38995,,39872,0.0,2725,2835,,11025.0,2725,2835,4089707,4089707,,0.0,,,33521,,,13414,154.0,154,,0.0,14736.0,187725,0.0,600000,2013年09月30日,854474,,,2040731,2040731,0,224106,2678167,4481149,869,116950,282889,0.0,144.0,2584444,600000,,,2680892.0,245201,,,,,,4721623.0,494.0,28634.0,2790.0,20000,0,,2725,240474,0
2014-03-19,4,2013,,28338,,0.0,1201113,8382,8382.0,11680,0,,58797,,104428,48811,,55617,0.0,3341,21150,,11025.0,3341,21150,4060731,4060731,,0.0,,,112470,,,20337,2430.0,2430,,0.0,14309.0,316480,0.0,600000,2013年12月31日,860057,,,2046314,2046314,0,224106,2764520,4426943,1264,116950,146680,0.0,167.0,2564534,600000,,,2767861.0,245201,,,,,,4814175.0,484.0,100827.0,2520.0,20000,0,,3341,387232,0
2015-08-06,2,2015,,26575,,,1313039,113676,,3,0,,17677,,89326,72946,625.0,8204,,2655,5635,13370.0,,2655,5635,5540366,5540366,8176.0,,90000.0,0.0,120123,,,32560,,127,0.0,,,315832,,600000,2015年06月30日,788167,10897.0,70.0,2248240,2248240,0,256214,3440624,5928618,13995,268658,298726,,,3145691,690000,6310655.0,4062415.0,,245201,,,,,6310655.0,,,,,20000,619136,,621791,382037,0
2015-11-05,3,2015,613313.0,25761,41.0,,1299184,102084,,67,0,0.0,639370,26057.0,108354,85274,483.0,14825,41.0,2655,6044,13370.0,,2655,6003,5708580,5708580,8255.0,,,0.0,132190,,,18456,,183,0.0,,,315242,,690000,2015年09月30日,774312,10897.0,70.0,2234385,2234385,0,256214,3890734,6108646,13853,268658,288392,,,2987737,690000,6489546.0,4255161.0,,245201,,,,,6489546.0,,,3000.0,,20000,361772,,364427,380900,0
2016-03-24,4,2015,908966.0,24947,165.0,,1304149,12105,,64,0,0.0,940070,31104.0,127400,86629,341.0,30523,165.0,2660,4020,13370.0,,2660,3855,5758966,5758966,10248.0,,,0.0,186389,,,31219,,2724,0.0,,,314652,,690000,2015年12月31日,779277,10897.0,142.0,2239350,2239350,0,256214,4038923,6167363,13711,268658,275058,,,2858243,690000,6544693.0,4305343.0,,245201,,,,,6544693.0,,,3009.0,,20000,263760,,266420,377330,0
2016-05-09,1,2016,805896.0,24293,288.0,,1281831,12531,,73,0,0.0,853592,47696.0,136146,90649,211.0,35183,288.0,2660,4452,13370.0,,2660,4164,5756920,5756920,10314.0,,,0.0,139335,124306.0,,47025,,32168,,,,314062,,690000,2016年03月31日,756959,10897.0,142.0,2217032,2217032,0,256214,4195784,6302848,13581,268658,374396,,,3008098,690000,6679236.0,4462204.0,,245201,,,,,6679236.0,,,3003.0,,20000,263760,,266420,376388,0
2016-08-04,2,2016,945836.0,23830,412.0,,1251640,19656,,32204,0,0.0,1008386,62550.0,150270,80274,104.0,67550,412.0,2610,4577,13370.0,,2610,4165,5556097,5556097,2446.0,,69000.0,0.0,159777,608101.0,,39455,,0,,,,313471,,690000,2016年06月30日,726768,0.0,64.0,2255841,2255841,0,256214,3569260,6142402,13474,268658,397842,,,1733885,759000,6517754.0,4261913.0,,245201,,,,,6517754.0,,,5925.0,,20000,690043,,692653,375352,0
2016-11-07,3,2016,867718.0,23530,564.0,,1270556,32075,,35,0,0.0,940758,73040.0,149458,87088,45.0,59270,564.0,47934,3345,13370.0,,47934,2781,5420584,5420584,3100.0,,,0.0,109312,479157.0,,49449,,0,,,,312881,,759000,2016年09月30日,745684,0.0,64.0,2274757,2274757,0,256214,3199794,5969257,13415,268658,393315,,,1589043,759000,6342428.0,4067671.0,,245201,,,,,6342428.0,,,5801.0,,20000,819943,,867877,373171,0
