date,season,year,不動產、廠房及設備合計,保留盈餘合計,債券換股權利證書,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,123332,359379,0.0,28419,-26477,597,,72170,8775,59.0,3093,233193,0.0,0.0,,85819,136719,450888,2013年03月31日,302934,,1505182,1505182,0,48391,123271,1498525,44321,8054,0.0,0.0,,1043677.0,4983.0,450888,,3453,47317,,177679.0,721392,,1682861.0,7091.0,7908,0,54408,184336,12766,5623,,,0.0,0
2013-08-08,2,2013,117870,278935,0.0,97337,-12102,1061,,70872,6907,47.0,3318,217869,0.0,0.0,,54015,154373,451440,2013年06月30日,220698,,1442220,1442220,0,50183,161406,1469284,55456,8054,0.0,0.0,,1012852.0,5383.0,451440,,3610,47595,,216290.0,723947,,1658510.0,7289.0,8993,0,54884,189226,13318,3542,,,0.0,0
2013-11-08,3,2013,107067,302820,0.0,36696,-33561,461,,17385,4978,33.0,3271,164990,0.0,0.0,,63412,212353,451584,2013年09月30日,244583,,1446462,1446462,0,50183,110084,1369485,59678,8054,0.0,0.0,,958809.0,5540.0,451584,,3975,46913,,159102.0,725619,,1605564.0,2105.0,64356,0,49018,236079,15948,1674,,,0.0,0
2014-03-28,4,2013,97331,311787,,25575,-21385,6035,1158.0,17978,4609,28.0,3454,127087,0.0,,,43907,172661,451584,2013年12月31日,253550,,1470437,1470437,0,50183,86479,1390468,64313,8054,,,,1063400.0,7016.0,451601,,3946,50717,,137196.0,728434,,1607633.0,0.0,50912,0,50717,217165,9342,1127,4877.0,4877.0,17.0,1665
2014-05-08,1,2014,87969,326948,,31049,9749,5300,355.0,18112,3374,20.0,3332,132483,0.0,,0.0,78862,203112,451601,2014年03月31日,268711,,1519605,1519605,0,50183,127854,1491895,68844,8054,,,1129177.0,,9045.0,451601,,3598,52381,,180235.0,731307,,1699840.0,0.0,47758,0,52381,207945,9011,22,4945.0,4945.0,0.0,0
2014-08-12,2,2014,75937,287722,,90681,-20097,5263,411.0,16303,3953,12.0,3268,133454,0.0,,0.0,63677,217466,451626,2014年06月30日,215951,,1453294,1453294,0,50386,170139,1488981,70937,21385,,,1110782.0,,6954.0,451626,,3564,51863,,222002.0,734043,,1675296.0,0.0,35488,0,51863,186315,10976,673,4852.0,4852.0,0.0,0
2014-11-07,3,2014,68130,337682,,113006,7617,3637,424.0,66289,4416,7.0,3330,122751,0.0,,0.0,62865,173484,453059,2014年09月30日,265911,,1535997,1535997,0,50386,205029,1625376,74032,21385,0.0,,1251073.0,,22043.0,453059,,3478,41170,,250094.0,737639,,1786091.0,3895.0,14137,0,45065,160715,11779,1079,3213.0,3213.0,0.0,0
2015-03-19,4,2014,61708,367753,,66003,71266,10467,1960.0,21430,5432,0.0,2777,141459,0.0,,0.0,91912,248948,453214,2014年12月31日,295982,,1633660,1633660,0,50386,173098,1691649,74254,21385,,,1267680.0,,2478.0,453214,,2238,45157,,218255.0,741427,,1851915.0,,18872,0,45157,160266,12132,2655,8507.0,8507.0,0.0,0
2015-03-30,4,2015,40067,421124,,83510,116717,3855,3855.0,14711,3317,0.0,2583,185751,0.0,,0.0,60352,268224,453827,2015年12月31日,338111,4236.0,1747241,1747241,0,61628,155434,1792690,74151,21385,,,,1312932.0,,453827,1940187.0,3481,37512,192946.0,,755573,1940187.0,,,29962,0,37512,147497,11072,734,0.0,0.0,0.0,0
2015-05-15,1,2015,57858,378562,,67516,54170,7365,1473.0,15396,4922,0.0,3437,181989,0.0,,0.0,79882,151589,453214,2015年03月31日,306791,5378.0,1632138,1632138,0,50386,162763,1685210,70051,21385,,,,1326022.0,,453214,1840093.0,2622,45192,207955.0,,746192,1840093.0,,,22052,0,45192,154883,10214,1485,5892.0,5892.0,0.0,0
