date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地淨額,在建工程（營造業適用）合計,基金合計,存入保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收票據淨額,普通股股本,暫付款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累積盈虧,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,銀行借款,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付所得稅,預付款項合計,預付貨款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,0.0,0.0,645513,-18268,0.0,24084,77920,77920.0,7913,9356,0.0,1490,1490,1563,9210.0,0.0,1794,32938,8986.0,8986,0.0,0.0,9356.0,9356.0,645513.0,0.0,0.0,1794,139645,139645.0,480.0,85097,,155253.0,155253.0,90745.0,90745,0.0,0.0,2032.0,2032,0.0,191118,1094,1033342,1563.0,2013年03月31日,-145018,,,-6223.0,1304316,1304316,8849000,126750,179608,928933,,9210,,128959.0,,402649.0,0.0,0.0,7421.0,4055.0,0.0,402169.0,-138795.0,1033342,0.0,,0.0,0.0,,336655.0,364983,48627.0,132767.0,316356.0,183589.0,,1640971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24377,0.0,,0.0,0.0,5946,0.0,157047,712038,4055.0,27853.0,27853.0,18006.0,0.0,0
2013-08-13,2,2013,0.0,0.0,631377,32823,0.0,23203,78390,78390.0,7874,19270,0.0,4360,4360,1971,8143.0,0.0,1889,32934,8942.0,8942,0.0,0.0,19270.0,19270.0,631377.0,,0.0,1889,124360,124360.0,480.0,85097,,156805.0,156805.0,94969.0,94969,0.0,0.0,2270.0,2270,0.0,218893,322,1033342,1971.0,2013年06月30日,32823,,,0.0,1311415,1311415,8849000,0,181708,953358,,8143,,131132.0,,416351.0,0.0,0.0,1719.0,4078.0,0.0,415871.0,32823.0,1033342,0.0,,0.0,0.0,,340402.0,311077,48627.0,78861.0,262450.0,183589.0,,1651817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26005,0.0,0.0,0.0,0.0,6001,0.0,158694,698459,4078.0,25174.0,25174.0,17991.0,0.0,0
2013-11-11,3,2013,0.0,0.0,605912,40983,0.0,27165,74232,74232.0,18509,13010,0.0,5475,5475,1643,8387.0,0.0,1755,33760,9755.0,9755,0.0,0.0,13010.0,13010.0,605912.0,,0.0,1755,132750,132750.0,480.0,85097,,158373.0,158373.0,114841.0,114841,0.0,0.0,4254.0,4254,0.0,249373,1574,1033342,1643.0,2013年09月30日,40983,,,8160.0,1313315,1313315,8849000,0,200324,999000,,8387,,232534.0,,305275.0,0.0,0.0,1522.0,4046.0,0.0,304795.0,32823.0,1033342,0.0,,0.0,0.0,,360452.0,311077,0.0,127488.0,311077.0,183589.0,,1673767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26708,0.0,0.0,0.0,0.0,5859,0.0,160128,674767,4046.0,26131.0,26131.0,18146.0,0.0,0
2014-03-28,4,2013,,0.0,594323,53492,,30304,84638,,17165,30339,,4845,4845,1962,,,1784,34331,,11472,,,,,,,,1784,141919,,,85097,,,159956.0,,126862,,,,2771,,280883,51,1033342,,2013年12月31日,53492,,,,1343153,1343153,8849000,0,222258,1065245,,7228,,307669.0,,255099.0,,,3142.0,4091.0,0.0,,,1033342,,,,,,383998.0,311077,,,,,,1727151.0,,,,0.0,,,,26024,,,,,5947,,161740,661906,,26102.0,,16912.0,,0
2014-05-12,1,2014,,161555.0,576207,79305,,33786,96436,,23202,33663,,168677,7122,4493,,,2026,34821,,11984,,,,,,,,2026,146950,146950.0,,85097,0.0,,0.0,,119832,,,,1803,,255423,976,1033342,,2014年03月31日,79305,,,,1372290,1372290,8849000,0,391134,1126684,,5946,,309131.0,319495.0,,,,4386.0,2018.0,,,,1033342,,,,,,393160.0,311077,,,,,,1765450.0,,,,,,,,21792,,,,,5878,,2026,638766,,31210.0,,16959.0,,0
2014-08-11,2,2014,,3127.0,551826,70483,,34902,114287,,28201,21111,,12332,9205,1600,,,2070,34002,,11271,,,,,,,,2070,147854,147854.0,,85097,0.0,,0.0,,117251,,,,1825,,247899,1172,1167604,,2014年06月30日,69213,,,,1487793,1487793,8849000,1270,247966,1123775,,4924,,304088.0,326481.0,,,,2271.0,1981.0,,,,1167604,,,,,,250036.0,313692,,,,,,1737829.0,,,,,,,,23302,,,,,5726,,2070,614054,,29597.0,,17005.0,,0
2014-11-11,3,2014,,,541445,82511,,29737,88103,,14416,31906,,3931,3931,1972,,,2064,33173,,10295,,,,,,,,2064,174593,174593.0,,85097,0.0,,0.0,,141163,,,,3074,,286430,1379,1170064,,2014年09月30日,81241,,,,1513526,1513526,8849000,1270,237015,1151750,,3880,,310568.0,290526.0,,,,744.0,2032.0,,,,1170064,,,,,,239079.0,314142,,,,,,1752605.0,,,,,,,,22357,,,,,5826,,2064,600855,,40097.0,,17052.0,,0
2015-03-25,4,2014,,,536289,113237,,34136,102649,,15237,59414,,5979,5979,2551,,,2074,54169,,20902,,,,,,,,2074,205830,,,68967,0.0,,0.0,,166581,,,,3058,,333897,1513,1170064,,2014年12月31日,111967,,,,1587896,1587896,6837000,1270,282244,1259250,,3152,,205899.0,421690.0,,,,3977.0,2193.0,,,,1170064,,,,,,284318.0,314148,,,,,,1872214.0,,,,,,,,19354,,,,,6012,,2074,612964,,36304.0,,27255.0,,0
2015-05-12,1,2015,,0.0,516136,108756,,28295,123705,,23398,55368,,12951,12951,40799,,,2071,53757,,20595,,,,,,,,2071,205145,205145.0,,56675,0.0,,,,123657,,,,1629,,272431,2873,1170064,,2015年03月31日,107486,4348.0,2172.0,,1591669,1591669,5252000,1270,266290,1266693,27255.0,2785,224313.0,,,467267.0,,,,,,,,1170064,,1860030.0,,,268361.0,,314156,,,,,1860030.0,,,,,,,,,20659,,,,,5907,,2071,593337,,,,,,0
2015-08-11,2,2015,,0.0,493674,94062,,32119,136140,,19960,48628,,10696,10696,37680,,,2464,52702,,19669,,,,,,,,2464,182024,182024.0,,34846,0.0,,,,106212,,,,3549,,250887,4397,1170064,,2015年06月30日,87971,6060.0,2142.0,,1569705,1569705,2500000,6091,262657,1265441,27255.0,2322,275425.0,,,460807.0,,,,,,,,1170064,,1834826.0,,,265121.0,,291797,,,,,1834826.0,,,,,,,,,20687,,,,,5778,,2464,569385,,,,,,0
