date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應付費用,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付員工紅利,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應付董監事酬勞,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,26294,1563645,10.0,280093,158435,,68031.0,41,41.0,29006,2712,40787,5914.0,25,3791,25,3791,300912,300912.0,,,14355,78982,0.0,3037.0,,3656,72393,140299,17.0,24754,,61.0,1173882,2013年03月31日,249591,,1840479,1809694,0,30502,292987,1058805,,5914,,28000.0,6192.0,,,,524036.0,18256.0,5266,1173882,,,797939.0,355678,355678.0,355678.0,,2638418.0,5,0.0,1346,,503581,30785,504952,1579613,,0
2013-08-13,2,2013,38155,1570819,0.0,184832,266883,,70332.0,213,213.0,40939,2784,41301,5368.0,25,1419,25,1419,329895,329895.0,,,15685,70631,0.0,1525.0,117389.0,4054,59423,174647,19.0,28317,,4025.0,1173882,2013年06月30日,136597,,1744036,1714605,0,48106,438938,1084178,,5368,,25420.0,6192.0,,129.0,,484451.0,9924.0,49025,1173882,,,927965.0,355678,355678.0,355678.0,,2672001.0,11,128.0,907,,488095,29431,489027,1587823,,0
2013-11-12,3,2013,13250,1549308,0.0,228922,142661,,81107.0,144,144.0,16221,2971,40995,5102.0,27,1433,27,1433,383185,383185.0,,,6983,83119,0.0,661.0,0.0,2095,52476,225562,0.0,36385,,4010.0,1173882,2013年09月30日,180687,,1786144,1758626,0,48106,362279,1092379,,5102,,25420.0,6192.0,,129.0,,380689.0,3989.0,115628,1173882,,,872280.0,355678,355678.0,355678.0,,2658424.0,0,143.0,599,,509375,27518,510001,1566045,,0
2014-03-26,4,2013,45850,1584424,0.0,249633,123731,,75200.0,275,,48581,2731,16460,,408,2398,24,2398,332095,332095.0,,,6745,53961,0.0,637.0,,2024,39762,213992,33.0,20251,384.0,3748.0,1173882,2013年12月31日,201398,,1804523,1779468,0,48106,307638,1001819,,4713,,25420.0,9903.0,,129.0,,393568.0,9553.0,70000,1173882,,,802482.0,355678,355678.0,355678.0,,2607005.0,1175,0.0,1604,,492832,25055,494844,1605186,,0
2014-05-13,1,2014,44167,1716337,0.0,257653,103962,,67070.0,254,,48163,3996,22761,,408,2454,24,2454,311833,311833.0,,0.0,7465,69395,39876.0,357.0,,2240,27187,183391,,54823,384.0,3704.0,1173882,2014年03月31日,209418,,1856028,1788390,0,48106,466144,1113890,,8953,,26000.0,9903.0,,129.0,513163.0,,12957.0,191434,1173882,,,999213.0,356601,,,,2855241.0,0,1919.0,145,,532516,67638,533069,1741351,,0
2014-08-05,2,2014,40565,1798516,,240534,203315,,86486.0,92,92.0,58110,17545,28870,,406,20241,22,2449,301364,,,0.0,11342,62745,,1177.0,58694.0,3403,43390,250797,,54642,384.0,3778.0,1173882,2014年06月30日,182492,,1836065,1771109,0,58042,539506,1066187,,8327,,26000.0,9903.0,,0.0,404188.0,,15720.0,198439,1173882,,,1070967.0,356601,,,,2907032.0,0,326.0,0,80.0,531055,64956,531461,1840845,17792.0,0
2014-11-11,3,2014,133259,1888486,,332905,163401,,103502.0,331,331.0,143904,10645,31762,,408,11658,24,2518,313319,,,0.0,12918,93727,,716.0,0.0,3876,43105,287428,,69250,384.0,3729.0,1173882,2014年09月30日,274863,,1925591,1863719,0,58042,576388,1181380,,7581,,26000.0,16123.0,,0.0,453621.0,,21661.0,149511,1173882,,,1183366.0,356601,,,,3108957.0,3468,0.0,3031,,603539,61872,606978,1927577,9140.0,0
2015-03-24,4,2014,112250,2184116,,428346,198284,,101902.0,723,,123038,10788,26527,,900,11317,24,1522,359708,,,0.0,20234,91642,49848.0,949.0,,6077,70071,275477,3.0,75482,876.0,3626.0,1173882,2014年12月31日,370304,,2014767,1959552,0,58042,624909,1128817,,6861,,20000.0,17123.0,,0.0,371620.0,,42324.0,116624,1173882,,,1337093.0,356601,,,,3351860.0,2200,,2494,,708790,55215,712184,2223043,9795.0,0
2015-05-11,1,2015,216412,2195167,0.0,485314,197004,,97673.0,598,,226232,9820,28665,,900,18371,24,1521,471795,,,0.0,25434,135040,19980.0,56.0,,7637,66260,246366,,43671,,3535.0,1173882,2015年03月31日,427272,56942.0,2066846,2016395,0,58042,826247,1271108,876.0,6191,0.0,,,17123.0,0.0,,480611.0,,190507,1173882,3511495.0,1444649.0,,356601,,,3511495.0,,486,0.0,1328,,616174,50451,618402,2240387,16850.0,0
2015-08-12,2,2015,216412,2186131,,340436,376417,,106230.0,409,,225654,9242,29000,,900,24508,24,1576,535594,,,0.0,28232,94264,29909.0,664.0,176082.0,8477,57396,273062,,35171,,471.0,1173882,2015年06月30日,258560,29677.0,1883906,1870465,0,81876,900478,1269905,876.0,5467,0.0,,,17123.0,,,396934.0,,142953,1173882,3503605.0,1619699.0,,355738,,,3503605.0,,940,144.0,1063,0.0,717258,13441,719221,2233700,22932.0,0
2015-11-11,3,2015,253002,2219562,367,399968,219626,,118246,978,,261948,8946,26706,,902,11499,26,1600,554268,,,0,20729,105246,69783,19,,6219,74432,302554,,71529,,0,1173882,2015年09月30日,318092,20980,2005760,1963882,0,81876,749843,1322012,876,5256,0,,,17123,0,,366952,,72160,1173882,3575819,1570059,,389054,,,3575819,,81,3,0,,819314,41878,820216,2253807,9899,0
2016-03-22,4,2015,253031,2227809,365.0,409194,131164,,98540.0,449,,261006,7975,15543,,1727,7799,24,1519,469280,,,0.0,13963,50334,29969.0,,,4189,14472,226107,,74926,,0.0,1173882,2015年12月31日,327318,31124.0,2009972,1972579,0,81876,611083,1175159,1703.0,4602,20000.0,,,17123.0,,,369230.0,,107485,1173882,3432857.0,1422885.0,,389054,,,3432857.0,,1,73.0,0,,810075,37393,811802,2257698,6280.0,0
2016-05-11,1,2016,366765,2216430,365.0,366071,103623,,73452.0,364,,374794,8029,14378,,1727,4454,24,1582,351855,,,0.0,13963,48272,0.0,,,4189,12019,248828,,37348,,0.0,1173882,2016年03月31日,284195,30506.0,1964710,1929371,0,81876,656976,1096773,1703.0,4092,20000.0,,,17123.0,0.0,,423877.0,,99781,1173882,3339237.0,1374527.0,,389054,,,3339237.0,,0,487.0,0,,715824,35339,717551,2242464,2872.0,0
2016-08-10,2,2016,367874,2208116,355.0,286204,185512,,98242.0,-72,,375656,7782,15693,,1727,1543,24,1543,302454,,58694.0,0.0,13963,66504,0.0,,58694.0,4189,10424,356243,,45551,,0.0,1173882,2016年06月30日,188346,9344.0,1940826,1907762,0,97858,750580,1170886,1703.0,3661,23000.0,,,14123.0,,,426390.0,,113564,1232576,3398684.0,1457858.0,,389054,,,3398684.0,,0,1555.0,0,0.0,705551,33064,707278,2227798,0.0,0
2016-11-09,3,2016,370931,2192245,352.0,424211,165247,116467.0,,-623,,383173,12242,20316,,1727,3648,24,1457,275270,,,0.0,15207,93920,19939.0,,,4562,29011,447278,,39291,,,1232576,2016年09月30日,326353,13949.0,2076682,2045218,0,97858,796228,1189431,1703.0,3154,10000.0,,,14123.0,0.0,,397276.0,,120000,1232576,3402953.0,1326271.0,,389054,,,3402953.0,,0,0.0,0,,528316,31464,530043,2213522,2191.0,0
