date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2014-02-11,4,2013,0,1008108,955472,-419,2706,634679,,35662,1324,36575,36575,51986,8736,43250,8663,0,4454,1743,370045,,,1365832,225680,1605096,137057,2594,8663,1300000,2013年12月31日,921665,,2262012,2262012,0,33807,2297493,3521605,,5616,,1319165,9871,0,1300000,,,2310771,5216,5216,0,,4572783,24856,,4615,30294,0,0,13278,1051178,,0
2014-05-14,1,2014,,965262,1097315,175,3300,559676,48917,46156,1679,41635,41635,10434,6184,4250,8281,,4520,1504,385941,,0,1304778,125991,1581193,200353,38559,8281,1300000,2014年03月31日,1063508,,2406021,2406021,0,33807,2136642,3535802,,12248,1273166,,39134,0,1300000,,,2147289,7027,7027,,,4553310,16511,,2366,32178,,,10647,1017508,,0
2014-11-12,3,2014,,989832,960008,-81,3044,537788,94910,60161,1935,46578,46578,8874,4624,4250,7574,,5144,2016,435150,,0,1242263,405223,1749128,291304,70464,7574,1453400,2014年09月30日,857463,,3380733,3380733,0,102545,2450163,4803288,,6219,2188207,,89628,,1453400,,,2463574,965390,14310,951080,,5844307,33773,0,5837,36780,,,13411,1041019,,0
2015-03-27,4,2014,,1072720,1054915,-691,2434,741456,168299,38694,2830,30627,30627,11605,7355,4250,4306,,5228,3521,423646,,0,1384155,493611,1931868,338211,96141,4306,1462360,2014年12月31日,952370,,3488151,3488151,0,102545,2997285,5373036,,8566,2532871,,124307,,1464370,,,3011427,966036,14956,951080,,6499578,54830,,9836,37594,,,14142,1126542,2010,201000
2015-08-07,2,2015,,1004771,994803,-1022,2103,766259,116556,18692,1163,24318,24318,14637,10387,4250,3399,,5427,2185,311034,25375,,1078418,152558,1436740,234918,66490,,1466880,2015年06月30日,850057,20325,3405719,3405719,674000,144746,2158434,4517977,3399,6827,,2435060,,,1466880,5567621,2161902,,968248,7750,960498,5567621,,0,406,69,30516,,,3468,1049644,0,0
2016-03-29,4,2015,,1004726,1178009,-397,2728,643824,120870,28020,2058,17002,17002,162487,11237,151250,2250,,5440,2455,341826,170301,0,991532,237855,1550808,163082,7944,,1474960,2015年12月31日,1033263,48603,3452588,3452588,5000000,144746,2065780,4470837,2250,8156,,2216625,,,1474960,5521785,2069197,,967862,4964,962898,5521785,,6094,45,1167,29898,,,3417,1050948,0,0
2016-05-10,1,2016,,1194038,1207748,-359,2766,496556,111094,41188,1942,15430,15430,22458,18208,4250,1865,,6129,2301,333090,170301,0,827585,254989,1373133,82582,3060,,1479310,2016年03月31日,1063002,60182,3487018,3487018,5000000,144746,1765836,4006884,1865,12724,,2121893,,,1479310,5254719,1767701,,968319,4129,964190,5254719,,0,29480,0,32178,,,1865,1247835,0,0
2016-11-10,3,2016,,1296408,997164,-359,2766,599482,90947,58089,-562,10445,10445,22376,18126,4250,1128,,5705,-203,523006,170301,0,1035747,559112,1796493,19926,21926,,1479560,2016年09月30日,818140,2978,3275093,3275093,5000000,179024,2298711,4225043,1128,9449,,1769690,,,1479560,5576205,2301112,,969232,4968,964264,5576205,,0,13537,1273,36834,,,2401,1351162,0,0
