date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1397693,125604,-311338,0.0,0.0,121268,40557,118523,83265,200628,1509,139958,118523,559525,,1230610,803,1441837,113362,2014677,2013年03月31日,-316574,,2565693,2565693,0,5236,1850292,2626605,,343643.0,28517.0,385829,2014677,,,1855739.0,743831,3709,740122,,4421432.0,,3938,18210,5447,1794827,40415,0
2013-08-14,2,2013,1372713,125604,16785,0.0,0.0,129735,39180,141264,5522,62278,1531,133053,141264,491674,,1176445,736,1533459,113177,2014677,2013年06月30日,11549,,2622965,2622965,0,5236,1620465,2486009,,314028.0,31100.0,275000,2014677,,,1626534.0,450239,3709,446530,,4249499.0,1927.0,4538,18943,6069,1763490,45390,0
2013-11-13,3,2013,1318605,125604,-3994,0.0,0.0,104460,29251,126647,2813,61289,1516,126175,126647,403556,,805072,1041,1117344,112992,2014677,2013年09月30日,-9230,,2587569,2587569,0,5236,1219573,2107815,,456437.0,30610.0,275000,2014677,,,1225012.0,450239,3709,446530,,3812581.0,577.0,3923,21390,5439,1704766,39938,0
2014-03-27,4,2013,1326711,125604,30005,0.0,0.0,116739,16127,156286,3842,61119,1544,123911,156286,358923,,686057,748,792606,112807,2014677,2013年12月31日,24769,,2651207,2651207,0,5236,1039637,1988860,,734746.0,22251.0,210000,2014677,,,1045400.0,450239,3709,446530,,3696607.0,,4219,18714,5763,1707747,25339,0
2014-05-14,1,2014,1282814,125604,-16727,,,95028,14146,147634,3564,1613,1537,126970,147634,383257,0.0,701597,4608,779396,112622,2014677,2014年03月31日,-21963,,2595823,2595823,0,5236,1168270,2102603,879522.0,,23473.0,340000,2014677,,,1173119.0,450239,3709,446530,,3768942.0,,3312,18329,4849,1666339,44669,0
2014-08-12,2,2014,1239872,125604,-35957,,,88809,11986,118737,3115,1403,1511,122051,118737,352586,0.0,773748,752,933988,112437,2014677,2014年06月30日,-41193,,2547696,2547696,0,5236,949599,1883334,527798.0,,23175.0,60000,2014677,,,954560.0,450239,3709,446530,,3502256.0,0.0,3450,18958,4961,1618922,55573,0
2014-11-12,3,2014,1162903,54,-31371,34240.0,177576.0,90548,11290,197440,3674,65071,1550,122287,163200,323200,0.0,798722,706,959563,188335,2014677,2014年09月30日,-36607,,2630985,2630985,0,5236,1187475,2155274,763052.0,,23825.0,270000,2014677,,,1192402.0,450239,3709,446530,,3823387.0,0.0,3377,16958,4927,1668113,33098,0
2015-03-26,4,2014,1151381,54,-48240,30150.0,173486.0,94290,22143,240607,28807,65310,1592,119973,210457,257766,0.0,544287,875,676639,216571,2014677,2014年12月31日,-53476,,2657283,2657283,0,5236,820856,1805668,755436.0,,2597.0,150000,2014677,,,825366.0,450239,3709,446530,,3482649.0,,2918,15516,4510,1676981,28374,0
2015-05-13,1,2015,1103759,54,-132591,42262.0,185598.0,75905,3566,238530,27807,106403,1580,115176,196268,239219,0.0,378735,313,465906,214478,2014677,2015年03月31日,-137827,464.0,2570855,2570855,0,5236,718224,1657875,,809386.0,,235000,2014677,3292036.0,721181.0,,450239,3709,446530,3292036.0,,,1377,15096,2957,1634161,33395,0
2015-08-13,2,2015,1057311,54,-185730,28106.0,171442.0,70984,7139,202592,33648,104783,3587,110544,174486,176102,0.0,288933,738,401923,211859,2014677,2015年06月30日,-190966,313.0,2428302,2428302,0,5236,484616,1351554,,633169.0,,90000,2014677,2917660.0,489358.0,,396763,3709,393054,2917660.0,,,1155,14896,4742,1566106,28438,0
2015-11-12,3,2015,1058144,54,-230056,-12946.0,130390.0,80962,13908,216265,45190,162182,3721,111062,229211,155786,0.0,341346,436,437225,214535,2014677,2015年09月30日,-235292,141.0,2397649,2397649,0,5236,468075,1341202,,532725.0,,0,2014677,2872732.0,475083.0,,396763,3709,393054,2872732.0,,,3287,17345,7008,1531530,39376,0
2016-03-25,4,2015,936544,54,-352471,25746.0,169082.0,79407,42043,225392,14120,33501,3649,140076,199646,110861,0.0,321411,582,368198,211225,2014677,2015年12月31日,-357707,6033.0,2284361,2284361,0,5236,471553,1288187,,695928.0,,50000,2014677,2763793.0,479432.0,,396763,3709,393054,2763793.0,,,4230,18625,7879,1475606,37656,0
2016-05-12,1,2016,892521,54,-441146,-6812.0,136524.0,71772,5431,168715,11524,32958,3921,163409,175527,124388,0.0,312573,354,347146,208109,2014677,2016年03月31日,-446382,2477.0,2139009,2139009,0,5236,398700,1126962,,591375.0,,0,2014677,2542830.0,403821.0,,396763,3709,393054,2542830.0,,,1200,15251,5121,1415868,25664,0
2016-08-11,2,2016,844652,70054,-159567,-17507.0,125829.0,76093,13665,129552,29117,28982,3674,139668,147059,129614,0.0,284533,448,361987,204569,2014677,2016年06月30日,-159567,0.0,2028954,2028954,0,0,440191,1072112,,506785.0,,50000,2014677,2474965.0,446011.0,,44292,3709,40583,2474965.0,,,2146,18081,5820,1402853,31079,0
2016-11-10,3,2016,802270,70054,-248992,-18294.0,125042.0,79311,7241,94105,19531,28221,3567,134683,112399,109174,0.0,274426,454,406074,200440,2014677,2016年09月30日,-248992,29.0,1904082,1904082,0,0,423751,984202,,411089.0,,50000,2014677,2332594.0,428512.0,,44292,3709,40583,2332594.0,,,1194,15903,4761,1348392,22403,0
