date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,606791,7,30000.0,-45571,55830,,8334,,977,3987,831,7099,742,977.0,106492,0.0,,290189.0,42772,,0.0,186047,,646,,45811,938708,2013年03月31日,-54603,,,1054799,1054799,0,9032.0,113613,779408,2948,,,322828.0,294.0,262.0,10000.0,938708,,,,410901.0,160685,,4775.0,,134746.0,21164.0,,1465700.0,730.0,79590.0,,,297288,686292,74371,,0
2013-08-09,2,2013,583157,7,30000.0,-8623,58505,,780,,556,295573,833,6721,710,,115519,0.0,,0.0,59533,,0.0,225481,,638,,44601,938708,2013年06月30日,-8623,,,1059931,1059931,0,0.0,415356,820413,3127,,,324805.0,996.0,325.0,,938708,,,,422077.0,129290,,,,,,,1482008.0,749.0,68432.0,,,6721,661595,83593,,0
2013-11-06,3,2013,562432,7,30000.0,1053,52807,,7871,,519,298164,837,8662,3220,,98151,0.0,,0.0,36609,,0.0,205786,,114,,42624,938708,2013年09月30日,1053,,,1070731,1070731,0,0.0,388351,823776,5692,,,342472.0,692.0,389.0,,938708,,,,397013.0,130451,,,,,,,1467744.0,79.0,93015.0,,,8662,643968,75134,,0
2014-03-18,4,2013,549456,7,24000.0,-34007,54241,,1169,,1259,299683,837,8303,664,,70560,0.0,,0.0,30041,,630.0,166622,,118,,41730,938708,2013年12月31日,-34007,,,1037572,1037572,0,0.0,385053,809954,5124,,,390029.0,458.0,456.0,,938708,,,,393356.0,131612,,,,,,,1430928.0,,104526.0,,,8303,620974,75630,,0
2014-05-09,1,2014,550291,7,24000.0,-13605,58089,,7717,,1552,300945,841,7914,693,,75447,,0.0,0.0,49235,,0.0,175810,,703,,40799,938708,2014年03月31日,-13605,,,1059428,1059428,0,0.0,408762,855969,4352,,394073.0,,493.0,456.0,0.0,938708,,,,416676.0,132773,,,,,,,1476104.0,0.0,131661.0,,,7914,620135,69254,,0
2014-08-07,2,2014,533293,7,7170.0,35565,67836,,11118,,882,3055,843,7775,690,,80307,,0.0,,65972,,0.0,246905,,229,,41682,939888,2014年06月30日,35565,,,1078322,1078322,0,,137186,636791,3657,,216025.0,,226.0,383.0,,939888,,,,144961.0,101987,,,,,,,1223283.0,97.0,13866.0,,,7775,586492,67108,,0
2014-11-06,3,2014,556928,7,7170.0,26174,110531,,7330,,769,2808,847,6252,4868,,78601,,0.0,,72164,,2025.0,204990,,0,,41172,940378,2014年09月30日,26174,,,1069658,1069658,0,,187821,649964,3629,,220528.0,,293.0,343.0,,940378,,,,194073.0,102337,,,,,,,1263731.0,0.0,66051.0,,,6252,613767,71267,,0
2015-03-20,4,2014,502968,7,7170.0,15686,76416,,1281,,912,3584,847,9968,3153,,62571,0.0,0.0,,52580,,648.0,189258,,464,40204.0,40908,940518,2014年12月31日,15686,,,1059553,1059553,0,,134017,605506,3629,,187843.0,,789.0,441.0,,940518,,,,143985.0,102437,,,,,,,1203538.0,,84209.0,,,9968,598032,78585,,0
2015-05-13,1,2015,504446,7,7170.0,7607,61127,,15598,,505,3002,850,9822,5056,,106660,,,,51211,,0.0,184679,,0,39657.0,38931,940518,2015年03月31日,7607,0.0,456.0,1051067,1051067,0,,115521,578112,3038,,,197594.0,,,,940518,1176410.0,,125343.0,,102437,,,,,,1176410.0,,181.0,65582.0,,,9822,598298,6686,,0
2015-08-06,2,2015,488988,7,7170.0,6757,80336,,4160,,-26,2712,853,9245,3310,,113673,,0.0,,64843,,0.0,204572,,0,39144.0,35848,940518,2015年06月30日,5188,434.0,263.0,1049686,1049686,0,1569.0,148825,630821,2475,,,261653.0,,,,940518,1207756.0,,158070.0,,102437,,,,,,1207756.0,,500.0,34651.0,,,9245,576935,10989,,0
