date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,355.0,6609587,104205,8071506,397161,2954949,2399881,,2011051,2011051,101357,,430084,330252,329897,382260,382260,363071,363071,,149678,358,151394,40087,631347,32923,4156022,0.0,,,163978.0,2836469,,3896728,15622.0,541041,149320.0,402390,5652059,2013年03月31日,4811018,,19033691,18917065,0,2715185,6043542,15235639,,994418,,392736.0,545303.0,,2773068.0,584841.0,153547,5652059,,104205,,6906972.0,4763416,,143179.0,232.0,4620005.0,,25940663.0,23177,21856,547286,147354,2488.0,,95340,116626,863430,10705024,,15967,,0
2013-08-07,2,2013,143952.0,6846448,118513,6427013,-77635,3974714,1863684,,5106775,2343189,86993,40254.0,720,508732,364780,389393,389393,345035,345035,,148376,359,171052,41064,631494,78355,3783434,0.0,,,0.0,2652626,2763586.0,4450701,23259.0,599855,148017.0,379961,5656272,2013年06月30日,3365589,,16998466,16877863,0,3061424,9093928,16423624,,976529,,397974.0,0.0,,2668291.0,696393.0,0,5656272,,118513,,9810144.0,4793858,,131736.0,463.0,4661659.0,,26808610.0,10889,8756,567840,147312,0.0,,96186,120603,716216,10384986,,33802,,0
2013-11-03,3,2013,197549.0,7529604,127153,7531269,-257527,1438047,1702966,0.0,2437642,2437642,38297,,-228255,537593,340044,554049,554049,336612,336612,,148295,876,163767,42133,1088098,29272,3951362,0.0,,,0.0,2684096,,4423633,,662405,147419.0,387950,5669249,2013年09月30日,4469845,,18006973,17843377,0,3061424,6452959,13852273,,1424710,,486201.0,0.0,,2290781.0,655012.0,0,5669249,,127153,,7203706.0,4871114,,130190.0,1241.0,4739683.0,,25210679.0,11463,7498,582452,149409,20000.0,,94228,163596,750747,11358406,,27406,,0
2014-03-28,4,2013,18348.0,7941679,122437,8514157,-75534,2112427,1864424,0.0,3011909,3011909,24736,,54507,354374,336026,330250,330250,326617,326617,,157222,358,179596,59881,1265658,130041,4030657,,,,0.0,3003543,,4760147,,749529,156864.0,402433,5669249,2013年12月31日,5452733,,19420190,19258299,0,3061424,7335074,15411630,,1592275,,568803.0,0.0,,2832358.0,695945.0,123144,5694000,,122437,,8115894.0,4995635,,121023.0,4112.0,4870500.0,,27536084.0,23722,2723,623598,144047,0.0,,94416,161891,780820,12124454,,25299,24751.0,24751
2014-05-08,1,2014,0.0,8159607,129261,9666887,140631,2563732,1980150,0.0,2818099,2818099,118773,,341604,307102,307102,258857,258857,304017,304017,,260805,750,272542,58098,1278095,200973,4510474,,,,0.0,3050604,,4995773,36937.0,746963,155440.0,452927,5694001,2014年03月31日,6605463,,21024690,20828080,0,3061424,7253189,16598317,,1582112,,351874.0,0.0,3014337.0,,900471.0,20293,5714511,,129261,,8171141.0,5105078,134.0,93039.0,30424.0,4981481.0,,29195831.0,27359,597,657147,150176,0.0,104615.0,93718,196610,917952,12597514,,120726,20510.0,20510
2014-08-11,2,2014,0.0,8497625,134649,7281514,393081,3191659,2239040,0.0,6139301,3121481,15427,54836.0,475651,179242,179242,272237,272237,286812,286812,,257657,947,215776,58726,1269015,82570,4588444,,569400.0,0.0,,3306867,3017820.0,5483888,11428.0,762016,154964.0,396693,5714511,2014年06月30日,3809450,,19365072,19168411,0,3472064,10623176,17866205,,1555827,,471003.0,,3004017.0,,846491.0,15225,6287021,,134649,,11556135.0,5124225,134.0,62284.0,36523.0,5025284.0,,30921207.0,1401,11250,675302,150041,,101746.0,92422,196661,932959,13055002,,64628,3110.0,3110
2014-11-07,3,2014,0.0,8828897,141555,8600919,138502,903272,2005688,0.0,2902849,2902849,17086,,299137,167902,167902,368696,350046,273651,273651,18650.0,252688,1071,215686,70641,1247708,160635,4722203,,,0.0,,3462950,,5313348,9072.0,935921,155336.0,425452,6287021,2014年09月30日,5128855,,20607665,20420162,0,3472064,7643935,16065104,,1521359,,375598.0,,3287199.0,,760309.0,205144,6301031,,141555,,8594812.0,5219075,134.0,100439.0,36630.0,5081872.0,,29202477.0,3226,132709,698189,140291,0.0,96281.0,94152,187503,950877,13137373,,50893,14010.0,1401
2015-03-31,4,2014,0.0,8876606,141354,9830382,563277,3431359,2428569,,3248268,3248268,36550,,901633,268208,268208,532043,513393,286312,286312,18650.0,253917,50506,184643,42616,1168727,338356,4781550,,,0.0,,3396887,,4960373,5400.0,949861,160383.0,447663,6301031,2014年12月31日,6358318,,22538064,22351064,0,3472064,7853899,17990032,,1455039,,5487.0,,3122007.0,,787404.0,3080,6312091,,141354,,9005756.0,5306958,,,,,,31543820.0,8698,165402,897940,161268,,43028.0,96516,187000,1151857,13553788,,45511,11060.0,1106
2015-04-30,1,2015,,9129093,129767,11003153,439613,4256444,2036569,0.0,2992620,2992620,14392,,577850,409985,409985,481690,463040,249141,249141,18650.0,254016,52819,187211,41354,1117434,138237,4880234,0.0,,0.0,,3106803,,4667731,2591.0,850419,,469095,6315186,2015年03月31日,7531089,1002637.0,23439438,23275076,0,3472064,7769114,18975519,164881.0,1366575,1322.0,,,,3626116.0,,123016,6315186,32325047.0,129767,8885609.0,,5378887,,,,,32325047.0,,4286,194580,862479,160985,,36316.0,94960,164362,1116495,13349528,,50897,0.0,0
2015-07-30,2,2015,,9241729,137281,8540742,417096,5571694,1983308,,7005624,3218369,38453,81917.0,479129,470303,470303,442475,423825,236025,236025,18650.0,269046,67595,194569,58205,1125132,62033,4679895,0.0,0.0,0.0,,3536311,3787255.0,5712486,5376.0,718428,,403580,6315186,2015年06月30日,4577900,887015.0,20940733,20785320,0,3962842,12164625,20941399,164261.0,1361157,20703.0,,,,3473436.0,,115000,6316906,34289555.0,137281,13348822.0,,5448543,,,,,34289555.0,,13091,196536,915151,163813,,37190.0,92987,155413,1184197,13348156,,43377,1720.0,172
