date,season,year,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,備抵銷售退回及折讓,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付費用,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,商品存貨,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付員工紅利,應付帳款,應付帳款合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付股利,應付董監事酬勞,應收帳款,應收帳款淨額,應收票據,應收票據淨額,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－土地－重估增值,投資性不動產－建築物,普通股股本,暫付款,暫估應付費用,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期損益,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－模具設備,累計折舊－機器設備,累計減損－機器設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銷項稅額,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-09,1,2013,141423,1176,,,,501348,2459,1039,,107241,0,16116,1612,1612,-47015,,,2826,2837,,6558,6558,,,3.0,71,6156,190,190,13767,0.0,499,194848,-47015,-47015,107080,107080,71,5966,193809,193809,0.0,,,,,40876.0,81051,81051,0.0,0.0,2821,2821,,8175.0,65990,63531,685,685,33004,28978,0,0,0.0,0,460874,2834,37489,879,2013年03月31日,500639,-6604,22950.0,5039.0,340,326,915207,915207,0,709,193939,953073,8060,,,674793.0,1023,0.0,,507243,,4026,0,17911.0,14,,460874,,,,194197.0,0,,,,,1109404.0,0.0,499,,187.0,187.0,0.0,,692,0.0,674223,4585,570,1502,1502,0.0,258,156331,15307,517,,771,0,771
2013-08-02,2,2013,140275,1162,,,,250340,68,1401,1800.0,293529,0,28151,1171,1171,-46034,,,2956,1103,,4617,4617,,,136.0,71,6277,187,187,15318,,0,179987,-46034,-46034,107080,107080,71,6090,178586,178586,0.0,0.0,0.0,38846.0,,4088.0,39770,39770,0.0,0.0,1579,1579,207393.0,8175.0,78332,76464,271,271,33336,29189,0,0,0.0,0,460874,967,40112,1135,2013年06月30日,151144,-27175,23339.0,3694.0,341,312,725012,725012,0,51433,337834,909880,5968,47763.0,,634317.0,1189,0.0,,178319,,4147,0,19645.0,0,29.0,499720,,,,337905.0,20986,20986.0,,,,1062917.0,,0,1361.0,0.0,0.0,0.0,,517,0.0,633403,5610,914,1351,1351,0.0,71,153037,17968,100,,659,0,659
2013-11-08,3,2013,142720,2743,,,,250678,52,1616,1864.0,80610,0,30513,2027,2027,-45968,,,6452,1350,,3457,3457,,,136.0,71,6368,187,187,14006,0.0,0,170607,-45968,-45968,107080,107080,71,6181,168991,168991,,0.0,0.0,,,4088.0,55062,55062,0.0,0.0,3889,3889,,0.0,72842,70926,860,860,37353,32925,0,0,0.0,0,499720,1214,40478,864,2013年09月30日,151482,-26837,22972.0,2418.0,340,297,725416,725416,0,51433,146013,717200,4685,47763.0,,458209.0,831,0.0,,178319,,4428,0,20554.0,43,,499720,,,,146084.0,20986,20986.0,,,,871500.0,0.0,0,,0.0,0.0,0.0,,527,0.0,458056,5531,153,1228,1228,,71,154300,14837,0,,2845,0,2845
2014-03-18,4,2013,125061,1175,,,6214.0,259431,88,1424,1851.0,78550,15458,14767,407,407,-45026,,,4943,2552,,2518,2518,23324.0,1648.0,133.0,35,6454,188,188,15062,0.0,69,188239,-45026,-45026,95104,95104,35,6266,186815,186815,,0.0,0.0,,,0.0,88166,88166,0.0,0.0,2133,2133,,0.0,87441,85502,329,329,28192,27582,0,0,0.0,0,499720,2419,43576,2017,2013年12月31日,160235,-18084,,,790,727,735111,735111,0,51433,180006,779453,3641,47763.0,,487711.0,247,0.0,30022.0,178319,21676.0,610,0,,63,,499720,,6214.0,,180041.0,20986,20986.0,,,,915152.0,0.0,69,,0.0,0.0,0.0,,543,0.0,457253,4749,436,1123,1123,,35,135699,16068,759,,1751,0,1751
2014-05-08,1,2014,125380,1212,,,8370.0,263637,59,2491,243.0,85187,15458,13993,610,610,-44268,,,4793,1899,,5223,5223,20172.0,2221.0,133.0,945,6451,188,188,16994,,305,220269,-44268,-44268,95104,95104,945,6263,217778,217778,,,,,0.0,,91230,91230,,,3608,3608,,,78971,78669,1297,1297,28192,27361,170452,111400,,59151,499720,1766,48631,1684,2014年03月31日,164441,4206,,,790,694,740075,740075,0,51433,193188,625042,6329,47763.0,305757.0,,246,,0.0,160235,17951.0,831,99,,96,,499720,,8370.0,,194133.0,20986,20986.0,,,,934208.0,,305,,0.0,,0.0,0.0,554,,305432,7105,325,1106,1106,,945,309166,18727,1487,,1897,0,1897
2014-08-08,2,2014,124712,1041,,,9109.0,188934,84,4112,620.0,114150,0,8380,798,798,-45415,,,4375,4045,,3629,3629,19949.0,1808.0,133.0,945,32943,27049,27049,13449,9.0,0,229250,-45415,-45415,95104,95104,945,5894,225138,225138,,,,24986.0,0.0,0.0,82777,82777,,,1855,1855,49972.0,0.0,82188,81484,69,69,28192,27139,170157,111400,,59151,499720,3912,47233,1225,2014年06月30日,92475,4461,,,790,661,689211,689211,0,51433,212275,569965,4654,45026.0,223498.0,,1991,,0.0,88014,18141.0,1053,394,,129,0.0,524706,,9109.0,,213220.0,20986,20986.0,,,,902431.0,9.0,0,0.0,,,,,0,,223193,8565,305,1025,1025,,945,332466,34933,19493,,2109,0,2109
2014-11-11,3,2014,124730,1071,50000.0,50000.0,7418.0,172990,104,2913,202.0,65337,0,15668,545,545,-45521,,,5338,5979,133.0,15874,15874,19518.0,1660.0,,945,16332,10722,10722,10208,,0,230624,-45521,-45521,95104,95104,945,5610,227711,227711,,,,,0.0,0.0,55032,55032,,,3783,3783,,0.0,63832,63526,291,291,28416,27138,169861,111400,,59151,524706,5846,43326,908,2014年09月30日,76531,-11483,,,991,828,673161,673161,0,51433,207485,501668,19000,45026.0,160195.0,,3014,70577.0,0.0,88014,17858.0,1278,690,,163,,524706,,7418.0,,208430.0,20986,20986.0,,,,881591.0,,0,,,,,,0,70577.0,159770,6343,425,3126,3126,,945,379923,43421,30199,,3359,0,3359
2015-03-17,4,2014,126316,1306,50000.0,50000.0,4807.0,185086,57,2739,860.0,53908,0,13208,2006,2006,-60327,-14886.0,-14886.0,3788,841,,26805,26805,19615.0,1640.0,133.0,945,6068,188,188,9502,,313,214548,-45441,-45441,95104,95104,945,5880,211809,211809,,,,,0.0,,66284,66284,,,556,556,,,62895,61978,78,78,28416,26911,169565,111400,,59151,538406,708,34527,578,2014年12月31日,88627,613,,,2872,2661,686617,686617,0,51433,169343,477318,27638,45026.0,171885.0,,1178,40000.0,43636.0,88014,17975.0,1505,986,,211,,538406,,4807.0,,170288.0,23452,20986.0,,2466.0,,856905.0,,313,,,,,,0,40000.0,127649,6173,600,833,833,,945,379587,28408,17728,,1904,0,1904
2015-05-06,1,2015,127571,1149,50000.0,50000.0,7187.0,160574,58,3625,1184.0,52097,0,10763,672,672,-81918,-13101.0,-13101.0,4788,3281,,23460,23460,18808.0,1540.0,133.0,945,4527,0,0,11936,,0,230000,-68817,-68817,95104,95104,945,4527,226375,226375,,,,,0.0,,66476,66476,,,1432,1432,,,73552,72310,37,37,28416,26684,169269,111400,,59151,538406,3148,35637,1741,2015年03月31日,64115,-24512,,,4650,4243,640514,640514,0,51433,181267,447185,24174,45026.0,,120364.0,816,49287.0,10599.0,88627,17268.0,1732,1282,,407,,538406,822726.0,7187.0,182212.0,,23452,20986.0,,2466.0,822726.0,,,0,,,,,,0,49287.0,108707,5697,1058,714,714,,945,375541,24146,11394,,1898,0,1898
2015-08-11,2,2015,126912,1109,80700.0,80700.0,9832.0,93237,72,3865,840.0,106821,0,9431,469,469,-77088,-11316.0,-11316.0,3479,3189,,21782,21782,19042.0,1474.0,133.0,945,4648,0,0,11058,0.0,106,339219,-65772,-65772,95104,95104,945,4648,335354,335354,,,,0.0,0.0,0.0,61344,61344,,,1945,1945,53841.0,0.0,73828,72916,369,369,28416,26457,168973,111400,,59151,538406,3056,36311,1481,2015年06月30日,-3697,-38008,,,4553,3877,578007,578007,0,51494,300421,475763,22377,45440.0,,40890.0,1107,117000.0,3665.0,34311,17568.0,1959,1578,,676,0.0,538406,879373.0,9832.0,301366.0,,23452,20986.0,,2466.0,879373.0,,0.0,106,0.0,,,,,0,117000.0,36908,7238,317,595,595,,945,403610,22470,10305,,889,0,889
