date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,836546,452298,-1616053,3626717,92662,,5685,,1219790,17705,41389,7389,34000,0,55064,0,3125,189437,141110,69904.0,,27025,103155,0.0,21967,27732.0,44.0,0.0,357891,6277330,2013年03月31日,-1616053,7078900,7078900,14198004,0.0,243227,1680681,,38010,,1318640.0,6277330,2680.0,,,243227.0,1338943,,7322127.0,,,274920,0.0,0.0,0,5641446,,5883,51939.0,0
2013-08-05,2,2013,821939,452298,-463703,4668654,98370,,6835,,2270486,24246,43122,9122,34000,0,53145,0,1206,164846,141110,0.0,,31273,19972,,2810,56237.0,72.0,0.0,328178,6277330,2013年06月30日,-463703,8061741,8061741,14198004,0.0,173861,1609630,,26838,,1330885.0,6277330,0.0,,,173861.0,118738,,8235602.0,,,274920,0.0,0.0,0,6625972,,4823,51939.0,0
2013-11-12,3,2013,816015,452298,-429515,4086932,103393,,6073,,1688518,34425,47216,13216,34000,0,53203,0,1264,128611,0,0.0,,30840,17346,,20615,76551.0,0.0,0.0,301383,6135350,2013年09月30日,-429515,7513961,7513961,4,0.0,186004,1675566,,39648,,1390294.0,6135350,0.0,,,186004.0,119608,,7699965.0,,,274920,0.0,0.0,0,6024399,,6206,51939.0,0
2014-03-10,4,2013,808322,453582,-530456,3989059,103823,,6249,647.0,1591356,5562,15219,13219,2000,7,61345,7,299,50920,0,0.0,,13482,1668,,41750,43899.0,0.0,0.0,287647,6135350,2013年12月31日,-530456,7327255,7327255,4,0.0,124880,1556231,,30963,,1394194.0,6135350,0.0,,,124887.0,131005,,7452142.0,345.0,,264993,0.0,0.0,7,5895911,,3353,61046.0,0
2014-04-29,1,2014,801994,453582,-615729,4211586,56860,,3956,578.0,1814040,4235,14551,12551,2000,356,61345,356,299,50836,0,0.0,0.0,10757,35600,,44136,1429.0,401.0,,266642,6135350,2014年03月31日,-615729,7465856,7465856,4,0.0,107452,1485455,,28067,1362824.0,,6135350,0.0,,,107808.0,132195,,7573664.0,0.0,15.0,264993,,0.0,356,6088209,,6729,61046.0,0
2014-08-06,2,2014,795957,453582,-648830,4714937,119222,1393.0,2350,0.0,2371822,4762,15073,13073,2000,356,61356,356,310,85129,0,,0.0,48390,74309,,104360,0.0,0.0,,228598,6135350,2014年06月30日,-648830,7990989,7990989,4,,248076,1697103,,22895,1485217.0,,6135350,,,,248432.0,132647,,8239421.0,0.0,,264993,,0.0,356,6542318,,4974,61046.0,0
2014-11-07,3,2014,790729,453582,-570264,3973793,122065,1203.0,2917,0.0,1630642,4744,14195,14195,0,1338,61533,1338,487,113969,0,,0.0,29298,43474,,93100,0.0,,,196933,6135350,2014年09月30日,-570264,7329022,7329022,4,,200784,1769956,,19625,1539716.0,,6135350,,,,202122.0,133294,,7531144.0,0.0,,264993,,,1338,5761188,,6059,61046.0,0
2015-03-25,4,2014,790285,448305,-646334,4651861,114451,,3062,0.0,2309237,2449,12723,12723,0,1338,64240,1338,825,108641,0,,0.0,3133,17181,,49544,0.0,,,177165,6135350,2014年12月31日,-646334,7932178,7932178,4,0.0,137214,1659734,,16421,1482300.0,,6135350,,,,138552.0,133925,,8070730.0,0.0,,262719,,0.0,1338,6410996,,3464,63415.0,0
2015-05-06,1,2015,785418,448305,-701381,4888396,84597,,3612,0.0,2545231,2521,12607,10607,2000,1338,64155,1338,740,92569,0,,0.0,5949,319,,30796,0.0,0.0,,180809,6135350,2015年03月31日,-701381,8113728,8113728,4,0.0,93386,1565510,63415.0,13140,,1419122.0,6135350,,8208452.0,94724.0,,134528,8208452.0,,,0.0,262719,,0.0,1338,6642942,,6804,,0
2015-08-05,2,2015,781361,448305,-667759,4115714,64033,0.0,2502,,1772077,2376,16773,12473,4300,990,65661,990,2246,82448,0,,,6573,505,,33340,,,,162404,6135350,2015年06月30日,-667759,7268493,7268493,4,,73487,1496947,63415.0,9859,,1355189.0,6135350,,7342970.0,74477.0,,28825,7342970.0,,,,262719,,0.0,990,5846023,,6695,,0
