date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,倉儲設備淨額,備供出售金融資產未實現損益合計,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,內部往來,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,冷凍設備淨額,出租資產－其他淨額,出租資產－機器設備淨額,原料,員工福利負債準備－非流動,售氣及輸氣設備淨額,商品存貨,國外營運機構財務報表換算之兌換差額合計,土地成本,土地改良物淨額,土地淨額,在建工程（營造業適用）合計,在建房地,在製品,天然資源淨額,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－其他行業淨額,存貨－製造業淨額,存貨－買賣業淨額,工程進度請款金額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,景觀園藝淨額,會計項目,未分配盈餘（或待彌補虧損）合計,未實現售後租回利益,本期所得稅負債,本期所得稅資產合計,本期損益,模具設備淨額,機具設備淨額,機器設備成本,機器設備淨額,機器設備－重估增（減）值,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備成本,水電設備淨額,污染防治設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,漁船設備淨額,無形資產合計,無活絡市場之債券投資－非流動淨額,營業器具淨額（觀光飯店業適用）,物料,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,碼頭設備淨額,租賃改良淨額,租賃資產成本,租賃資產淨額,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－水電設備,累計折舊－租賃資產,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－機器設備,股本合計,股東往來,與待出售非流動資產直接相關之負債,船舶設備淨額,裝卸設備淨額,製成品,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,農產品,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遊樂設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－非流動,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期遞延收入,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款,飛航設備淨額
2013-05-09,1,2013,302071.0,302071,2641827,0.0,87111.0,87111,199978,0.0,59999.0,58641.0,61423.0,120064,0.0,54932.0,76823.0,0.0,168970,0.0,168970.0,5719,5719.0,55075,0.0,642500,51644,253953,223953.0,287467.0,9262.0,30000.0,25948.0,472255,0.0,309527,218577.0,218577,0.0,0.0,0.0,128613.0,,0.0,17224.0,-4924.0,724675.0,0.0,724675.0,0.0,3303882.0,58490.0,0.0,23711,90950,3590014,3303882.0,0.0,268908.0,17224.0,0.0,1537.0,0,,,0.0,185925.0,185925,5895,99682.0,99682,233052.0,233052,13,570190.0,515258,0.0,0,530560.0,530560,19.0,19,392744.0,2142084.0,682532.0,0.0,0.0,0.0,0.0,0.0,0.0,4047380,0.0,2013年03月31日,157389,0.0,,,69554.0,0.0,0.0,6087233.0,844966.0,,4283174,4302438,0,1181644.0,93417.0,0.0,28454,2245153,5314198,,0.0,0.0,0.0,0.0,46208.0,14135,0.0,,130408.0,0.0,18064.0,4134.0,891052,0.0,0.0,238797.0,52601.0,87835.0,278205.0,1459552.0,5242267.0,1088227.0,186196.0,,697262.0,,4047380,55800,0.0,0.0,0.0,112420.0,0.0,,0.0,0.0,,4291939.0,5,,,5.0,,8575113.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931636.0,234374.0,94083,94083.0,222450,0.0,0.0,891052.0,128871.0,1454500.0,1480448,0.0,0.0,0.0,0.0,-19264,2046786,3260915,164069,164069.0,288785,0,288785.0,0.0
2013-08-08,2,2013,284700.0,284700,2573114,0.0,74969.0,74969,241247,0.0,42181.0,40821.0,81428.0,122249,0.0,6996.0,77801.0,0.0,175726,0.0,175726.0,3804,3804.0,36224,0.0,606090,20811,307106,277106.0,287906.0,8140.0,30000.0,20550.0,465700,0.0,298009,207314.0,207314,0.0,0.0,0.0,216475.0,0.0,0.0,14088.0,-5957.0,724675.0,0.0,724675.0,0.0,3303913.0,54991.0,0.0,25361,90695,3706341,3303913.0,0.0,388340.0,14088.0,0.0,1511.0,0,,,0.0,197611.0,197611,2836,128441.0,128441,260867.0,260867,1629,537213.0,530217,0.0,0,526389.0,526389,153.0,153,384539.0,2137799.0,663685.0,0.0,0.0,0.0,0.0,0.0,0.0,4047380,0.0,2013年06月30日,195250,0.0,,,115705.0,0.0,0.0,6084771.0,807632.0,,4346426,4324858,0,1181644.0,85967.0,0.0,31862,2282837,5583173,,0.0,0.0,0.0,0.0,35840.0,14135,0.0,,146104.0,0.0,3113.0,4114.0,906524,0.0,0.0,238797.0,50135.0,79545.0,279766.0,1474114.0,5277139.0,1095677.0,188662.0,,695103.0,,4047380,55800,0.0,0.0,0.0,158835.0,0.0,,0.0,0.0,,4391129.0,7,,,7.0,,8737555.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927983.0,232880.0,90042,90042.0,208290,0.0,0.0,906524.0,144593.0,1532000.0,1552550,0.0,0.0,0.0,0.0,21568,2108292,3154382,236696,236696.0,300579,0,300579.0,0.0
2013-11-08,3,2013,366882.0,366882,2491616,,72399.0,72399,296549,,41970.0,40594.0,78386.0,118980,,6891.0,76820.0,,183411,,183411.0,6188,6188.0,36223,,650972,16103,316568,286568.0,287322.0,7236.0,30000.0,14785.0,463114,,293941,203133.0,203133,,,,197804.0,,,16119.0,-5747.0,724675.0,,724675.0,,3305112.0,104188.0,,24161,90808,3732588,3305112.0,,411357.0,16119.0,,1639.0,0,,,,219667.0,219667,2118,123602.0,123602,257462.0,257462,1784,526655.0,519764,38.0,38,507013.0,507013,114.0,114,383153.0,2137326.0,645540.0,,,,,,,4047380,,2013年09月30日,250552,,,,171007.0,,,6082007.0,767165.0,,4399720,4380159,0,1182299.0,79385.0,,31862,2290430,5662222,,,,,,34620.0,14135,,,206989.0,,6489.0,3146.0,844925,,,238797.0,47669.0,79545.0,280086.0,1491786.0,5314842.0,1102914.0,191128.0,,710143.0,,4047380,55800,,,,151565.0,,,,,,4317189.0,7,,,7.0,,8716909.0,,,,,0.0,,,,,930089.0,219946.0,89360,89360.0,196731,,,844925.0,205350.0,1459500.0,1474285,,,,,19561,2026759,3054687,250834,250834.0,267987,0,267987.0,
2014-03-25,4,2013,411907.0,411907,2435301,,62399.0,62399,309849,,40355.0,38986.0,67852.0,106838,,44784.0,82546.0,,206823,,206823.0,5800,5800.0,32262,,659337,11538,282150,252150.0,285016.0,7982.0,30000.0,9538.0,458741,,297199,205855.0,205855,,,,187204.0,,,13833.0,-8093.0,724675.0,,724675.0,,3222293.0,79809.0,,24017,91344,3627749,3222293.0,,391623.0,13833.0,,1459.0,0,,,,217704.0,217704,1956,118529.0,118529,327651.0,327651,156,588932.0,544148,3802.0,3802,587846.0,587846,100.0,100,378924.0,2133506.0,626997.0,,,,,,,4047380,,2013年12月31日,263852,,,,184307.0,,,6091580.0,742080.0,,4403404,4389498,0,1183976.0,75657.0,,31862,2236177,5593001,,,,,,40180.0,14135,,,216573.0,,7591.0,1078.0,696430,,,238797.0,45204.0,79545.0,277034.0,1506509.0,5349500.0,1108319.0,193593.0,,725134.0,,4047380,55800,,,,166976.0,,,,,,4179603.0,7,,7.0,,,8583007.0,,,,,0.0,,,,,937840.0,212706.0,88147,88147.0,195107,,,696430.0,215114.0,1387000.0,1396538,,,,,13906,1943426,2990006,216917,216917.0,235892,0,235892.0,
2014-05-08,1,2014,364243.0,364243,2416387,0.0,62399.0,62399,382864,0.0,46573.0,45215.0,62136.0,107351,0.0,41090.0,84868.0,0.0,199516,0.0,199516.0,3775,3775.0,42128,0.0,618698,11750,284592,254592.0,275754.0,7632.0,30000.0,4266.0,458445,0.0,301072,209240.0,209240,0.0,0.0,0.0,173345.0,,0.0,14593.0,-4445.0,724675.0,0.0,724675.0,0.0,3231746.0,68554.0,0.0,24417,91832,3566335,3231746.0,0.0,319996.0,14593.0,0.0,1533.0,0,,0.0,0.0,234933.0,234933,5392,118650.0,118650,232479.0,232479,1145,542154.0,501064,4186.0,4186,524463.0,524463,93.0,93,378228.0,2193132.0,665062.0,0.0,0.0,0.0,0.0,0.0,0.0,4047380,0.0,2014年03月31日,336867,0.0,,,73015.0,0.0,0.0,6095136.0,708178.0,,4484045,4472379,0,1183976.0,68331.0,0.0,31862,2134938,5487153,,0.0,0.0,0.0,0.0,42070.0,14135,0.0,269002.0,,0.0,9129.0,314.0,714996,0.0,0.0,238797.0,42738.0,263852.0,268122.0,1528070.0,5386958.0,1115645.0,196059.0,,735721.0,,4047380,55800,0.0,0.0,0.0,120895.0,0.0,,0.0,0.0,,3960947.0,7,,7.0,0.0,,8444992.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935492.0,199771.0,87298,87298.0,177981,0.0,0.0,714996.0,267469.0,1276000.0,1280266,0.0,0.0,0.0,0.0,11666,1826009,2957839,225978,225978.0,242705,0,242705.0,0.0
2014-08-12,2,2014,391258.0,391258,2366025,0.0,62399.0,62399,352292,0.0,37631.0,36273.0,59717.0,95990,0.0,39843.0,80965.0,0.0,399506,0.0,399506.0,3043,3043.0,33488,0.0,655044,35104,286651,256651.0,276017.0,6798.0,30000.0,0.0,453432,0.0,356129,264286.0,264286,0.0,0.0,0.0,215766.0,0.0,0.0,15035.0,-4143.0,724675.0,0.0,724675.0,0.0,3253342.0,38321.0,0.0,23967,91843,3623617,3253342.0,0.0,355240.0,15035.0,0.0,1531.0,0,,0.0,0.0,218192.0,218192,9574,118550.0,118550,318519.0,318519,263,591079.0,551236,390.0,390,519597.0,519597,9.0,9,373665.0,2192991.0,645877.0,0.0,0.0,0.0,0.0,0.0,0.0,4047380,0.0,2014年06月30日,288351,0.0,,,224575.0,0.0,0.0,6108888.0,686508.0,0.0,4443999,4433167,0,1183976.0,62724.0,0.0,49806,2256891,5572577,,0.0,0.0,0.0,0.0,40678.0,14135,0.0,258546.0,,0.0,6956.0,46.0,530287,0.0,0.0,238797.0,42738.0,63776.0,269219.0,1547114.0,5422380.0,1121252.0,196059.0,,748271.0,0.0,4047380,55800,0.0,0.0,0.0,141440.0,0.0,,0.0,0.0,,4064108.0,7,,7.0,,,8508107.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,944976.0,196705.0,81085,81085.0,150977,0.0,0.0,530287.0,257015.0,1272700.0,1272700,0.0,0.0,0.0,0.0,10832,1807217,2935530,233452,233452.0,228682,0,228682.0,0.0
2014-11-07,3,2014,444010.0,444010,2306076,,62399.0,62399,433670,,27088.0,25731.0,55837.0,81568,,39843.0,75808.0,,203215,,203215.0,8266,8266.0,21092,,754619,46713,283337,253337.0,276746.0,7119.0,30000.0,0.0,432971,,348071,255598.0,255598,,,,176810.0,,,11842.0,-5996.0,724675.0,,724675.0,,3267066.0,62276.0,,23967,92473,3647309,3267066.0,,368401.0,11842.0,,1510.0,0,,0.0,,249416.0,249416,4857,118683.0,118683,264838.0,264838,4447,591300.0,551457,579.0,579,500774.0,500774,3343.0,3343,363204.0,2187761.0,625840.0,,,,,,,4047380,,2014年09月30日,369729,,,,305953.0,,,6114819.0,659025.0,,4508251,4502149,0,1183976.0,57977.0,,49806,2103436,5556970,,,,,,46209.0,14135,,217554.0,,,12128.0,55.0,491233,,,238797.0,37807.0,63776.0,269627.0,1561921.0,5455794.0,1125999.0,200990.0,0.0,761245.0,,4047380,45800,,,,158914.0,,,,,,3905399.0,7,,7.0,,,8413650.0,0.0,0.0,,,,,,,,954878.0,193633.0,81992,81992.0,140134,,,491233.0,216044.0,1287000.0,1287000,,,,,6102,1801963,2856680,262728,262728.0,263896,0,263896.0,
2015-03-24,4,2014,,793428,2300176,,,56266,508990,,,,,141895,,,,,197092,,,3817,,28252,,1074944,19899,234595,,,,,,422607,,314755,,220819,,,,,,,,,,,,,,,,26067,93936,3570708,,,,,,,0,,0.0,,,224162,6742,,108683,,313962,51,,557441,,11,,584884,,1903,350740.0,,,,,,,,,4047380,,2014年12月31日,445049,,,,,,,,,,4615114,4584622,0,,,,49806,2333817,5561570,,,,,,,14135,,261107.0,,,13068.0,85.0,395113,,,,,,,,,,,,,,4047380,45800,,,,,,,,,,3748165.0,0,,0.0,,,8363279.0,,,,,,,,,,,,78941,,130512,,,,,,912800,,,,,30492,1414348,2801709,205124,,261617,0,,
2015-05-12,1,2015,,789373,2243101,,,53081,665288,,,,,127189,,,,,198041,,198041.0,3837,,29700,,1072144,14863,234261,,,,,,424274,,318287,,224195,,,,,,,,,,,,,,,,26097,94092,3544763,,,,,,,0,,,,,171859,5188,,108776,,235739,1365,,552760,,658,,516489,,199,,,,,,,,,,4047380,,2015年03月31日,601347,,52785.0,49.0,,,,,,,4771744,4742368,0,,,,49806,2135953,5442970,352377.0,,,,,,14135,,,241190.0,,,,290056,,,,,,,,,,,,,,4047380,45800,,,,,,8208186.0,,,3436442.0,,0,,0.0,,8208186.0,,,,,,,,,,,,,91115,,150747,,,,,,785100,,,,,29376,1300489,2765216,221575,,267908,0,,
2015-08-11,2,2015,775386.0,775386,2204299,,,53081,581695,,,,,153030,,,,,495188,,495188.0,1403,,17142,,1016493,5917,284938,,,,,,424327,,284580,,190770,,,,,,,,,,,,,,,,27397,93810,3558046,,,,,,,0,,0.0,,,149854,3042,,104911,,197836,5463,,528692,,493,,520631,,0,,,,,,,,,,4047380,,2015年06月30日,479800,,96069.0,53.0,,,,,,,4669070,4646217,0,,,,87760,2398310,5639539,351130.0,,,,,,14135,,,370011.0,,,,329454,,,,,,,,,,,,,,4047380,45800,,,,,,8334271.0,,,3665201.0,,0,,0.0,,8334271.0,,,,,,,,,,,,,89164,,152772,,,,,,753400,,,,,22853,1266891,2694732,222242,,235190,0,,
