date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代理店往來（海陸運輸業適用）,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付租賃款－非流動,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,按攤銷後成本衡量之金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期應付票據及款項合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,11982803,89628933,,0.0,399500,-3442111,2619917,1652205,8371628,7340870,-733087,13549636,437156,4176743,712782,5807322,2899871,5807322,12647990,4941074,18150311,40116,416353,3522504,,22256573,3803887,162715,0,77832,5629237,1030758,4842730,241054,324169,0.0,2077679.0,3947008,0.0,0.0,1958147,28187131,2013年03月31日,-3442111,,36002575,32222181,0,0,26606295,24120214,,34873,0.0,0,,5322403.0,117515.0,194220,28187131,,328230,177481,,106420941.0,8210248,,142423516.0,0.0,632,2015859,1897117,1897117,2532325,0.0,0.0,42835485,5629237,,10323292,3780394,79814646,118303302,,1054835,1563228,597539,597539,0
2013-08-13,2,2013,14492643,91186471,,0.0,499501,-6087038,98602,1521302,8927876,8908870,-801589,16621046,540051,3481347,718388,5852211,2305171,5852211,12628138,4979913,18679459,58808,422009,4063339,,23997196,4511587,202055,0,54320,5595418,19006,5979956,242810,340463,0.0,2052807.0,3940511,0.0,0.0,2027177,28187131,2013年06月30日,-6138472,,33601149,29861356,0,5143,30989783,26646012,,50546,0.0,46291,,11201012.0,126001.0,256020,28187131,,235683,222926,,113610667.0,8562852,,147211816.0,0.0,55195,398635,1881275,1881275,2660837,0.0,0.0,43891349,5595418,,10721007,3739793,82620884,120565804,,839848,1625424,538227,538227,0
2013-11-08,3,2013,14327361,91220008,,0.0,499500,-5041297,101421,1991844,9715590,9661691,-415297,16258655,534753,3906377,663339,5159043,2548061,5159043,12605315,5140796,17650192,82977,517668,3937459,,23868413,4589053,330790,0,47222,5435059,53899,6174708,268559,401778,0.0,2029460.0,3933522,0.0,0.0,2111106,28187131,2013年09月30日,-5092731,,35008472,31293389,0,5143,31974376,29459540,,51713,0.0,46291,,12394519.0,218826.0,597735,28187131,,191154,152773,,114458644.0,8562852,,149467116.0,0.0,25351,1204729,2078043,2078043,2549691,0.0,0.0,43779724,5435059,,10749527,3715083,82484268,120007576,,1069990,1140977,610589,610589,0
2014-03-25,4,2013,11317717,89727302,354000.0,,499500,-3794292,51433,2002458,2617694,2079661,-279807,12375832,645100,1551769,501050,5219619,696719,5219619,12641659,5157322,7380657,57962,409081,3543069,,28864549,12831847,600427,79831,50654,5407688,538033,5465270,445394,332878,,2076649.0,3927498,,,8367398,28187131,2013年12月31日,-3845726,,33572940,32675884,0,5143,30148712,27507727,,47022,,46291,,13631975.0,72092.0,937835,28187131,,562680,115708,,108680916.0,8562852,,142253856.0,,19820,1886873,2330771,2330771,2794294,0.0,0.0,34579517,5407688,,631278,897056,78532204,114746129,,599066,1062717,413015,413015,0
2014-05-06,1,2014,10552410,90201665,,0.0,499500,-5358328,34095,1698198,2344538,2316602,-427338,11681135,646217,1950105,742030,5194116,960861,5194116,12697122,5182177,6668844,30287,410164,3524666,0.0,28909704,11650797,398267,79873,52141,5427313,27936,6083515,279841,386255,0.0,2087632.0,3921162,0.0,0.0,8352975,28187131,2014年03月31日,-5409762,,31893875,30964317,0,5143,27839216,25185374,,43380,0.0,46291,10129604.0,,67061.0,1166630,28187131,,367110,102300,,107195835.0,8562852,,139089710.0,0.0,31664,1977305,2059967,2059967,2518612,0.0,0.0,35587526,5427313,,623384,929558,79356619,113904336,,819988,410893,482508,482508,0
2014-08-12,2,2014,10601503,89745058,,0.0,499500,-1339562,9718,1556681,2315674,2315674,-772224,11608789,611305,2842389,929730,5197913,1367096,5197913,12408925,5067988,7118847,23922,405034,3752597,0.0,26452794,14667396,886473,79873,44850,5241100,0,7499587,366237,408023,0.0,2099837.0,3914670,0.0,0.0,8358004,28187131,2014年06月30日,-1339562,,31758822,30843905,0,0,31354964,28560075,,46843,0.0,0,11587751.0,,78476.0,995386,28187131,,632416,102300,,110678232.0,4768560,,142437054.0,0.0,45631,1261795,2164372,2164372,2637376,0.0,0.0,38194877,5241100,,615491,914917,79323268,113876979,291707.0,831978,584780,395981,395981,0
2014-11-12,3,2014,9998803,90799187,691766.0,,499500,63762,30038,1567295,3420143,2729908,-620221,12261398,752855,3606163,1041795,5034578,1872602,5034578,12222587,4877600,6579922,22621,407734,3727335,0.0,30169987,14133652,891504,99846,60648,5248819,690235,8368066,380294,422988,,2096168.0,3899712,,,8727602,28187131,2014年09月30日,63762,,33363080,32399232,0,0,32890164,30857345,,43216,,0,12029372.0,,113063.0,1372450,28187131,,413199,102300,,112278049.0,4768560,,145641129.0,,124261,1487588,2075063,2075063,2667350,,,34817948,5248819,,607598,963848,79387885,114783784,,805501,507391,1509740,1509740,0
2015-03-25,4,2014,13124982,86094560,599718.0,,494597,420209,2648,1538992,2895901,2893168,-237248,15037701,442722,2690147,1034966,5011864,1055463,5011864,12443932,4950878,6780569,25771,636196,3199263,0.0,26431834,14084195,1084507,0,50151,5380340,2733,7479618,373677,364608,,2112714.0,3892335,,,8671115,28563800,2014年12月31日,420209,,34641303,33646049,0,0,34924320,38417874,,40387,,0,21683555.0,,126170.0,947025,28563800,,620012,102300,,113949775.0,4899288,,148591078.0,,78658,1868239,2105244,2105244,2660649,,,37942145,5380340,,599705,995254,79025455,110173204,,756119,507033,1469997,1469997,0
2015-05-08,1,2015,16728373,88380648,411341.0,,494597,747661,102709,1425779,2465882,2448194,-510445,18628542,549082,1728042,1152745,4572524,163956,4572524,11919182,4615093,6323274,20536,629098,2932353,0.0,21247144,13466739,938815,1499054,50003,5236276,17688,6625041,369607,369923,,,3886902,,,8627004,29979187,2015年03月31日,747661,119116.0,36514915,35607555,0,0,39204839,35650928,2067813.0,47088,,0,,20993943.0,,1187604,29979187,147434149.0,836255,102300,110919234.0,,5391152,147434149.0,,,12829,1748460,2004312,2004312,2597929,,,36441457,5236276,,591812,907360,71714395,111783221,,780850,509304,1351087,1351087,0
2015-08-12,2,2015,14961750,89545646,564076.0,,494597,735893,2544,1224118,3442866,2811201,-870591,17005157,657626,3936546,1088985,4776336,2283485,4776336,11919211,227521,6673371,16693,606980,2702827,,19320234,14182724,703681,6397200,53866,5090898,631665,7130219,381498,299711,,,3888822,,,8561120,30044401,2015年06月30日,315684,142944.0,36139977,35324279,0,41137,44397382,36394651,2058269.0,47108,,379072,,19755917.0,,1926586,30044401,149735332.0,529727,102300,113595355.0,,5414576,149735332.0,,,12631,1391518,2029837,2029837,2905899,,,35826391,5090898,4542523.0,583919,815698,69197973,113340681,0.0,793871,689443,1385781,1385781,0
