date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,4941395,0,4941395,6583798,12554154,116617,3344581,38714930,10503,3657217,17,-1589599,8490188,3548793,2713396,,1487426,2262861,,39856555,6054286,0.0,,4107661.0,62868517,0,66936448,46441,1761139,195357,28347268,2013年03月31日,-6180553,,,76695609,76693291,112365290,12607933,124142561,162471338,39535035,,,6126774,,47373516.0,2102658.0,1195973.0,1411262,,28347268,,10134213,215791,,142744655.0,43435754,,219440264.0,181980,667905.0,70481,,3123311,3286155,228310.0,504677.0,9000000,2318,18602094,56968926,0.0,0
2013-08-07,2,2013,5018694,0,5018694,6477712,12211324,107761,3077364,41907998,14,2482403,17,-1483013,8280602,3261908,3011020,,1561502,2178597,,50110686,6054286,0.0,,9953432.0,69631402,0,66477907,26937,1652164,179024,28347268,2013年06月30日,-3927618,,,76731232,76729020,112365290,10012168,131916194,176608083,39464926,,,6126774,,52046266.0,1730149.0,1257928.0,70000,,28347268,,10016542,120142,,156384407.0,43707727,,233115639.0,213006,713859.0,454407,1200.0,3119278,3476569,66481.0,632751.0,9000000,2212,24468213,56507556,,0
2013-11-05,3,2013,0,0,0,6403146,-909054,116532,3077257,40198103,0,2734232,10,-2223700,2992320,2992320,3074101,,1617084,1918200,,41999365,6054286,0.0,,8743061.0,52454012,1508,64774995,26979,1607991,180109,28347268,2013年09月30日,-17047996,,,62870357,62867955,112365290,10012168,107957449,148412344,28758653,,,6126774,,33948980.0,2089445.0,1359279.0,65000,,28347268,,9232524,120153,,131000032.0,43707727,,193870389.0,910145,469971.0,340429,600.0,3092314,3512089,14392.0,37442.0,9000000,2402,23042583,45458045,,0
2014-03-27,4,2013,0,1800000,1800000,6133729,-8325852,123130,2900334,41371865,656,1701702,17,-1425876,5079566,3279566,3079144,1165811.0,1599912,1986054,820243.0,35566324,6054286,0.0,,8974513.0,55217361,665,62081029,22712,1590433,176334,28347268,2013年12月31日,-24464794,,,56251370,56248981,112365290,10012168,113688491,147088855,28720088,,,6126774,,42983663.0,847385.0,1272678.0,389989,,28347268,,10305579,342938,,134248340.0,43707727,,190499710.0,475425,496143.0,246295,,1946343,1903883,0.0,12161.0,7200000,2389,20559849,43410855,,0
2014-05-08,1,2014,0,1800000,1800000,6036062,-8324734,127679,3225084,40066282,0,1681235,26,-27845,4952563,3152563,2861600,1351753.0,1528592,2061475,709722.0,28222631,6054286,,0.0,9112768.0,45988884,2088,60509657,24377,1458270,184620,28347268,2014年03月31日,-24463676,,,57650516,57648130,112365290,10012168,103388416,137659020,28819181,,,6126774,42746540.0,,858248.0,1306879.0,1079738,-24463676.0,28347268,,9945130,150754,,123876315.0,43707727,,181526831.0,495483,507597.0,178396,,1988188,2083119,0.0,0.0,7200000,2386,20487899,43867811,,0
2014-08-07,2,2014,0,3600000,3600000,5804167,-316218,146570,3398816,42774965,394,1563110,39,-1093172,7342983,3742983,3003318,1295738.0,1527342,1994569,698831.0,33360616,3186038,,0.0,9151295.0,50634706,395,66788966,29288,1392537,188741,27791078,2014年06月30日,-316218,,,57069830,57067504,56746290,0,112051031,146943000,25963236,,,0,40545933.0,,900618.0,1277987.0,374333,-316218.0,27791078,,9539416,144684,,130718626.0,33871854,,187788456.0,483221,489864.0,227173,600.0,1954410,2102790,0.0,0.0,5400000,2326,18667595,40845456,,0
2014-11-06,3,2014,3392278,3600000,6992278,5603561,334448,151440,3792956,41063620,0,1732959,26,-1172851,10328065,3335787,2885729,1127129.0,1511778,1746341,619212.0,39794555,3186038,,0.0,5901353.0,58923821,809,66759726,51941,1128440,183567,27965678,2014年09月30日,334448,,,57951791,57949465,56746290,0,121471464,153850075,26056676,,,0,39245209.0,,1165297.0,1434122.0,209992,334448.0,27965678,,9120883,136245,,136404345.0,34008228,,194356136.0,658977,0.0,1794368,0.0,1983505,1994520,0.0,0.0,5400000,2326,14932881,40506061,,0
2015-03-25,4,2014,3634818,3600000,7234818,5484061,931664,146479,3859807,42165243,788,1261631,9,817893,9910518,2675700,2981846,1162526.0,1703823,1864360,701834.0,36600487,3186038,,0.0,5880437.0,54824412,13961,59167731,23837,1113067,142461,27965678,2014年12月31日,931664,,,60629850,60627593,56746290,0,117755891,150885170,26727547,,,0,47558651.0,,927296.0,1244873.0,317000,931664.0,27965678,,8972446,127752,,130465187.0,34098396,,191095037.0,624227,0.0,1899626,0.0,1397284,1018564,0.0,0.0,3600000,2257,12709296,40209867,,0
2015-05-07,1,2015,3653388,3600000,7253388,5113918,1076969,154285,3795911,39331187,4389,1338379,15,-1518734,9555317,2301929,2790213,1263109.0,1592854,1878509,615400.0,37997454,3186038,,0.0,5901936.0,44222543,9403,49763811,23662,1200009,129309,30965678,2015年03月31日,1076969,892324.0,1265673.0,63748935,63746841,56746290,0,102621505,139824535,26130822,,,0,,44199214.0,,,30000,,30965678,178977923.0,7576536,127239,115228988.0,,36408966,178977923.0,,999806,0.0,2291829,,1385454,904910,,,3600000,2094,12607483,39153388,,0
2015-08-06,2,2015,6398045,3600000,9998045,4988668,1079416,164443,3421137,36055079,0,1061440,0,-2084630,12567134,2569089,2834859,1102618.0,1581451,1879327,776709.0,38931716,3186038,,0.0,0.0,42225920,12568,48384039,40834,1205723,130702,30965678,2015年06月30日,147752,868237.0,1056771.0,63185483,63183392,56746290,93166,99512257,129315498,25712419,,,838498,,36400657.0,,,0,,30965678,167564322.0,6910635,105947,104378839.0,,36408966,167564322.0,,872684,0.0,440739,0.0,1379184,910848,,,1800000,2091,4866582,38248824,,0
