date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應收帳款淨額,應收所得稅退稅款,應收票據淨額,應計退休金負債（應付退休金費用）,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
1926-08-11,2,2015,,,0.0,1041409,13025.0,13025.0,1321424,-15962.0,20038,137531,,417478,10866,191387,134057,406612,57330,14524,7489,,92003,77479,153493.0,1069371,,0,0.0,,108583,1619588,,26286,,,224500.0,1214893,2015年06月30日,910377,16470.0,,3976724,3976724,0,378308,2113616,5296087,7489.0,2278,32739,,2389455.0,,,1571085,1214893,6696057.0,2719333.0,,1302876,5109.0,0.0,1297767,1297767,,,6696057.0,,,,0.0,320228,6717,278000.0,,605717,1399970,0
1927-08-05,2,2016,,,0.0,1440959,0.0,0.0,1402917,-21221.0,14779,88947,,386168,11322,178266,113135,374846,65131,12421,5512,,86066,73645,110168.0,1203998,,119237,0.0,,117190,1475566,,20350,,,249351.0,1214893,2016年06月30日,980585,24684.0,4761.0,3914776,3890577,4813000,389593,1795397,4661237,5512.0,1236,32739,,1778296.0,,,1267200,1214893,6459325.0,2544549.0,,1303057,5109.0,,1297767,1297767,181.0,,6459325.0,,,155.0,0.0,321030,5697,422610.0,24199.0,749152,1798088,0
2013-04-29,1,2013,,0.0,0.0,647288,,,1448820,,36000,77663,77663.0,144295,9405,151556,101605,134890,49951,10599,7935,,48903,38304,,1307012,,62645,,384868.0,71228,2200290,,29526,7935.0,,,1188762,2013年03月31日,1138978,,,3858629,3858629,1588000,277103,1411991,5170245,,5528,32739,,1481861.0,75380.0,,1120907,1188762,,,2059136.0,1206029,,31031.0,1165981,1165981,,9017.0,,5917765.0,,181.0,0.0,254342,9801,,,647145,747520,0
2013-08-05,2,2013,,0.0,0.0,647435,,,1321836,,36000,102028,,393399,12982,121185,65382,380417,55803,8475,7858,,72449,63974,102028.0,1179662,,62645,,386612.0,22513,2145913,,21690,7858.0,,229645.0,1188762,2013年06月30日,976768,,,3756010,3756010,1588000,312329,1801638,5209108,,5137,32739,,1740658.0,55442.0,,1329723,1188762,,,2451900.0,1206029,,31031.0,1165981,1165981,,9017.0,,6207910.0,,561.0,,255792,8136,,,650262,998802,0
2013-11-05,3,2013,,0.0,0.0,650013,,,1379641,,36000,73713,,197698,13145,131329,53787,184553,77542,10464,7786,0.0,98626,88162,73713.0,968922,,62645,,388364.0,43354,1844467,,25025,7786.0,,229331.0,1188762,2013年09月30日,1034573,,,3785500,3785500,1588000,312329,1491602,4903450,,4761,32739,,1933707.0,13870.0,,1236669,1188762,,,2143334.0,1206029,,31031.0,1165981,1165981,,9017.0,,5928834.0,,11.0,,255582,6653,,,651732,1025384,0
2014-03-18,4,2013,390124.0,0.0,390124.0,641268,,,1462476,,36000,95056,,597556,13699,147538,90548,193733,56990,13318,7714,,97862,84544,95056.0,1153373,,62645,,0.0,100137,1833345,,33675,7714.0,,228798.0,1188762,2013年12月31日,1117408,,,3889678,3889678,1588000,312329,1973865,5123231,,4350,32739,,1955300.0,35894.0,,1240278,1188762,,,2247814.0,1206029,,31031.0,1165981,1165981,,9017.0,,6137492.0,,0.0,,266235,5983,,,273949,1014261,0
2014-05-05,1,2014,364566.0,,364566.0,631128,14852.0,14852.0,1557673,-6799.0,29201,126229,,546857,10579,152248,91081,171712,61167,10873,7655,,107976,97103,133028.0,1004787,,62645,,0.0,124591,1852231,,31637,7655.0,,227051.0,1195522,2014年03月31日,1212605,,,4043374,4043374,1588000,312329,1607594,4922317,,3975,32739,1881414.0,,37642.0,,898370,1195522,,,1899284.0,1226595,,31031.0,1187223,1187223,,8341.0,,5942658.0,,134.0,,284035,6158,,,291690,1020341,0
2014-08-12,2,2014,0.0,,0.0,666509,,,1391411,-6799.0,29201,80358,,445661,10576,186889,115107,435085,71782,17035,7599,,99991,82956,87157.0,1123594,,62645,0.0,0.0,198441,1927364,,32750,7599.0,14816.0,226526.0,1230773,2014年06月30日,1010951,,,3973804,3973804,1588000,347721,1706694,4925926,,3592,32739,1654651.0,,47064.0,,1015528,1230773,,,1998960.0,1333907,5109.0,31031.0,1297767,1297767,,0.0,,5972764.0,678.0,0.0,,284667,6203,,,292266,1046838,0
2014-11-10,3,2014,0.0,,0.0,687641,14813.0,14813.0,1471940,-17239.0,18761,126414,,206331,13051,267412,206898,193280,60514,14706,7543,,99803,85097,143653.0,1135670,1135670.0,62645,0.0,0.0,98322,1962539,,34731,7543.0,,226348.0,1230773,2014年09月30日,1091480,,,4100389,4100389,1588000,347721,1919676,5259931,,3219,32739,1859579.0,,28487.0,,1585208,1230773,,,2216480.0,1333907,5109.0,31031.0,1297767,1297767,,0.0,,6316869.0,,1328.0,,289261,6353,,,296804,1056938,0
2015-03-16,4,2014,0.0,,0.0,1057908,14416.0,14416.0,1514853,-15962.0,20038,214149,,199347,17475,198222,145593,181872,52629,15629,7489,,94372,78743,230111.0,1188292,,0,1588000.0,,42099,1908358,4761.0,27789,7489.0,,224852.0,1214893,2014年12月31日,1134393,,,4246771,4246771,0,347721,1774144,5216175,,2876,32739,1888071.0,,25058.0,4761.0,1507640,1214893,,,2390698.0,1302876,5109.0,0.0,1297767,1297767,,0.0,,6637469.0,,,682.0,331065,6832,278000.0,,616554,1421294,0
