date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,10758600,50838877,662829,80085107,13219334,3964952,,13152093,13152093.0,2599802,-6111440,30091768,13455943,9499275,2325973.0,5877225,7173302.0,989704.0,798895,164810,2454029,1464325.0,111198487,111198487.0,333094,,157874555,,126779067,634085.0,73370,3155876,417810,38500184,2013年03月31日,,133595657,125896839,0,371989382,463484558,,898044,,196651585.0,7977141.0,162893825,38503189,,0,,393578695.0,13753077,,,527174352.0,0.0,381132,0.0,1626662,4379883,19163756,7698818,21589313,63689794,3005.0,1271000
2013-08-14,2,2013,,0,50397456,662829,68691171,17847560,3355300,,31358746,,2378430,-7187743,21962732,16159703,10594953,,5803029,,,759549,126312,2453367,,95100874,,333094,,149921391,,118077308,633237.0,73208,2129753,390726,38542584,2013年06月30日,,121092482,113568228,8108885,351391190,432490904,,871642,,186047364.0,6109061.0,142039260,38542584,,0,,373785604.0,13855310,13855310.0,,494878086.0,0.0,314662,0.0,1500721,4182654,20134144,7524254,22394414,62387182,0.0,0
2013-11-14,3,2013,,0,48972333,662829,73344481,6530369,3401295,,15757840,,2066481,-7439682,21573374,16367594,11637102,,5205780,,,725884,93495,2414249,,113880360,,333094,,186208178,,129555020,632389.0,73047,3012436,387697,38553444,2013年09月30日,,125634459,118001987,8108885,389019121,487827264,,877362,,220804788.0,6061077.0,159418652,38553444,,0,,423130474.0,13876838,13876838.0,,548764933.0,0.0,340708,0.0,1407500,4148857,31977969,7632472,34111353,60937669,0.0,0
2014-03-28,4,2013,,896100,48041689,719577,78771169,11754728,3074012,,16746155,,2419398,-7781048,19782961,13439551,6747928,,5447310,,,781599,78892,4409353,,86552540,,333094,,191282728,600000.0,179023851,702707.0,72885,0,386858,38626274,2013年12月31日,,131086830,123302011,8108885,392709068,496426129,,876878,,207448269.0,5738118.0,158559106,38626274,,0,,426998409.0,14018710,14018710.0,,558085239.0,0.0,2479415,0.0,2106904,4077858,31400838,7784819,34289341,61659110,0.0,0
2014-05-13,1,2014,,2437200,47519983,719577,83446325,16528134,3345567,,14512794,,2954254,-6684660,25188306,16822609,6829992,,5928497,,,782087,80096,4617592,,98243647,,333094,0.0,166784833,0.0,134157670,701991.0,72724,0,402875,38626274,2014年03月31日,,137076742,129073554,8108885,377607008,487442049,,836553,226183548.0,,6711665.0,164408871,38626274,,0,,411985026.0,14018709,14018709.0,,549061768.0,539.0,2544804,,2097199,4104848,31498732,8003188,34378018,61619719,0.0,0
2014-08-14,2,2014,,11614499,46002250,109947,72835424,15753299,3458520,0.0,32636247,,3087003,-6310086,35743601,17305899,10475521,,6823203,,,831374,130167,5093672,,96686285,,333094,0.0,172920477,0.0,153572764,701207.0,72563,0,410634,38626274,2014年06月30日,,126345293,118848553,8108885,399471426,490268083,,788053,206805950.0,,5792322.0,152378779,38626274,,0,,423948613.0,14030035,,,550293906.0,,3887261,,2116423,4090184,21529390,7496740,24477187,60025823,0.0,0
2014-11-12,3,2014,,12134938,46490284,109947,77567889,5910846,3406836,0.0,19142181,,2694079,-5653591,38346113,17065016,10920304,,9146159,,,886803,186369,5453622,,115905540,,333094,0.0,203332953,0.0,166107239,700434.0,72401,0,402730,38626274,2014年09月30日,,131804005,124237513,8108885,398200909,493641571,,796555,188392816.0,,6870764.0,130496428,38626274,,0,,422685921.0,14030035,,,554489926.0,12470.0,3710747,,2116599,4115980,21481610,7566492,24485012,60848355,0.0,0
2015-03-30,4,2014,,11754916,51163310,60290,82979816,13837534,3999716,,28180189,,3062935,-2941161,42263584,22231444,13741791,,8277224,,,943106,240372,5396903,,100739763,,333094,0.0,175376332,200000.0,183376661,702734.0,72239,0,394742,38626274,2014年12月31日,,140080096,132362477,8108885,441996629,541068023,,822591,222057452.0,,6329986.0,189625552,38626274,,0,,467734626.0,14030642,,,607814722.0,20986.0,4251887,,1841553,4836908,22953338,7717619,25737997,66746699,0.0,0
2015-05-14,1,2015,,20988203,50755240,60290,86652116,14060419,3923409,0.0,26812544,,3786211,-3404380,53606736,23874091,12618953,,8744442,,,969360,267347,5554192,,122485724,,333094,0.0,143896244,0.0,146652379,,72078,0,389463,38626274,2015年03月31日,7011456.0,143174484,135571558,8108885,426721918,518192316,702013.0,834522,,213749600.0,,195394938,38626274,584596669.0,0,441422185.0,,14030642,,584596669.0,,0.0,4839030,,1841543,4815159,11889364,7602926,14700267,66404353,0.0,0
2015-08-11,2,2015,,887440,49260363,60290,74575092,15644952,3526854,0.0,41506728,,3380201,-4735482,28042497,18852917,11428346,,8302140,,,1013182,312014,5546490,,129670907,,333094,0.0,181722057,0.0,176690664,,71917,0,378600,38626274,2015年06月30日,5343701.0,129148067,122175356,8108885,452763210,537011073,701168.0,845357,,196061278.0,,196148227,38626274,601495123.0,0,472347056.0,,14042566,,601495123.0,,0.0,4134725,,1841533,4794179,16729131,6972711,19583846,64484050,,0
