date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-08-13,2,2013,2456487,12199371,11635,3699987,,2138756,2429806,40639,173713,2849,556376,,2517163,34590,196251,,,903134,136454,20627,,2089,20556,1678280,0,,1144323,4218682,1268,377503,,8428553,2013年06月30日,3349385,,,17267264,14280527,0,350602,7574877,16594274,,0,,10203215,20742,2202,1400909,8428553,,21295,,14121168,1595611,,31388432,0,193491,307942,5449666,523542,95271,2986737,6546291,14794158,117814,2407,26086,0,23679
2013-11-13,3,2013,2568260,12431949,11635,4325853,,1958845,1609428,40061,92363,2643,490796,,2617209,27251,299140,,,886006,134666,20422,,2176,20462,1486857,,,1009318,4192947,1071,375156,,8428553,2013年09月30日,3975251,,,17569454,14880439,0,350602,6857523,15004945,,0,,8811559,40613,52,1509514,8428553,,31380,,12148617,1635237,,29718071,,164528,176031,4240560,508674,93782,2689015,5291094,14713126,118313,2385,21698,0,19313
2014-03-10,4,2013,2874757,12923517,8594,5014404,1080568,0,2250123,10572,160702,1488,264823,,2935354,27593,182998,,,911562,135442,20325,,2192,20460,1519403,,,956799,4043064,2207,413266,,8428553,2013年12月31日,4663802,,,17946773,15440368,0,350602,7181194,16812284,,0,,9718077,165234,32,786680,8428553,,76432,,12101980,1732588,,30048753,,120253,168916,3888971,496104,94657,2506405,4920786,13236469,103745,2423,33004,0,30581
2014-04-29,1,2014,2263052,12741633,8594,5897005,0,0,1729812,12340,86226,2976,8405,,2333074,35837,277354,,,898782,135032,20274,,2252,20479,1503542,,0,927998,4111558,3510,414212,,8428553,2014年03月31日,5546403,,,18651098,16105446,0,350602,6405936,15863611,,,9710240,,415432,0,962232,8428553,,25048,,10273028,1771483,,28924126,,150,175256,2968160,482318,94279,2545652,3867092,13060515,168205,2430,34185,0,31755
2014-08-12,2,2014,2224997,12797198,8594,5354791,0,0,3055935,21423,72422,2261,-4051,,2296794,29021,292900,,,882382,132941,19953,,2211,21041,1578404,,0,1001108,4311630,2786,413543,,8646193,2014年06月30日,4771864,,,18671942,16204424,0,582927,8014775,17407692,,,11007070,,540200,143,1032818,8646193,,66497,,11854957,2207491,,30526899,,0,180474,2957800,466628,91947,2467518,3840182,13119207,140076,2386,42776,0,40390
2014-11-12,3,2014,1662367,12711586,217708,6287806,0,0,1805538,10784,62615,3049,13325,,1751126,30629,263638,,,869559,134927,20192,,2186,21072,1708324,,0,1089008,4674100,2563,412496,,8646193,2014年09月30日,5704879,,,19725705,17182663,0,582927,6682953,18872715,,,11868719,,643769,94,1260144,8646193,,122584,,12387512,2235339,,32113217,,0,176281,4835000,454877,93663,2543042,5704559,13240502,289613,2447,58130,0,55683
2015-03-12,4,2014,1508153,13604115,217708,7288067,0,,2975188,11208,140277,2865,36074,,1605086,41318,269398,,,866461,137774,20517,,1694,21251,1704665,,0,1074925,4815365,2374,421030,,8646193,2014年12月31日,6705140,,,20864857,18243172,0,582927,8343771,20509379,,,13311902,,849482,72,1768270,8646193,,59612,,13770232,2272838,,34635089,,0,166113,4560000,443737,96006,2621685,5426461,14125710,262461,2525,55615,0,53090
2015-05-04,1,2015,1510647,13876668,18544,7935628,0,,2139246,12530,56903,2785,29132,,1630910,38774,102746,21,102725,920764,136612,20304,,1675,21857,1765019,,,885391,4187088,1166,,319282,8646193,2015年03月31日,7352701,1002566,0,21570100,18929151,0,582927,6955463,20693175,490284,,,14294237,,,1258073,8646193,35226327,26747,13656227,,2318198,35226327,,,0,182046,5780000,428805,94451,2640949,6700764,14533152,283231,2501,81489,0,78988
2015-08-10,2,2015,1500000,13818057,18544,6164392,,,4085531,10936,43896,2516,42204,,1616035,35793,74793,95,74698,903391,179810,65553,,1656,21776,1766948,,0,838729,4062888,951,,327623,9005516,2015年06月30日,5249602,371023,16,18618128,18618128,0,914790,8191531,18976349,488267,,,12805827,,,1198738,9005516,33493050,70539,14874922,,3406016,33493050,,,,172667,5780000,413468,92481,0,6683391,14516701,218514,2466,80242,0,77776
2015-11-12,3,2015,1548129,14038795,18544,6747863,,,1902416,11629,70999,5646,-422233,-537970,1607108,50040,85984,14318,71666,888004,181676,64256,115737,1758,21831,1750980,633737,97000,831408,3895453,2621,,335930,9163036,2015年09月30日,5833073,174131,14,18631011,18631011,20000000,914790,5929997,15683762,483172,,,9662327,,,1339926,9163036,30432147,63379,11801136,,3776082,30432147,,,0,173440,4983135,403074,95589,0,5871139,14748385,209738,,8939,0,
2016-03-10,4,2015,1548688,14211560,9960,6773369,,,2216414,11614,135092,7460,-383655,,1585492,28467,85247,,85247,907344,175420,61977,,2099,21840,1667691,0,313000,708480,3792211,1394,,346268,8962066,2015年12月31日,5858579,253726,0,19107629,19107629,0,914790,5924601,16015931,519471,,,10125668,,,1148875,8962066,30925406,0,11817777,,3755849,30925406,,,0,166267,4985832,385774,91603,0,5893176,14909475,201168,,8337,0,
2016-08-10,2,2016,0,14490891,9960,5644109,,,4016611,1139,116881,4400,-336580,,42453,33316,65975,,65975,870756,167355,57970,,1997,21782,2158974,989639,361000,855716,3798783,936,,355146,8972192,2016年06月30日,4506272,203836,34,17066769,17066769,29555000,1137837,6557015,17516083,513718,,,11100987,,,1437260,8972192,32736780,0,15670011,,3776687,32736780,,,,197345,8242240,355041,87603,0,9112996,15220697,269113,,9137,0,
2016-11-10,3,2016,992,15030016,9960,5899169,,,4231571,533,211330,4657,-348766,,38471,30570,66621,,66621,850003,161854,55779,,2056,21825,2229679,1007654,155000,966333,4124111,736,,362243,8967963,2016年09月30日,4761332,41075,41,17304444,17304444,30085000,1137837,6592960,17266245,509590,,,10368955,,,1314977,8967963,33017938,0,15713494,,3793732,33017938,,,,187620,8270531,338357,84250,0,9120534,15751693,260115,,6909,0,
