date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,10306452,76885083,2416168,117904478,55690586,13400042,708900,1623305,1231982,26412414,44922764,20457145,10150693,4837619,9612338,431562,14772199,23076802,0.0,,,,,2495373,11108179,9999593.0,7095733,5140941,692969,9180776.0,130549466,61209046,2013年03月31日,,235263775,235263775,0,,64495739,133972356,,585048,,,9793310.0,18099310,61209046,,,139426978.0,11227487,,374690753.0,3934.0,0.0,0.0,5717542,2110391,59601359,74931239,240718397,0
2013-08-12,2,2013,8997323.0,1310791.0,10308114,77118269,2416168,111213634,64488504,20449023,8231968,840820,1123435,22488661,64553683,21925920,11617806,4838953,9626957,449378,14653407,19706220,0.0,2448362.0,,,45399405.0,1769121,10393510,7097431.0,7540247,5508407,798605,9177579.0,143114696,61209046,2013年06月30日,36437882.0,250652156,250652156,0,41267621.0,68974218,137997221,,586506,33508131.0,,11504189.0,18713466,63657408,,,147377469.0,11227431,,398029625.0,1982.0,0.0,0.0,6239687,1694335,17137202,78403251,260032404,0
2013-11-12,3,2013,8994801.0,4610331.0,13605132,79103953,2416168,117697728,65334027,15703175,725396,1864407,1440873,20754650,58654023,24578548,10973416,4963356,9525255,440967,14603535,21305219,0.0,,,,45409811.0,1844499,10904352,6498733.0,6942317,4134672,719405,9084288.0,147665183,63657408,2013年09月30日,42921976.0,251236564,251236564,0,41267621.0,66408148,135275778,,646661,33508131.0,,9681259.0,19992213,63657408,,,145878164.0,11227405,,397114728.0,0.0,0.0,0.0,6584648,1700275,17950302,79470016,261838950,0
2014-03-24,4,2013,5996474.0,4995310.0,10991784,81456398,2416168,123326645,71546858,13993274,995821,882463,1591915,21069672,64176629,19846265,8854481,4926183,9357885,423770,13345840,21669071,0.0,,,,53893227.0,4478098,12853759,3099844.0,8699422,4631945,1059554,8934115.0,152358544,63657408,2013年12月31日,48550893.0,262436353,262436353,0,41267621.0,59677853,142867497,,638075,33508131.0,,7672877.0,17521603,63657408,,,146310012.0,11275671,,408746365.0,0.0,0.0,0.0,7165065,1670569,16215982,86632159,265878868,0
2014-05-13,1,2014,5997630.0,4995601.0,10993231,82735370,2416168,130539254,66048634,14132857,1304709,873549,1301605,20412446,59266552,21714094,10720863,5339146,9370189,473308,13677646,25004649,0.0,,,0.0,53900336.0,2104441,11855135,0.0,7549829,4893812,974458,8896881.0,155646296,63657408,2014年03月31日,55763502.0,264741394,264741394,0,41267621.0,54279417,140133368,,625134,33508131.0,8608789.0,,16427489,63657408,,,146271225.0,11278180,,411012619.0,0.0,0.0,0.0,7775356,1645780,20945927,91991808,270879251,0
2014-08-11,2,2014,2997069.0,2630002.0,5627071,82356330,2416168,122209262,75450054,26869877,13388590,1213023,1254210,20577187,82242193,17023804,11396733,5225208,9201677,511647,13488933,22723074,0.0,0.0,0.0,0.0,56893281.0,2339605,12174835,0.0,8130146,5627105,1126059,8690030.0,162901447,63657408,2014年06月30日,39791839.0,279387023,279387023,0,43339205.0,60034721,146478224,,600441,39078218.0,6365181.0,,13894864,63657408,,,157345917.0,11278160,,436732940.0,0.0,0.0,0.0,7995088,1621520,23221150,97311196,290254716,0
2014-11-11,3,2014,2997868.0,2130002.0,5127870,83005234,2437768,129726646,67478498,21094842,1249403,837653,974856,30292328,69840636,16715209,11587339,5780854,9038304,393742,13350613,22296652,0.0,,0.0,0.0,56900790.0,2019812,8688509,0.0,6751061,5081899,1299835,8644562.0,158660750,63657408,2014年09月30日,47309223.0,274502686,274502686,0,43339205.0,51660635,146860833,,593677,39078218.0,6904850.0,,22150049,63657408,,,153108329.0,11277996,,427611015.0,,0.0,0.0,8712571,1607298,26796029,101447694,280750182,0
2015-03-24,4,2014,7993512.0,1515645.0,9509157,83997627,2437768,129225172,83956324,10729587,1270407,937159,1052161,29179344,81731150,19135000,9625843,5082721,9000623,473906,10979936,22872390,,,,0.0,51913453.0,5454975,7358639,0.0,7350138,4225994,1026818,8526717.0,160602440,63657408,2014年12月31日,46807749.0,285891718,285891718,0,43339205.0,47923740,160138715,,601282,39078218.0,5392825.0,,13767560,63657408,,,145194972.0,11277988,,431086690.0,,,,9412161,1599335,26944995,97271232,270947975,0
2015-05-08,1,2015,7994987.0,2008253.0,10003240,82805292,2462768,132127349,87283948,10464659,2919944,1007355,1037557,28799968,84605918,22653082,12649842,4933315,9372170,499631,10788765,19033464,,,,0.0,51920286.0,1551414,9119588,,7179266,4405466,987988,,161982691,63657408,2015年03月31日,49709926.0,291668646,291668646,0,43339205.0,48174386,164776956,8872539.0,579113,39078218.0,,11115984.0,10923003,63657408,435507579.0,143838933.0,,11277971,435507579.0,,,,,9557168,1647335,24814923,95664547,270730623,0
2015-08-11,2,2015,12486304.0,4810668.0,17296972,81556985,2462768,132166697,83615153,6848391,13965058,808568,930828,22395541,73474984,30326254,13029282,5777608,9150336,445684,9948209,19253611,,,,0.0,44437011.0,1685703,8827784,,6463373,4258817,1432059,,168125434,63657408,2015年06月30日,43321232.0,280577028,280577028,0,45138549.0,66862215,160544557,8704652.0,560979,43706916.0,,16417567.0,11248848,63657408,431662165.0,151085137.0,,11277939,431662165.0,,,,,9995588,1614842,20639987,84222922,271117608,0
