date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2014-08-12,2,2014,1357933,221175,315068,383,9971,,262435,103729,167107,179329,9971,12257,0,38521,0,28047,194889,47918,1000000,2014年06月30日,167979,,1281146,1281146,0,53196,694971,878266,470707,294233,,28983,21917,1000000,,,,1613373,50000,50000,,2894519,198050,2172,8284,749123,0,918402,2016253,26807,0
2014-11-11,3,2014,1340663,308191,103943,506,16663,,269266,100745,158309,169993,16663,33109,0,38402,21989,27109,234398,56815,1000000,2014年09月30日,254995,,1374854,1374854,0,53196,537285,790653,464010,286814,,26568,50008,1000000,,,,1400225,50000,50000,,2775079,23332,4543,9760,700088,0,862940,1984426,54934,0
2015-03-19,4,2014,1352856,387732,165681,473,27120,0,366132,63104,175466,216670,27120,39437,0,19725,27986,28595,182949,69805,1000000,2014年12月31日,334536,,1464852,1464852,0,53196,696617,890935,457294,393977,,45343,43155,1000000,,,,1461100,50000,50000,,2925952,100427,6313,8197,582704,0,764483,2035017,40763,0
2015-05-12,1,2015,1338276,479656,137906,942,23930,0,227863,61919,174616,218686,23930,50649,0,28814,26985,31393,253013,58635,1115000,2015年03月31日,426460,67144,2071086,2071086,0,53196,557049,963804,447470,,349718,,36944,1115000,2976433,,905347,,452500,452500,2976433,,146663,8589,8197,165093,,348298,2012629,42265,0
2015-08-11,2,2015,1332049,365314,403982,1259,19032,0,255220,10508,173897,222783,19032,61776,0,34376,26986,35819,244307,59143,1115000,2015年06月30日,281698,44196,1951846,1951846,0,83616,800579,1080796,437049,,413948,,0,1115000,3080875,,1129029,,452500,452500,3080875,,248472,10625,8198,143928,,328450,2000079,41383,0
2015-11-12,3,2015,1345192,498915,149221,1159,33773,0,245671,10613,176290,229717,33773,67036,0,28286,30971,40328,248007,49855,1115000,2015年09月30日,415299,42794,2100188,2100188,0,83616,537271,942381,426829,,389326,,0,1115000,2952317,,852129,,452500,452500,2952317,,143097,13701,8198,124867,,314858,2009936,33288,0
2016-02-26,4,2015,1341709,669706,169674,868,20250,0,259139,44688,164878,199213,20250,55418,0,28083,42961,39648,217019,54673,1115000,2015年12月31日,586090,69112,2257456,2257456,0,83616,614617,1138406,416707,,482821,,6000,1115000,3105699,,848243,,452500,452500,3105699,,261329,17454,9664,51294,,233626,1967293,21590,0
2016-05-06,1,2016,1346599,812136,141828,717,17980,0,206680,56740,160334,206915,17980,51969,0,49855,42960,44701,228490,54856,1115000,2016年03月31日,728520,104145,2397616,2397616,0,83616,600169,1257014,408653,,579280,,10000,1115000,3229106,,831490,,452500,452500,3229106,,260084,24381,9925,46606,,231321,1972092,24878,0
2016-08-12,2,2016,1365867,565222,568376,35,7274,0,211819,34309,150263,212720,7274,60431,0,46766,38985,47487,246340,55772,1115000,2016年06月30日,430251,63520,2139996,2139996,0,134971,994953,1374265,399190,,715562,,18000,1115000,3362284,9017,1222288,,452500,452500,3362284,,240234,25749,10242,42306,,227335,1988019,21582,0
2016-11-11,3,2016,1409705,708230,175308,60,-5580,0,228586,44235,149529,204062,-5580,54524,0,31657,52937,57200,282142,31861,1115000,2016年09月30日,573259,43539,2270150,2270150,0,134971,607227,1087288,388860,,529210,,18000,1115000,3100524,10057,830374,,452500,452500,3100524,,126946,25554,10609,38007,,223147,2013236,18310,0
