date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,344714,3503388,4692,594230,,372044,264330,32034,345769,526745,0.0,0.0,28043,430915,151452,3355,,337,10322,3194683,288910,,,504642,429276,187626,1549221,366087,430578.0,2877740,2013年03月31日,163620,,,4113081,3549262,23830450,0.0,5657309,6689855,,20233,430610,,1287278.0,21456.0,4805.0,3698685,2877740,,,24549,,6976502.0,20433,,,,11089583.0,0.0,27570,24020.0,545351,323899,342927,109732,563819,1319193,4399728,228177,182031,0
2013-08-09,2,2013,329379,3489952,4692,625983,,365238,342544,28337,361307,516294,0.0,0.0,53135,430460,179393,1857,,120,13491,3243457,288910,1451.0,,425460,409031,231439,1792531,385092,430340.0,2877740,2013年06月30日,195373,,,4132124,3596553,23830450,0.0,6599207,7658440,,17832,430610,,1969966.0,25504.0,2728.0,4623554,2877740,2150.0,,23231,,7864015.0,20433,,,,11996139.0,0.0,29362,0.0,515060,280592,319288,110910,535571,1264808,4337699,205516,186915,0
2013-11-08,3,2013,291018,3445241,4692,631998,,347090,292748,44531,310712,466228,0.0,0.0,34249,420921,153822,2434,,1767,8552,3203190,288910,,,470759,259738,212221,1686991,454522,419154.0,2877740,2013年09月30日,201388,,,4069398,3551973,23830450,0.0,5927135,7017135,,15654,430610,,1371102.0,2698.0,1673.0,4197414,2877740,,,25329,,7170051.0,20433,,,,11239449.0,0.0,30675,0.0,488836,255815,333159,108587,517425,1242916,4222314,224451,175210,0
2014-03-21,4,2013,265381,3489672,4692,705459,,359795,293975,32177,342336,450760,0.0,0.0,34292,397101,156331,2387,,1875,9813,3235343,288910,,,466496,269680,229733,1708239,454595,395226.0,2877740,2013年12月31日,274849,,,4200917,3657058,23830450,0.0,5407340,6609475,,13440,430610,,922282.0,13685.0,201.0,3660577,2877740,,,22434,,6753763.0,20433,,,,10954680.0,0.0,32668,0.0,555728,321275,393594,109839,543859,1346423,4345205,223970,185379,0
2014-05-09,1,2014,283427,3439648,4692,734272,,347090,247106,33288,311290,482524,,,34848,402350,154604,2298,,610,9039,3359073,288910,,0.0,480856,229779,241427,1680879,422590,401740.0,2877740,2014年03月31日,303662,,,4222643,3654825,23830450,,5419642,6715471,,14181,430610,966216.0,,15806.0,201.0,3698551,2877740,,,23593,,6672104.0,20433,,,,10894747.0,,31911,0.0,463760,219061,386352,108419,567818,1252462,4179276,221313,199097,0
2014-08-08,2,2014,271149,3430777,4692,587509,,344369,480233,35515,307696,431541,39562.0,39562.0,34828,401408,151116,2202,,1184,7568,3364023,288910,0.0,0.0,479796,189765,278707,1675561,416662,400224.0,2877740,2014年06月30日,125496,,,4034175,3516383,23830450,14160.0,5655406,6764756,,11899,447853,994539.0,,25659.0,201.0,3745499,2877740,0.0,,24206,,6894028.0,32348,,,,10928203.0,,29616,,445364,220594,391850,106518,517792,1238622,4163447,209077,160392,0
2014-11-07,3,2014,298951,3411265,4692,632419,,308526,279661,33282,282256,465987,25468.0,25468.0,35027,405077,152053,2149,,5057,7268,3316387,288910,,0.0,512390,319772,240322,1640940,472504,400020.0,2877740,2014年09月30日,170406,,,4057017,3535853,23830450,14160.0,5762019,6948026,,9790,447853,1208922.0,,16120.0,4625.0,3902682,2877740,,,25085,,6989316.0,32348,,,,11046333.0,,29884,,451250,211981,370970,107609,521164,1227297,4098307,216014,167036,0
2015-03-20,4,2014,249384,3466535,4692,688372,,309433,316586,39232,319086,408635,25858.0,25858.0,36247,421544,171832,3838,,1364,10786,3277053,288910,,0.0,496707,309779,278312,1569801,475374,420180.0,2877740,2014年12月31日,226359,,,4174261,3628636,23830450,14160.0,5274374,6512313,,8742,447853,902754.0,,16926.0,3946.0,3404648,2877740,,,42781,,6500454.0,32348,,,,10674715.0,,30273,,450243,201168,354293,120961,545625,1226080,4162402,188022,159251,0
2015-05-08,1,2015,354582,3413238,4692,709500,,348452,272275,52375,341595,539144,91722.0,91722.0,36459,418195,169348,3963,,660,12951,3258446,288910,,0.0,571188,239691,288296,1487190,411999,,2877740,2015年03月31日,247487,17516.0,297.0,4222291,3672273,23830450,14160.0,5565770,6856288,417535.0,11316,447853,,1306833.0,,,3608134,2877740,,11011013.0,29526,6788722.0,,32348,,,11011013.0,,,32484,,457305,207679,347452,115975,550018,1222952,4154725,214942,184562,0
2015-08-07,2,2015,367552,3409277,4692,582267,,330756,489069,49929,320903,548282,129673.0,129673.0,28981,417071,156398,3948,,1115,11741,3106677,288910,,0.0,510574,259819,362811,1503064,420725,,2877740,2015年06月30日,123514,16846.0,333.0,4063790,3536264,23830450,28143.0,5985296,7147124,415956.0,10100,430610,,1695065.0,,,3764295,2877740,,11280026.0,33600,7216236.0,,44264,,,11280026.0,,,41325,,457022,221679,356847,111728,527526,1230940,4132902,200333,180730,0
