date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,商標權,商標權淨額,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,土地成本,土地淨額,在製品,在途原物料,存入保證金,存貨合計,存貨－製造業淨額,專利權,專利權淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款,應付帳款合計,應付營業稅,應付票據,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收所得稅退稅款,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產－流動,持有供交易金融負債－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－運輸設備,累計減損－其他無形資產,累計減損－商標權,累計減損－專利權,累計減損－機器設備,累計減損－電腦軟體,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,2177,2177,779677,10850,10850,1545063,,,8190,126512,,330947,117512,25745,25745,-13038,10282,8105,2911,980,6028.0,632.0,149640,58518,0,1931,0,1109,,46278,33526,33526,486741,,,-13038,-13038,114316,114316,119695,14622.0,151.0,1112864,1112864,14998,4573,1840,0.0,,,60100,54400,-5700,886668,886668,42482,,,,10439,160514,1219773,1211583,,,545,10354,10354,958.0,361921,236988,7824,50867,,,758447,2013年03月31日,1190718,,,96797,655989,363100,2975960,2975960,0,55707,1396996,3536150,,80119,,,71806.0,71806.0,298638,,990938.0,53288.0,545.0,64944,135873,1093921,91122,124933,292889,9293,5396.0,,10425.0,,26824.0,758447,618318,,,1531263.0,685488,2067,47374,474126,636047,,161921,,4507223.0,50867,7824,16048,6755,546,546,54149,64944,853225,78212,78212,12752,101738,74914,0.0,134267,971073,101580,0
2013-08-12,2,2013,,4050,4050,800172,10914,10914,1447613,,,8436,114911,0.0,654945,148130,17900,17900,41015,10981,6931,4475,2587,6063.0,559.0,153818,58485,0,1888,0,3122,,42978,29829,29829,490100,,,41015,41015,114667,114667,108344,,2184.0,1191548,1191548,15086,4225,1702,0.0,0.0,,20000,18335,-1665,1018204,1018204,41568,,,270855.0,4200,190192,1504363,1495927,5405.0,5405.0,548,16781,16781,938.0,375934,243571,12704,32455,3073.0,3073.0,773870,2013年06月30日,1062422,,,270203,684407,376571,2999682,2999682,0,86553,1868446,3972802,,77776,,,120911.0,120911.0,298638,,984943.0,86861.0,548.0,65000,86151,792219,95333,132363,307836,9685,5504.0,,10861.0,,25821.0,773870,708015,,,1967595.0,737184,2067,47687,474126,687430,,213304,,4967277.0,32455,12704,16563,6878,742,742,59562,65000,897090,76950,76950,13149,98813,72992,0.0,99149,994475,121660,0
2013-11-13,3,2013,,3988,3988,826788,55795,55795,1605589,,,8298,119711,0.0,428693,131346,17796,17796,14276,15117,11129,2821,988,5971.0,474.0,162350,64272,0,1833,0,1593,,47165,34262,34262,476276,,,14276,14276,113775,113775,140368,,677.0,1197825,1197825,14856,3791,982,0.0,0.0,,0,0,0,1012786,1012786,55887,,,0.0,6203,235257,1517380,1509082,4040.0,4040.0,106,8829,8829,916.0,374909,237815,20923,341,3258.0,3258.0,793202,2013年09月30日,1220398,,,428179,723023,403986,3228148,3228148,0,86553,1606635,3844496,,77858,,,120362.0,120362.0,298638,,861768.0,55157.0,106.0,94541,99887,792219,98078,137094,319037,9188,5497.0,,11065.0,,28151.0,793202,700892,,,1683566.0,815081,2067,15616,549605,797398,,247793,,4911714.0,341,20923,16128,6940,565,565,56354,94541,760899,74773,74773,12903,101744,73593,0.0,76931,1067218,100944,0
2014-03-13,4,2013,,4045,4045,834723,54874,54874,1740306,,,8095,117644,,476055,146730,23637,23637,82550,14028,9983,1864,45,6055.0,404.0,166995,64197,16679,1819,16679,2290,,76202,46519,46519,653285,,,82550,82550,114673,114673,101770,,583.0,1154092,1154092,15066,3470,1601,,,,0,0,0,973771,973771,65158,,,,8389,255778,1690495,1682400,2671.0,2671.0,406,15394,15394,1707.0,378936,235998,23398,121,3318.0,3318.0,797967,2013年12月31日,1355115,,,563569,765596,412713,3454803,3454803,0,86553,1618327,4032436,,97182,,,160553.0,160553.0,298638,,878970.0,50361.0,406.0,103991,32612,791546,102798,142938,343301,9035,5651.0,,11596.0,9582.0,31632.0,797967,516681,,,1697171.0,833980,4190,18974,563023,810816,,247793,,5151974.0,121,23398,16177,7142,1729,1729,53239,103991,844757,74825,74825,13004,124940,93308,,78844,1119538,89051,0
2014-05-08,1,2014,,4122,4122,826325,55918,55918,1840950,,,8742,119295,,373030,137903,20087,20087,130618,20255,16133,1998,144,333,333,172045,63441,16889,1854,16889,2730,,73730,43784,43784,500183,,,130618,130618,115883,115883,144658,0,1019,1181074,1181074,3155,3155,1201,,,0,0,0,0,850397,850397,30324,23,23,,10526,194277,1501379,1492637,2873,2873,407,20347,20347,1711,384007,233704,4080,28770,3384,3384,798347,2014年03月31日,1455759,,,100644,770185,405683,3605876,3605876,0,86553,1499620,4062574,,106277,,,242390,242390,298638,984658,,61306,407,165839,115739,1355115,108604,150303,354567,9501,,,,9935,,798347,655528,,,1579063,835961,4190,18830,565148,812941,,247793,,5184939,28770,4080,17115,7614,1495,1495,56731,165839,867718,75218,75218,13057,102789,102789,,79443,1122365,112023,0
2014-08-12,2,2014,,12893,12893,1105182,54791,54791,1567550,,,9835,122008,0.0,806261,144103,11702,11702,55864,19509,6616,2008,143,1267.0,27.0,170212,60109,21014,1865,21014,3326,,86913,53231,53231,552022,,,55864,55864,220176,220176,141594,,1615.0,1266210,1266210,14957,2717,1279,0.0,39898.0,0.0,0,0,0,1022872,1022872,31279,123.0,123.0,398984.0,12564,219331,1495634,1485799,5968.0,5968.0,1,16996,16996,1711.0,542952,389943,2732,32126,3075.0,3075.0,799147,2014年06月30日,1126002,,,266126,806796,428022,3302893,3302893,0,142910,2231597,4415986,,101671,,,300772.0,300772.0,298638,1206881.0,,91313.0,1.0,259393,147189,859876,110103,153009,368839,9887,1240.0,,12240.0,9935.0,38641.0,839045,694602,,,2520663.0,840434,4190,18830,569621,817414,,247793,,5823556.0,32126,2732,16819,6932,1428,1428,55938,259393,1058413,284312,284312,12668,137568,98927,0.0,289066,1407570,116917,0
2014-11-13,3,2014,,13053,13053,1150686,55469,55469,1750025,,,9165,119698,,470218,173265,23252,23252,75884,24600,11547,2010,144,25.0,25.0,174966,60389,16743,1866,16743,3507,,80810,51343,51343,548625,,,75884,75884,222256,222256,190835,,1792.0,1349879,1349879,2372,2372,1313,,,0.0,200000,179078,-20922,1069234,1069234,32475,140.0,140.0,,6360,258118,1619373,1610208,3889.0,3889.0,668,12834,12834,1715.0,564681,403329,1945,42468,2806.0,2806.0,864200,2014年09月30日,1308477,,,448601,859666,456060,3788866,3788866,0,142910,1884941,4688595,,101769,,,288013.0,288013.0,298638,1257489.0,,122515.0,668.0,155766,191093,859876,114577,161352,393671,9286,,,,9935.0,,864200,730117,,,2352798.0,1098757,4190,18830,827944,1075737,,247793,,6141664.0,42468,1945,17938,8652,706,706,61529,155766,1065083,284566,284566,12724,99372,99372,,467857,1453069,138408,0
2015-03-13,4,2014,,13667,13667,1192576,149508,149508,1918208,,,12246,122882,,517652,192356,18337,18337,228059,49165,35498,1857,46,,,183136,62460,17609,1811,17609,4332,,100219,69344,69344,623150,63.0,22.0,228059,228059,230189,230189,168739,,2433.0,1565476,1565476,15941,2088,1494,,,0.0,200000,180836,-19164,1138445,1138445,35659,108.0,108.0,,8879,280758,1639152,1626906,6673.0,6673.0,5047,5972,5972,1899.0,596616,421244,3047,33230,3320.0,3320.0,868690,2014年12月31日,1476660,,,616934,930004,468503,4128860,4128860,0,142910,1913267,4909171,,104444,,,311923.0,311923.0,298638,1200453.0,,95838.0,5047.0,78829,178020,859726,120676,175372,440574,8485,,41.0,13853.0,20927.0,49285.0,868690,896469,,,2395075.0,1113903,4619,10253,851238,1099031,,247793,,6523935.0,33230,3047,18665,10180,2101,2101,64697,78829,1020939,294539,294539,13266,151619,102334,,481808,1614764,163480,0
2015-05-06,1,2015,,13482,13482,1191168,144353,144353,2088980,,,12071,108831,,447276,198833,35576,35576,110267,25255,11773,1752,46,,,184166,61041,32614,1706,32614,3300,,122720,77167,77167,601311,22.0,22.0,110267,110267,227898,227898,194264,,1394.0,1576189,1576189,1944,1944,1348,,,0.0,200000,182611,-17389,996495,996495,29644,815.0,815.0,,11069,207730,1635536,1623465,3493.0,3493.0,3061,2350,2350,,599578,420492,5788,31567,3068.0,3068.0,870100,2015年03月31日,1647432,127256.0,3061.0,170772,948133,471490,4188002,4188002,0,142910,1769950,4803631,1906.0,98976,324611.0,324611.0,,,298638,,1068602.0,,,141286,132792,1476660,123125,179086,455716,8933,,,,20927.0,,870100,889445,6433055.0,2245053.0,,1118655,4619,7671,858572,1106365,,247793,6433055.0,,31567,5788,19180,10247,2018,2018,69139,141286,934462,287174,287174,12939,97010,97010,,475103,1629424,158744,0
2015-08-14,2,2015,,13348,13348,1218935,136728,136728,1780088,,,11887,106801,,892829,155402,23160,23160,94332,25004,11656,1683,46,0.0,0.0,182278,64526,34148,1637,34148,3242,,149261,102161,102161,587787,20.0,20.0,94332,94332,226132,226132,141169,,1324.0,1623739,1623739,15479,1259,1145,,43435.0,0.0,198000,182560,-15440,1140592,1140592,31545,8721.0,8721.0,434345.0,13007,258530,1741842,1729955,4494.0,4494.0,5826,2754,2754,,602704,419085,11344,44843,3162.0,3162.0,870859,2015年06月30日,1276847,99988.0,5826.0,339660,994183,498240,3911399,3911399,0,204603,2290525,4994494,1918.0,94131,304502.0,304502.0,,,298638,,1083577.0,,,78548,124384,937187,117752,183619,495943,8007,0.0,,14220.0,0.0,55361.0,914294,1001584,6670534.0,2759135.0,,1122685,4619,6554,861744,1111512,,249768,6670534.0,,44843,11344,18959,10952,1817,1817,73823,78548,958048,280991,280991,12952,148213,92852,,468610,1676040,203460,0
