date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,656979,656979,6717714,38951,1391848,2623564,710714,224513,1655,514097,842678,185699,2963,308819,49193,41649,66939,0,,0.0,114463,93992,30106,104173,20262,259626.0,148176,729450,3669234,2013年03月31日,741957,,8528946,8486517,0,454076,1387510,3179106,,17390.0,,195815,,238617.0,72139.0,9000.0,3669234,,,3179212.0,2911338,,11708158.0,619.0,0.0,38010,125008,1444873,42429,1791702,8529052,120933,0
2013-08-08,2,2013,116328,116328,6683236,38951,1292146,2734701,706764,365072,2249,622042,297838,181510,8250,292834,49381,49804,67364,0,,0.0,114834,92988,20159,102117,15526,243453.0,148051,725817,3669234,2013年06月30日,613969,,8540653,8494760,0,482362,1001173,3350055,,17390.0,,195815,,305238.0,45282.0,65000.0,3669234,,,3300949.0,2911338,,11841602.0,0.0,0.0,37413,121534,1969529,45893,2299776,8491547,114610,0
2013-11-05,3,2013,540328,540328,6645679,38951,1432129,2816835,737220,413914,8331,747106,721923,181595,16151,293471,48680,50203,78084,0,,0.0,129712,133995,10336,113351,11773,244791.0,147926,825446,3669234,2013年09月30日,753952,,8807126,8759696,0,482362,1451832,3502990,,17390.0,,195815,,353980.0,26952.0,15000.0,3669234,,,3279953.0,2911227,,12087079.0,0.0,0.0,41918,121274,1492732,47430,1828121,8584089,104485,0
2014-03-28,4,2013,20328,20328,6602387,38951,1512840,2841809,750245,332002,1654,792955,214904,194576,3574,289284,49380,60888,80139,0,,0.0,144209,89000,5615,101159,19199,239904.0,147800,830444,3669234,2013年12月31日,834663,,8935056,8886459,0,482362,831133,3516280,,37390.0,,195815,,372979.0,45403.0,0.0,3669234,,,3171961.0,2911430,,12107017.0,0.0,0.0,43894,122632,2007650,48597,2340828,8590737,95767,0
2014-05-06,1,2014,20328,20328,6546769,38951,1629236,2774197,737801,247399,2413,698945,212855,192527,4980,289920,49509,59491,81654,0,0.0,,119454,94000,30033,113851,16324,240411.0,147675,819668,3669234,2014年03月31日,951059,,8971003,8917567,0,482362,772842,3487087,,37407.0,,195815,369123.0,,69101.0,0.0,3669234,,,3027389.0,2920152,,11998392.0,0.0,,42059,123543,1922568,53436,2254547,8511305,124545,0
2014-08-05,2,2014,20328,20328,6509345,38951,1508383,2647424,744216,458114,4227,585332,205407,185079,12252,273675,49793,61768,83672,0,0.0,,146077,56000,21693,112567,16859,223882.0,147550,824130,3669234,2014年06月30日,794595,,8737577,8683101,0,517973,945637,3400290,,37407.0,,195815,399849.0,,58346.0,0.0,3669234,,,3147342.0,2920152,,11884919.0,,,42544,121262,1885486,54476,2201705,8484629,123440,0
2014-10-30,3,2014,48328,48328,6470204,35885,1671410,2833359,807122,484017,5429,860432,237824,189496,7286,271077,50537,61683,88104,0,0.0,,134645,136000,10781,104750,15560,220540.0,147425,951221,3669234,2014年09月30日,957622,,9175351,9122540,0,517973,1044036,3529738,,37407.0,,195815,362724.0,,40769.0,0.0,3669234,,,2986401.0,2921464,,12161752.0,,,51884,121067,1619404,52811,1942365,8632014,112526,0
2015-03-10,4,2014,48328,48328,6445298,35884,1739274,2730154,784191,354960,4793,732404,252332,204004,3688,286631,64913,62911,92615,0,0.0,,147208,49958,269,102879,20040,221718.0,147300,945729,3669234,2014年12月31日,1025486,,9115726,9065869,0,517973,923948,3452424,,37407.0,,195815,398873.0,,59221.0,60000.0,3669234,,,2918233.0,2924957,,12033959.0,,,48332,122815,1659322,49857,1994285,8581535,99382,0
2015-05-11,1,2015,52380,52380,6455324,35884,1860368,2724501,787220,261649,3579,728332,245938,193558,2878,287598,64879,62828,76423,0,0.0,,145544,123000,24680,97667,11384,,147175,941316,3669234,2015年03月31日,1146580,85522.0,9230822,9182891,0,517973,966333,3463519,222719.0,,37424.0,195815,,409807.0,,80000.0,3669234,12053728.0,2822906.0,,2924957,12053728.0,,,,48787,123038,1520188,47931,1856573,8590209,137280,0
2015-08-04,2,2015,142952,142952,6476279,35884,1673545,2589870,762947,528323,2740,550253,326857,183905,2909,291660,67928,59476,81815,0,0.0,,150511,150500,24959,110155,16249,,147050,916023,3669234,2015年06月30日,918749,55994.0,8865674,8817989,0,558981,1335144,3422721,223732.0,,37424.0,195815,,472904.0,,98000.0,3669234,11981205.0,3115531.0,,2924957,11981205.0,,,,45193,123401,1443534,47685,1780387,8558484,146079,0
2015-11-03,3,2015,146629,146629,6454824,35884,1829515,2698910,801577,619328,4320,715979,329873,183244,3646,265397,78690,59336,87802,0,0.0,,137981,188000,12533,134168,9271,,146925,1036644,3669234,2015年09月30日,1074719,26237.0,9183065,9139986,0,558981,1313952,3516092,186707.0,,37424.0,195815,,447075.0,,0.0,3669234,12206141.0,3023076.0,,2925258,12206141.0,,,,50952,117435,1392775,43079,1709124,8690049,130900,0
2016-03-09,4,2015,296524,296524,6386201,34738,1885118,2807040,823162,390154,2754,839100,495589,199065,2603,294050,90647,55348,75242,0,0.0,,161259,203427,269,111668,17914,,146800,1061088,3669234,2015年12月31日,1130322,42478.0,9360234,9318493,0,558981,1293176,3531891,203403.0,,37424.0,195815,,407744.0,,0.0,3669234,12198858.0,2838624.0,,2925041,12198858.0,,,,54000,122206,1197398,41741,1545448,8666967,106926,0
2016-05-04,1,2016,305104,305104,6308121,34738,2005158,2684183,616485,288588,2280,653981,482557,177453,3418,297043,92827,55193,67793,0,0.0,,151439,233948,38383,109803,13331,,146675,995261,3669234,2016年03月31日,1250362,69906.0,9290456,9253414,0,558981,1264821,3488680,204216.0,,37444.0,195815,,457140.0,,0.0,3669234,11804874.0,2514418.0,,2925041,11804874.0,,,,49128,122277,903426,37042,1249597,8316194,150732,0
2016-08-03,2,2016,271444,271444,6422696,34738,1800289,2735279,658832,590763,3196,707007,445929,174485,3741,227429,94018,64506,71177,0,0.0,,181477,163950,25755,113048,12367,,146550,1035454,3669234,2016年06月30日,1003821,41463.0,9131979,9101571,0,600653,1519337,3675694,133411.0,,37444.0,195815,,581843.0,,70000.0,3669234,12191456.0,3059477.0,,2925041,12191456.0,,,,50640,115542,1262071,30408,1540140,8515762,155043,0
2016-11-09,3,2016,206657,206657,6497791,34738,1961762,2786493,682013,668277,15703,781454,392568,185911,11405,228198,95917,63909,74362,0,0.0,,140275,185995,43,129257,16880,,146299,1053439,3669234,2016年09月30日,1165294,19451.0,9362616,9337491,0,600653,1406609,3676002,132281.0,,37444.0,195815,,529279.0,,,3669234,12302748.0,2940132.0,,2925041,12302748.0,,,,53903,111113,1251422,25125,1533523,8626746,112623,0
