date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵存貨跌價,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商品存貨,商譽,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－模具設備,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－電腦軟體,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行存款,銷貨退回及折讓之短期負債準備,長期借款合計,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,54700.0,54700,1084543,22628,13231.0,485295,12337.0,304.0,48560.0,231213,30410,-6076,61801,7101,22339,9175.0,13164,8582,108962,27889,8160,8160,1456461.0,13204.0,-6076.0,629347.0,629347.0,2179,11147,1407901,1407901.0,837.0,,0.0,,1079517,150000,61,1691987.0,1679650,125058.0,124754,106783.0,571448.0,367616.0,39041,25200.0,16580.0,1617358,2013年03月31日,223521,,,159546.0,45021.0,189843.0,22993.0,2903921,2456757,0,261774,1736126,3686681,,20133,,,357150.0,16283.0,9920.0,182467,13621.0,2598.0,203832.0,2739.0,114525.0,166850.0,11023.0,36030.0,19223.0,141630.0,1617358,,14573,,2038806.0,360180,,4942727.0,39753.0,3723.0,211,735,32468.0,13245.0,392,,61812,356313.0,1342.0,193326,148559.0,6929.0,447164,302680,1256046,,53822,0
2013-08-09,2,2013,,57863,1077552,17628,,321553,,,,413226,41028,-4941,63777,5914,13761,7809.0,5952,8723,108898,30424,10998,10998,,,,,,2179,10703,1268624,,,0.0,0.0,,1170389,150000,4841,,1966450,,186385,106719.0,,,38967,,,1617358,2013年06月30日,39093,,,,,,,2748070,2294150,0,282460,2066196,3850395,,23303,,,323781.0,10308.0,10333.0,239588,,,,,,,,,,,1617358,,13721,,2352158.0,360180,,5100228.0,,,346,367,,,510,,61959,,,176554,,,453920,285962,1249833,,39666,0
2013-11-08,3,2013,,62225,1073520,20028,,362506,,,,193753,42996,-5860,69199,6974,14389,9220.0,5169,8646,108794,33447,13091,13091,,,,,,2179,11710,1299455,,,0.0,0.0,,1206438,200000,1037,,2096700,,191605,106615.0,,,38894,,,1617358,2013年09月30日,80046,,,,,,,2793000,2334184,0,282460,2227162,4063078,,27349,,,379711.0,6043.0,6752.0,539891,,,,,,,,,,,1617358,,10217,,2524689.0,360180,,5317689.0,,,584,55,,,213,,61373,,,188520,,,458816,297527,1254611,,31415,0
2014-03-27,4,2013,,67216,1077158,20028,,414828,,,,240800,30851,-4645,72309,5093,11050,5881.0,5169,8814,105537,24418,2221,2221,,,,,,2179,13383,1274924,,,0.0,0.0,,1335854,200000,1026,,2465639,,226858,103358.0,,,38820,,,1617358,2013年12月31日,132368,,,,,,,2854633,2387721,0,282460,2601015,4472848,,39682,,,435963.0,17688.0,2708.0,724346,,,,,,,,,,,1617358,,7405,,2879011.0,360180,,5733644.0,,,1587,908,,,2626,,60690,,,169833,,,466912,277996,1260796,,23947,0
2014-05-12,1,2014,,72178,1067286,20028,,479574,,,,188767,13721,-1739,96241,24063,12395,6476.0,5919,9280,105182,25205,2056,2056,,,,,,2179,13869,1279136,,,,,0.0,1037601,240000,729,,1854664,,133015,103003.0,,,38745,,,1617358,2014年03月31日,197114,,,,,,,2927977,2454735,0,282460,1864474,3790639,,44439,,458286.0,,29728.0,2480.0,265000,,,,,,,,,,,1617358,,5725,,2122883.0,359542,,5050860.0,,,683,273,,,2098,,64518,,,151129,,,473242,258409,1260221,,36669,0
2014-08-11,2,2014,,65377,1057385,20028,,427182,,,,412612,25118,-5200,97954,32577,38261,6252.0,32009,532,104339,21142,8302,8302,,,,,,2198,12308,1229930,,,,,0.0,1128021,320000,479,,2281933,,149760,102141.0,,,38671,,,1617358,2014年06月30日,124344,,,,,,,2816466,2349178,0,298192,2350897,4113484,,45965,4646.0,353983.0,,27882.0,2742.0,359000,,,,,,,,,,,1617358,,4651,,2545964.0,309838,,5362430.0,,,298,336,,,2002,,65755,,,88726,,,467288,195067,1248946,,31421,0
2014-11-10,3,2014,,28940,1055130,20028,,503772,,,,218874,11971,-4606,55764,26824,38665,6750.0,31915,532,102977,22095,8675,8675,,,,,,879,12888,1352287,,,,,0.0,1260659,320000,812,,2412987,,182248,102098.0,,,38598,,,1617358,2014年09月30日,200934,,,,,,,2897551,2426339,0,298192,2512911,4358442,,43422,4646.0,318880.0,,31178.0,3173.0,620000,,,,,,,,,,,1617358,,5001,,2714782.0,309815,,5612333.0,,,623,1583,,,2386,,74618,,,96508,,,471212,201871,1253891,,36648,0
2015-03-26,4,2014,,13600,1048539,17628,,551578,,,,309779,10967,36,30872,17272,42119,5957.0,36162,532,104333,31408,16739,16739,,,,,,879,14137,1266037,,,,,0.0,1219235,250000,1573,,2394650,,165944,103454.0,,,38524,,,1617358,2014年12月31日,248740,,,,,,,2957286,2478769,0,298192,2344833,4205803,,45662,4646.0,291197.0,,51150.0,2903.0,462000,,,,,,,,,,,1617358,,19930,,2506878.0,309797,,5464164.0,,,294,682,,,4299,,76600,,,53413,,,478517,162045,1258361,,31304,0
2015-05-12,1,2015,,1489,1039458,17628,,623252,,,,303902,18619,-4619,46988,45499,44650,5756.0,38894,532,104298,34237,19873,19873,,,,,,879,13832,1215056,,,,,0.0,1111546,170000,277,,2040593,,135291,,,,38449,,,1617358,2015年03月31日,320414,61936.0,1208.0,,,,,3023871,2545786,0,298192,1921760,3800102,103419.0,51267,4646.0,,305042.0,,,221000,,,,,,,,,,,1617358,5056165.0,5420,2032294.0,,309795,5056165.0,,,,691,2308,,,2509,,75024,,,3727,,,478085,110534,1256063,,37335,0
2015-08-11,2,2015,,1506,1053891,13282,,469719,,,,494384,8991,-7057,58169,56663,43900,5907.0,37993,532,102306,24743,7885,7885,,,,,,879,16326,1243765,,,,,0.0,1285534,270000,1284,,2290334,,172964,,,,38375,,,1617358,2015年06月30日,146653,24617.0,1191.0,,,,,2851585,2389775,0,323066,2444536,4150990,101427.0,51273,0.0,,350981.0,,,300000,,,,,,,,,,,1617358,5403197.0,9345,2551612.0,,309755,5403197.0,,,,1203,551,,,1422,,70643,,,3348,,,461810,107076,1252207,,38313,0
