date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,367433,3618392,416838,-106479,-768195,168418,2323.0,255031,59316,-757222,520216,123932,177772,36298,141474,10277.0,55657,81211,,171491,82003,82003,10973,355.0,18512.0,1093824,4768.0,,,,1227246,37598,42470,27671,3243.0,1548309,44912,13522,69705.0,158842,1093479,5027331,2013年03月31日,-115290,5175590,4238811,229866,0,4726598,4992796,,123193,555019.0,2294.0,8811,,702566.0,2597290,5027331,,18673.0,4963.0,,5582462.0,79949,,10758052.0,403.0,0.0,216970,178404,552720,3243.0,936779,855864,5765256,,629138,5042,28851,0
2013-08-13,2,2013,521727,3559453,376242,121872,-537917,205708,0.0,252142,40055,-533408,619769,73754,175809,3778,172031,,55542,80146,9932.0,141244,65127,65127,4509,,18520.0,1023598,4768.0,0.0,,,1183858,59837,19976,30618,,1457851,55218,9692,70214.0,159030,1415888,5027331,2013年06月30日,113061,5484772,4693212,229866,0,4962034,5087867,,80550,409078.0,2294.0,8811,,1470762.0,2775865,5027331,,19969.0,7293.0,,5515913.0,82185,,11000685.0,0.0,80.0,216970,178117,249470,,791560,553879,5912818,,240016,2055,24288,0
2013-11-12,3,2013,413321,3583384,369107,659505,-208205,69764,0.0,258016,111339,-209976,510364,69645,137482,3450,134032,,55020,78809,8676.0,197662,121847,121847,-1771,,18000.0,1057667,4768.0,,,,1294932,58837,19952,21456,,1292557,40160,30435,70133.0,103423,1649061,5027331,2013年09月30日,650694,6345232,5555600,229866,0,4024821,4718512,,76907,408753.0,2294.0,8811,,1335299.0,1838238,5027331,,23026.0,7321.0,,4535194.0,83508,,10880426.0,0.0,0.0,215524,180076,208719,,789632,510373,6161914,,235056,2795,27398,0
2014-03-26,4,2013,389002,3519514,363570,951142,-123401,25405,0.0,286309,46372,-122422,503925,70282,123886,3771,120115,20501.0,54655,75241,300.0,173957,97246,97246,979,,,1263008,4768.0,,,,1761305,35550,19954,25483,,1402311,54924,30790,74941.0,103474,1685872,5027331,2013年12月31日,942331,6663176,5935928,229866,0,4186504,5115339,,71416,,,8811,,1662411.0,1533000,5027331,,20978.0,7340.0,,4643911.0,84645,,11307087.0,0.0,0.0,215524,273945,159302,,727248,457407,6191748,,506232,1555,44641,0
2014-05-09,1,2014,303784,3584257,371760,963453,-216100,64200,0.0,177547,59114,-212125,432389,93892,67151,3043,64108,18892.0,54089,75973,300.0,155215,80186,80186,3975,,,1397022,4768.0,,,0.0,1543962,23570,119714,16082,,1199409,61346,17986,75673.0,103304,1590075,5027331,2014年03月31日,954642,6587756,5858536,229866,0,3589767,4677197,,68215,,,8811,1580983.0,,1255971,5027331,,20532.0,7349.0,,4231063.0,84645,,10818819.0,0.0,,215524,268796,342450,,729220,641296,6141622,,229986,2048,34713,0
2014-08-11,2,2014,281284,3469646,359060,770359,-159652,221360,0.0,420464,45725,-159876,412067,94504,55407,2447,52960,10086.0,53009,61734,590.0,156454,91804,91804,-224,,,980224,0.0,0.0,251367.0,0.0,1413955,25947,119865,36483,,1224678,33115,6290,61144.0,101012,1648255,5027331,2014年06月30日,544927,6445247,5973826,0,94233,3466610,4597444,,73485,0.0,,131199,1793443.0,,1016925,5278698,,20904.0,8572.0,,4243303.0,84645,,10688550.0,0.0,0.0,173509,283194,532878,,471421,776693,6091106,,237202,1555,36279,0
2014-11-12,3,2014,28784,3538207,364509,677380,-441157,104058,0.0,377394,45611,-437799,141211,81339,64775,2198,62577,9736.0,52716,54816,37.0,158418,94411,94411,3358,,,939327,0.0,,,0.0,1083901,14839,0,32160,,679877,38953,2855,54779.0,101157,1450467,5278698,2014年09月30日,451210,5917515,5619693,0,94233,2785973,3868396,,67700,,,131937,1752455.0,,1114862,5278698,,21606.0,8578.0,,3963384.0,101414,,9880899.0,,3548.0,173509,332045,940508,,297822,1177411,6012503,,236937,1555,31088,0
2015-03-23,4,2014,35846,3760074,375021,413081,-428260,167928,,217032,40739,-415334,150182,69302,49410,2001,47409,7747.0,55147,55203,7435.0,201959,137247,137247,12926,,,503671,0.0,,,0.0,616077,6996,0,14030,,526160,56733,62991,47768.0,102986,1405590,5278698,2014年12月31日,187615,5658764,5361091,0,94233,2405971,3178168,,12998,,,131233,1511898.0,,1401654,5278698,,,,,3741057.0,84646,,9399821.0,,3251.0,173509,363025,1106374,,297673,1335086,6221653,,255387,1818,45034,0
2015-05-13,1,2015,45409,3956579,380041,437724,-341520,188321,,166350,31406,-326406,145005,67020,49520,2370,47150,12539.0,104332,58772,7595.0,259670,121194,121194,15114,,,586850,0.0,,,0.0,944572,2119,19900,12951,,844422,26194,460,,100983,1471969,5278698,2015年03月31日,212258,5773156,5474662,0,94233,2728897,3445509,51177.0,12755,,,131233,,1463674.0,1438000,5278698,9980575.0,,,4207419.0,,84646,9980575.0,,,4301.0,173509,353069,1246241,,298494,1478522,6535066,20000.0,250361,1605,32576,0
2015-05-13,1,2016,200507,4657103,367366,1520772,-297778,201595,,298927,26996,-279144,271259,39885,48776,4457,44319,13943.0,115027,58034,12452.0,241981,89388,89388,18634,,,594746,,,,,1271299,530,9981,11216,,924116,33402,58,,95471,1518740,5278698,2016年03月31日,1107691,6976245,6604972,0,94233,3343212,5036147,45582.0,13416,,,318848,,2988094.0,1480000,5278698,12031647.0,,,5055402.0,,84646,12031647.0,,,3616.0,173509,101423,1480647,,371273,1712190,6995500,5000.0,214748,18623,30867,0
