date,season,year,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－其他行業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付股利,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,投資性不動產－土地,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,701812,1961031,,193960,2500.0,,539,6718,6718,11139,11139,26024,984927,,,539,10152,87743,7492,7492,0.0,,,19752,,1033263,15872.0,,,1088880,2013年03月31日,1694783,,4752225,4752225,0,266248,367727,3474918,,,1609615.0,11771.0,,,,813409.0,144797.0,1088880,,32675,,430048.0,1701775,,5182273.0,3622,8845,30893.0,0.0,62321,1707355,866291,0
2013-08-12,2,2013,666318,917359,,1497946,5000.0,187941.0,850,6535,6535,4521,4521,33864,1141406,1073.0,1073.0,850,18057,84737,4852,4852,,,,24308,1310005.0,1061451,15807.0,42212.0,42212.0,1088880,2013年06月30日,505509,,3708864,3708864,0,411809,1610435,3511798,,,1741750.0,19836.0,,41.0,,699224.0,76646.0,1088880,,33393,,1682022.0,1701775,,5390886.0,4330,9316,66978.0,,71587,1879088,988618,0
2013-11-07,3,2013,700362,1312291,,181741,2500.0,181741.0,655,2486,2486,13214,13214,45185,953409,1072.0,1072.0,655,29436,77679,7047,7047,,,,25584,,1331240,15749.0,188924.0,188924.0,1088880,2013年09月30日,900441,,4103601,4103601,0,411809,271133,2589407,,,890546.0,19705.0,,41.0,,347360.0,58822.0,1088880,,37520,,358012.0,1701775,,4461613.0,4174,9806,0.0,,86879,1872206,874658,0
2014-03-20,4,2013,802476,1646875,,273842,14570.0,273842.0,832,59694,59694,35091,35091,77122,992561,,,832,62811,81311,2723,2723,,,,17216,,1173804,14311.0,188924.0,188924.0,1088880,2013年12月31日,1235025,,4438362,4438362,0,411809,471403,3018875,,,889565.0,19972.0,,41.0,,917692.0,106081.0,1088880,,41348,,594262.0,1701775,,5032624.0,4389,9816,0.0,,122859,2013749,911250,0
2014-05-08,1,2014,914417,1925364,,200663,2500.0,,686,88433,88433,36186,36186,74540,1005371,,,686,60291,83196,2410,2410,,,,13954,,1092758,14249.0,188924.0,188924.0,1088880,2014年03月31日,1513514,,4716705,4716705,0,411809,451564,3140232,,,942885.0,21520.0,,41.0,1065993.0,,146014.0,1088880,,33005,,562377.0,1701775,,5279082.0,3268,8618,0.0,,110813,2138850,922175,0
2014-08-07,2,2014,1001860,1287193,,1075985,5000.0,204881.0,174,195552,195552,29880,29880,72046,1013698,0.0,0.0,174,57866,77052,3483,3483,,,0.0,16630,871104.0,1055746,14180.0,188924.0,188924.0,1088880,2014年06月30日,751882,,4078022,4078022,0,535311,1399232,3352694,,,785006.0,25299.0,,0.0,1478579.0,,106065.0,1088880,,37673,,1511272.0,1701775,,5589294.0,2321,6819,0.0,,112040,2236600,936646,0
2014-11-06,3,2014,1537814,1519349,,191209,2500.0,191209.0,876,148685,148685,35650,35650,72796,722752,0.0,0.0,876,58685,75169,2694,2694,,,0.0,9910,,941244,14111.0,188924.0,188924.0,1088880,2014年09月30日,984038,,4312971,4310880,0,535311,431527,2401883,,,454204.0,3471.0,,0.0,968091.0,,79223.0,1088880,,42335,,549118.0,1701775,,4862089.0,2460,7245,,2091.0,117591,2460206,647583,0
2015-03-30,4,2014,1542097,1799830,,187534,5000.0,187534.0,1325,148876,148876,29255,29255,85433,722349,,,1325,68624,74680,3250,3250,,,0.0,10839,,952118,16809.0,188924.0,188924.0,1088880,2014年12月31日,1264519,,4593762,4591810,0,535311,475344,2744766,,,572209.0,2952.0,,0.0,1187934.0,,123095.0,1088880,,48724,,614912.0,1701775,,5208674.0,5411,7586,,1952.0,139568,2463908,647669,0
2015-05-14,1,2015,1555702,2097839,,185047,2500.0,,1203,149092,149092,29889,29889,69502,724798,,,1203,52769,72982,3035,3035,,,,11306,,1046993,,188924.0,188924.0,1088880,2015年03月31日,1562528,169546.0,4891431,4889697,0,535311,517491,2948743,16733.0,570581.0,,,103450.0,0.0,,1298245.0,,1088880,5529130.0,43213,637699.0,,1701775,5529130.0,,7493,7513,,1734.0,120208,2580387,651816,0
2015-08-07,2,2015,1587368,1507504,,1170215,0.0,299111.0,960,148792,148792,24424,24424,69417,706715,,,960,52769,54231,1234,1234,,,,10391,871104.0,696922,,188924.0,188924.0,1088880,2015年06月30日,869544,95368.0,4300587,4299119,0,637960,1424766,3255814,16648.0,793400.0,,,102962.0,,,1739834.0,,1088880,5849674.0,43352,1549087.0,,1701775,5849674.0,,11552,7891,,1468.0,124321,2593860,652484,0
