date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1088885,49650.0,-1459469,,290906,513524,59577,197,-27575,415978,584248,278216,45606,-27575,1653854,,,1355547,,1060326,58,,2944506,2013年03月31日,-1459469,,3080158,3078149,0,0.0,4207341,5327732,596749,,1844713.0,0.0,1891016,2944506,,31276,,,4798415.0,1620687,71597,86790,1462300,,7878573.0,0,10516,98658,479045,214200.0,2009,591074,2550841,114243,0
2013-08-14,2,2013,1054714,31941.0,-1567819,,292543,406120,182069,2783,10238,163011,584601,269298,45612,10238,1615680,,,1493450,351.0,1112587,875,,2944506,2013年06月30日,-1567819,,3011172,3009422,0,0.0,3850274,4871877,576272,,1310098.0,0.0,1748263,2944506,,38464,,,4375484.0,1622497,73408,86789,1462300,,7386656.0,615,9717,113112,513697,142800.0,1750,525210,2514779,53467,0
2013-11-12,3,2013,994419,31483.0,-1770198,,282607,379073,110689,2606,-24857,194119,60399,219494,47498,-24857,1486608,,,1235505,,1107377,459,9947.0,3352858,2013年09月30日,-1770198,,2775679,2773760,0,0.0,3473101,4325721,540724,,1500371.0,2437.0,1616025,3352858,,40314,,,3958932.0,1215957,75219,240738,900000,,6734611.0,5628,5058,123537,512159,142800.0,1919,485831,2408890,42207,0
2014-03-26,4,2013,960532,33942.0,-2105478,,284758,381867,99224,5549,-8120,160166,62169,188081,49033,-8120,1401584,,,1312679,,694778,30397,55854.0,3352858,2013年12月31日,-2105478,,2458897,2457028,0,0.0,3340606,3920708,423333,,1515758.0,12534.0,1429054,3352858,,41032,,,3716924.0,1217768,77030,240738,900000,,6175821.0,3274,9054,116837,503515,71400.0,1869,376318,2255113,46341,0
2014-05-06,1,2014,902434,34699.0,-2267699,,290844,315325,168610,5673,18939,162713,63426,186843,47664,18939,1570512,,0.0,1512466,1321.0,683180,4996,32235.0,3352858,2014年03月31日,-2267699,,2322250,2322274,0,,3477652,4004378,400353,1437758.0,,5557.0,1433949,3352858,,46067,,,3858805.0,1218176,77438,240738,900000,,6181055.0,254,9199,122910,500683,71400.0,-24,381153,2176677,28789,0
2014-08-12,2,2014,895626,0.0,-2404895,,285307,320045,52332,1958,-16707,181126,61687,186873,45989,-16707,1459165,,0.0,1183189,0.0,883853,1899,15291.0,3352858,2014年06月30日,-2404895,,2148059,2149840,0,,3452902,3813858,370148,1290228.0,,4051.0,1715177,3352858,,47385,,,3753472.0,1218584,77846,240738,900000,,5901531.0,1929,4540,113697,490603,0.0,-1781,300570,2087673,42905,0
2014-11-06,3,2014,1024207,0.0,-2475337,,284302,479206,95008,1574,11168,194807,58374,189185,43952,11168,1455740,,0.0,1185654,,971190,3394,8762.0,3352858,2014年09月30日,-2475337,,2106000,2107680,0,,3634887,3831278,362568,1184179.0,,14815.0,1707971,3352858,,52240,,,3935221.0,1218991,78253,240738,900000,,6041221.0,194,14037,111149,494914,0.0,-1680,300334,2209943,39020,0
2015-03-20,4,2014,1043642,0.0,-2642749,,232295,496155,79227,0,78081,118584,58195,190010,44737,78081,1484172,,0.0,1319967,360.0,930168,3562,10739.0,3352858,2014年12月31日,-2642749,,2007700,2007589,0,,3829449,3997340,351544,1364924.0,,3973.0,1853286,3352858,,37124,12438.0,,4155389.0,1219399,78661,240738,900000,,6163089.0,0,15291,123492,493531,0.0,111,325940,2165749,51062,0
2015-05-06,1,2015,1013047,0.0,-2679317,,229859,371153,85842,0,54786,104336,188923,219408,43201,54786,1340884,,0.0,1231487,559.0,837845,25,12221.0,3352858,2015年03月31日,-2679317,4400.0,1947831,1947726,0,,3608481,3793553,332793,,1288355.0,,1856301,3352858,5902560.0,35011,6677.0,3954729.0,,1219399,78661,240738,900000,5902560.0,,5234,1108,120163,490107,0.0,105,346248,2109007,38350,0
2015-08-11,2,2015,668173,0.0,-2808891,,226796,331684,87249,0,37827,149263,188208,195444,40401,37827,1362849,317445.0,0.0,1098993,,761436,0,9060.0,3352858,2015年06月30日,-2808891,5460.0,1801298,1801193,0,,3481910,3855304,318307,,1093647.0,,1865962,3352858,5597063.0,28916,5482.0,3795765.0,,1219399,78661,240738,900000,5597063.0,,1632,2166,112929,488082,0.0,105,313855,1741759,33244,0
