date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,員工福利負債準備－流動,存入保證金,存貨合計,存貨（建設業適用）淨額,待註銷股本股數,應付帳款,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,14697,14697,6164924,8059247,143887,25639,,505343,34079,547133,171654,375479,94861,35245,2443061,,1293,25353,23576615,23576615,,1780607.0,1780607,,300000,151499.0,151499,76799.0,76799,83876.0,83876,,68927.0,91323.0,91323,65674.0,65674,9892.0,290049,3277348,2013年03月31日,,,12024801,12009194,0,24397838,27923428,,1151,,2652354.0,179122.0,2179.0,21336087,3277348,,1293,,,24798617.0,672599,,36823418.0,238854,,805,365534,2348200.0,15607,400779,8899990,494055,456567,0
2013-08-09,2,2013,14618,14618,6593369,6423386,2726957,25838,,662270,37183,934832,186980,747852,96562,31376,2432822,,1293,21484,23074611,23074611,,,575111,,100000,,247925,,6106,,83273,,75464.0,,98892,,188239,9892.0,289883,3277348,2013年06月30日,,,10389252,10373333,0,24093616,27599146,,985,,2263305.0,212713.0,1364.0,19567347,3277348,,1293,,,26527758.0,672599,,36917010.0,219816,,805,2402766,2336260.0,15919,2434142,9317864,627406,610469,0
2013-11-07,3,2013,265385,265385,6745251,6753973,338813,16351,,1254884,31802,1524516,37594,1486922,116866,28998,2441186,388758.0,1293,20094,22942376,22942376,,,464057,,0,,242412,,8215,,37032,,181856.0,,37687,,97410,8904.0,289749,3277348,2013年09月30日,,,10703920,10703920,0,20526406,27876667,,820,,1923948.0,193600.0,3204.0,18031347,3277348,,1293,,,26650558.0,672599,,37354478.0,388758,,805,6095154,2324320.0,0,6124152,9477811,715314,957697,0
2014-02-20,4,2013,351385,351385,160981,6683414,134418,15353,,1795183,22344,1755833,33995,1721838,102240,30265,102240,234690.0,1293,24089,23433307,23433307,,,585762,,0,,270994,,29,,195713,,9384.0,,31607,,171866,6176.0,9269788,3277348,2013年12月31日,,,10633361,10633361,0,21697546,28834883,,2871,,2186606.0,191947.0,759.0,18717949,3277348,,1293,,,27738207.0,672599,,38371568.0,234690,4088.0,805,6006308,0.0,0,6040661,9536685,799736,1421454,0
2014-05-08,1,2014,357385,357385,160526,6511465,147142,16763,,2549223,239301,1361971,39358,1322613,120108,29399,120108,,837,23223,24002268,24002268,0.0,433531.0,433531,,300000,272381.0,272381,749.0,749,137120.0,137120,,0.0,26406.0,26406,297800.0,297800,6176.0,9310764,3277348,2014年03月31日,,,10461412,10461412,0,22428445,29322904,,2699,2335170.0,,196080.0,1149.0,18529251,3277348,,837,,,28456394.0,672599,,38917806.0,296240,4088.0,805,5994462,0.0,0,6027949,9594902,847268,1952537,0
2014-08-07,2,2014,357385,357385,159889,5965096,1499108,19109,,2511381,240487,1262693,57796,1204897,125166,31901,125166,,837,25725,24764274,24764274,0.0,,580284,,450000,,387091,,49,,137120,729.0,0.0,,24679,,232800,6176.0,9358188,3277348,2014年06月30日,,,9915043,9915043,0,23588980,29876204,,2375,2291380.0,,30028.0,3159.0,18130251,3277348,,837,,,29607584.0,672599,,39522627.0,297183,4088.0,805,5982615,0.0,0,6018604,9646423,843029,1913509,0
2014-11-12,3,2014,139755,139755,159214,6416269,232678,15004,,2461108,23015,1214722,59106,1155616,131473,32721,131473,,837,26545,25497422,25497422,0.0,,496430,,520000,,507361,,1580,,95761,9846.0,0.0,,40445,,218585,6176.0,9427764,3277348,2014年09月30日,,,10366216,10366216,0,23766246,30790060,,2054,2404307.0,,40498.0,5168.0,19507334,3277348,,837,,,30145154.0,672599,,40511370.0,432615,4088.0,805,6342099,0.0,0,6378908,9721310,854605,2298338,0
2015-03-19,4,2014,51370,51370,158918,7207547,154180,15101,,2489904,44170,1092072,48516,1043556,129540,32956,129540,316620.0,837,26099,26441234,26441234,0.0,,795841,,570000,,807078,,408718,,95761,37898.0,0.0,,27425,,152382,6857.0,9457830,3277348,2014年12月31日,,,11157494,11157494,0,23950702,31687322,,1738,2223286.0,,19890.0,9396.0,19112972,3277348,,837,,,30278659.0,672599,,41436153.0,316620,7061.0,805,6287940,,0,6327957,9748831,867429,2394364,0
2015-04-29,1,2015,51370,51370,157890,7223445,162913,15001,,2679590,28506,1060667,43802,1016865,133312,33545,133312,421870.0,837,26688,27207662,27207662,0.0,599331.0,599331,,570000,670197.0,670197,15830.0,15830,95761.0,95761,32329.0,,33051.0,33051,112382.0,112382,,9513925,3277348,2015年03月31日,28170.0,9598.0,11173392,11173392,0,24045707,31727860,6857.0,1442,,1811862.0,,,19334669,3277348,41535234.0,837,,30361842.0,,672599,41535234.0,,421870,7061.0,805,6275529,,0,6316135,9807374,911847,2599714,0
2015-08-10,2,2015,51370,51370,158436,5777899,1474068,15000,,2706577,40657,1126123,47339,1078784,115648,33301,115648,246907.0,837,26444,28104258,28104258,0.0,699689.0,699689,,593000,827610.0,827610,59122.0,59122,70112.0,70112,30228.0,,6309.0,6309,110264.0,110264,,9579130,3277348,2015年06月30日,50835.0,9636.0,9727846,9727846,0,26102439,32278266,6857.0,1458,,1552627.0,,,19749823,3277348,42133743.0,837,,32405897.0,,672599,42133743.0,,246907,7061.0,805,6263096,,0,6303458,9855477,947680,2614550,0
2015-11-04,3,2015,101370,101370,158477,5706293,205362,16407,,2925621,104703,1207864,64224,1143640,111240,34174,111240,,837,28215,29111562,29111562,0.0,,702275,67013.0,593000,,652369,,6538,,70113,31442.0,,,9830,,26931,,9726883,3277348,2015年09月30日,59552.0,20158.0,9656240,9656240,0,26877312,33276832,5959.0,1192,,1520684.0,,,21671283,3277348,43275429.0,837,,33619189.0,,672599,43275429.0,,249499,7061.0,805,6700642,,0,6741877,9998597,1005804,2719548,0
2016-03-14,4,2015,260120,260120,158991,5986640,133644,15089,,3044889,89107,1059260,47864,1011396,110733,33446,2327337,238870.0,837,28391,29693596,29693596,0.0,,862643,,573000,,527629,,17929,,72668,70102.0,0.0,,79432,,0,,7604290,3277348,2015年12月31日,12549.0,11656.0,9936587,9936587,0,27532818,33951702,5055.0,950,,1671796.0,,,22377627,3277348,44045778.0,837,9400.0,34109191.0,,672599,44045778.0,,238870,4122.0,2508,6529405,2216604.0,0,6576373,10094076,1021304,2695662,0
2016-05-09,1,2016,201370,201370,157978,6393214,154336,15002,,3640581,96614,1064365,55347,1009018,110832,33501,2315495,,837,28503,28207284,28207284,0.0,,1116697,,573000,,643056,,1521015,,70113,32005.0,,,5929,0.0,0,,10156467,3277348,2016年03月31日,62566.0,11749.0,10343161,10343161,0,28361535,32720070,4998.0,836,,554514.0,,,22170462,3277348,45353354.0,837,9400.0,35010193.0,,672599,45353354.0,,234605,4122.0,2508,6601635,2204663.0,0,6648658,12633284,1003489,3342597,0
2016-08-09,2,2016,251370,251370,156982,8072709,610158,15000,0.0,1179283,47520,990566,57643,932923,99174,40433,2291896,233153.0,837,35493,21556381,21556381,0.0,1117374.0,1117374,,573000,515181.0,515181,151558.0,151558,70112.0,70112,27468.0,,12469.0,12469,0.0,0,,10380710,3277348,2016年06月30日,305735.0,4748.0,11694921,11694921,0,19557347,25007492,4940.0,649,,1256703.0,,,15255779,3277348,37840237.0,837,4330.0,26145316.0,,344864,37840237.0,,233153,4122.0,2508,6539084,2192722.0,0,6587969,12832745,689334,880393,0
2016-11-11,3,2016,498370,498370,155817,8269351,255767,16900,,1149084,46878,1009632,71783,937849,20841,37331,2201625,,837,32447,21522977,21522977,0.0,,1128389,1689.0,513000,,460167,,51563,,70113,11679.0,,,15222,,0,,10599004,3277348,2016年09月30日,352249.0,16192.0,11891563,11891563,0,18440782,23990933,4884.0,416,,340596.0,,,14579600,3277348,36950303.0,837,0.0,25058740.0,,344864,36950303.0,,242792,4122.0,2508,6576505,2180784.0,0,6617958,12959370,693267,603836,0
