date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預收款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,工程進度請款金額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,銀行存款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-08,1,2013,139583.0,1229591,18624,1039211,,33936,-4783,682263,204361,55717,278118,129847,19388,113629.0,-4783,,56193,1603056,1603056,,,0.0,,,980907,0,40444,,615931,23139,1225821,49172,278118.0,0,1825688,2013年03月31日,561346,,3122823,3122621,0,449091,1800685,4066930,,9272,,,28774,,420603.0,19382.0,74563,1825688,,3126,,2339220.0,262505,,5462043.0,,39555,7779,,260417.0,52188,202,538535,1395113,2078.0,338319,0,224690
2013-08-09,2,2013,181944.0,1227797,18624,951914,182569.0,33165,12358,653452,290197,64574,278578,159553,18009,,12358,,87061,1519940,1519940,61901.0,1781.0,,0.0,,993343,0,60914,182569.0,618378,18513,1296516,93503,278578.0,0,1825688,2013年06月30日,453851,,3052677,3052465,0,469289,2064349,4190753,,9154,,,28774,,542611.0,31107.0,75000,1825688,,6063,,2560983.0,262505,,5613660.0,,3553,7779,540830.0,218056.0,52953,212,496634,1422907,1530.0,181311,0,181311
2013-11-12,3,2013,146746.0,1219532,18624,1028119,0.0,87795,4126,782624,302962,64907,278957,159796,18551,,4126,,87252,1649697,1649697,166117.0,1769.0,,,,1033303,0,134327,,491066,13225,1037037,156089,278957.0,0,1825688,2013年09月30日,530056,,3120656,3120438,0,469289,2221926,4293914,,9037,,,28774,,551426.0,22738.0,73943,1825688,,8874,,2588026.0,262505,,5708682.0,,242672,7779,549657.0,87143.0,52150,218,366100,1414768,1843.0,332916,0,332916
2014-03-24,4,2013,0.0,1214234,18624,1090617,0.0,41321,18644,667168,472466,59356,277576,158424,21195,,18644,,84503,1866232,1866232,44782.0,1800.0,,,,1165786,214874,151233,,611489,9501,1157792,116269,277576.0,0,1825688,2013年12月31日,592554,,3197671,3197454,0,469289,2314714,4381980,,8920,,,28774,,518454.0,33103.0,30000,1825688,,7768,,2592290.0,262505,,5789961.0,,1566,7779,516654.0,0.0,52696,217,277576,1407981,30.0,194702,0,194702
2014-05-13,1,2014,0.0,1230881,18624,1174091,,46473,30459,478355,244728,89383,278249,190593,17648,,30459,,119660,1672567,1672567,40950.0,,0.0,,0.0,1226682,269914,94498,,488826,8555,1175039,102236,278249.0,1694,1825688,2014年03月31日,676028,,3292952,3292743,0,469289,2232014,4344841,,8803,,,28774,760193.0,,40637.0,75765,1825688,,5213,,2510263.0,262505,,5803215.0,,1569,7779,,0.0,53075,209,278249,1458374,210.0,233627,0,233627
2014-08-11,2,2014,0.0,1213006,18624,989769,273853.0,52722,11818,454048,229373,98942,278933,193327,16325,,11818,,124175,1762691,1762691,45549.0,1771.0,,,0.0,1240964,199921,124420,273853.0,786666,8953,993731,132834,278933.0,1455,1825688,2014年06月30日,456946,,3089989,3089780,0,504049,2525718,4451764,,8685,,,28774,615225.0,,47797.0,134663,1825688,,4503,,2804651.0,262505,,5894640.0,,0,7779,613454.0,0.0,51708,209,278933,1442876,1119.0,224675,0,224675
2014-11-05,3,2014,0.0,1223668,18624,1101874,,74020,29293,525868,299145,165170,279556,231644,15811,,29293,43.0,125794,1705933,1705933,24904.0,1795.0,,,0.0,1491832,69970,147872,,674207,6223,920476,134564,279513.0,7011,1825688,2014年09月30日,569051,,3219542,3219360,0,504049,2577064,4578868,,8568,,,28774,898275.0,,34485.0,277775,1825688,,4358,,2856620.0,262505,,6076162.0,,0,7779,896480.0,0.0,52358,182,279556,1497294,37681.0,226723,0,226723
2015-03-27,4,2014,,1250402,18624,1164594,,66660,74097,893666,394675,103332,313255,274023,103309,,74097,44.0,116268,1701149,1701149,40868.0,1851.0,,,0.0,1490265,0,113369,,548637,7723,1242398,167159,313211.0,6905,1825688,2014年12月31日,631771,,3327074,3326884,0,504049,2788071,4843847,,8451,18369.0,,28774,1006789.0,,39196.0,205725,1825688,,4982,,3101326.0,262505,,6428400.0,,0,7779,1004938.0,,54446,190,313255,1584553,,498991,0,498991
2015-05-13,1,2015,,1236544,18624,1279365,,79285,51715,652272,279693,131749,314213,249731,104613,,51715,44.0,91800,1804187,1804187,132463.0,,,,0.0,1541763,0,134687,,605209,9129,1305200,128384,,6697,1825688,2015年03月31日,746542,57004.0,3419438,3419273,0,504049,2747998,4953940,314169.0,8334,,0.0,28774,,890797.0,,225224,1825688,6481649.0,4585,3062211.0,,262505,6481649.0,,,0,7779,,,53318,165,314213,1527709,,372579,0,372579
2015-08-12,2,2015,,1553966,18624,1105954,200826.0,79808,48595,565557,301912,120123,315227,198171,16903,,48595,43.0,92709,1825091,1825091,191908.0,1823.0,,91284.0,0.0,1702558,39980,179743,200826.0,649086,8510,1533688,95979,,16920,1825688,2015年06月30日,535036,49358.0,3334177,3334026,0,542144,3667484,5513212,315184.0,8216,,0.0,28774,,1190924.0,,733440,1916972,7316888.0,4114,3982711.0,,262505,7316888.0,,,10003,7779,1189101.0,,52495,151,315227,1803676,36064.0,263645,0,263645
