date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,786690,2769,189341,5615,134816,59558,17094,8187,219,13561,,1518,101950,8799,2353,272204,19788,,,33228,41344,140592,39899,384157,899923,2013年03月31日,53648,1103556,1103556,1954000,8440,473999,772446,2957,127253,,184042.0,1398.0,324910,899923,,,1019615.0,25893,,16,25877,,2123171.0,,86663,199028,30537,244638,545616,1350725,30434,0
2013-08-09,2,2013,,790739,2769,172152,386,128908,81074,3620,4624,219,11369,,1737,99459,133941,4019,358764,19788,17608.0,,33370,47741,125776,48583,379588,899923,2013年06月30日,35523,1091608,1091608,1954000,9245,548050,914358,1295,127384,,307599.0,0.0,374496,917531,,,1292180.0,17089,,16,17073,,2383788.0,,41930,199874,32190,444797,744130,1469430,26349,0
2013-11-12,3,2013,,828421,2769,154815,139,128624,78271,3052,-562,219,10874,,2643,97083,164385,-920,288584,19788,,,35832,48185,124323,29867,384668,917531,2013年09月30日,18186,1069085,1069085,1954000,9245,333164,683629,221,127384,,156672.0,0.0,160002,917531,,,1155482.0,17089,,16,17073,,2224567.0,,41918,200279,31850,524956,822318,1540938,36570,0
2014-03-20,4,2013,,1065352,2769,152984,2073,130504,88884,19152,4900,219,7374,,2927,93204,182276,2608,320204,19788,,,48324,32385,146219,21822,397311,917531,2013年12月31日,16355,1072716,1072716,1954000,9245,562129,743525,185,127384,,187452.0,0.0,385162,917531,,,1481363.0,17089,,16,17073,,2554079.0,,38391,200915,32157,625115,919234,1810554,7358,0
2014-05-12,1,2014,,1300524,2769,137045,5237,133718,57371,32626,12556,219,10226,,3879,90602,120493,7100,331776,19788,,0.0,37332,42056,117675,27487,406371,917531,2014年03月31日,416,1064433,1064433,1954000,9245,678185,715589,173,127384,158629.0,,0.0,531200,917531,,,1648493.0,17089,,16,17073,,2712926.0,,36162,201932,33289,677774,970308,1997337,7355,0
2014-08-11,2,2014,40158.0,1325149,2769,106260,7300,135761,66108,3325,8370,219,59058,18900.0,1304,88080,102827,851,496837,19788,0.0,0.0,33202,40985,114012,23950,402965,917531,2014年06月30日,-30238,1029462,1029462,1954000,9245,669128,812160,161,127253,121918.0,,0.0,469775,917531,,,1786308.0,17089,,16,17073,,2815770.0,,36431,201986,33978,827114,1117180,2003610,14383,0
2014-11-11,3,2014,80449.0,1352227,2769,45622,5697,131262,65131,5314,11188,219,109146,28697.0,1424,85465,110065,5272,404766,19788,,0.0,55562,38071,149088,18161,411117,917531,2014年09月30日,-90876,971642,971642,1954000,9245,797917,805413,149,127253,158985.0,,0.0,530007,917531,,,1876397.0,17089,,16,17073,,2848039.0,,33809,202489,35037,790526,1078480,2042626,33866,0
2015-03-20,4,2014,127500.0,1370892,530,-49494,10730,136252,60045,4635,20484,219,155623,28123.0,1241,90248,86020,9535,392220,19788,,0.0,60143,45770,190528,13182,417803,917531,2014年12月31日,-185992,885822,885822,1954000,9245,770851,750681,8324,127253,93317.0,,,449270,917531,,,1920752.0,17089,,16,17073,,2806574.0,,35472,202194,36072,857459,1149901,2055893,20086,0
2015-05-12,1,2015,169668.0,1357077,530,-82485,7102,132758,62733,5024,14406,219,192102,22434.0,1218,87679,83678,7085,398817,0,,0.0,89493,46942,191876,16443,414537,897991,2015年03月31日,-218983,846753,846753,0,9245,958422,872259,7799,127253,,213146.0,,567152,897991,2906181.0,2059428.0,,16841,115.0,16,16710,2906181.0,,,34461,201988,37543,811339,1101006,2033922,11274,0
2015-08-11,2,2015,172486.0,1336996,530,-90384,4439,125507,70607,9137,9006,219,184132,11646.0,5129,85170,83213,4348,457517,0,,0.0,59798,38968,179365,19926,403033,897991,2015年06月30日,-226882,833454,833454,0,9245,826605,842449,7275,127253,,124280.0,,472305,897991,2839591.0,2006137.0,,16841,115.0,16,16710,2839591.0,,795.0,40484,202282,40588,892080,1179532,1997142,6611,0
