date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,31377986,26130939,569329,857.0,789038,4558691,3474852,509209,-127049.0,2928382,186238,8954806,1043213,86805,6699749,,2613220,2629060,20442492,97869,51373441,,6912962,,496263,6948701,5461792,2013年03月31日,20900294,,37099423,32365000,0,4848802,74026623,83995946,6776,381843,,10082586.0,-19876,1404267.0,38038981,5461792,,1143586,1088962,,88640089.0,263060,263060,,125739512.0,0.0,2019613,1722404,1081589,170075,,2847294,4734423,14613466,41743566,3245648,0
2013-08-13,2,2013,32273166,22882791,563096,857.0,786556,10537814,3252713,532435,-127049.0,2657853,205603,9409195,1003135,115178,6849114,,2447130,3614873,19202770,103638,52871766,1006739.0,7474790,,494635,7392161,5461792,2013年06月30日,16900575,,34108057,29140078,0,5600373,81912657,88563440,3938,381843,,11205349.0,-18790,996061.0,40993529,5461792,,1166884,1062464,,97485410.0,263060,263060,,131593467.0,0.0,2335615,1704974,1076436,192105,,3396120,4967979,15572753,43030027,3360894,0
2013-11-12,3,2013,32738180,24840488,595148,857.0,816433,4564875,2019636,556314,-127049.0,3022675,174073,9588989,989369,102641,6955553,,2065294,3374730,21597922,99353,52866743,895896.0,8234450,,493716,6187493,5461792,2013年09月30日,18858272,,36068710,31121654,0,5600373,74980468,85892934,5447,381843,,8978708.0,-14426,771435.0,38022386,5461792,,1221476,1014805,,92084734.0,263060,263060,,128153444.0,34113.0,2294155,1704443,1029872,206209,3139.0,4796029,4947056,17104266,42260510,3469724,0
2014-03-25,4,2013,33596748,26570485,636163,0.0,892259,4399369,2484251,750618,0.0,2505801,147538,9851350,1086483,173701,7756089,,3022385,4363897,21728390,80586,53217866,1703718.0,8043156,,487664,9417091,5461792,2013年12月31日,20588269,,38276324,33045955,0,5600373,78494224,88509781,4726,381843,,9845686.0,-59246,1050981.0,39805982,5461792,,1249238,993233,,96752031.0,263060,263060,,135028355.0,0.0,2046850,1740745,1033603,287595,,5672479,5230369,18257807,46518574,3264627,0
2014-05-08,1,2014,34103517,28812609,609116,0.0,847600,4454748,2510315,745562,0.0,2645310,133394,9996639,1159179,174093,6833539,0.0,1921916,3679599,24231425,109492,54065281,1776480.0,8440514,1972.0,491036,9674443,5461792,2014年03月31日,22830393,,40791441,35283023,0,5600373,77467865,89373805,3940,381843,10257524.0,,-37647,1490196.0,37441898,5461792,,1328565,961298,,95886542.0,263060,263060,,136677983.0,0.0,1999777,1744506,1024463,164716,,5716234,5508418,18418677,47304178,3355009,0
2014-08-11,2,2014,34812893,24434343,634148,0.0,871642,11594759,1953481,718566,0.0,3375745,151209,10220377,1301918,99529,6979390,0.0,2641220,4682593,27082006,58099,58248126,2847586.0,8996460,3732.0,489696,12675954,5461792,2014年06月30日,17687116,,36314437,30877761,0,6365384,90481841,94382335,3123,381843,10075368.0,,-15111,961021.0,38386388,5461792,,1452695,861881,,109205587.0,263060,263060,,145520024.0,38064.0,1685037,1729958,982463,209251,,5911530,5436676,18723746,51137689,3441946,0
2014-11-11,3,2014,35692603,26856141,643849,0.0,881766,5114536,1523971,845382,0.0,2704608,128987,10531647,1306593,216597,6415934,0.0,1712562,3882849,30682575,60572,62529998,2845271.0,9855788,3436.0,488355,12048785,5461792,2014年09月30日,20108914,,38834191,33426375,0,6365384,85775129,93582844,2392,381843,4423970.0,,-15064,805392.0,39376993,5461792,,1270787,1021128,,106193780.0,263060,263060,,145027971.0,0.0,2437415,1776090,1024633,164255,0.0,7089786,5407816,20418651,51445127,3418074,0
2015-03-24,4,2014,36763973,28556806,734523,,887358,5128441,1517878,1114851,0.0,3980346,124302,10625616,1374276,390270,5314086,0.0,1378685,2497230,30930339,40850,64876815,591570.0,8535498,3111.0,487015,13625909,5461792,2014年12月31日,21809579,,41087620,35396509,0,6365384,85848827,95013194,1692,381843,7288563.0,,-9942,1018451.0,39325617,5461792,,1300155,1026078,,108086143.0,263060,263060,,149173763.0,,3129242,1811960,1020346,248713,215016.0,8773662,5691111,22237316,54160569,3417113,0
2015-05-12,1,2015,36636843,31510441,764110,,916618,4642735,1489501,1109943,,4178206,134287,10734454,1147534,345428,6429014,0.0,1964669,5217878,31563963,55049,65835423,3612327.0,8915197,12054.0,485675,14164301,5461792,2015年03月31日,24763214,1589999.0,44342291,38345236,0,6365384,88513850,101542407,995,381843,,9122186.0,405,,37654598,5461792,155929178.0,1354105,1007020,111586887.0,,263060,263060,155929178.0,,40547.0,2292367,1820104,1034805,252101,184629.0,9511459,5997055,23073037,54386771,3515422,0
2015-08-11,2,2015,36556139,28300571,795951,,948124,11017882,1425950,1086450,,4748441,117627,10984190,1635475,285346,6157027,0.0,2457577,5705938,34118673,73193,69685010,3938653.0,9688631,2682.0,484335,14600855,5461792,2015年06月30日,20633670,1385686.0,41381015,35111873,0,7285058,98175719,107538359,297,381843,,9831889.0,5153,,37183063,5461792,162800351.0,1216923,1158821,121419336.0,,263060,263060,162800351.0,,0.0,2791128,1854742,1036767,268343,131758.0,9245864,6269142,23243617,55261992,3768004,0
