date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－其他行業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,油料,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,長期應付票據及款項合計,長期應收票據及款項－關係人淨額,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,492419,11984177,892943,18359891,1491879,9066402,127,755095,950153,-1375124,736003,144387,116379,,,0.0,956989,102.0,6466568,-2922182,233628,363624,363624,0,,1994012,78097,1937667,99197.0,213490.0,281387,97805,438779.0,9308.0,1767046.0,688663,8580166,2013年03月31日,10014886,,25790320,25790320,0,363624,6432581,8274123,26517708,,1912424,,14930241.0,,69487.0,4680000,8580166,,,22583073.0,225387,,48373393.0,17774,702409,690117,56161,55179,10667832,213490.0,666720,304618,0,14308950,21855685,5566220,0
2013-08-12,2,2013,678946,14510405,892943,16455070,1484011,9375951,148,2895684,201630,-1105698,1028169,248869,134189,,,0.0,934818,102.0,6213133,-2644888,238047,354360,354360,0,,1996986,80257,1950131,100354.0,189881.0,401560,161589,444484.0,9403.0,1798836.0,690407,8580166,2013年06月30日,6288894,,24154925,24154925,0,354360,6613006,9903398,26030731,,3553170,,14774247.0,,24157.0,3925000,8580166,,,26038098.0,225387,,50193023.0,0,617802,699475,56420,55179,12503421,189881.0,684131,300351,0,16134700,24162292,5290955,0
2013-11-13,3,2013,677634,14951947,892943,16888184,1638410,9475207,136,781911,153466,-1629128,954297,170773,165786,,,0.0,887037,101.0,6018292,-3322717,115710,354763,354763,0,,1988847,109268,2210714,105890.0,172679.0,416682,120593,424243.0,9279.0,1776457.0,588054,8580166,2013年09月30日,6722008,,24064606,24064606,0,354763,6613006,10229359,25338475,,3553170,,14099359.0,,46433.0,6030000,8580166,,,25564928.0,225384,,49629534.0,96736,543340,673806,63230,55179,11785879,172679.0,680830,290014,0,15335569,24291059,5221752,0
2014-03-05,4,2013,742480,16806347,892943,17554744,2035523,9901316,121,852254,110757,-858397,1135198,282899,184922,,,0.0,892007,118.0,6255511,-2949772,116375,381440,381440,0,,1991852,89667,2331348,109819.0,150245.0,457740,193382,455406.0,1811039.0,0.0,596029,8580167,2013年12月31日,7388568,,25501898,25501898,0,381440,6613006,10092473,26818686,,3553170,,13001660.0,,208384.0,5440000,8580167,,,25917363.0,225384,,51419261.0,35622,776430,513423,49624,55852,12427608,150245.0,695182,286238,0,15824890,24600575,5443954,0
2014-05-02,1,2014,944608,21599825,892943,17915136,1472051,9470247,119,784694,743370,-361497,1379841,321586,206293,,,,852882,121.0,3966755,-1889400,118837,388220,388220,0,0.0,1994295,118444,2283563,113647.0,125499.0,649250,133166,440718.0,1815355.0,0.0,608144,8580167,2014年03月31日,7748960,,26359174,26359174,0,388220,6613006,10129921,28143831,,3553170,13721150.0,,,208415.0,5345000,8580167,,,28932191.0,225368,,55291365.0,9964,1016780,549612,79748,55852,15405481,125499.0,719834,286544,0,18802270,27147534,3128084,0
2014-08-11,2,2014,1423762,23691847,892943,16814603,1445693,9191771,125,2545293,1010700,-1367551,1680029,141183,217698,,,,790044,119.0,2544368,-2869096,117141,337154,337154,0,0.0,1997270,96041,2389471,115084.0,97583.0,333534,158237,417514.0,1771148.0,0.0,593336,8580167,2014年06月30日,8849324,,24252587,24252587,0,337154,6769696,11382337,27745015,,1195583,14250472.0,,,405791.0,4215000,8580167,,,31258281.0,225368,,55510868.0,50712,474301,537540,43234,55852,16551090,97583.0,718980,274828,0,19875944,27765853,1708247,0
2014-11-10,3,2014,2654109,23722324,892943,17587768,1274972,9089882,108,852082,975277,-638621,3033253,267290,220172,,,,759010,121.0,3060268,-1969445,118699,456064,456064,0,0.0,1989130,258856,2324380,111854.0,66091.0,461321,105206,419068.0,0.0,0.0,1135527,8580167,2014年09月30日,9622489,,25754682,25754682,0,456064,6769696,12740274,28819984,,1195583,16644930.0,,,405791.0,5850000,8580167,,,31937179.0,225368,,57691861.0,15912,867132,563463,60707,55852,15885302,66091.0,746031,273730,0,19196905,28871877,2195538,0
2015-03-18,4,2014,3241208,25972794,892943,17952253,1446353,9412565,135,861563,192034,1533763,4414354,284187,255353,,,,2164505,143.0,4048174,31558,122557,422995,422995,0,0.0,1992136,116155,2332000,888959.0,968896.0,531602,69206,371105.0,0.0,,1173015,8580167,2014年12月31日,9986974,,28291551,28291551,0,422995,6769696,14437391,31267085,,1195583,19054142.0,,,509123.0,6180000,8580167,,,35201304.0,225368,,63492855.0,24196,1329188,553640,138709,55852,16053632,968896.0,793603,824361,0,20763913,32225770,3132014,0
2015-05-05,1,2015,4066997,26295088,892943,18011331,1581398,9918179,139,1377050,1231635,1096180,5252855,247385,216463,,,,2030719,142.0,3939443,-541070,121572,372845,372845,0,0.0,1994579,145629,2322909,938473.0,890445.0,362017,117881,,0.0,,1170587,8580167,2015年03月31日,10046052,509140.0,27913044,27913044,0,372845,6769696,15148958,31736568,372295.0,1195583,,18425349.0,,,5390000,8580167,64146703.0,36233659.0,,225366,64146703.0,,151375,1092199,529506,111935,55852,16529897,890445.0,784827,767837,0,21084701,32410135,3033044,0
2015-08-10,2,2015,3321247,27620328,892943,16241552,1398127,9349656,138,2787681,200241,192842,3431987,110740,246802,,,,612425,0.0,2513503,-1261137,111085,329466,329466,0,0.0,1997554,140880,2403720,0.0,0.0,296251,134746,,0.0,,1156667,8580167,2015年06月30日,8926358,444602.0,25239927,25239927,0,329466,6978008,15073271,28307098,353418.0,337186,,16934805.0,,,5750000,8580167,60539261.0,35299334.0,,225366,60539261.0,,114401,815131,420454,48584,55852,17195630,0.0,792310,259007,0,20226063,32232163,1610108,0
2015-11-06,3,2015,4512058,29964605,892943,16669645,573846,8817747,131,939346,125742,2557057,4545733,33675,206263,,,,626205,0.0,2833020,1982808,106513,350263,350263,135004,0.0,989414,210197,2336908,0.0,0.0,373259,102254,,0.0,,1986336,8580167,2015年09月30日,9354451,392833.0,27897275,27897275,3848000,350263,6978008,13755042,29231020,357033.0,337186,,17894718.0,-50.0,,5080000,8580167,65055085.0,37157810.0,,225410,65055085.0,,250025,1360774,523139,147030,453,21264010,0.0,876786,269172,0,23402768,35824065,1849721,0
2016-03-11,4,2015,4581707,30968544,892943,16888482,465034,8692432,125,786544,120869,2370488,4868504,286797,249425,,,,601498,0.0,2534607,1905051,107154,350969,350969,477693,0.0,992420,94806,2395020,0.0,0.0,350000,81852,,0.0,,1977723,8580167,2015年12月31日,9573288,181542.0,27586854,27586854,12961000,350969,6978008,15618081,27236089,339391.0,337186,,16375872.0,-50.0,,7130000,8580167,63717556.0,36130702.0,,225410,63717556.0,,161665,1014670,470727,107525,453,18447976,0.0,884448,262107,0,20512621,36481467,1543005,0
2016-04-27,1,2016,3843089,29365008,892943,16002682,236664,8402985,133,768824,155884,1154009,3859224,16135,206358,,,,526133,0.0,2803050,916942,115553,233847,233847,0,0.0,994864,121014,3740770,0.0,0.0,276756,96519,,,,1964164,8450557,2016年03月31日,8687488,140598.0,25722418,25722418,0,233847,6978008,14373985,26388194,275560.0,337186,,16493069.0,-50.0,,5500000,8450557,61465311.0,35742893.0,,115170,61465311.0,,243555,522776,415667,51819,453,19432244,0.0,893274,250573,0,21368908,35077117,1794223,0
2016-08-05,2,2016,4219931,28663491,892943,14677352,-120383,8107405,144,1591684,139645,934203,4259886,39955,1808084,194334.0,1613750.0,,496304,,3035172,1054449,99630,220984,220984,0,0.0,997838,94019,6806112,,,271622,70154,,,,1893090,8450557,2016年06月30日,7279718,104112.0,24177253,24177253,0,220984,7060448,20734670,32792298,251543.0,337186,,22012230.0,4.0,,7570000,8450557,67311199.0,43133946.0,,115141,67311199.0,,308857,162174,392854,34061,133,20512280,,889650,244761,0,22399276,34518901,2045892,0
