date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫存現金,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-10,1,2013,912826,812896,,5950.0,120197,,9377,-1697,,166595,4362,35408,35408.0,147999,8443,44302,,-1697.0,483657,,,,446326,61789,,206601,,,,398210,330089.0,330089,,7597,139556.0,297788,762300,2013年03月31日,400987,,1633971,1633971,0,343645,1025619,1605671,,0.0,,0.0,10000.0,,68264,,217755.0,24111.0,0.0,762300,,,1274676.0,60472,,2908647.0,101058,32110,249057,1302976,123578,,162233,0,
2013-08-08,2,2013,932318,607685,60051.0,5950.0,419528,,34989,3350,3350.0,199466,5883,31636,31636.0,146299,9661,30793,30793.0,,508065,508065.0,,,369857,60945,,206547,,,413069.0,413069,309934.0,309934,7646.0,7646,136638.0,302576,762300,2013年06月30日,167870,,1433807,1433807,0,371551,1364175,1732363,,0.0,,0.0,10000.0,,68264,,236267.0,16512.0,91320.0,762300,,,1610107.0,60472,,3043914.0,99633,29914,245932,1311551,130706,130706.0,193583,0,
2013-11-08,3,2013,922289,682260,4993.0,5950.0,161512,,13866,864,,221306,251,25614,,134980,1261,50472,,,481488,,,,395258,53496,,233515,,,,455377,,327341,,17575,133719.0,296659,762300,2013年09月30日,242445,,1505896,1505896,0,371551,1177584,1603341,,0.0,,0.0,10000.0,,68264,,149700.0,3633.0,108864.0,762300,,,1413712.0,60472,,2919608.0,101148,30897,236128,1316267,127387,,221055,0,
2014-03-14,4,2013,944655,771169,,0.0,256256,,30810,5318,,168965,123,20957,,166625,1683,26100,,,546996,,,,503734,71678,,289519,,,,567260,,324331,,13811,164942.0,319415,762300,2013年12月31日,331354,,1599259,1599259,0,371551,1314522,1849149,,0.0,,8590.0,10000.0,,68264,,232148.0,24370.0,0.0,762300,,,1587176.0,60472,,3186435.0,106029,37116,272654,1337286,104246,,168842,0,
2014-05-09,1,2014,927113,873714,,0.0,142244,,14629,6893,,217179,411,29807,,162159,1683,51858,,,563860,,,0.0,495977,60313,,251756,,,,482965,,359790,,15712,160476.0,327895,762300,2014年03月31日,433899,,1703379,1703379,0,371551,1315281,1933523,,,,4908.0,10000.0,,68264,315914.0,,44107.0,103705.0,762300,,,1584511.0,60472,,3287890.0,107071,37501,269230,1354367,145938,,216768,0,216768.0
2014-08-07,2,2014,935053,684058,0.0,0.0,483502,,36675,1237,,212125,149,24249,,159498,1783,45980,,,589048,,,0.0,491615,62626,,261700,,,,574077,,307523,,12068,157715.0,313052,762300,2014年06月30日,213605,,1508067,1508067,0,402189,1649687,2076562,,,,24166.0,10000.0,,68264,351720.0,,49769.0,88350.0,762300,,,1912161.0,60472,,3420228.0,102976,39581,262474,1343666,157036,,211976,0,
2014-11-13,3,2014,932988,775333,0.0,0.0,194720,,8642,6380,,141796,532,25327,,156748,1795,62868,,,568091,,,0.0,492295,70147,29997.0,270737,,,,531904,,312761,,15401,154953.0,317498,762300,2014年09月30日,304880,,1604485,1604485,0,402189,1334675,1839638,,,,24841.0,10000.0,,68264,181087.0,,35408.0,99575.0,762300,,,1597516.0,60472,,3202001.0,106093,39009,262841,1362363,171584,,141264,0,
2015-03-20,4,2014,998574,848699,,,257085,,15389,19558,,126830,215,27142,,172475,1772,40371,,,635324,,155360.0,0.0,619422,92422,,270979,13492.0,,,609684,,375421,,11005,170703.0,334954,762300,2014年12月31日,378246,,1691029,1691029,0,402189,1436900,1980774,,,,0.0,10000.0,,68264,155360.0,,56670.0,,762300,,,1721120.0,60472,,3412149.0,111745,47476,284220,1431375,151449,,126615,0,
2015-05-02,1,2015,996382,1016490,,,169814,,11140,11479,,90794,4021,34556,,170571,1772,38303,,,571754,,,,584942,82371,,244895,16569.0,,,644178,,449656,,16830,,344820,762300,2015年03月31日,546037,87051.0,1850741,1850741,0,402189,1367506,2063587,168799.0,,0.0,,,10000.0,68264,,256512.0,,91070.0,762300,3499029.0,1648288.0,,60472,3499029.0,,110211,45937,280782,1435442,78961,,86773,0,
2015-08-10,2,2015,995639,781828,10010.0,,544872,217083.0,36371,8709,,113659,7366,29181,,167326,1772,29183,,,624943,,,0.0,604940,91901,,246611,13604.0,327789.0,,632427,406982.0,406982,,13578,,342451,762300,2015年06月30日,274030,64866.0,1613309,1613309,0,439534,1794168,2263087,165554.0,,0.0,,,10000.0,68264,,441740.0,,113715.0,762300,3683580.0,2070271.0,,60472,3683580.0,,108777,43220,276103,1420493,67855,,106293,0,
