date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,,967071,1936,-20350,,,168735,34315,-12343,8750,,8507,8507,20954,,326286,231411,,-12343.0,22.0,159654,0,103694.0,,,84818,94217,6067,20932.0,267607,1600029,2013年03月31日,-24737,1567345,1567345,0,4387,388663,473319,,,,53692.0,103000,-24737,1600029,23360.0,,,,480551.0,9,,2047896.0,,70934,11677,,94875,0,91888,1574577,13173,0
2013-08-13,2,2013,,,969782,1936,-2531,,,99909,45631,-3535,1593,,8328,8328,20248,,353184,258643,70588.0,-3535.0,22.0,170638,0,,,,115123,115648,4706,20226.0,267607,1600029,2013年06月30日,-6918,1593972,1593972,0,4387,387213,468159,,,,108277.0,100000,-6918,1600029,0.0,,70588.0,,478395.0,9,,2072367.0,,70934,11699,,94541,0,91182,1604208,14931,0
2013-11-13,3,2013,,,972070,1936,-19488,,,96336,36921,-9257,3310,,8464,8464,19886,,379195,287795,2007.0,-9257.0,10.0,160563,0,,,,170250,117389,3127,19876.0,267607,1600029,2013年09月30日,-23875,1571293,1571293,0,4387,371903,401563,,,,53553.0,100000,-23875,1600029,0.0,,2007.0,,462723.0,9,,2034016.0,,70934,11645,,91400,0,90820,1632453,21546,0
2014-03-28,4,2013,,,390526,1936,22380,,,119944,31184,-2366,2491,,14859,14859,18803,,468526,378471,,-2366.0,0.0,175228,0,,,,189181,118280,3556,18803.0,784110,1600029,2013年12月31日,22380,1620052,1620052,0,0,431616,484648,,,,127937.0,120000,22380,1600029,,,,,521353.0,9,,2141405.0,,70934,11659,,90055,0,89737,1656757,13604,0
2014-05-14,1,2014,,,395267,1936,2984,,,96024,100905,7821,8169,,16259,16259,19543,,397233,384278,,7821.0,32.0,142313,0,0.0,,0.0,156059,104234,3916,19511.0,784110,1600029,2014年03月31日,2984,1610843,1610843,0,0,380252,491293,,,108980.0,,120000,2984,1600029,0.0,,,,471950.0,9,,2082793.0,5018.0,72155,12954,,12955,0,91698,1591500,9668,0
2014-08-13,2,2014,,,387255,1936,-20260,,,60841,77896,-5296,7551,,16716,16716,12866,,397252,384620,0.0,-5296.0,43.0,144406,0,,13000.0,0.0,139994,102852,3138,12823.0,784110,1600029,2014年06月30日,-24864,1587482,1587482,0,2238,328386,417451,,2366.0,64675.0,,120000,-24864,1613029,0.0,,0.0,,413419.0,9,,2000901.0,,72167,12897,,12632,0,85033,1583450,7768,0
2014-11-13,3,2014,2701.0,2701.0,385703,1936,-10316,,,54609,77239,6763,8017,5316.0,16162,16162,12715,12.0,395734,382952,,6763.0,,128513,0,,13000.0,0.0,140012,138308,8800,12703.0,784110,1600029,2014年09月30日,-14920,1609485,1609485,0,2238,314138,433656,,2366.0,53837.0,,111500,-14920,1613029,,,,,403513.0,9,,2012998.0,,71061,11859,5599.0,12782,0,89375,1579342,10797,0
2015-03-30,4,2014,,2719.0,443754,1936,125910,,4700.0,57492,60817,34206,10342,7623.0,10784,10784,12655,1123.0,344421,331197,,34206.0,,120041,0,,0.0,0.0,126795,134592,299967,11532.0,663510,1613029,2014年12月31日,121306,1773154,1773154,0,2238,306129,702302,,2366.0,56399.0,,111500,121306,1613029,,,,,386381.0,9,,2159535.0,,62679,3612,4918.0,13224,0,80252,1457233,15002,0
2015-05-13,1,2015,,2735.0,466974,1936,109917,,4700.0,40775,59840,27323,12515,9780.0,12160,12160,11926,1123.0,28373,15349,,27323.0,,139398,0,,,0.0,130312,120854,261252,,952439,1613029,2015年03月31日,105313,1750278,1750278,0,2238,285102,661815,10803.0,2366.0,,49847.0,101500,105313,1613029,,2114213.0,,363935.0,,9,2114213.0,,1014.0,62679,2676,4228.0,13024,0,78833,1452398,12750,0
2015-08-13,2,2015,,2752.0,474931,1936,4965,,4850.0,118282,53481,18416,14774,12022.0,12415,12415,13884,3063.0,20138,7385,,,,151270,0,,50000.0,0.0,133858,121786,263060,,950898,1613029,2015年06月30日,-11602,1686419,1686419,0,14201,368414,684392,10821.0,2366.0,,62201.0,101500,-11602,1663029,,2134930.0,,448511.0,,9,2134930.0,,969.0,62679,2635,3534.0,12753,0,80097,1450538,14360,0
