date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,601219,440796,37696,,115925,27726,183068,33383,439398,2314793,94689,408509,-4313,702212,,1259739,660996,228630.0,191121,1341166,1197463,207018,,3475274,2013年03月31日,242819,,,4297443,4259815,0,196105,3946647,7535055,1872,,1252973.0,9937.0,,1129100,3475274,,,56783,,4589686.0,310362,,310362,,8887129.0,170.0,17045,19403,474522,37628,643039,1352074,543210,0
2013-08-12,2,2013,699423,339454,19676,,97905,134088,184033,19698,581980,2310552,73878,325848,22,695796,,1260467,667737,228664.0,181169,1314367,1362503,206410,,3475274,2013年06月30日,126367,,,4181883,4144788,0,209008,4188971,7498977,4079,,1127031.0,5766.0,,1129100,3475274,,,54686,,4666187.0,310362,0.0,310362,,8848070.0,170.0,16702,19507,331950,37095,477216,1349093,504525,0
2013-11-12,3,2013,698676,358040,19676,,97905,78352,183713,13226,688618,2390993,75389,340825,-6450,698553,,1283340,575596,228664.0,375610,1421702,1505915,205801,43110.0,3475274,2013年09月30日,144953,,,4192503,4156902,0,209008,4410912,7565101,4079,,858032.0,1632.0,,1179100,3475274,,,54686,,4778318.0,310362,0.0,310362,,8970821.0,170.0,14758,19403,222573,35601,367406,1405720,506023,0
2014-03-27,4,2013,681956,416709,43070,,121299,32054,182532,40159,709472,2148087,71829,359171,-2911,690994,,1167954,528729,228602.0,809492,1518516,1653516,200839,41999.0,3475274,2013年12月31日,203622,,,4274084,4242504,0,209008,4673743,7824811,4079,,1145686.0,15881.0,,1179100,3475274,,2459.0,62275,,4977335.0,310362,0.0,310362,,9251419.0,0.0,21313,21344,148175,31580,303592,1426608,485480,0
2014-05-12,1,2014,668618,436021,43070,,121299,25717,174496,46076,607247,2295204,70906,454035,3006,689856,0.0,1429462,522104,228574.0,338153,1829627,1624740,200232,41734.0,3475274,2014年03月31日,222934,,,4298959,4267733,0,209008,4428619,7928055,4079,853000.0,,15803.0,,1259100,3475274,,2459.0,62270,,5136310.0,310362,0.0,310362,,9435269.0,0.0,23188,21296,551327,31226,707691,1507214,461132,0
2014-08-13,2,2014,657795,168630,48852,,127081,397812,177229,41925,945750,2058608,72105,444859,-6927,696575,0.0,1562190,522873,228668.0,368342,2113961,1838008,199624,40914.0,3475274,2014年06月30日,-51807,,,4026761,3996191,0,218565,5289625,8059806,1872,727504.0,,2431.0,,1259100,3475274,,2459.0,54521,,5558453.0,310362,,310362,,9585214.0,0.0,23492,55135,118710,30570,268828,1525408,447921,0
2014-11-13,3,2014,750717,154888,45392,,103621,265983,181774,49696,1004350,2188460,76670,521909,4304,713695,0.0,1550127,501616,228657.0,492578,2018670,1468623,199016,42033.0,3475274,2014年09月30日,-65549,,,4040426,3990220,0,218565,5004870,7950880,1872,943616.0,,0.0,11663.0,959100,3475274,,2459.0,54492,,5587400.0,310362,,310362,,9627826.0,0.0,23092,59650,428276,50206,582530,1676946,424379,0
2015-03-27,4,2014,941509,166702,37826,40735.0,96055,26298,88401,61171,1052720,1665821,98428,515869,23345,795972,0.0,1116968,342383,228674.0,937429,1296061,1509792,191501,43139.0,3475274,2014年12月31日,-53735,,,4062758,4013509,0,218565,4697551,7308200,1872,1495854.0,,0.0,11767.0,989538,3475274,,3541.0,54460,,5089022.0,310362,,310362,,9151780.0,,21704,55507,216879,49249,391471,1843580,403797,0
2015-05-11,1,2015,922534,195993,37826,25220.0,96055,20653,88360,55530,868552,1538399,102023,511622,17704,826733,0.0,1394427,310144,228590.0,619446,1539832,1586936,190893,42463.0,3475274,2015年03月31日,-24444,0.0,11848.0,4085482,4037159,0,218565,4618932,7355699,1872,,1377976.0,,,1176038,3475274,9169250.0,1082.0,54454,5083768.0,,310362,,310362,9169250.0,,,22063,49984,286296,48323,464836,1813551,360395,0
2015-08-12,2,2015,900758,256445,24154,0.0,82383,17767,99819,34371,969201,1455097,101887,200150,10217,860958,0.0,1248435,156510,0.0,453187,1253596,1660069,190300,41770.0,3475274,2015年06月30日,36008,0.0,12357.0,4124461,4076452,0,218565,4442470,7355717,1872,,1687507.0,,,1596288,3475274,8808734.0,1082.0,54454,4684273.0,,310362,,310362,8808734.0,,,21821,37656,63641,48009,241803,1453017,326314,0
2015-11-10,3,2015,883707,222879,24154,0.0,82383,15527,84537,63500,869747,1156462,102378,228183,39346,908592,0.0,1211846,153634,0.0,503996,1663074,2084699,189707,43309.0,3475274,2015年09月30日,2442,,12436.0,4119720,4072015,0,218565,4198659,7137789,1872,,915637.0,,,1433898,3475274,8609754.0,10011.0,45497,4490034.0,,310362,,310362,8609754.0,,,21697,44676,121803,47705,291375,1471965,312352,0
