date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,5488232,236118,4833134,1053415,31711,-104862,,744879,8981,27562,80452,-104862,1818839,695083,,2957272,57.0,40.0,2627439,0,353425,3961013,2013年03月31日,3399212,,,10386677,10376087,20904000,1291466,5252245,9998778,84484,142456,,4885724.0,69453.0,30563.0,250000,3961013,,177129,128479,,6179339.0,2381885,,113936,,0.0,2267949,,,16566016.0,374670,771053,324527,10590,927094,6567238,220851,0
2013-08-05,2,2013,5632876,236235,4783412,1263210,32763,17541,,610917,14031,27562,89247,17541,2568621,634620,,5057364,0.0,0.0,3611841,0,352493,3961013,2013年06月30日,3124668,,,10185757,10177475,19086000,1319477,7587512,12003013,97231,339267,,4996899.0,39221.0,4550.0,450000,3961013,,166800,140051,,8528936.0,2050129,384.0,117497,,0.0,1932248,,,18714693.0,383274,773811,303598,8282,941424,6711680,391034,0
2013-11-04,3,2013,5758600,236180,4737486,735891,90207,-79107,,680103,12397,27562,88066,-79107,1566439,440573,,3470731,0.0,0.0,4306233,6680,333774,3902653,2013年09月30日,3078742,,,10153308,10146079,13250000,1319477,5662626,9885406,114073,339267,,3336335.0,33509.0,3063.0,600000,3902653,,142392,116982,,6549477.0,2025620,811.0,121029,,0.0,1903780,,,16702785.0,356649,742307,286686,7229,886851,6817379,207403,0
2014-03-21,4,2013,5656784,156108,4374704,637671,58198,27904,,602568,11829,27562,88012,27904,1342629,440573,,2511106,0.0,0.0,2319220,101802,329654,3902653,2013年12月31日,2715960,,,9899908,9893378,13250000,1319477,4923728,9078856,110413,339267,,4619412.0,17369.0,5887.0,1000000,3902653,,155014,120417,,5818552.0,2028690,958.0,123952,,0.0,1903780,,,15718460.0,442167,746845,298633,6530,894824,6639604,177712,0
2014-05-05,1,2014,5675704,156185,4371888,570557,54161,171331,,758659,5031,19680,87543,171331,1147602,274323,,2323115,0.0,0.0,2555181,164737,320273,3855303,2014年03月31日,2713144,,,10140860,10134232,8250000,1319477,5010271,9425670,107644,339267,4791534.0,,18403.0,7961.0,1200000,3855303,,139537,109814,,5895947.0,2010033,,123649,958.0,0.0,1885426,,,16036807.0,488282,756182,263788,6628,885676,6611137,211181,0
2014-08-08,2,2014,5537319,156067,4504832,522368,69794,4511,,569851,5502,19680,84504,4511,1148910,274323,0.0,3299219,,,4099616,85443,300491,3941583,2014年06月30日,3042899,,,10299420,10293271,8250000,1319477,5541513,10220383,102149,142456,4007086.0,,36721.0,2538.0,1000000,3941583,,113354,84173,,6164861.0,2116668,,47634,958.0,0.0,2068076,,,16464281.0,558447,519495,63368,6149,623348,6243898,243047,0
2014-11-10,3,2014,5547282,156175,4490617,1709555,30823,145476,,518070,5691,18247,84347,145476,1092526,192026,0.0,2487318,0.0,0.0,2850160,86310,262834,2759108,2014年09月30日,3028684,,,9314731,9308491,5775000,1319477,6491594,10232800,102046,142456,4704237.0,,48307.0,2570.0,1608551,2759108,,119793,89205,,7140074.0,2105316,,49269,958.0,0.0,2055089,,,16454805.0,1257147,541028,69321,6240,648480,6222005,203336,0
2015-03-10,4,2014,5603692,151369,4426902,530190,20323,481868,,438251,3801,21058,86210,481868,1176361,0,0.0,2933033,,,2367794,73485,179520,2701358,2014年12月31日,2964969,,,9680128,9673679,0,1319477,5447625,9643055,103447,142456,5441850.0,,71778.0,2767.0,1410000,2701358,,64373,120235,,6172083.0,2063551,,50518,958.0,0.0,2012075,,,15852211.0,362155,583165,84918,6449,724458,6209156,194519,0
2015-05-05,1,2015,5465724,151277,4429383,432575,24988,374942,,427300,11138,21058,85381,374942,1453772,0,0.0,2056374,,,2006630,79754,175589,2702538,2015年03月31日,2967450,63618.0,2410.0,9580917,9574331,0,1319477,4707133,8934025,99185,142456,,4711132.0,,,1673000,2702538,14991176.0,54266,128190,5410259.0,,2067468,,50677,958.0,0.0,2015833,,14991176.0,,457859,553878,79995,6586,703126,6057151,186342,0
2015-08-10,2,2015,5355465,171410,4334873,741052,14157,287012,,532439,20867,21058,83067,287012,1796743,0,0.0,2346376,,,2412804,63637,169943,2702538,2015年06月30日,2845407,38294.0,2763.0,9264335,9257477,0,1347010,5251892,9254311,94473,142456,,4346740.0,,,1542000,2702538,15200462.0,51731,135637,5936127.0,,1933054,,51390,958.0,0.0,1880706,,15200462.0,,402846,527540,71793,6858,684235,5946151,193754,0
2015-11-13,3,2015,5393723,166225,4531655,847057,24577,586457,,467428,17556,15388,84304,586457,1407172,33255,0.0,2278308,,,3128592,41917,166269,2702538,2015年09月30日,3042189,74712.0,3678.0,9728284,9721161,980973,1347010,5265924,9697913,97880,142456,,4556284.0,,,1550000,2702538,15694426.0,48419,127058,5966142.0,,1933766,,52102,958.0,0.0,1880706,,15694426.0,,334690,557772,88112,7123,700218,5996513,183447,0
2016-03-18,4,2015,5211143,143995,4536749,510923,21199,414647,-63121.0,362274,10869,19768,91771,477768,1061419,129393,0.0,2422069,,,2251748,17264,138206,2726938,2015年12月31日,3047283,62273.0,2061.0,9628852,9524713,4413973,1347010,5124537,9649516,93713,142456,,5741973.0,,,1730000,2726938,15400178.0,36998,98880,5771326.0,,1975772,,52493,1581.0,,1880706,40992.0,15400178.0,,427531,528141,71834,104139,646789,5750662,115452,0
2016-05-05,1,2016,5082867,143612,4489167,461822,41132,261623,-89094.0,210514,27789,20160,84953,350717,1287109,129393,0.0,1781661,,,1731610,9001,136216,2738838,2016年03月31日,2999701,71394.0,4457.0,9453292,9357114,4413973,1347010,4717628,9170081,90215,142456,,5195491.0,,,2154000,2738838,14793944.0,38237,105458,5340652.0,,1996879,,52728,1568.0,0.0,1880706,61877.0,14793944.0,,764601,497406,86000,96178,623024,5623863,108891,0
2016-08-12,2,2016,4924372,143018,4356108,720927,12348,166021,-86804.0,207311,30695,26979,84021,252825,1238316,129393,0.0,1904322,,,1917943,3056,132947,2742538,2016年06月30日,2839278,43915.0,1353.0,9111635,9002808,4413973,1374374,5116053,9382002,100313,142456,,5135704.0,,,2205000,2742538,14828956.0,34578,112301,5717321.0,,1867534,,52729,1534.0,,1746566,66705.0,14828956.0,,811789,461988,62283,108827,601268,5446954,230798,0
2016-11-08,3,2016,4761283,156218,4368221,711799,16678,-63567,-70877.0,195039,24296,29672,82274,7310,1329583,129393,0.0,2118755,,2010.0,2321777,882,128245,2739788,2016年09月30日,2851391,41871.0,2767.0,8902702,8777963,4413973,1374374,5322759,9508356,94449,142456,,4722222.0,,,2225000,2739788,14794744.0,28285,116178,5892042.0,,1862914,,52729,1534.0,,1746566,62085.0,14794744.0,,852938,423433,63919,124739,569283,5286388,237213,0
