date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收房地款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,38529,784590,-237338,,28375,9850,,6427,44069,5540,25280,2776.0,22504.0,7620,21361,19118.0,19118,6427.0,172,211323,59604,,,,,107919,44684,59766,52393,7620.0,666500,2013年03月31日,-237338,,358865,383080,2208204,828189,428692,,157,,,,74137.0,1350.0,591942,666500,,,,883969.0,7095,,1242834.0,39020,8034,9140,-24215,55780,814142,5793,2071.0,,,,0
2013-08-13,2,2013,38022,640271,-264230,0.0,36398,9850,47141.0,1085,44298,6276,31667,8155.0,23512.0,7649,17789,9453.0,9453,1085.0,6167,198257,59604,,0.0,,,76195,40538,94066,28113,7649.0,666500,2013年06月30日,-264230,,308374,343751,2208204,771883,486583,,118,0.0,0.0,,81029.0,0.0,564604,666500,,,,844421.0,0,,1152795.0,37926,8034,26963,-35377,72538,666212,6310,2169.0,,,0.0,0
2013-11-12,3,2013,27936,621370,-272691,,34037,9850,15047.0,-1842,33950,6014,35749,6574.0,29175.0,7678,17006,14298.0,14298,-1842.0,525,177894,59604,,,,,68406,44009,70934,60496,7678.0,716500,2013年09月30日,-272691,,373408,407863,2208204,767003,554661,,79,,,,188369.0,0.0,576751,716500,,,,827742.0,25500,,1201150.0,37326,8034,15735,-34455,60739,646489,6172,2183.0,,,,0
2014-03-27,4,2013,18275,598483,-289835,,31961,9850,,-7686,27620,9345,26936,3570.0,23366.0,9400,13530,13022.0,13022,-7686.0,508,171312,59604,,,,,84171,41019,82363,32038,9400.0,716500,2013年12月31日,-289835,,349111,384875,2208204,635989,424855,,638,,,,108122.0,0.0,441368,716500,,,,696696.0,25500,,1045807.0,38112,8301,13195,-35764,60707,620952,4084,0.0,,,,0
2014-05-12,1,2014,20146,595911,-307631,,31062,9850,,-3615,26223,6077,29085,4704.0,24381.0,9452,21171,20648.0,20648,-3615.0,523,173728,59604,,,,0.0,74135,46934,75979,15726,9452.0,716500,2014年03月31日,-307631,,334633,371150,2208204,600058,386957,,555,,,84219.0,,0.0,411854,716500,,,,678585.0,25500,,1013218.0,38427,8624,30648,-36517,78527,626261,8220,0.0,,,,0
2014-08-12,2,2014,20174,597261,-299633,0.0,32203,9850,15.0,-6434,24859,4685,33094,6753.0,26341.0,9496,21059,20545.0,20545,-6434.0,514,158442,59604,,0.0,0.0,0.0,106090,48801,71374,25306,9496.0,716500,2014年06月30日,-299633,,313654,350829,2208204,670524,427759,,493,0.0,0.0,129688.0,,,448721,716500,,,,740678.0,0,,1054332.0,37563,7760,23095,-37175,70154,626573,9840,0.0,,,0.0,0
2014-11-10,3,2014,15201,595069,-310005,,33996,9850,871.0,-3591,20929,5728,33752,4838.0,28914.0,9559,42396,41807.0,41807,-3591.0,589,156988,51399,,,,0.0,115683,50639,70298,63025,9559.0,716500,2014年09月30日,-310005,,317451,355310,1904204,712219,451658,,442,,,118621.0,,235.0,480887,716500,,,,780412.0,3805,,1097863.0,38100,8298,20534,-37859,68193,646205,8103,0.0,,,,0
2015-03-25,4,2014,15228,599177,-324718,,27955,9850,,-521,24013,8785,20058,3190.0,16868.0,8160,40216,39614.0,39614,-521.0,602,130974,24274,,,,0.0,37141,54202,53595,45262,8160.0,716500,2014年12月31日,-324718,,331975,370577,899204,636623,379744,,391,,,122294.0,,740.0,482722,716500,,,,696159.0,3590,,1028134.0,38409,8606,12967,-38602,59536,648390,7561,,,,,0
2015-05-11,1,2015,15256,595333,-355068,,26829,9850,11403.0,-824,22104,6848,23211,4783.0,18428.0,8195,34885,34283.0,34283,-824.0,602,146285,226,,,,,66658,70293,64909,26136,,716500,2015年03月31日,-355068,861.0,321175,360382,8200,671863,410747,8195.0,473,,,,111355.0,,475268,716500,,1049685.0,728510.0,,0,1049685.0,,38060,8247,10392,-39207,56647,638938,27448,,,,,0
2015-08-12,2,2015,13095,545254,-331516,,23407,9850,79713.0,-7579,18581,5486,22410,3911.0,18499.0,8227,32260,25685.0,25685,-7579.0,6575,115834,226,,,,,39961,43794,63621,34259,,716500,2015年06月30日,-331516,117.0,337376,377179,8200,604497,409051,8227.0,515,,,,90235.0,,468787,716500,,993057.0,655681.0,,0,993057.0,,37957,5977,5000,-39803,51184,584006,2979,,,,,0
