date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,,1769569,31071.0,451476,,,99171,246,-38662,30091,,6976,261549,68362,87999,9217.0,,252576,0,,,93920,,220000,53638,377658,,50507,,,193187.0,54876,1083425,2013年03月31日,261246,,1529635,1529635,0,188003,707484,950531,,0.0,2227,,234943.0,17042.0,184405,1083425,,9217.0,,1399986.0,33396,,2929621.0,953,35575,430000,0,692502,1979090,27625,0
2013-08-13,2,2013,,,1747324,38341.0,362796,,,181658,180,-39674,36174,,4153,259934,65522,94066,,-39674.0,206302,0,0.0,,76793,,90000,73476,162175,,25694,,,194412.0,54173,1083425,2013年06月30日,103934,,1439943,1439943,0,201896,519877,630451,,0.0,56966,,195204.0,9865.0,51911,1083425,,,,1161007.0,33396,,2600950.0,1196,36595,380000,0,641130,1970499,36743,0
2013-11-08,3,2013,,,1715494,53035.0,365478,,,142463,9582,-65,54000,,10009,269684,74121,105793,,-65.0,209119,0,,,89999,,90000,100220,296511,,29951,,,195563.0,53470,1083425,2013年09月30日,106616,,1482234,1482234,0,201896,552774,730303,,0.0,56966,,152763.0,0.0,76092,1083425,,,,1208684.0,33396,,2690918.0,6226,32823,380000,0,655910,1960615,22368,0
2014-03-12,4,2013,85333.0,85333.0,1699280,53035.0,438659,,,179283,1652,-49,132482,47149.0,4232,274354,69519,103552,,,286919,0,,,146567,,60000,154481,391765,,40754,,,204835.0,52767,1083425,2013年12月31日,179797,,1555431,1555431,0,201896,767746,956344,,0.0,56966,,206502.0,4975.0,89958,1083425,,,,1343731.0,33396,,2899162.0,6964,34184,294667,0,575985,1942818,24520,0
2014-05-12,1,2014,,85333.0,1772042,0.0,461902,,385272.0,107979,3205,332750,85333,,6913,272726,68407,79554,,,230720,0,,0.0,98499,,150000,61277,358235,,46011,,,204319.0,52064,1083425,2014年03月31日,203040,,1911473,1911473,0,201896,709458,852616,,,56966,185263.0,,13679.0,144067,1083425,,48624.0,,1264404.0,33396,,3175877.0,7553,34329,274667,0,554946,2323261,22269,0
2014-08-13,2,2014,,20000.0,1744327,0.0,414996,,467069.0,251175,1048,414512,20000,,6780,277148,72293,68761,,,263374,0,,0.0,90725,,120000,63917,208977,,27200,,,204855.0,51361,1083425,2014年06月30日,199434,,1946329,1946329,0,215513,613237,818564,,,49,302553.0,,4642.0,27026,1083425,,35752.0,,1237866.0,33396,,3184195.0,7481,34113,340000,0,624629,2365631,8632,0
2014-11-13,3,2014,20000.0,20000.0,1762797,0.0,426457,344075.0,396580.0,114191,1906,344054,66113,46113.0,7616,285390,80589,82810,,-21.0,212416,0,,0.0,71872,,80000,88887,272400,,38360,,,204801.0,50659,1083425,2014年09月30日,210895,,1887332,1887332,0,215513,443863,757040,,0.0,49,206512.0,,0.0,22800,1083425,,,,1196825.0,33396,,3084157.0,7572,34271,460000,0,752962,2327117,17830,0
2015-03-11,4,2014,40000.0,40000.0,1818597,0.0,462336,,321711.0,150866,6584,269240,87289,47289.0,4551,276580,68187,78297,,,305350,0,,0.0,137110,,120000,94088,291248,,34914,,,208393.0,49623,1083425,2014年12月31日,246774,,1848397,1848397,0,215513,659422,879899,,0.0,49,219165.0,,6746.0,63323,1083425,,,,1334227.0,33396,,3182624.0,8225,34497,390000,0,674805,2302725,18087,0
2015-05-11,1,2015,,40000.0,1808533,0.0,535396,,289764.0,107410,2290,237278,40000,,9779,288904,80754,121754,,,237729,0,,0.0,99119,,120000,70762,352757,,66351,,,,49044,1083425,2015年03月31日,319834,21286.0,1889495,1889495,0,215513,578981,801752,208150.0,,49,,98348.0,,80000,1083425,3105241.0,40404.0,1215746.0,,33396,3105241.0,,7861,34394,340000,0,636765,2303489,34498,0
2015-08-11,2,2015,,26667.0,1843349,0.0,369524,,179591.0,242828,2138,127090,26667,,10708,273565,65364,126127,,,241268,0,,0.0,88793,,20000,65444,149146,,22569,,,,48465,1083425,2015年06月30日,137265,9438.0,1613435,1613435,0,232259,511607,578095,208201.0,,0,,125709.0,,7897,1083425,2809598.0,50540.0,1196163.0,,33396,2809598.0,,7658,33971,403333,0,684556,2231503,26557,0
2015-11-10,3,2015,26667.0,26667.0,1843566,,379532,158223.0,210728.0,127324,2130,158325,96980,70313.0,9827,292272,83915,127717,,102.0,192311,0,,0.0,84841,,120000,85606,331958,,45527,,,,48054,1083425,2015年09月30日,147273,5351.0,1654678,1654678,0,232259,523579,758160,208357.0,0.0,0,,156426.0,,3477,1083425,3022264.0,,1367586.0,,33396,3022264.0,,8402,34039,543333,0,844007,2264104,19981,0
2016-02-24,4,2015,66667.0,66667.0,1839289,150.0,425834,,448238.0,159722,2795,395831,153840,87173.0,7836,275756,70374,125812,,,323508,0,,0.0,143955,,120000,106878,319131,,39706,,,,47725,1083425,2015年12月31日,193575,13511.0,1938486,1938486,0,232259,727906,919000,205382.0,0.0,0,,203654.0,,30000,1083425,3413836.0,,1475350.0,,33396,3413836.0,,8355,33622,463333,0,747444,2494836,22370,0
2016-05-10,1,2016,,66667.0,1828376,150.0,458341,,411819.0,98102,886,352043,66667,,8801,268636,89078,133756,,,212545,0,,0.0,75086,28.0,169842,52135,315907,2533.0,77034,,,,48402,1083425,2016年03月31日,226082,17500.0,1927205,1927205,0,232259,600278,815067,179558.0,,0,,167453.0,,63302,1083425,3266760.0,57616.0,1339555.0,,33396,3266760.0,,7308,29190,463333,0,739277,2451693,29908,0
2016-08-11,2,2016,,91667.0,1833745,150.0,341976,,478101.0,172347,2557,418328,91667,,9957,242003,61730,100500,,,206675,0,,0.0,72147,24.0,99907,50707,160300,2051.0,25603,0.0,0.0,,48074,1083425,2016年06月30日,99535,1821.0,1877125,1877125,0,242441,599762,558493,180273.0,,0,,125844.0,,50000,1083425,3048628.0,61142.0,1171503.0,,33396,3048628.0,,8071,29565,321667,0,571741,2490135,25506,0
2016-11-10,3,2016,26667.0,26667.0,1876289,150.0,358423,,449827.0,125456,4399,392016,124857,98190.0,11238,250347,74295,34701,,,210454,0,,0.0,78195,14.0,129851,78493,284226,429.0,38883,,,,47746,1083425,2016年09月30日,115982,0.0,1867260,1867260,0,242441,637793,719659,176052.0,,0,,138453.0,,100927,1083425,3156896.0,,1289636.0,,33396,3156896.0,,8163,28524,393333,0,651843,2437237,31577,0
