date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,,19363448,705395,2989842,780484,46048.0,2659501,17527,,226859,793060,-80547,3899008,,109349,,,68240,271303,224555,1626.0,1626,419,15541.0,299401,0,,,,340975,,,16922,,2702768,254932,99158,267407.0,821152,,11906719,2013年03月31日,1951230,,21452097,21449078,0,837196,7207408,14127341,,96961,201416,,8778059.0,273475.0,0.0,11913439,,,14917460.0,6626344,,36369557.0,0.0,984657,7438749,139148.0,3019,7710052,22242216,83271,6720.0,1120000
2013-08-02,2,2013,0.0,569160.0,569160.0,19875126,720369,2251340,779473,31274.0,4557346,17269,3953465.0,234628,1326179,-3129,784638,215478.0,121232,74068.0,47164.0,68240,271124,227083,,158843,321,,287921,950,,,,358389,,,4084,603881.0,3015544,345700,99346,267809.0,819786,2994.0,11926319,2013年06月30日,1057341,,20794720,20791495,95000,992583,5861736,14597150,,97481,201416,,8228162.0,140010.0,0.0,11926319,,,16527036.0,6617915,,37321756.0,0.0,953487,10394176,,3225,10665300,22724606,158965,,0
2013-11-06,3,2013,0.0,502831.0,502831.0,19822629,720369,2757714,134707,0.0,3391360,21862,2991923.0,200137,1660521,-40464,677380,174549.0,87362,76144.0,11218.0,68604,269384,224297,,155693,321,,278057,0,,,,398606,,,3270,399437.0,2900819,495056,13233,269063.0,792191,,11925369,2013年09月30日,1563715,,21264918,21261277,165000,992583,4708199,14066961,,96688,201416,,8178756.0,215721.0,0.0,11925369,,,15357148.0,6618658,,36622066.0,0.0,898931,10379565,,3641,10648949,22555105,118313,,0
2014-03-13,4,2013,0.0,320369.0,320369.0,19834679,698368,3119429,81935,0.0,3461507,27385,2933878.0,154154,1610937,25413,522658,202289.0,112635,101237.0,11398.0,69065,263554,226099,,157034,541,,249486,825,,,,406964,,,6819,527629.0,2840379,658325,14342,263013.0,1042792,,11925369,2013年12月31日,1925430,,21693609,21689968,82500,992583,4714996,14622419,,95718,201416,,8708432.0,289663.0,0.0,11925369,,,15644685.0,6620582,,37338294.0,0.0,818219,10666135,,3641,10929689,22715875,191794,,0
2014-05-09,1,2014,,940481.0,940481.0,20741968,698368,3546235,107792,0.0,3372718,34124,2587698.0,214688,1372024,88635,1138976,198495.0,84206,80393.0,3813.0,69065,263554,232779,,163714,541,,240115,0,0.0,,,381000,,108.0,17429,785020.0,2736033,659758,11459,263013.0,1058846,,11924424,2014年03月31日,2352236,,22183781,22179923,0,992583,5299372,14265411,,98276,201416,8630454.0,,355017.0,,11924424,,,15699945.0,6620629,,37883726.0,,788078,10137019,,3858,10400573,23618315,208882,0.0,0
2014-07-25,2,2014,,799298.0,799298.0,22760412,649768,2777538,104985,0.0,5517336,55168,4328951.0,116429,1218936,7755,940497,141199.0,168041,138407.0,29634.0,76544,263554,235636,,159092,541,,278632,0,0.0,,,620885,,95.0,4878,1188385.0,3261878,726766,12555,263013.0,1095182,,11923184,2014年06月30日,1401902,,21334453,21330306,0,1174220,7306466,13273913,,100685,201416,6941865.0,,167607.0,,11923184,,,17548838.0,6621829,,38883291.0,,767695,9978818,,4147,10242372,25609378,443826,,0
2014-10-21,3,2014,,2443731.0,2443731.0,23429906,680068,3595939,91185,,2505065,25572,1763758.0,187957,184920,85225,2581048,137317.0,235511,186098.0,49413.0,88281,263554,249216,,160935,541,,284617,0,0.0,,,550035,,154.0,10922,741307.0,3559348,742474,14499,263013.0,1120278,,11923184,2014年09月30日,2220303,,22232328,22228083,0,1174220,5951358,12385120,,105640,201416,6667637.0,,278562.0,,11923184,,,16474161.0,6623735,,38706489.0,,736261,10259249,,4245,10522803,26321369,416972,,0
2015-03-02,4,2014,,1895299.0,1895299.0,24009814,632579,4115067,67460,16544.0,2575285,33530,1750275.0,173093,157741,292876,2129733,234434.0,184812,167031.0,17781.0,94476,262847,244520,,150044,631,,286284,0,0.0,,,496870,,,4225,825010.0,3494939,716931,11402,262216.0,1137346,,11923184,2014年12月31日,2739431,,22958856,22954862,0,1174220,5611642,12923358,,108107,201416,7418163.0,,371999.0,,11923184,,,16763502.0,6623735,,39722358.0,,650090,10889013,,3994,11151860,26799000,412533,,0
2015-04-28,1,2015,,2162826.0,2162826.0,24953081,632579,4714438,73865,14777.0,2907935,31040,1613235.0,178526,117938,222734,2378705,215879.0,241035,235490.0,5545.0,94476,262847,243941,,149465,631,,312458,0,0.0,,,581288,0.0,0.0,16910,1294700.0,3115621,564756,10156,,1162962,,11923034,2015年03月31日,3338802,452652.0,23490484,23486503,0,1174220,6368530,11653797,262216.0,107790,201416,,6550485.0,,,11923034,39387891.0,15897407.0,,6626297,39387891.0,,,618964,9266030,,3981,9528877,27734094,488957,,0
2015-07-28,2,2015,,2289777.0,2289777.0,25507670,632579,3605803,118992,5594.0,4466857,53035,3904867.0,112393,108974,174940,2417885,128108.0,246195,239275.0,6920.0,94476,262847,241652,,147176,631,,354441,0,0.0,,,682217,0.0,0.0,2444,561990.0,3245549,734067,10174,,1170254,,11922944,2015年06月30日,1974261,175452.0,21976270,21972200,0,1430126,7797890,11825052,262216.0,114441,201416,,6589769.0,,,11922944,40049572.0,18073302.0,,6268513,40049572.0,,,552330,10012565,,4070,10275412,28224520,304498,,0
