date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－其他行業淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現售後租回利益,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,576550,576550,13198163,967001,2039.0,244766,957383,85336,1711246,465513,177376,727337,33329,1706904,0.0,79984,823257,,823257.0,0.0,,,,,485419,27972,45000,20223,367,391829,343,22279,,694008.0,14578,377781,5542207,2013年03月31日,639952,,,,7158306,7158306,0,159447,3317440,2585493,,48109,,42871.0,167602.0,,918877.0,54894.0,10000,5542207,,4916,,,11323588.0,563762,,18481894.0,20.0,,,102877,306100,0.0,,2161.0,7175934,,0,8006148,15896401,204461,1626920,669183,,0
2013-08-13,2,2013,,576550,576550,12859731,854737,2091.0,265190,1197164,103078,1842306,507188,231793,712605,24831,1843725,0.0,103836,818679,,818679.0,0.0,,,,,555457,35485,45000,13227,1724,421072,1152,36615,,687774.0,14573,340864,5542207,2013年06月30日,507700,,,,7063784,7063784,0,169500,3719996,2839601,,47424,,38171.0,177537.0,,1108449.0,11608.0,10000,5542207,,4916,,,11469418.0,563762,,18533202.0,0.0,,,88257,322094,3109.0,,0.0,6948560,,0,7749422,15693601,181579,1739889,758568,,0
2013-11-08,3,2013,,573088,573088,12484350,958407,2032.0,260273,1225132,100192,1822000,498420,259367,706393,25117,2384734,0.0,104396,816261,,816261.0,0.0,,,,,258276,20598,30000,21829,1513,386612,1797,14853,,681276.0,14569,328414,5542207,2013年09月30日,611370,,,,7164568,7164568,0,169500,3463342,2934470,,44549,,35821.0,177537.0,,1232878.0,18750.0,60277,5542207,,4916,,,11585132.0,563762,,18749700.0,51.0,,,73258,298341,0.0,,2129.0,7342139,,0,8121790,15815230,182720,2280338,750492,,0
2014-03-17,4,2013,,1001155,1001155,10316721,1156602,2066.0,268471,1062981,110642,2350291,477139,326623,717908,24604,2501227,0.0,89586,689841,,689841.0,,1625515.0,,,2098491.0,262050,18634,219887,8544,626,350282,950,21212,,693304.0,14564,350072,5542207,2013年12月31日,809565,,,,7373213,7373213,0,169500,4158460,6965688,,40275,,35823.0,177537.0,,3673841.0,105447.0,130000,5542207,,0,5067.0,,13416552.0,563762,,20789765.0,,114004.0,,51727,332747,0.0,,1811.0,6270895,,0,9258092,13824077,237724,2411641,871997,,0
2014-05-12,1,2014,,552367,552367,12559028,1205660,1983.0,279045,1032598,119394,1923463,487429,155214,711631,25480,2045191,,117240,696981,,696981.0,,1417394.0,,0.0,2152216.0,265099,24030,349861,8960,2031,425591,1452,34433,,686151.0,14559,404544,5542207,2014年03月31日,858623,,,,7431023,7431023,0,169500,4342823,6107819,,38935,,35823.0,177537.0,3097313.0,,161781.0,575000,5542207,,0,5067.0,,14384713.0,563762,,21815736.0,0.0,38849.0,,48136,366615,,,0.0,7085991,,0,10041890,15707917,241635,1927951,883667,,0
2014-08-13,2,2014,,598267,598267,13446700,1258927,1980.0,271329,1308545,111368,2268141,599276,150534,1181108,29045,2002399,,242909,684390,,684390.0,,0.0,,0.0,2116271.0,260871,23362,150000,17382,1363,484462,1594,52651,,679763.0,14554,380027,5542207,2014年06月30日,1076126,472300.0,,,7476264,7476264,0,182801,4115490,6238149,,34136,,35825.0,0.0,4529267.0,,35528.0,50000,5542207,,0,5067.0,,15224239.0,563762,,22700503.0,,0.0,,66739,313209,298.0,,0.0,7739564,,0,11108749,16462354,297446,1759490,1070598,,0
2014-11-11,3,2014,,598267,598267,13217459,1392956,1921.0,284354,1234638,124961,2207534,757200,264270,1119663,35376,3787138,,260043,689532,689532.0,,,0.0,,0.0,2162537.0,275589,28438,150000,12188,1229,380281,1815,19641,,671845.0,14550,398638,5542207,2014年09月30日,1210155,412442.0,,,7623886,7623886,0,182801,4442474,5657524,,30747,,36325.0,0.0,3986207.0,,9805.0,243000,5542207,,280053,5067.0,,16008153.0,563762,,23632039.0,0.0,0.0,,19814,241629,,,0.0,8258598,,0,11565679,17974515,277532,3527095,852067,,0
2015-03-16,4,2015,2371298.0,855421,3226719,15560558,-60622,0.0,125125,1231370,-86422,4994282,537520,347064,915570,31569,3543625,,513778,715794,,715794.0,,,,0.0,165707.0,256442,27941,329196,4366,196,415668,1578,20381,,,14526,264493,6336597,2015年12月31日,-273914,165985.0,4021.0,21143.0,6858387,6855745,0,213292,7609810,4863743,718016.0,77023,102893.0,,,,2690740.0,,610000,6336597,24840594.0,0,7270.0,17982207.0,,666192,24840594.0,,6422.0,1624.0,35371.0,10727,391501,145574.0,,,9271499,222220.0,2642,10372397,19976851,513111,2807627,1230043,0.0,0
2015-03-23,4,2014,,742800,742800,15458829,1347425,1973.0,263629,1235808,72984,2437495,565994,144621,1122411,32439,3054967,,334469,690172,690172.0,,,0.0,,0.0,2541114.0,232303,26817,149880,8156,624,422633,2087,45513,,732675.0,14545,405688,5852294,2014年12月31日,1164624,357297.0,,,8238341,8238341,0,182801,4385511,6163024,,33823,,28975.0,0.0,4370859.0,,9763.0,40000,6155329,,213058,5181.0,,17408226.0,662603,,25646567.0,,27570.0,,19851,252062,31607.0,,0.0,9306588,,0,13022715,19483543,456191,2720498,1128701,303035.0,303035
2015-05-13,1,2015,,742800,742800,14701470,1286279,0.0,263668,1108271,66922,2120144,609128,548298,1013827,36559,3228218,,319344,693745,,693745.0,,577395.0,,0.0,2416363.0,223082,42198,150000,15436,2298,383555,2366,16771,,,14540,400187,6260775,2015年03月31日,1103478,302151.0,80907.0,,8279326,8279326,0,182801,4278526,6365937,675117.0,29894,47790.0,,0.0,,3542508.0,,40000,6260775,25306867.0,466563,5181.0,17027541.0,,665350,25306867.0,,,625.0,,5127,302953,29627.0,8269.0,,9299623,,0,12749015,18940930,553509,2908874,768216,0.0,0
2015-08-10,2,2015,,762750,762750,14547007,942199,50044.0,275501,1208045,114621,2282994,724435,282344,927585,39176,3824029,,370057,695326,,695326.0,,,62608.0,,2378905.0,249992,46185,229909,8884,4713,356283,1139,36675,,,14536,368830,6273989,2015年06月30日,728907,251188.0,26274.0,,8059610,8059610,0,213292,5102202,6496187,637221.0,51069,62882.0,,0.0,,4174066.0,,790000,6336597,25830594.0,245287,5181.0,17770984.0,,666193,25830594.0,,76.0,1497.0,103.0,5127,253435,9843.0,583.0,8485.0,9349904,,0,12668782,19334407,828840,3453972,795809,0.0,0
2015-11-12,3,2015,,851322,851322,15560974,737620,0.0,268909,1277509,18584,2424604,722807,417182,862573,34331,2799122,,472428,708024,,708024.0,,,62608.0,0.0,2531702.0,247233,35677,230000,7743,2262,411429,2733,33682,,,14531,385035,6273989,2015年09月30日,524328,208587.0,0.0,6084.0,7758994,7758994,0,213292,4956749,6632824,619655.0,67280,91695.0,,,,3698294.0,,610000,6336597,26005658.0,29895,6566.0,18246664.0,,666193,26005658.0,,1290.0,2778.0,34181.0,10929,276983,90536.0,,,9875367,,0,13289915,19372834,1229520,2326694,850475,0.0,0
2016-04-29,1,2016,2332547.0,866266,3198813,14233320,-499250,,98435,1233157,-31723,5037701,652081,402253,419545,29496,3790293,,574933,708877,,708877.0,,0.0,,0.0,166648.0,165206,88710,0,20645,522,451047,1842,19995,,,610135,257960,6336597,2016年03月31日,-712542,123385.0,0.0,21137.0,6475583,6471816,0,213292,7428044,4421955,266664.0,86250,106231.0,,0.0,,2258361.0,,800000,6336597,23981485.0,0,7180.0,17505902.0,,666192,23981485.0,,1227.0,2075.0,23023.0,630,483137,80876.0,0.0,,9481780,216570.0,3767,10077858,19559530,429189,2998790,1186807,0.0,0
2016-08-09,2,2016,2346597.0,892266,3238863,14527835,-1319564,0.0,83179,1296023,28373,5038687,688992,1023726,369868,30965,3287559,,646961,717004,,717004.0,,,0.0,,167595.0,123384,93157,199921,5949,172,420882,1945,15671,8.0,,607347,227393,6336597,2016年06月30日,-1532856,80784.0,0.0,10113.0,5716490,5711598,0,213292,8171348,4752753,258119.0,87143,101074.0,,0.0,,1902174.0,,1400000,6336597,24126296.0,0,7244.0,18409806.0,,666192,24126296.0,,0.0,3103.0,19587.0,1847,553087,14055.0,0.0,0.0,9688801,331016.0,4892,10238458,19373543,540569,2309582,1110832,0.0,0
2016-11-14,3,2016,2287408.0,1183491,3470899,14196506,-2277399,0.0,82382,932170,35663,4557286,383896,318263,319300,27954,3305448,,642115,726852,,726852.0,,,0.0,0.0,168546.0,230653,83431,149965,3236,730,353181,2230,7513,,,604777,253203,7586597,2016年09月30日,-2490691,38183.0,0.0,10115.0,5767576,5761053,0,213292,7383871,3727933,253163.0,90388,70177.0,,,,1719793.0,,1420000,7586597,22834858.0,0,5480.0,17067282.0,,416192,22834858.0,,235.0,4041.0,0.0,631,574221,6165.0,,,9185413,323152.0,6523,9683411,19106925,519809,2340181,702491,0.0,0
