date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,240789,,613541,60390,56651.0,151964,81317,30369,1558,44357.0,57213,,45253,34500,45048,53722,-3177,600930,81525,,,,,115910,,0.0,991.0,94746,,6243,470320,2869,885642,2013年03月31日,522914,,1491955,1479086,759715,,273840,1000698,11086,90627,,118293.0,0.0,0,885642,,,,,439543.0,4215,1975,2240,,,,,,,1931498.0,,36969,0.0,50,120655,12869,165703,930800,6451,0
2013-08-13,2,2013,382425,,201334,43314,45160.0,146348,108125,6843,12097,0.0,49436,,74541,1733,21583,43088,6122,574375,0,0.0,354257.0,,,203797,,0.0,1620.0,284305,,2026,469681,2744,885642,2013年06月30日,59786,,1507981,1494884,0,50921.0,434696,1160514,11085,90627,,198549.0,2770.0,37000,1239899,,0.0,,,707979.0,4215,1975,2240,,,,,,,2215960.0,,37114,0.0,75,251700,13097,273283,1055446,5155,0
2013-11-11,3,2013,374167,,187177,41084,36526.0,151586,107390,6762,366,0.0,41047,,69767,2609,22015,65591,-37,513755,0,0.0,,,,134881,,0.0,1478.0,218103,,2344,467381,2627,1239899,2013年09月30日,45629,,1486571,1472338,0,50921.0,358538,1046311,11086,90627,,182306.0,1260.0,37000,1239899,,0.0,,,632253.0,4215,1975,2240,,,,,,,2118824.0,,68453,0.0,75,251700,14233,273715,1072513,21849,0
2014-03-19,4,2013,397506,,149694,13929,27060.0,149985,104911,7385,10525,0.0,23098,,44036,700000,28220,90130,9169,524668,0,,,,,69483,,0.0,,59476,,10584,479895,2517,1639899,2013年12月31日,-4855,,2232738,2219872,0,50921.0,267196,1640388,11086,103628,,232929.0,4381.0,37000,1639899,,,,,538950.0,407181,1975,2240,0.0,,402966.0,,,,2771688.0,,55700,0.0,181,243534,12866,271754,1131300,19446,0
2014-05-09,1,2014,389484,18750.0,88931,15818,0.0,151463,112453,7350,15008,0.0,23618,,52512,600000,29666,85796,7800,558896,0,,,0.0,,136052,,,685.0,113570,,2196,446850,92636,1639899,2014年03月31日,-65618,,2172628,2159629,0,50921.0,357881,1602240,11086,103628,240841.0,,1829.0,47000,1639899,,,,,625858.0,407181,1975,2240,0.0,0.0,402966.0,,,,2798486.0,,45540,,181,238311,12999,267977,1196246,26189,0
2014-08-11,2,2014,396434,18752.0,41626,17683,0.0,151939,163581,12286,25698,0.0,15874,,57100,300988,32531,469374,-1809,559767,0,67485.0,0.0,0.0,,221354,,,220.0,186885,,20869,399888,90876,1639899,2014年06月30日,-99922,,2118110,2104580,0,50921.0,537328,1387678,11086,90627,209547.0,,454.0,82333,1639899,,,,,808098.0,407181,1975,2240,0.0,0.0,402966.0,,,,2926208.0,,0,,181,238239,13530,270770,1538530,16439,0
2014-11-11,3,2014,928611,26190.0,88207,19859,0.0,155477,271771,19349,10088,0.0,33305,,57004,300454,31935,68999,13446,525492,0,52811.0,,0.0,,173889,,,55.0,192292,,2973,300827,95440,1639899,2014年09月30日,-53341,,2394951,2247356,0,50921.0,568089,1648521,11086,90627,534287.0,,2688.0,43333,1639899,,,,,840381.0,485945,1975,2240,0.0,20134.0,402966.0,58630.0,,,3235332.0,,0,,181,240357,147595,272292,1586811,30124,0
2015-03-24,4,2014,1243216,26192.0,7268,76163,0.0,212223,369881,104468,17944,,104338,,121481,5913,24224,74044,1315,334867,70174,659511.0,,0.0,,4480,,,157.0,29855,,0,207457,89670,1639899,2014年12月31日,-134280,,2311775,2167991,3500000,50921.0,896279,1653773,11086,90627,554147.0,,2335.0,43333,1639899,26860.0,250144.0,,,1206068.0,486660,1975,2240,0.0,20134.0,402966.0,59345.0,,,3517843.0,,0,,182,285565,143784,309789,1864070,51536,0
2015-05-05,1,2015,1726535,7504.0,-69676,98317,26530.0,222031,349140,125720,8600,,120997,0.0,128959,100962,24039,92487,-1774,337307,70174,623554.0,,0.0,459379.0,9951,,,9576.0,39886,,0,207140,87444,1645123,2015年03月31日,-211224,2334.0,2338903,2135635,3500000,50921.0,925095,1741416,11086,90627,,517952.0,,43333,1645123,24454.0,249975.0,4095825.0,1756922.0,,509365,1975,2240,0.0,20134.0,408164.0,56283.0,20569.0,4095825.0,,6107.0,125,,182,348409,203268,831827,2354409,86500,0
2015-08-11,2,2015,2372407,7504.0,-23723,74605,20091.0,202924,533184,18873,9767,,66631,0.0,132609,140192,20340,124167,-7974,337941,70174,228705.0,,0.0,430126.0,9823,,,48702.0,12466,,0,206822,96327,1662834,2015年06月30日,-122963,2984.0,2348375,2144280,3500000,50921.0,996196,1528268,11086,48319,,658762.0,,243333,1662834,0.0,0.0,4549686.0,2201311.0,,508712,1975,2240,0.0,4328.0,425870.0,56743.0,17556.0,4549686.0,,6688.0,50,,181,754649,204095,1205115,3021418,120294,0
