date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,待註銷股本,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應付薪資,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,暫付款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-24,1,2013,514909,234394,1502069,,143357,6574,110617,25194,,,75872,63704,6574.0,7597,561460,,,412106,131,110000,,143357,104005,429572,68275.0,368738,2235985,,2013年03月31日,721349.0,,3837283,3827885,0,776122.0,864423,3542654,,4598.0,,2176572.0,88212.0,2235985,,,978611.0,83257,,,83257.0,83257,,4815894.0,245851,38316,91495,9398,114188,1273240,,0
2013-07-24,2,2013,512018,234394,1160514,,740922,17969,129548,28164,,,75448,77535,17969.0,7597,554892,,,475109,424,126911,558996.0,181926,128350,542342,67851.0,384283,2235985,,2013年06月30日,378557.0,,3510341,3499141,0,777359.0,1551313,3875693,,4598.0,,2391215.0,78399.0,2237401,,,1665077.0,83257,,,83257.0,83257,,5175418.0,230730,38316,91495,11200,113764,1299725,1416.0,40000
2013-10-25,3,2013,502751,236991,1355661,,173482,8874,115547,41639,,,75020,65744,8874.0,7597,579617,,,343938,271,156151,,173482,111616,483673,67423.0,394071,2236805,,2013年09月30日,573704.0,,3709746,3698031,0,777359.0,898633,3430663,,4598.0,,1971553.0,109244.0,2248156,,,1011969.0,85340,,,85340.0,85340,,4721715.0,242565,38316,91495,11715,113336,1291052,11351.0,11351
2014-01-27,4,2013,499508,238570,1543041,,209616,15730,76921,1275415,18464.0,1256951.0,68426,70742,15730.0,7597,515202,,,310755,0,147907,,209616,91116,528982,60829.0,360439,2249412,,2013年12月31日,761084.0,,3974368,3962762,0,777359.0,830553,3724582,,4598.0,,1050620.0,85354.0,2289780,,,955117.0,114211,,,114211.0,114211,,4929485.0,263247,56138,35644,11606,124564,1204903,40368.0,1227000
2014-04-25,1,2014,491908,238570,1708142,,165002,14170,74978,1166591,29010.0,1137581.0,67991,74177,14170.0,7597,575255,,0.0,365420,0,129754,,165002,116742,444535,60394.0,352878,2261682,,2014年03月31日,926185.0,,4138787,4126303,0,777359.0,827672,3897411,,4598.0,1431162.0,,92518.0,2261682,,,951801.0,142309,,,142309.0,142309,,5090588.0,163126,56138,35644,12484,124129,1193177,0.0,0
2014-07-24,2,2014,484865,229750,1169011,,936933,-538,74704,1223013,20501.0,1202512.0,67565,78465,-538.0,7597,553875,,0.0,369763,284,142885,746355.0,190578,136755,549781,59968.0,349993,2261682,,2014年06月30日,372493.0,,3586586,3572464,0,791920.0,1594923,4126495,,4598.0,1515412.0,,70354.0,2261682,,,1718626.0,142309,,,142309.0,142309,,5305212.0,147659,56138,35644,14122,123703,1178717,0.0,0
2014-10-28,3,2014,485471,229750,1373423,0.0,166642,17785,70373,1315814,28760.0,1287054.0,67148,76101,,7597,542478,0.0,0.0,349333,536,139355,,166642,113317,537022,59551.0,369099,2261682,,2014年09月30日,,,3811988,3795199,0,,798568,3537777,,,906049.0,,72329.0,2261682,,,921854.0,142309,0.0,,,142309,,4733842.0,123097,56138,35644,16789,123286,1196065,0.0,0
2015-01-26,4,2014,487863,229750,1588979,0.0,219015,45662,68819,1316557,21900.0,1294657.0,65851,74786,,7597,500981,0.0,0.0,338602,2024,131156,,219015,102956,571953,58254.0,399112,2261682,,2014年12月31日,,,4057607,4038632,0,,858093,3830158,,,1179235.0,,98477.0,2261682,,,1001959.0,142309,0.0,,,142309,,5059566.0,158476,78015,37897,18975,143866,1229408,0.0,0
2015-04-27,1,2015,481283,229750,1749528,,167450,41216,52829,1613433,27795.0,1585638.0,65450,69535,41216.0,7597,538470,,0.0,321098,685,134343,,167450,100031,465335,,395099,2261682,,2015年03月31日,954966.0,129248.0,4214868,4194735,0,791920.0,805653,3950422,57853.0,2642.0,,889125.0,,2261682,5163986.0,949118.0,,142309,,,142309.0,142309,5163986.0,,344028,78015,37897,20133,143465,1213564,,0
2015-07-27,2,2015,475786,229750,1177944,,1000873,27937,71518,1703058,23566.0,1679492.0,65054,76282,,7597,528087,,,365365,672,105189,795842.0,205031,105475,590656,,380801,2261682,,2015年06月30日,380671.0,90553.0,3629013,3609872,0,794631.0,1634170,4205736,57457.0,2642.0,,663261.0,,2261682,5406252.0,1777239.0,,142309,,,,142309,5406252.0,,615199,78015,37897,19141,143069,1200516,,0
