date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付費用,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付員工紅利,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付董監事酬勞,應付設備款,應收分期帳款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收租賃款,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收分期帳款,長期應收票據及款項淨額,長期應收租賃款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1299434,9182555,22590,-4792318,876973,,522938,,61911,,52711,2271390,932840,109819,35,,1588617,,52850,35,40705,915197,,0.0,,,,2868.0,1361714,29752,,,520070,,,2757654,,,,3177,,4606219,2013年03月31日,-4792318,,,10679644,10382216,0,0,6830518,8933098,263737,,,,,4526590.0,0.0,,2644147,4606219,,,68085,,10191103.0,10515604,,20870747.0,577,,,,3292465,,,,23952,297428,3360585,11937649,0.0,561927,1471110,39116,,0
2013-08-07,2,2013,1578643,16283163,23849,-288070,214730,,606196,,131336,,-92858,3415207,1768817,1189749,1110,,2129809,,70505,1110,45090,1515909,1515909.0,,,,,,2356871,18378,,2273.0,603923,,,3836693,,904383.0,,2687,,6283500,2013年06月30日,-288070,,,14705323,14403935,0,0,12988884,13724596,373576,,,,,5545264.0,0.0,,6591611,6283500,,,145083,,18047087.0,8501363,,32752410.0,621,88.0,161709.0,,4750301,,,,30120,301388,5058203,19027814,0.0,601174,1984094,67747,,0
2013-11-06,3,2013,1643141,15827903,23849,176828,180960,,2060502,1556240.0,99168,,-218488,1716328,22791,1581155,999928,998830.0,2227458,,71055,1098,86335,1680794,1680794.0,,,,,4463.0,2580279,13275,,2869.0,496930,,,4338588,,1232487.0,,2382,,6316831,2013年09月30日,176828,,,15181636,14884216,0,0,12642174,14859699,775260,,,,,5311168.0,0.0,,6270908,6316831,,,151758,,18715875.0,8609045,,33897511.0,882,3965.0,152396.0,,4769619,,,,29670,297420,6073701,19037812,0.0,612374,2040398,50396,,0
2014-03-18,4,2013,1757933,15606909,24448,475664,222750,,2591891,1524785.0,61957,,-86508,1831840,11991,1593722,1118,,3613188,,61447,1118,63365,1520630,,,,,549004.0,79095.0,2366092,8785,,,988011,,4078295.0,4134630,,264427.0,56335.0,0,,7770292,2013年12月31日,475664,,,19210741,18857017,0,0,9542298,14237031,557739,,,,,6372612.0,10201.0,24420.0,2732789,7770292,,,159098,,15101260.0,10697569,,34312001.0,700,22.0,140988.0,49936.0,4708754,,1652582.0,1652582.0,31027,353724,5558962,20074970,0.0,264611,1804767,61916,,0
2014-05-06,1,2014,1989219,15596304,24460,882909,217420,,2078760,1182851.0,87866,,-79267,2204173,97413,1438871,18173,17011.0,3512043,,54369,1162,103148,2285031,,0.0,,0.0,275335.0,123192.0,2707497,883,,16390.0,756327,,5055500.0,5116994,,477550.0,61494.0,0,,7870838,2014年03月31日,882909,,,19919224,19547275,0,0,10615478,15788981,530591,,,,6046247.0,,8656.0,12053.0,3613627,7870838,,,175226,,15797846.0,10872795,,35717070.0,1882,7.0,130055.0,47271.0,4583579,,1679977.0,1679977.0,30998,371949,5182368,19928089,0.0,324362,1643551,117541,,0
2014-07-24,2,2014,2397084,15464792,24448,1033607,210010,,2561905,1484255.0,64545,,-141505,2522356,68287,1540866,16734,15596.0,3408040,,49065,1138,92666,2474214,,0.0,336041.0,0.0,216362.0,163242.0,2541894,30462,,21730.0,892678,,4972414.0,5029099,,208976.0,56685.0,19853,,7892116,2014年06月30日,967113,,,20251796,19706102,0,47566,12493704,17094066,536440,,18928.0,,6949425.0,,0.0,12147.0,4836208,7892116,,,191120,,16548265.0,10921884,,36800061.0,879,2848.0,116914.0,42412.0,3513431,,1642664.0,1642664.0,23641,545694,4054561,19705995,0.0,475905,1600004,56985,,0
2014-11-04,3,2014,2245673,14908978,66958,850955,195040,,2110645,1313980.0,375078,224622.0,-92287,2326855,35586,1760425,263387,258508.0,2756575,,35682,1170,113982,2329945,,0.0,33892.0,0.0,3576730.0,98081.0,1600952,89258,,0.0,698584,,5215927.0,5273301,,432802.0,57374.0,54139,3709.0,7913535,2014年09月30日,784461,,,20367702,19783677,0,47566,9437084,18300305,536440,,18928.0,,7463992.0,,0.0,19477.0,3309228,7913535,,,207241,,16480351.0,11111474,,36848053.0,146,26.0,101247.0,29618.0,2894662,,978132.0,978132.0,22453,584025,7043267,18547748,,386745,1606326,45596,,0
2015-03-17,4,2014,1868726,14193490,66983,458238,159578,,2134232,1427360.0,76766,652560.0,37934,2157002,32598,1461213,752000,265316.0,3296405,,735093,1360,247167,2043721,,,34189.0,0.0,3596810.0,35404.0,1548785,84920,,4312.0,667156,,4982697.0,5042065,,193495.0,59368.0,71360,15324.0,8562770,2014年12月31日,391744,,,21723771,21256433,0,47566,8981935,18963652,534271,,18928.0,470000.0,8721777.0,,888.0,17108.0,3039296,8562770,,,225308,,15600784.0,12197491,,37324555.0,16812,1514.0,100778.0,38816.0,1943953,,1113661.0,1113661.0,24736,467338,6618849,18360903,,719244,1175748,255678,,0
2015-05-06,1,2015,1888936,13905121,66977,-8667,147478,,1820630,1176427.0,56616,756668.0,-2014,2023607,31244,1353171,742417,256612.0,3408049,764719.0,764719,337,228847,2598275,,0.0,34085.0,,3617005.0,32343.0,1433019,83852,,7373.0,604487,,4376787.0,4437599,,169001.0,60812.0,69704,15468.0,8562195,2015年03月31日,-75161,888.0,15477.0,21362102,20748105,0,47566,8578396,18160482,533308,,18928.0,470000.0,,8075311.0,,,3216123,8562195,36316886.0,,234753,14954784.0,,12196591,36316886.0,,277,19351.0,82036.0,25767.0,1700177,,1109743.0,1109743.0,22477,613997,6376388,18156404,0.0,644928,1282263,103427,,0
2015-08-11,2,2015,1498872,13245977,66967,-946980,126625,,1969866,1372826.0,118892,498396.0,-71901,1820169,45285,345821,717986,247653.0,3619453,,766710,333,109544,2583105,,0.0,329158.0,0.0,3637314.0,32343.0,1783860,81318,,7373.0,557324,,4710118.0,4786564,,7720.0,76446.0,64563,0.0,8559865,2015年06月30日,-1016402,3866.0,16141.0,20334883,19733796,0,69422,9322176,18321910,532313,,0.0,470000.0,,8989780.0,,,3663039,8559865,36006209.0,,247112,15671326.0,,12192812,36006209.0,,58,4673.0,78841.0,28401.0,1667897,,1519350.0,1519350.0,21657,601087,6349150,17684299,0.0,641660,1202192,276012,,0
2015-11-10,3,2015,2380262,13096781,45762,-1307857,103372,,2299884,1275432.0,100498,442763.0,174968,2757745,35890,332585,730423,260078.0,4051275,,634163,345,338773,4053763,,0.0,344175.0,0.0,3657737.0,2649.0,1865461,252,,0.0,1021803,,5093061.0,5176851,,99557.0,83790.0,68208,0.0,8582285,2015年09月30日,-1377279,3866.0,9822.0,20283933,19661758,0,69422,12940928,20541675,531324,,0.0,470000.0,,9231470.0,,,6011176,8582285,38477497.0,,269439,18193564.0,,12212362,38477497.0,,2544,0.0,86311.0,39100.0,508726,,1780814.0,1780814.0,22783,622175,5252636,17935822,,750191,1274742,341593,,0
2016-03-24,4,2015,1796303,12924354,54611,-1168674,109873,,2124913,1441569.0,67345,476099.0,131877,1987244,56622,303406,715881,245542.0,5695896,,1560059,339,342150,4253107,,,2876.0,0.0,3461799.0,0.0,2005779,557,49912.0,2649.0,680695,18717.0,4605189.0,4714633,,340460.0,90727.0,65824,0.0,8581617,2015年12月31日,-1238096,640.0,9532.0,20355850,19756294,0,69422,12623827,19301990,620471,310103.0,0.0,470000.0,,8498752.0,,,6448680,8581617,39101499.0,,291688,18745649.0,,12211474,39101499.0,,6102,29.0,64103.0,18377.0,1588351,338686.0,2253694.0,1915008.0,23587,599556,6121822,19799509,,635751,1516406,134319,,0
2016-04-29,1,2016,1532821,12589177,54595,-1059836,105316,,1923607,1315468.0,245450,514729.0,23912,1751032,126080,203055,709155,236948.0,5708439,1916407.0,1916407,2207,280645,5092626,,0.0,2819.0,,3481683.0,22319.0,2039910,757,49957.0,2623.0,583197,25517.0,4313167.0,4418784,,236700.0,80100.0,114221,0.0,8580044,2016年03月31日,-1129258,0.0,9215.0,20965062,20359326,0,69422,11681363,19037140,618952,306679.0,0.0,470000.0,,7583718.0,,,5905463,9146701,38558892.0,9911.0,184172,17593830.0,,12248549,38558892.0,,726,0.0,64236.0,24373.0,1473221,325788.0,1855055.0,1529267.0,22812,605736,5912467,19521752,0.0,730044,1633520,92131,566657.0,31480919
2016-08-04,2,2016,657119,11893825,54595,-826368,101197,0.0,1857502,1403845.0,92434,636588.0,-23808,752083,33940,430496,705930,235021.0,5318317,,420471,909,310591,5898076,,0.0,38725.0,0.0,3501681.0,0.0,1554360,659,149784.0,2798.0,450859,42457.0,3130973.0,3259173,,275898.0,85743.0,135385,0.0,10177797,2016年06月30日,-826368,424.0,10522.0,22276301,21674794,0,0,10432648,21649540,617983,306717.0,0.0,470000.0,,10503720.0,,,6088887,10177797,40095808.0,8588.0,195261,17819507.0,,12347173,40095808.0,,20361,6814.0,52069.0,18249.0,2931918,1157091.0,2837007.0,1679916.0,22600,601507,7386859,18446268,0.0,497094,1727648,61024,,0
2016-11-08,3,2016,4443950,11782462,54577,-2679269,131333,0.0,1920181,1468998.0,108192,652205.0,-139697,4639122,95114,637925,690273,219393.0,5106180,,86326,880,308104,4821867,,0.0,38725.0,0.0,0.0,0.0,873169,180297,49961.0,2798.0,448385,73925.0,2387637.0,2545059,130049.0,130049.0,83497.0,126266,0.0,10176530,2016年09月30日,-2679269,760.0,10162.0,20264671,19703053,0,0,13160430,19571657,610040,297977.0,0.0,470000.0,,10053520.0,,,5489719,10176530,37693903.0,6944.0,203645,17429232.0,,12345489,37693903.0,,277,592.0,42526.0,13411.0,3332358,1097174.0,2736246.0,1639072.0,21747,561618,4268802,18122246,0.0,573361,1953757,100058,,0
