date,season,year,不動產、廠房及設備合計,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款－其他,其他應付費用,其他權益合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原料,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,在製品,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付股利,應收帳款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-24,1,2013,221141,1009666,9864.0,164005,,,-25831,107755,38142,69613,47,5221,,113974.0,-25831.0,-25831.0,31311.0,,237416,237416.0,,,,139066,,855339.0,845475,1828,,611516,2013年03月31日,908679,9012.0,,195874.0,1724983,1724983,0,100987,586207,2129229,,16127.0,,,936755.0,38571.0,244565,908679.0,611516,92131.0,,,696696.0,129632,129632.0,129632,,2421679.0,16255.0,,0.0,110442,110442.0,49961,,16127.0,0.0,110489,292450,0
2013-07-30,2,2013,381373,882813,7857.0,328720,193417.0,,-20080,139623,10045,129578,47,92413,19276.0,99371.0,-20080.0,-20080.0,40477.0,,210162,210162.0,,67652.0,,128746,135303.0,725174.0,717317,1536,,676520,2013年06月30日,693605,176621.0,,188218.0,2086258,2086258,0,138946,838073,2512252,,,50262.0,,1443614.0,29607.0,351000,693605.0,744172,70314.0,,,948562.0,479353,479353.0,479353,,3034820.0,16534.0,,0.0,110442,110442.0,48782,73137.0,,0.0,110489,522568,0
2013-10-24,3,2013,411595,977646,,212423,,212423.0,-35098,149279,13905,135374,47,89852,17475.0,,-35098.0,,,,199274,199274.0,,,,151317,0.0,,859666,1043,47.0,744172,2013年09月30日,788438,,,,2163073,2163073,0,138946,710043,2430299,,,50262.0,,1221037.0,29904.0,316399,,744172,,,,820532.0,476353,476353.0,476353,,2983605.0,,,0.0,110442,,51859,72377.0,,,110489,553306,0
2014-01-23,4,2013,442131,1113619,,252343,,252343.0,-26704,110280,10634,99646,841,88652,7562.0,,-26704.0,,,8193.0,234060,234060.0,,,,198337,,,1040338,2873,841.0,744172,2013年12月31日,924411,,,,2307440,2307440,0,138946,878216,2732067,,,50262.0,,1344516.0,49013.0,378523,,744172,,,,1004002.0,476353,476353.0,476353,,3311442.0,,,0.0,124945,,48592,72897.0,,,125786,579375,0
2014-04-22,1,2014,448180,1181876,,211918,,,-2986,49128,15140,33988,841,97921,16374.0,,-2986.0,,,7368.0,225872,225872.0,,,,121809,,,956271,1926,841.0,744172,2014年03月31日,992668,,,,2399415,2399415,0,138946,604451,2539817,,,50262.0,1306620.0,,46220.0,213290,,744172,,,,730237.0,476353,,476353,,3129652.0,,11214.0,,124945,,43734,74179.0,,,125786,589835,0
2014-07-25,2,2014,483863,1098458,,491119,,267867.0,-24686,75944,13790,62154,841,94050,18926.0,,-24686.0,,,2847.0,233474,233474.0,,0.0,0.0,179049,223252.0,,965701,1401,841.0,744172,2014年06月30日,893367,,,,2294297,2294297,0,178387,942307,2736297,,,26704.0,1459777.0,,54519.0,209055,,744172,,,,1068093.0,476353,,476353,,3362390.0,,8565.0,,124945,,48180,72277.0,,,125786,626093,0
2014-10-28,3,2014,740527,1228953,,266179,,,-4360,64012,17880,46132,841,85487,9668.0,,,,,2652.0,236022,,,,0.0,184154,,,1057128,1084,841.0,744172,2014年09月30日,1023862,,,,2445118,2445118,0,178387,790827,2491701,,,26704.0,1133455.0,,63773.0,273780,,744172,,,,916613.0,476353,,476353,,3361731.0,,2941.0,,124945,,44016,73167.0,,,125786,870030,0
2015-01-28,4,2014,753388,1392162,,290615,,,42029,61571,13893,47678,707,87792,9637.0,,,,,2488.0,246184,,,,0.0,163881,,,1058989,740,707.0,744172,2014年12月31日,1187071,,,,2654716,2654716,0,178387,681452,2597932,,,26704.0,1230448.0,,67684.0,158250,,744172,,,,830560.0,476353,,476353,,3485276.0,,1022.0,,148401,,46164,75667.0,,,149108,887344,0
2015-04-27,1,2015,800617,1475466,,260047,,,28819,33334,11259,22075,707,110594,14993.0,,,,,1870.0,243514,,,,0.0,130282,,,903617,853,,744172,2015年03月31日,1270375,,72609.0,,2724810,2724810,0,178387,650697,2564535,707.0,,26704.0,,1383217.0,,187759,,744172,,3521910.0,797100.0,,476353,,476353,3521910.0,,,0.0,,145696,,46164,93731.0,,,146403,957375,0
2015-07-28,2,2015,780052,1231911,,539883,242214.0,,12139,19330,8483,10847,707,108091,14273.0,,12139.0,,,1931.0,199065,,,,0.0,115256,297669.0,,771759,625,,744172,2015年06月30日,1003346,,39905.0,,2464575,2464575,0,228565,849344,2522598,707.0,,0.0,,1531819.0,,154300,,744172,,3456905.0,992330.0,,476353,,476353,3456905.0,,,0.0,,142279,,46164,91887.0,,,142986,934307,0
2015-10-27,3,2015,810924,1385164,,283800,,,88736,25504,9213,16291,707,116037,16922.0,,88736.0,,,1899.0,203724,,12535.0,,,144898,,,894853,1715,,744172,2015年09月30日,1156599,,42682.0,,2681890,2681890,336000,228565,602860,2470300,707.0,,0.0,,1344504.0,,131480,,744172,,3443425.0,761535.0,,476353,,476353,3443425.0,,,0.0,,157968,,46164,97216.0,,,158675,973125,0
2016-01-28,4,2015,835204,1531305,,270474,,,87200,25566,1559,24007,747,113491,15455.0,,87200.0,,,1692.0,224327,,36389.0,,0.0,167351,,,981497,2477,,744172,2015年12月31日,1302740,,71724.0,,2802641,2802641,879000,228565,575199,2524709,747.0,,0.0,,1290842.0,,65650,,744172,,3537645.0,735004.0,,476353,,476353,3537645.0,,,0.0,,159058,,64241,96344.0,,,159805,1012936,0
2016-04-27,1,2016,802558,1576095,,215564,,,63280,17019,4202,12817,747,109473,13811.0,,63280.0,,,1762.0,232835,,36389.0,,0.0,103398,,,793219,1490,,744172,2016年03月31日,1347530,,69893.0,,2823511,2823511,879000,228565,485410,2487555,747.0,,0.0,,1442992.0,,96555,,744172,,3463827.0,640316.0,,476353,,476353,3463827.0,,,,,154159,,64241,93900.0,,,154906,976272,0
2016-07-28,2,2016,805074,1452107,,508631,288016.0,,66601,35923,7707,28216,747,107735,12426.0,,66601.0,,,1715.0,243059,,36389.0,,0.0,141025,220615.0,,847422,980,,744172,2016年06月30日,1179847,,55985.0,,2702844,2702844,879000,272260,834741,2716121,747.0,,,,1588737.0,,129100,,744172,,3693171.0,990327.0,,476353,,476353,3693171.0,,,,,154839,,64241,93594.0,,,155586,977050,0
2016-10-28,3,2016,1000564,1593209,,347028,,,30799,30113,8863,21250,747,103758,11679.0,,30799.0,,,1690.0,253743,,36389.0,,0.0,172710,,,1050589,2147,,744172,2016年09月30日,1320949,,60811.0,,2808144,2808144,879000,272260,754629,2542503,747.0,,,,1205911.0,,174080,,744172,,3711066.0,902922.0,,476353,,476353,3711066.0,,,,,147546,,64241,90389.0,,,148293,1168563,0
