date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,應付帳款合計,應收帳款淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金總額,當期所得稅負債,股本合計,負債準備－流動合計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,5300581,9663973,-59406,240371,4505706,4505706,356254,161053,535148,535148,2270715,1432940,196714,105722,105722,2806508,220459,27165,6486972,6486972,0.0,,9298075,9047387,169549,84711,9175552,2013年03月31日,6315917,24594135,24202907,0,3348056,16148511,30716060,4239448,7434139,90414,0,5114935,611591,9212352,1175292,16995838,5165529,29440,5136089,41589973,22699,5658,650613,812666,391228,847327,10873913,0,36800,3680000
2013-08-07,2,2013,5281745,8140704,-52796,250372,6692131,6692131,291567,265116,299853,299853,1463294,1369137,197249,192036,192036,2806508,317912,26512,6755153,6755153,,0.0,9218659,8899575,170737,69287,9212352,2013年06月30日,4530587,23169697,22783701,0,3610117,17898484,31101487,4175645,7225934,92340,0,6455949,531324,9212352,1154417,18805377,5165529,0,5165529,41975074,2100,10015,709644,812162,385996,906893,10873587,0,0,0
