date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,484547,16352,1908611,43795,43795,7815,163662,1054,342417,9971,,332446,140730,400.0,18212,17870.0,7815,,342,253659,253659,0.0,,,,184645,44478,21150,138117,140330.0,1849915,692454,2013年03月31日,1351988,,,2610131,2610131,0,271234,462110,919401,,2003,285389,,20726.0,25530.0,,692454,,,705508.0,1251,,3315639.0,120606,102668,25209,243398,2396238,22726,,162608,0
2013-08-01,2,2013,498738,16631,1862899,54807,54807,44020,242167,111639,335246,10376,,324870,141474,400.0,9347,9005.0,44020,,342,241178,241178,0.0,,,,211772,52217,33737,145575,141074.0,1955135,692454,2013年06月30日,1275559,,,2600624,2600624,0,301951,581709,919699,,4588,285389,,14650.0,20746.0,,692454,,,828445.0,1251,,3429069.0,127779,105262,24931,246736,2509370,21534,,130528,0
2013-11-06,3,2013,501215,16444,1960842,59240,59240,19312,86521,1207,311945,8679,,303266,142357,400.0,8463,8121.0,19312,,342,206081,206081,,,,,211218,41530,24591,159023,141957.0,1986357,692454,2013年09月30日,1373502,,,2673859,2673859,0,301951,415293,794448,,5606,285389,,17124.0,16784.0,,692454,,,663912.0,1251,,3337771.0,57051,106262,25238,248619,2543323,18633,,85314,0
2014-03-20,4,2013,505413,16686,2050734,73648,73648,53305,41478,2357,372131,3609,,368522,137848,400.0,752,,53305,,342,140630,140630,,,,,199548,53350,29946,391544,137448.0,1857498,692454,2013年12月31日,1463394,,,2797744,2797744,0,301951,387163,1042129,,5490,285389,,19536.0,19139.0,,692454,,,654695.0,1251,,3452439.0,76131,129684,24471,267532,2410310,12211,410.0,39121,0
2014-05-08,1,2014,500529,16618,2123691,54843,54843,42627,55230,1308,280635,74574,48840.0,206061,132510,400.0,2098,1756.0,42627,,342,163236,163236,0.0,,0.0,,196891,60535,30408,345191,132110.0,2057656,692454,2014年03月31日,1536351,,,2860023,2860023,0,301951,435478,955182,,4748,285389,41109.0,,19139.0,48840.0,692454,,,700329.0,1251,,3560352.0,75154,132341,23521,264851,2605170,19449,,53922,0
2014-08-07,2,2014,495393,16342,2089219,57602,57602,2143,177929,114378,256043,3420,,252623,133274,400.0,3811,3471.0,2143,,340,163578,163578,0.0,,0.0,,209221,63237,27447,477767,132874.0,2032004,692454,2014年06月30日,1472135,,,2785067,2785067,0,331695,528041,1003958,,4743,285389,17472.0,,20052.0,,692454,,,795325.0,1251,,3580392.0,41051,134010,24141,267284,2576434,20600,,63551,0
2014-11-06,3,2014,490673,16737,2172964,70174,70174,62811,74007,7629,185379,1112,,184267,134039,400.0,13655,13315.0,62811,,340,163782,163782,,,0.0,,201035,57402,35816,377685,133639.0,2302821,692454,2014年09月30日,1555880,,,2929480,2929480,0,331695,480225,821049,,4022,285389,13257.0,,17607.0,60000.0,692454,,,743301.0,1251,,3672781.0,25005,129037,23824,263076,2851732,20125,,66378,0
2015-03-19,4,2014,492978,17305,2259407,85113,85113,152208,45012,4816,292952,711,,292241,134965,400.0,8984,8644.0,152208,,340,136552,136552,,,0.0,,201995,60845,29345,178287,134565.0,2564524,692454,2014年12月31日,1642323,,,3105320,3105320,0,331695,461493,703685,,7264,285389,33816.0,,18528.0,50000.0,692454,,,713239.0,1251,,3818559.0,15007,116781,23819,251746,3114874,17726,,40196,0
2015-05-06,1,2015,494103,17094,2350270,71340,71340,118422,68990,4511,339292,3388,50000.0,335904,131702,400.0,3654,3314.0,118422,,340,140004,140004,0.0,,0.0,,191782,49530,20115,171751,,2587813,692454,2015年03月31日,1733186,16841.0,1858.0,3162397,3162397,0,331695,448483,725762,131302.0,6434,285389,,16633.0,,50000.0,692454,3858125.0,695728.0,,1251,3858125.0,,24007,115543,23265,247245,3132363,12102,,64479,0
2015-08-06,2,2015,487335,16842,2339320,81592,81592,76994,205608,106376,360678,1100,,359578,130204,400.0,9770,9430.0,76994,,340,165538,165538,,,0.0,,212159,69545,18923,217259,,2644192,692454,2015年06月30日,1690277,23750.0,1858.0,3110019,3110019,0,363654,642654,813583,129804.0,5734,285389,,19355.0,,50000.0,692454,4000541.0,890522.0,,1251,4000541.0,,21015,117664,23085,247868,3186958,8957,,99232,0
2015-11-05,3,2015,491665,17611,2433839,90470,90470,209353,77947,5719,372061,1099,,370962,130952,400.0,9694,9354.0,209353,,340,137693,137693,,,0.0,,173607,58576,22983,147591,,2854274,692454,2015年09月30日,1784796,22187.0,,3336897,3336897,0,363654,522787,713644,130552.0,4780,285389,,12299.0,,100000.0,692454,4114880.0,777983.0,,1251,4114880.0,,4001,124244,23212,255196,3401236,17016,,72228,0
2016-03-24,4,2015,493575,16996,2593743,95402,95402,99606,81929,8317,479257,2884,,476373,139211,750.0,340,0.0,99606,,340,129959,129959,,,0.0,20000.0,168719,53152,16596,183165,,2795601,692454,2015年12月31日,1944700,23962.0,,3387054,3387054,0,363654,543164,850583,138461.0,5541,285389,,15161.0,,100000.0,692454,4187270.0,800216.0,,1251,4187270.0,,10002,117841,24634,257052,3336687,16443,,73612,0
2016-05-05,1,2016,486996,16917,2725023,72648,72648,83206,89620,6376,463604,6826,150000.0,456778,89176,,3251,2911.0,83206,400.0,340,137127,137127,,,0.0,0.0,179863,56646,17300,170151,,2904915,692454,2016年03月31日,2075980,23962.0,,3501934,3501934,0,363654,572739,840428,88776.0,5055,285389,,25882.0,,150000.0,692454,4281394.0,779460.0,,1251,4281394.0,,0,117545,23832,206721,3440966,26364,,83244,0
2016-08-02,2,2016,472756,16485,2712999,85817,85817,-3023,203568,111774,462460,18123,,444337,89829,,4740,4400.0,-3023,400.0,340,132839,132839,,41547.0,0.0,44000.0,204403,71488,16750,229547,,2967448,692454,2016年06月30日,2020234,26326.0,0.0,3445228,3445228,0,407376,735602,899085,89429.0,3983,285389,,38978.0,,100000.0,734001,4386657.0,941429.0,,1251,4386657.0,,0,115998,22160,205827,3487572,18511,,91794,0
2016-11-03,3,2016,466203,15968,2843913,90224,90224,-108278,117065,9509,406109,9031,,397078,90484,,33178,32838.0,-108278,400.0,340,133241,133241,,,0.0,0.0,185900,67880,12134,178692,,2961546,734001,2016年09月30日,2151148,23252.0,,3470887,3470887,0,407376,634321,802975,90084.0,4353,285389,,55841.0,,150000.0,734001,4306031.0,835144.0,,1251,4306031.0,,0,110339,21808,200823,3503056,16958,,107556,0
