date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,,1037709,,2264284,157901.0,491339,206676,122807,0.0,126230,378867,,206045,26147,122910,-31671.0,31759,68876,0.0,,500000.0,1084481,0.0,75903,0.0,196390,1971281,0.0,760863,560258,35420,19301,3601191,2013年03月31日,1794950,,6189768,6163587,5000000,399828,2142503,8450124,,,69506,,3975171.0,152809.0,2983,3601191,0.0,,44394.0,0.0,,4097368.0,240758,20873.0,219885.0,,10287136.0,473672,657940,130333,,770778,26181,1954865,1837012,348268,0
2013-08-14,2,2013,,343460.0,1027199,,1974496,,482761,536397,121785,,188164,389861,46401.0,142850,25167,128316,,67116,68876,0.0,,500000.0,1251773,0.0,80642,0.0,180938,2173752,0.0,937928,495479,35277,19126,3601191,2013年06月30日,1446966,,5961237,5935733,5000000,458024,2600807,8552177,,,69506,,3852426.0,161196.0,0,3601191,0.0,,,,,4418233.0,240758,,,,10379470.0,456211,681743,134614,,610516,25504,1817426,1827293,304630,0
2013-11-13,3,2013,,449104.0,955123,,1870643,,559951,207926,30092,,215319,506266,57162.0,151459,26972,126362,,68058,68876,75556.0,,500000.0,1229462,0.0,161556,0.0,205562,2299331,0.0,617208,456580,35133,18966,3601191,2013年09月30日,1343113,,5885788,5859035,5000000,458024,2460374,8170450,,,69506,,3844140.0,142866.0,0,3601191,6736.0,,,,,4128850.0,240758,,,,10014638.0,234671,681413,148653,,460091,26753,1668476,1844188,393355,0
2014-03-17,4,2013,,987647.0,954567,,2060597,,605087,356586,39717,,325853,1078393,90746.0,219613,20472,106762,,97259,68876,0.0,,0.0,1222448,0.0,90121,0.0,368168,2942086,0.0,719665,560215,34990,18786,3601191,2013年12月31日,1546277,,6187616,6159523,5000000,458024,3289880,8652109,,,56296,,3750457.0,174164.0,0,3601191,0.0,,,,,4316734.0,240758,,,,10504350.0,23286,673306,132049,,333076,28093,1026854,1852241,299811,0
2014-05-14,1,2014,,1034942.0,941601,,2028752,,653377,181710,64816,,407144,1093535,58593.0,305078,26938,109472,,82055,68876,,0.0,0.0,1049676,,131904,,458248,2685792,,959354,568610,34846,18610,3601191,2014年03月31日,1514432,,6238662,6208969,5000000,458024,3249959,8496692,,,56296,3355593.0,,152066.0,182820,3601191,,,,,,4151496.0,240758,,,,10390158.0,23377,684306,135560,,190293,29693,901537,1893466,452017,0
2014-08-13,2,2014,,982550.0,892645,,1824071,,580700,564727,30884,,253165,1049406,66856.0,191066,25390,103174,,88441,68876,,0.0,0.0,1238536,,114075,,224199,3578788,,811174,478857,34703,18360,3601191,2014年06月30日,1202062,,5876001,5850309,5000000,565713,3520064,8381088,,,56296,2829239.0,,90161.0,238960,3601191,,,,,,4272868.0,240758,,,,10148869.0,23235,604743,138199,,122671,25692,752804,1767781,349404,0
2014-11-12,3,2014,,605862.0,867586,12005.0,1888330,,576308,184653,39466,,334289,669581,63719.0,270577,33077,111987,,86000,68876,0.0,0.0,0.0,1195560,,129321,,330930,3694204,,843301,216589,34560,18194,3601191,2014年09月30日,1266321,,6022882,5995692,5000000,565713,3078540,8730840,,,56296,3161956.0,,125951.0,442544,3601191,0.0,,,,,4477589.0,240758,,,,10500471.0,21416,645972,148991,,720000,27190,1399049,1769631,397331,0
2015-03-24,4,2014,71506.0,71506.0,690057,12656.0,1895005,,551750,338413,132218,,519373,139886,68380.0,177992,35190,155837,,83638,68876,,0.0,,1163609,,114845,79826.0,343991,3844684,,958988,410041,34416,17744,3601191,2014年12月31日,1272996,,6188496,6187596,5000000,565713,2591920,9092761,,307661.0,56296,2708532.0,,110770.0,300580,3601191,,,,,,4516130.0,240903,,,,10704626.0,20760,689020,149405,1200000.0,1200000,900,1924210,1611865,448247,0
2015-05-11,1,2015,,0.0,613539,21910.0,1854522,,557758,180718,60541,,458297,93234,93234.0,49868,37981,155772,,71112,13458,,,,981724,,161578,0.0,38100,3545725,,939239,698083,34273,17658,3551191,2015年03月31日,1232513,67333.0,6072978,6072579,1158000,565713,1602687,8029576,405124.0,,56296,,1883291.0,,80000,3551191,,9586322.0,,,3513344.0,,222027,,,9586322.0,,20237,672676,155836,,1200000,399,1910657,1556746,356356,0
2015-08-13,2,2015,,0.0,575426,21602.0,1717823,,596834,371757,39234,,308038,101262,101262.0,48763,36587,144763,,67756,131759,,,,922305,,223506,0.0,62342,3417650,,990836,611966,34129,17575,3551191,2015年06月30日,1076866,4286.0,5660279,5660218,11283000,584661,1685458,7697524,100955.0,,56296,,2172426.0,,0,3551191,,9245947.0,,,3585668.0,,214925,,,9245947.0,,17836,663623,158094,,1200000,61,1900210,1548423,230102,0
