date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,債券換股權利證書,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,122019.0,843164,,1492062,-29,48108,46220.0,367433,-44062,259092,137073,510016,228079,18988,281937,12838,81020,366777,-44033,1460,65644,615469,,,0,1649429,3090552,267055,11378.0,37451,1422512,2013年03月31日,1020361,,4746921,4746921,0,240785,2504799,6289484,,385765,230916,,1751705.0,104649.0,124196,1468732,,,2921324.0,1830189,,7668245.0,0.0,0.0,6579,0.0,403687,31361,9568,0,416525,1378761,,5808,0
2013-08-09,2,2013,50081.0,848762,,1068260,-388,48929,17189.0,971157,47440,184985,134904,461351,247179,19349,214172,11625,70751,366777,47828,184,51225,615690,0.0,,0,1781160,3157828,221984,11441.0,40002,1468732,2013年06月30日,523847,,4483694,4483694,0,313497,3107836,6642253,,386126,230916,,2134945.0,95740.0,74794,1485921,,,3536456.0,1882073,,8020150.0,0.0,0.0,1526,0.0,416995,32256,9712,0,428620,1377897,,9814,0
2013-11-13,3,2013,0.0,827169,,1277996,-887,48233,12643.0,371365,-2732,160221,160221,457663,257681,20206,199982,11685,76226,366777,-1845,182,55359,570595,0.0,,0,2045481,3506897,243073,11503.0,45361,1485921,2013年09月30日,733583,,4692332,4692332,0,313497,3180535,6873007,,386983,230916,,2046546.0,88020.0,515448,1498564,,,3558190.0,1918504,,8250522.0,0.0,0.0,0,0.0,365970,41776,9556,0,377655,1377515,,11311,0
2014-03-28,4,2013,0.0,831047,21284.0,1431029,-1267,49092,0.0,365072,73271,154978,154978,431932,262103,18602,169829,10012,81822,366777,74538,1093,64272,584487,0.0,,0,1870217,3535497,328104,8919.0,49794,1498564,2013年12月31日,886616,,4921368,4921368,0,313497,2909213,6810175,,385379,230916,,1881063.0,94875.0,424071,1498564,,,3303286.0,1918504,,8224654.0,0.0,0.0,0,0.0,384061,45153,9659,0,394073,1414479,,7891,0
2014-05-13,1,2014,0.0,825151,27909.0,1557001,-78,49000,0.0,342374,148832,139768,139768,349247,252667,19421,96580,9415,91213,366777,148910,1117,67837,574378,0.0,0.0,0,1725126,3402670,214464,8298.0,51700,1498564,2014年03月31日,1012588,,5122901,5122901,0,313497,2747481,6852832,,386198,230916,2263073.0,,59534.0,480679,1498564,,,3151808.0,1918504,,8274709.0,0.0,0.0,0,,394912,39706,9715,0,404327,1421877,,13661,0
2014-08-12,2,2014,0.0,796999,21190.0,1269967,-424,48110,0.0,946453,40351,167995,167995,494278,353466,18956,140812,9120,91541,366777,40775,1095,71998,559280,0.0,0.0,0,1941694,3730282,202384,8025.0,25200,1498564,2014年06月30日,660062,,4727386,4727386,0,378989,3636315,7425731,,385733,230916,2391397.0,,105161.0,475012,1498564,,,4063793.0,1918504,,8791179.0,0.0,0.0,0,0.0,418358,44785,9455,0,427478,1365448,,10088,0
2014-11-07,3,2014,0.0,790816,14755.0,1509846,-796,49340,0.0,482788,135259,185364,185364,567163,285237,20287,281926,8614,92812,366777,136055,1165,74841,613465,0.0,0.0,0,2152294,4065450,268868,7449.0,29402,1498564,2014年09月30日,899941,,5062173,5062173,0,378989,3803037,7887506,,387064,230916,2321842.0,,81114.0,901477,1498564,,,4179129.0,1918504,,9241302.0,0.0,0.0,1378,0.0,367478,38947,9574,0,376092,1353796,,8397,0
2015-03-20,4,2014,0.0,797689,11401.0,1763494,-1193,50920,0.0,486682,383435,50655,50655,606493,331993,21553,274500,6902,148686,366777,384628,1212,86600,630812,0.0,0.0,0,2248435,4062179,357364,5690.0,59446,1498564,2014年12月31日,1153589,,5563997,5563997,0,378989,3907136,8422907,,388330,230916,2714813.0,,95808.0,1025556,1498564,,,4308012.0,1918504,,9872009.0,0.0,0.0,326,0.0,393974,43550,9949,0,400876,1449102,43952.0,8185,0
2015-05-13,1,2015,0.0,775918,22401.0,1922478,-80,50440,0.0,478810,300132,39203,39203,549775,379470,20969,170305,6544,210641,366777,300212,1319,124785,711735,0.0,0.0,777195,1924772,3655497,276462,,60975,1498564,2015年03月31日,1312573,76435.0,5661246,5661246,0,378989,2724816,8082140,5225.0,387746,230916,,2653680.0,,205596,1498564,9578677.0,3917431.0,,1940072,9578677.0,,0.0,0.0,184551,720.0,408876,38136,9736,0,1192615,1496537,62750.0,13370,0
2015-08-11,2,2015,0.0,748195,40615.0,1421705,-438,49730,0.0,1161707,241019,42148,42148,416909,332611,19445,84298,8437,209495,366777,241457,3696,140645,630114,0.0,0.0,780254,1911478,3382538,302583,,63008,1498564,2015年06月30日,726214,100453.0,5101360,5101360,0,464575,3338363,8164709,4741.0,386222,230916,,3203302.0,,122577,1498564,9655844.0,4554484.0,,1940072,9655844.0,,0.0,0.0,179533,80.0,427430,43520,9581,0,1216121,1491135,43952.0,15317,0
