date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金總額,股本合計,負債及權益總計,負債總計,資本公積合計,資本公積－發行溢價合計,資產總計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2015-05-11,1,2015,40820,,118949,32252,771,62,606,5331,1289,,,269,5380,606,597873,,,0,15238,,436,55946,9052,0,595469,2015年03月31日,66903,16604,1230396,1230396,0,51820,69861,1167758,31327,226,498531,595469,1300526,70130,515372,515372,1300526,55241,269,132768,4234,0
2015-08-13,2,2015,38884,,84808,94873,849,5,371,5741,10287,,,193,75858,371,604508,48409,,0,16678,,1199,61518,8851,0,595469,2015年06月30日,26198,14634,1147611,1147611,1500000,58384,133125,1080020,30607,226,388771,595469,1280929,133318,515372,515372,1280929,55560,193,200909,5231,0
2015-11-12,3,2015,173675,,73130,36402,442,10,1433,5932,172814,328,172486,160,11351,1433,597452,0,,0,11723,,333,60709,6626,0,580469,2015年09月30日,14520,10352,1157421,1157421,0,58384,64742,947345,31859,226,106085,580469,1222323,64902,502389,502389,1222323,58093,160,274978,3207,0
2016-03-29,4,2015,173261,,82813,39086,738,2,956,6654,196425,452,195973,214,18901,956,596625,0,,0,18994,,1476,54325,8497,0,580469,2015年12月31日,24203,15928,1166627,1166627,0,58384,82138,961745,33750,226,102517,580469,1248979,82352,502389,502389,1248979,61322,214,287234,2616,0
2016-05-12,1,2016,171343,4945,97473,35985,660,175,638,5180,203948,1366,202582,188,22746,638,589571,,,0,12328,,474,60658,5325,0,580469,2016年03月31日,38863,19694,1180969,1180969,0,58384,73661,955673,36132,226,91151,580469,1254818,73849,502389,502389,1254818,63979,188,299145,4185,0
2016-08-11,2,2016,170823,4945,92114,80051,882,0,305,5063,150790,379,150411,226,25109,305,582031,0,7430,0,12466,,526,61148,5690,0,580469,2016年06月30日,29013,9280,1154845,1154845,0,62875,107386,955945,39079,226,150752,587899,1262457,107612,474527,474527,1262457,66556,226,306512,4652,0
2016-11-11,3,2016,202853,4945,100430,45098,610,178,-1110,9806,88516,79,88437,282,10034,-1110,578686,0,,0,11308,81,145,59058,5608,0,587899,2016年09月30日,37329,11294,1161746,1161746,0,62875,77732,916193,37763,226,179807,587899,1239760,78014,474527,474527,1239760,67972,282,323567,3730,0
