date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,545000,9271493,0.0,4608030,1186227,95273,-4506,626966,81966,169921,169921.0,917948,2317156,-4506,23198,10480,3054764,0.0,,941323,99495.0,737764,2267418,162137,102691,1658164,2013年03月31日,3360586,,,8819114,8761875,0,1165804,6351754,7862994,,42611,,264579.0,81640,,1815168.0,194639.0,33734.0,2565340,1658164,,,11439921.0,2500187,34450,1931044,2465737,534693,,20259035.0,0.0,0.0,25689,662090,4144530,894750,256427,57239,5088167,12396041,2007927,42322.0,0
2013-08-09,2,2013,526250,9410868,,4456482,1842383,98932,32342,625166,98916,169465,,922066,2424327,32342,22066,12445,3239743,,,930781,0.0,832084,2576302,259923,125839,1658164,2013年06月30日,3105514,,,8704656,8647175,0,1269328,7226338,8276697,,41732,,276027.0,81640,,1622712.0,219733.0,33593.0,2776191,1658164,,,12262494.0,2500187,34450,1931044,2465737,534693,,20967150.0,0.0,0.0,37638,687687,4076452,900000,261729,57481,5036156,12690453,2108004,42149.0,0
2013-11-07,3,2013,428750,9515133,,4681375,1387523,125268,20230,504458,75708,192295,,922897,2299496,20230,35797,11048,3225667,0.0,,804633,0.0,855911,2391378,317796,122990,1658164,2013年09月30日,3330407,,,8913482,8859956,0,1269328,7306591,8476699,,42673,,249291.0,81640,,1937293.0,162724.0,37711.0,3591342,1658164,,,12225875.0,2500187,34450,1931044,2465737,534693,,21139357.0,0.0,0.0,25514,682366,3970873,887100,256139,53526,4919284,12662658,1990332,41977.0,0
2014-03-24,4,2013,407500,9799035,0.0,5055795,1665428,138829,48363,568050,160550,222649,,633791,2681609,48363,37691,12072,3313086,,,733487,199821.0,883263,2652328,270338,159590,1658164,2013年12月31日,3704827,,,9316283,9262509,0,1269328,7973055,8890451,,41157,,151519.0,81640,,2131332.0,245682.0,10370.0,3677324,1658164,,,12941877.0,2500187,34450,1931044,2465737,534693,,22258160.0,0.0,0.0,29735,686318,4305296,596100,248753,53774,4968822,13367709,2380750,40034.0,0
2014-05-08,1,2014,328750,10676425,0.0,5488427,1319303,120028,66196,472696,143946,247053,247053.0,643186,2327823,66196,33786,10875,3318287,,0.0,872799,199821.0,929972,2773853,174185,159586,1658164,2014年03月31日,4137459,,,9764744,9712974,0,1269328,8019149,8811089,,37643,,135294.0,81640,2039225.0,,319761.0,3164.0,3904797,1658164,,,12928346.0,2500187,34450,1931044,2465737,534693,,22693090.0,,,47543,680524,4218468,609400,226892,51770,4909197,13882001,2050022,40034.0,0
2014-08-07,2,2014,1654000,10684495,0.0,5154546,1946318,154351,33793,1795091,141091,229538,229538.0,630275,2378367,33793,32975,10730,3311555,,0.0,901062,199821.0,1086467,2838915,167029,170363,1658164,2014年06月30日,3669853,,,9393414,9346690,0,1403053,10178708,8752692,,32734,,171451.0,81640,1868753.0,,232627.0,11100.0,4017322,1658164,,,13304945.0,2500187,34450,1931044,2465737,534693,,22698359.0,,,23005,679708,2472957,597300,221100,46724,3126237,13945667,2106503,40034.0,0
2014-11-13,3,2014,1585250,10701260,,5559437,1317031,124706,62785,1729081,143831,310403,310403.0,647110,2657543,62785,38710,9363,3347596,,0.0,798828,199821.0,1078152,2710103,174374,171216,1658164,2014年09月30日,4079895,,,9824024,9780573,0,1403053,9850339,8668325,,36484,,95015.0,76489,1897484.0,,140271.0,8644.0,4587155,1658164,,,13082581.0,2500187,34450,1931044,2465737,534693,,22906605.0,,,37766,671777,2547366,608400,223934,43451,3232242,14238280,2384212,40034.0,0
2015-03-26,4,2014,1519000,11023136,,6058701,1470338,127106,136270,1716036,197036,339548,,354800,2799735,136270,38300,10860,3435995,,0.0,857679,0.0,1126977,2716122,155643,123391,1658164,2014年12月31日,4579159,,,10396111,10353322,0,1403053,8444984,9594012,,34010,,276211.0,76489,2529063.0,,253215.0,14324.0,3020739,1658164,,,13882579.0,2500187,34450,1931044,2465737,534693,,24278690.0,,,68459,704406,5014336,316500,232918,42789,5437595,14684678,2521489,34468.0,0
2015-05-07,1,2015,1469000,10887365,,6347960,1296582,122945,111191,1664246,195246,332106,,357821,2906471,111191,44821,9235,3501902,,0.0,913526,0.0,876771,2639045,165177,376666,1658164,2015年03月31日,4868418,342034.0,7305.0,10657258,10617502,0,1403053,8567403,9148296,34468.0,36048,129456.0,,76489,,2250360.0,,,3474244,1658164,24079676.0,13422418.0,,2500187,34450,1931044,2465737,534693,24079676.0,,,,40208,724830,4456986,313000,228148,39756,4855015,14931380,2634620,,0
2015-08-10,2,2015,1419000,11291262,,5873248,2072738,114717,98213,1609530,190530,265998,,356860,2904155,98213,48260,7403,3651088,,,924723,0.0,1103659,2745933,134584,310491,1658164,2015年06月30日,4226696,239520.0,3914.0,10166404,10129812,0,1570063,9045237,9327605,34468.0,42479,157560.0,,76489,,2253811.0,,,3090517,1658164,24611189.0,14444785.0,,2500187,34450,1931044,2465737,534693,24611189.0,,4550.0,,36462,735197,5006226,308600,224680,36592,5399548,15283584,2637604,,0
