date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,3459966,492479,2844151,945910,2037474,1018135,273186,1242268,59769,,254422,65674,2006917,296358,1110269,,,,,2064713,411267,1301435,2411905,35560,319890,703964,5094135,2013年03月31日,2304317,,11995012,10566533,0,539834,5224673,9623451,72996,,4231544.0,82747.0,1588042,5094135,,,,,6763796.0,1385979,,,,1385979,,18758808.0,,5130,48249,41671,1425200,1428479,1539123,9135357,,0
2013-08-14,2,2013,,3551710,494526,2683835,563884,1655447,1081941,50587,922713,127007,,215414,65171,2010968,358829,1065952,,,79878.0,,2258906,466487,1673287,2294975,19110,314103,656708,5094135,2013年06月30日,2103811,,11530544,10166540,0,580024,5644633,9918349,73303,,4593960.0,82584.0,1627708,5174013,,,,,7175026.0,1385979,,,0.0,1385979,,18705570.0,,5064,39722,30456,1425500,1364004,1530393,8787221,,0
2013-11-13,3,2013,238333.0,3443630,489350,2747439,480833,1572398,998722,50842,731099,767511,12746.0,199544,65163,1966699,250266,1751101,,,,,2620836,766845,1701619,2325382,8496,308979,653191,5157674,2013年09月30日,2167415,,11416308,10038530,0,580024,6850441,11012913,72126,,4970959.0,66516.0,1630011,5157674,,,,,8142034.0,1402318,,,0.0,1402318,,19558342.0,,4970,38963,39056,1187467,1377778,1291593,8545429,516432.0,0
2014-03-28,4,2013,238333.0,3474412,483433,2916363,165247,1256811,958052,173187,506297,370694,71036.0,128681,57881,742620,153263,1601963,,1864296.0,,,2387106,967147,2030717,2426244,16364,259429,727488,5157674,2013年12月31日,2336339,,11380320,9982735,0,580024,6659712,12241410,72562,,3994932.0,68248.0,513798,5157674,187787.0,1394667.0,,,7958994.0,1402401,83.0,,,1402318,,19339314.0,,5026,53634,81149,1187767,1397585,1299282,7097904,61325.0,0
2014-05-07,1,2014,476667.0,3324282,491377,2886948,65588,1157152,589886,116369,437852,551116,27857.0,80645,56690,731609,193205,1393877,,1859635.0,,0.0,1954836,699603,2202353,1289580,3037,260266,647315,5157674,2014年03月31日,2306924,,11363772,9884875,0,580024,5791458,11460725,73552,3775199.0,,61141.0,543093,5157674,179059.0,1387165.0,,,6855307.0,1402401,,83.0,,1402318,,18219079.0,4618.0,740030,57426,72801,949733,1478897,1063849,6758354,46592.0,0
2014-08-12,2,2014,476667.0,3143018,344681,2779228,458688,1550252,885334,583256,442711,590983,15605.0,108949,56760,828667,-15977,1553148,,0.0,25788.0,0.0,2505356,589466,1981168,1814848,3649,257211,76,5157674,2014年06月30日,2166660,,11258024,9810665,0,612568,5042224,11105302,72419,4570646.0,,41700.0,429385,5183462,0.0,0.0,,,6117302.0,1405264,,0.0,2946.0,1402318,,17375326.0,,489638,68285,73700,950033,1447359,1075078,6270024,98711.0,0
2014-11-13,3,2014,476667.0,3101918,347085,2949024,328136,1367871,869541,333574,491489,554943,17980.0,591611,57126,840199,163353,1510947,,0.0,,0.0,3252383,414738,1867061,2435358,9897,255049,63,5183462,2014年09月30日,2336456,,11515693,10029338,0,612568,5551761,11845292,73722,5091701.0,,31038.0,429118,5183462,0.0,0.0,,,6390530.0,1405363,,182.0,2863.0,1402318,,17906223.0,,5143,69643,75024,712000,1486355,838769,6060931,60296.0,0
2015-03-26,4,2014,476667.0,3047224,356148,2944894,556735,1581681,939989,196738,955767,642922,23474.0,408043,56966,851283,399032,1622521,,0.0,,0.0,3136193,886553,2049850,2511737,5314,256035,25,5183462,2014年12月31日,2332326,,11951722,10489186,0,612568,6512442,13049731,75345,6250471.0,,45064.0,861721,5183462,0.0,0.0,,,7343949.0,1405063,,83.0,2662.0,1402318,,19295671.0,,5057,62241,78199,712300,1462536,831507,6245940,142781.0,0
2015-05-05,1,2015,476667.0,2876622,353569,2832028,582411,1607358,593285,180860,818625,704659,8928.0,390832,57009,825043,236214,1973297,,0.0,,0.0,2471199,882329,1574549,1839462,7773,260756,13,5183462,2015年03月31日,2219460,46019.0,11658956,10239178,0,612568,5484904,11662659,73651,,5691125.0,,787413,5183462,0.0,0.0,17728664.0,6069708.0,,1405063,,83.0,2662.0,1402318,17728664.0,,0.0,4761,53528,68993,474267,1419778,584804,6066005,219064.0,0
2015-08-13,2,2015,476667.0,2742032,698389,2727324,628629,1653576,891891,365394,707797,546473,6497.0,641569,56995,682535,79168,1850673,69851.0,,0.0,,2959195,774116,1630793,2485279,6822,255108,16,5183462,2015年06月30日,2093809,48520.0,11286167,9953795,5001000,633515,5600185,11298583,72350,,4300329.0,,379990,5183462,,,17471472.0,6185305.0,,1405063,,83.0,2662.0,1402318,17471472.0,,,17724,53558,68883,474567,1332372,585120,6172889,63309.0,0
2015-11-11,3,2015,476667.0,2882141,716424,3045761,27796,1052743,836093,270438,302170,524061,12745.0,336800,57043,751468,274374,1981956,141957.0,,,,3934491,875897,1816366,4076600,4147,243820,15,5183462,2015年09月30日,2412246,32977.0,11075494,9794499,10000000,633515,6700917,12341206,73999,,3831885.0,,497398,5183462,,,18131626.0,7056132.0,,1405063,,83.0,2662.0,1402318,18131626.0,,,23014,61639,69810,236533,1280995,355215,5790420,34649.0,0
2016-03-24,4,2015,476667.0,2954490,632904,3080799,-4043,1020904,884402,296502,299179,657344,27335.0,235934,59854,731326,303222,1578770,141957.0,,,0.0,3015652,1268793,2639973,3605047,8495,279544,0,5183462,2015年12月31日,2447284,111357.0,11316515,9826546,10000000,633515,7051025,13011823,73784,,4622997.0,,1113477,5183462,0.0,,18775935.0,7459420.0,,1405063,,85.0,2660.0,1402318,18775935.0,,,24105,111708,71160,236833,1489969,408395,5764112,153342.0,0
2016-04-29,1,2016,475467.0,2674725,469594,3060097,130502,1155449,573845,311377,295066,555414,17234.0,226148,44336,700568,164564,1531420,141957.0,,,0.0,2111716,644726,1655897,2383803,9284,249455,0,5183462,2016年03月31日,2426582,83030.0,11308518,9801731,10000000,633515,4920065,10931018,73747,,4799645.0,,951334,5183462,,,16332537.0,5024019.0,,1405063,,85.0,2660.0,1402318,16332537.0,,,13444,59618,77981,0,1506787,103954,5401519,62713.0,0
2016-08-10,2,2016,475767.0,2487567,288236,3745060,84284,1109231,941377,196431,-89357,560529,17599.0,101804,44295,218499,-173641,1587353,141957.0,,,0.0,3066760,876466,1695071,2983875,3532,245759,1577639,5183462,2016年06月30日,3083141,57982.0,11498759,10102271,10000000,661919,6311756,11907141,41537,,5338953.0,,808379,5183462,,,17947583.0,6448824.0,,1405063,,85.0,2660.0,1402318,17947583.0,,263.0,122,92773,71974,0,1396488,137068,6040442,67163.0,0
2016-11-10,3,2016,237733,2305572,282239,3833255,63743,1088690,816647,169564,-391913,338887,27272,504488,44314,472099,-455656,1580481,141957,,,0,3515967,1134643,1740116,3682213,4052,238625,1536890,5183462,2016年09月30日,3171336,18708,11228386,9887910,10000000,661919,6474058,11801971,39945,,4120941,,648745,5183462,,,17836012,6607626,,1405063,,84,2661,1402318,17836012,,461,116,89254,69981,0,1340476,133568,6034041,73882,0
