date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現售後租回利益,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,長期借款合計,長期應收款,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,,576550,576550,24491168,277525,6152407,0.0,1221160,1155270,1928027,26126,462547,5610,306649,306649.0,1857371,554464,119316,119316.0,1159160,212317,4358519,463798,0.0,,,2057375,,28926,,,,2203918,101104,1443560,1134130,6868,4403339,7381,1947464,0.0,0.0,946843.0,6832300,527261,15192983,2013年03月31日,2385922,,,,27526252,22781012,8767686,1195873,12041092,14196834,,1434904,,60093.0,,2570612,,2853342.0,153750.0,2778.0,3186218,15192983,,,15696,,26198477.0,1157899,,53724729.0,20.0,,,962016,450948,0.0,,2161.0,12020513,669708,669708,375202,4745240,14157385,39527895,1054268,2849811,726357,0
2013-08-12,2,2013,,576550,576550,24191154,270052,5924730,0.0,1205741,999006,2338115,60,373579,10525,282364,282364.0,2018084,631446,188678,188678.0,1197626,193844,4656656,646718,0.0,,,2103129,,28926,,,,2327309,75114,1443364,1311382,7122,4503265,1164,2000610,0.0,0.0,1003782.0,6791513,487944,15192983,2013年06月30日,2136978,,,,27015858,22522825,8767686,1217140,13470927,14617764,,1797813,,413024.0,,2570612,,2825823.0,66172.0,2700.0,3876180,15192983,,4916.0,10794,,27258528.0,1151674,,54274386.0,,,,947433,462484,3109.0,,0.0,11631748,674213,674213,339521,4493033,13787601,39656622,989526,2996204,810088,0
2013-11-07,3,2013,,573088,573088,24780530,270052,6125305,0.0,1202840,1026114,2216747,31,424722,8148,319529,319529.0,2124225,659274,185778,185778.0,1152591,162524,4112266,611645,0.0,,,1985715,,28926,,,,2128620,61296,1528224,859979,4282,4191782,1344,1856116,178.0,178.0,990067.0,7057071,473730,15192983,2013年09月30日,2337553,,,,27361375,22760565,8767686,1217140,13076127,14926339,,1770403,,93232.0,,2570612,,3735585.0,43202.0,13114.0,4104554,15192983,,4916.0,17902,,27500881.0,1151674,,54862256.0,51.0,,,932397,445751,0.0,,2129.0,12321864,844534,844534,337377,4600810,14424754,39935917,1225656,2318710,891863,0
2014-03-25,4,2013,,1510987,1510987,23054841,266843,6734839,0.0,911748,1033825,1857680,200,366338,8856,555267,555267.0,3116134,670906,64934,64934.0,1171162,180961,4342924,363186,0.0,,,1790553,,28926,1625515.0,,2098491.0,2596910,61811,1817933,1454821,3612,5255654,732,2302846,124.0,124.0,990201.0,7042434,487752,15192983,2013年12月31日,2947087,,,,28352195,23605837,8767686,1217140,15047689,19638646,,1779895,,43673.0,,2570612,,6016738.0,173803.0,,3964785,15192983,,0.0,15889,,29814660.0,1151674,,58166855.0,,114004.0,,911092,519695,0.0,,1811.0,10456333,843525,843525,636446,4746358,14766971,38528209,1249124,2499767,934241,0
2014-05-13,1,2014,,552367,552367,25359285,320141,6837613,,935424,995940,1977286,46,318499,11016,481474,481474.0,2094794,576286,54200,54200.0,1143854,180888,4158830,446369,,,,1764825,,28926,1417394.0,0.0,2152216.0,2237929,78116,1947404,1161697,13983,4626182,1197,2507281,71.0,71.0,962966.0,7023147,499839,15192983,2014年03月31日,3049861,,,,28571957,23634778,8767686,1217140,14610058,18594175,,1769921,,83114.0,,2570612,5436891.0,,226400.0,4081.0,4872403,15192983,,,15902,,30697605.0,1151634,,59269562.0,0.0,38849.0,,912278,548284,,,0.0,11824448,1033029,1033029,631708,4937179,16087547,40675387,1434000,2047724,966141,0
2014-08-12,2,2014,,598267,598267,26607930,319994,6984761,,1229651,941230,2243469,4355,320324,12699,235886,235886.0,2487969,665553,79452,79452.0,1608091,172903,4296666,560919,,,,1806346,,28926,0.0,0.0,2116271.0,2153242,108785,1648262,1484486,4718,4959098,18170,2466850,18.0,18.0,962888.0,7003319,363075,15192983,2014年06月30日,3321411,472300.0,,,28509464,23536338,8767686,1310210,15199090,19206293,,1738883,,78496.0,,2353140,6708420.0,,121445.0,3560.0,4942061,15192983,,0.0,15906,,32500322.0,1151634,,61009786.0,,0.0,,925906,532396,298.0,,0.0,12635058,1043145,1043145,612471,4973126,17301232,41803493,1523209,2080131,1224149,0
2014-11-11,3,2014,,598267,598267,27088272,320127,7191974,,775785,1174814,2220279,319,343508,38234,551226,551226.0,2486809,838873,189176,189176.0,1544129,179840,6140602,596942,,,,1836252,,28926,0.0,0.0,2162537.0,2746991,110313,1947334,1397909,10082,4988277,6767,2426216,0.0,0.0,951847.0,7022396,379855,15192983,2014年09月30日,3528624,412442.0,,,29140303,24058891,8767686,1310210,16377757,19091606,,1742272,,339898.0,,2353140,6364023.0,,100032.0,34041.0,5077636,15192983,,280053.0,15907,,34278875.0,1151634,,63419178.0,0.0,0.0,,879076,459234,,,0.0,13299469,1105267,1105267,629253,5081412,17901118,44327572,1749429,3809140,1049669,0
2015-03-23,4,2014,,742800,742800,25869894,320127,7504334,,743399,1192047,2089716,178,1513964,12991,641752,641752.0,2637458,644535,114088,114088.0,1584582,178195,5016707,477643,,,,1638082,,28926,0.0,0.0,4541114.0,2580149,117612,1947588,1691843,4578,5704863,15366,2417934,0.0,0.0,1049090.0,7019788,812187,15192983,2014年12月31日,3840984,357297.0,,,30222518,24412580,8767686,1310210,15888466,22382183,,1522387,,301730.0,,2353140,8104545.0,,116559.0,,4458120,15192983,,213058.0,16021,,34395120.0,1102437,,64617638.0,,27570.0,,863238,482318,31607.0,,0.0,11474129,1050167,1050167,385353,5809938,18506654,42235455,1815221,3103544,1250123,0
2015-05-13,1,2015,,1063312,1063312,24655623,320127,7610315,,782812,1310106,1960118,106594,912047,9845,658693,,2647302,704308,320922,,1363019,74667,5521949,438170,,,,2034384,,28926,577395.0,0.0,4416363.0,2028806,118982,1598077,1329221,8206,5314723,22406,2045708,,34951.0,,7000923,757625,15192983,2015年03月31日,3946965,302151.0,187418.0,220.0,30298311,24523258,8767686,1310210,15457727,22279875,986201.0,1505221,306193.0,,,2353140,,7857180.0,,,4976813,15192983,63917915.0,466563.0,16021,33619604.0,,1090193,63917915.0,,,625.0,,859945,566466,29627.0,8269.0,,11497635,1144987,1144987,372718,5775053,18161877,41638040,2061089,3566074,879682,0
2015-08-10,2,2015,,855330,855330,25765358,610700,7070809,,757507,1423744,2985290,7900,645664,12419,542227,,2813811,820872,216879,,1286022,88174,5625838,489611,,,,1624793,,28926,,0.0,4378905.0,1933493,89769,1778339,1044826,5454,5094551,28145,2063118,,0.0,,6992718,665830,15192983,2015年06月30日,3326647,251188.0,84154.0,133.0,29560217,23865078,8767686,1391022,16475553,21147932,946660.0,1510924,318772.0,,7300.0,2353140,,8159494.0,,,5477311,15192983,64305357.0,245287.0,16021,34745140.0,,1087985,64305357.0,,76.0,1497.0,103.0,851421,555013,9843.0,583.0,8485.0,11735138,908266,908266,366373,5695139,18269587,43157425,2217869,3861588,1137609,0
