date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,244238,295343,,192896,313978,52598,22613,800,-65,16970,282,2784,81393,-65,,,,161160,,21923,13465,180839,89241,75105,27699,860000,2013年03月31日,294739,,1155329,1155329,0,604,604210,1246187,2778,,,825003.0,24116.0,860000,,13425,,620419.0,51,51,,,1775748.0,,8256,16209,529561,24605,0
2013-08-14,2,2013,259156,187743,-22681.0,170215,288838,55334,16478,722,-22607,13168,60,2809,79986,74,,,,148826,,12595,1545,189133,86289,65083,25135,860000,2013年06月30日,162844,,1025187,1025187,0,24899,541912,1062416,3015,,,659959.0,21606.0,860000,,13425,,558146.0,51,51,,,1583333.0,,8545,16234,520917,19557,0
2013-11-14,3,2013,254151,215912,-22681.0,170215,344988,65361,19935,734,-22779,18685,90,2836,79760,-98,,,,148887,,7784,778,202640,76037,54588,33777,860000,2013年09月30日,191013,,1053184,1053184,0,24899,592980,1144635,4969,,,741581.0,6497.0,860000,,13425,,609241.0,51,51,,,1662425.0,,8695,16261,517790,15253,0
2014-03-05,4,2013,251250,270010,-22681.0,170215,274783,32457,12700,825,-22520,17497,66302,500,69539,161,,0.0,,137913,,8610,255,206406,85567,55695,28655,954670,2013年12月31日,245111,,1502242,1502242,0,24899,488366,1501231,4424,,,1035540.0,16851.0,954670,,13425,,502786.0,300082,51,300031.0,,2005028.0,495.0,8369,14420,503797,9541,0
2014-05-13,1,2014,253082,312778,79915.0,272811,353074,71545,10265,405,80036,11035,221832,500,65124,121,,,0.0,130290,908.0,4971,4639,173372,64002,82835,26709,954670,2014年03月31日,287879,,1647566,1647566,0,24899,602243,1660785,3879,,1058438.0,,25781.0,954670,,13425,,616654.0,300082,51,300031.0,,2264220.0,486.0,8539,14411,603435,22927,0
2014-08-12,2,2014,257826,207230,159412.0,352308,521049,95923,7121,607,159281,12670,243637,500,66914,-131,,,0.0,134169,530.0,471,2808,210387,79405,47496,25722,954670,2014年06月30日,141340,,1621263,1621263,0,43369,783457,1729129,5175,22521.0,1094606.0,,15837.0,954670,,13425,,797843.0,300082,51,300031.0,,2419106.0,461.0,7754,14386,689977,20148,0
2014-11-07,3,2014,250052,225380,164648.0,357544,256000,28050,9891,988,164885,12402,58887,1200,122667,237,,,0.0,151474,694.0,582,1086,213710,72140,50784,35419,954670,2014年09月30日,159490,,1645017,1645017,0,43369,455162,1371402,5103,22521.0,912685.0,,4874.0,954670,,13425,,470296.0,300082,51,300031.0,,2115313.0,509.0,8545,15134,743911,16898,0
2015-03-04,4,2014,253752,279558,278028.0,451583,303523,55597,7866,735,278653,12743,105007,4180,79735,625,,,0.0,146450,480.0,1799,157,229438,73814,50337,32430,954670,2014年12月31日,213668,,1812963,1812963,0,43369,532556,1563469,5733,22521.0,1049303.0,,11807.0,954670,,12856,,549721.0,300082,51,300031.0,,2362684.0,129.0,8412,17165,799215,14539,0
2015-05-12,1,2015,283895,322079,175732.0,374033,258532,32037,6523,330,176224,13292,52646,3961,54772,492,,,0.0,141244,505.0,643,0,200548,65412,68809,27939,954670,2015年03月31日,256189,20394.0,1753055,1753055,0,43369,466647,1510543,5017,22521.0,,1059023.0,,954670,2236620.0,12856,483565.0,,300082,51,300031.0,2236620.0,,101.0,8360,16918,726077,29313,0
2015-08-10,2,2015,320997,272217,160659.0,332784,375066,28695,5763,271,160971,12899,49376,4375,70178,312,,,0.0,155396,399.0,476,278,208177,71379,50366,30506,954670,2015年06月30日,213249,17182.0,1687940,1687940,0,58968,590391,1557850,5950,0.0,,1115581.0,,954670,2295626.0,12856,607686.0,,300082,51,300031.0,2295626.0,,64.0,7867,17295,737776,26431,0
2015-11-10,3,2015,367975,279151,75506.0,247631,249976,33805,4504,466,76348,12168,53467,4341,55658,842,,,0.0,160570,257.0,581,730,227429,66803,35778,39110,954670,2015年09月30日,220183,5051.0,1610251,1610251,0,58968,463138,1406245,5013,0.0,,960753.0,,954670,2090759.0,12856,480508.0,,300082,51,300031.0,2090759.0,,173.0,8237,17370,684514,17935,0
2016-03-08,4,2015,351708,271803,96651.0,245701,310588,43601,3612,349,97054,14166,138703,9221,50830,403,,,0.0,153535,166.0,2169,3420,219637,73354,33367,32259,954670,2015年12月31日,212835,9251.0,1623609,1623609,0,58968,536896,1520795,4398,0.0,,1005884.0,,954670,2182667.0,12856,559058.0,,300082,51,300031.0,2182667.0,,85.0,9235,22162,661872,13630,0
2016-05-11,1,2016,339991,319843,97223.0,246273,275634,35485,11414,134,97598,11609,112442,9167,54813,375,1386.0,,0.0,157562,17.0,659,43,219715,60980,44028,35642,954670,2016年03月31日,260875,15685.0,1672193,1672193,0,58968,496694,1526886,3639,0.0,,1016238.0,,954670,2179723.0,1592,507530.0,,300082,51,300031.0,2179723.0,,77.0,8121,10836,652837,24907,0
2016-08-11,2,2016,327729,282637,95508.0,244558,351227,37885,4116,85,95657,11568,113146,9557,54137,149,1143.0,,0.0,154109,11.0,815,255,209549,66890,40999,33538,954670,2016年06月30日,213547,12696.0,1633046,1633046,0,69090,568566,1574309,3938,0.0,,1081626.0,,954670,2212792.0,1592,579746.0,,300082,51,300031.0,2212792.0,,31.0,8121,11180,638483,23217,0
